Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
08:58:20:09.053,61,0.1703312099,0.2315303236,0.4324945807,0.0000000000,0.0000000000,0.0446562469,0.0000000000,0.1696997136,0.2351507097,0.0000000000,0.3215579093,0.0000000000,0.0446319059,0.0000000000,0.0319653936,0.0000000000,0.0318932720,0.0338740461,0.0313266963,0.0190686900,0.0443035699,0.0000000000,0.0186899677,0.0000000000,0.0010693625,0.0009529046,0.0000000000,0.0292777941,0.0318981335,0.0475556925,0.0535479523,0.0492014438,0.0332698934,0.1055660769,0.0683787242,0.0447324887,0.0407081097,0.0250627324,0.0236666016,0.0101120360,0.0123037407,0.0207388029,0.0191169791,0.0379905216,0.0000000000,0.0000000000,0.0205235239,0.0306321830,0.0274932776,0.0397908017,0.0559494384,0.0000001375,0.0821494758,0.1681791395,-0.0508798584,0.1943794787,0.1464221627,0.0284787416,0.2614957392,0.1464464366,0.0381147042
08:58:20:10.054,61,0.1697895676,0.2292123437,0.4403541982,0.0000000000,0.0000000000,0.0442206860,0.0000000000,0.1692042649,0.2328659147,0.0000000000,0.3297838867,0.0000000000,0.0441960879,0.0000000000,0.0317080393,0.0000000000,0.0309737343,0.0334179811,0.0308525749,0.0185756572,0.0437080748,0.0000000000,0.0184229240,0.0000000000,0.0008522349,0.0017192769,0.0000000000,0.0288209077,0.0314437449,0.0470949709,0.0530390255,0.0487352237,0.0329772532,0.1047150791,0.0677017793,0.0441285484,0.0403314903,0.0246303901,0.0232257470,0.0099068452,0.0120296581,0.0201646145,0.0185607262,0.0374337286,0.0000000000,0.0000000000,0.0201945696,0.0301250368,0.0269736946,0.0392439812,0.0552585423,0.0000001087,0.0821494758,0.1681791395,-0.0508798584,0.1993912011,0.1451451927,0.0289448109,0.2663001418,0.1451692283,0.0384549759
08:58:20:11.056,61,0.1688081622,0.2278049439,0.4396742582,0.0000000000,0.0000000000,0.0438129008,0.0000000000,0.1683591753,0.2314284444,0.0000000000,0.3291406929,0.0000000000,0.0437882878,0.0000000000,0.0314372890,0.0000000000,0.0302171260,0.0329355486,0.0304034371,0.0181219168,0.0431644134,0.0000000000,0.0180694927,0.0000000000,0.0004541739,0.0026263329,0.0000000000,0.0282810908,0.0308894515,0.0468019061,0.0527340807,0.0481930412,0.0326015912,0.1034944430,0.0669471696,0.0434522666,0.0398590043,0.0242199004,0.0228065383,0.0097101759,0.0117688244,0.0196870714,0.0180884525,0.0369243473,0.0000000000,0.0000000000,0.0198529419,0.0296429936,0.0264879316,0.0387552306,0.0546469651,0.0000000884,0.0821494758,0.1681791395,-0.0508798584,0.1990277320,0.1442382932,0.0287098121,0.2659221292,0.1442625076,0.0381587259
08:58:20:12.058,61,0.1674510092,0.2281722128,0.4422956407,0.0000000000,0.0000000000,0.0434175655,0.0000000000,0.1671378165,0.2318234295,0.0000000000,0.3319093287,0.0000000000,0.0433929600,0.0000000000,0.0312681459,0.0000000000,0.0295624193,0.0325585119,0.0300356597,0.0177176893,0.0426423736,0.0000000000,0.0177781433,0.0000000000,0.0001782463,0.0033842812,0.0000000000,0.0279831383,0.0306021757,0.0467052646,0.0526548065,0.0478387512,0.0324118547,0.1026058048,0.0661942437,0.0429486968,0.0395332351,0.0239555668,0.0225186478,0.0095257303,0.0115246121,0.0193374939,0.0177401397,0.0365193561,0.0000000000,0.0000000000,0.0195393655,0.0292187370,0.0260486025,0.0383248925,0.0541271716,0.0000000769,0.0825323611,0.1705534160,-0.0483483374,0.2006944120,0.1445336640,0.0290069487,0.2674981654,0.1445578337,0.0384588614
08:58:20:13.059,61,0.1665186733,0.2255195528,0.4457228780,0.0000000000,0.0000000000,0.0431076251,0.0000000000,0.1662579477,0.2291578948,0.0000000000,0.3355186582,0.0000000000,0.0430829972,0.0000000000,0.0309515335,0.0000000000,0.0287371483,0.0321773775,0.0296934899,0.0173502099,0.0421370044,0.0000000000,0.0173631608,0.0000000000,0.0000000000,0.0040914761,0.0001373787,0.0276268460,0.0302498173,0.0464795791,0.0524032936,0.0473429859,0.0321051292,0.1012730151,0.0654040873,0.0423736088,0.0391231067,0.0236821566,0.0222115703,0.0093671791,0.0113077909,0.0189387649,0.0173395537,0.0361461937,0.0000000000,0.0000000000,0.0192300174,0.0288245697,0.0256328657,0.0379007198,0.0536134727,0.0000000487,0.0825323611,0.1705534160,-0.0483483374,0.2029237151,0.1429370046,0.0289963242,0.2696322501,0.1429609507,0.0383243151
08:58:20:14.061,61,0.1657067388,0.2239884287,0.4458615482,0.0000000000,0.0000000000,0.0428790972,0.0000000000,0.1654780209,0.2276029587,0.0000000000,0.3356863856,0.0000000000,0.0428541899,0.0000000000,0.0307012964,0.0000000000,0.0282075349,0.0318346806,0.0293909498,0.0170246735,0.0416946970,0.0000000000,0.0170683004,0.0000000000,0.0000000000,0.0047955699,0.0004761971,0.0272978339,0.0299179070,0.0463704430,0.0523046255,0.0469390079,0.0318393148,0.1004003733,0.0646970347,0.0418367423,0.0387336090,0.0234405119,0.0219479576,0.0092151286,0.0111030610,0.0183651224,0.0167732723,0.0359141007,0.0000000000,0.0000000000,0.0189388935,0.0284832306,0.0252718739,0.0375011303,0.0531257056,0.0000000514,0.0830826387,0.1711799949,-0.0454925001,0.2030526102,0.1419706047,0.0288157482,0.2697518766,0.1419946104,0.0380784422
08:58:20:15.062,61,0.1649822146,0.2226914763,0.4458473325,0.0000000000,0.0000000000,0.0425599478,0.0000000000,0.1647710800,0.2262847275,0.0000000000,0.3357000053,0.0000000000,0.0425349586,0.0000000000,0.0303952117,0.0000000000,0.0277229398,0.0314784348,0.0290945023,0.0167317856,0.0412883945,0.0000000000,0.0167815201,0.0000000000,0.0000000000,0.0055293445,0.0008258754,0.0269832388,0.0296052564,0.0463388599,0.0522910841,0.0464788899,0.0314949788,0.0997263119,0.0641061440,0.0413243063,0.0383589938,0.0232032184,0.0216896236,0.0090888673,0.0109325815,0.0177954398,0.0162052363,0.0357038900,0.0000000000,0.0000000000,0.0186383091,0.0281610750,0.0249328539,0.0371448025,0.0527110174,0.0000000607,0.0840207189,0.1716488153,-0.0434756503,0.2030839473,0.1411490142,0.0286512021,0.2697733939,0.1411728561,0.0378582664
08:58:20:16.064,61,0.1643165350,0.2220949084,0.4486487806,0.0000000000,0.0000000000,0.0422572568,0.0000000000,0.1641150266,0.2257031947,0.0000000000,0.3385970592,0.0000000000,0.0422322191,0.0000000000,0.0300035104,0.0000000000,0.0272125509,0.0311267339,0.0288177598,0.0164523423,0.0408986136,0.0000000000,0.0164424814,0.0000000000,0.0000000000,0.0061795437,0.0011670869,0.0266334377,0.0292494074,0.0461707711,0.0521137975,0.0459467173,0.0311222691,0.0988335609,0.0634430051,0.0407580584,0.0379231088,0.0229678918,0.0214256849,0.0089672972,0.0107682245,0.0172362830,0.0156452507,0.0355165228,0.0000000000,0.0000000000,0.0183460638,0.0278386045,0.0246004611,0.0367818661,0.0522973761,0.0000000725,0.0858650208,0.1722194254,-0.0412392132,0.2048463076,0.1408378333,0.0288317110,0.2714815438,0.1408616751,0.0380068496
08:58:20:17.065,61,0.1638226062,0.2200470120,0.4507403970,0.0000000000,0.0000000000,0.0421727523,0.0000000000,0.1636290848,0.2236410677,0.0000000000,0.3407443166,0.0000000000,0.0421472043,0.0000000000,0.0297529418,0.0000000000,0.0266827680,0.0309298728,0.0286619775,0.0162217133,0.0405426994,0.0000000000,0.0161663741,0.0000000000,0.0000000000,0.0065820855,0.0011786427,0.0264565721,0.0290855207,0.0461174883,0.0520385355,0.0456437469,0.0309714004,0.0979850739,0.0627286807,0.0402864218,0.0375727564,0.0228614602,0.0212775227,0.0088419002,0.0106042903,0.0166382380,0.0150482021,0.0354388990,0.0000000000,0.0000000000,0.0180874951,0.0276000127,0.0243433826,0.0364326313,0.0519143343,0.0000000665,0.0876140520,0.1715568900,-0.0395316035,0.2061813921,0.1395898312,0.0287564825,0.2727940679,0.1396136880,0.0378434137
08:58:20:18.067,61,0.1633008122,0.2172138542,0.4550473094,0.0000000000,0.0000000000,0.0422646776,0.0000000000,0.1631128937,0.2207987309,0.0000000000,0.3452142775,0.0000000000,0.0422383398,0.0000000000,0.0296210293,0.0000000000,0.0262466036,0.0308295861,0.0285691358,0.0159979910,0.0401809104,0.0000000000,0.0159179009,0.0000000000,0.0000000000,0.0067707719,0.0011501476,0.0263834782,0.0290434007,0.0460881479,0.0520221442,0.0455020815,0.0309385303,0.0973398462,0.0621051714,0.0398820154,0.0372669250,0.0228162482,0.0211886968,0.0087254560,0.0104497038,0.0161971580,0.0146044381,0.0353781469,0.0000000000,0.0000000000,0.0178276803,0.0274139419,0.0241270959,0.0361016206,0.0515506044,0.0000000784,0.0894452855,0.1710989773,-0.0381098799,0.2089356631,0.1378957331,0.0287769027,0.2754651308,0.1379194707,0.0377351083
