Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
14:52:54:06.915,61,0.0001917500,0.1987789720,0.0000000000,0.1882812530,0.0000000000,0.0939679146,0.2013092488,0.0001910093,0.1968608648,0.2991977930,0.0000000000,0.0000000000,0.0939884931,0.2013244629,0.0523734502,0.0000000000,0.0048926477,0.0448811762,0.0575452447,0.0343558826,0.0402077325,0.0133538479,0.0000000000,0.6171594858,0.5910077095,0.0000000000,0.0000000000,0.0607009605,0.0560426973,0.0752001628,0.0735980943,0.0765064508,0.0265441053,0.1881329715,0.1744665653,0.0623958856,0.0679029971,0.0944618136,0.0879158080,0.0626553819,0.0580185466,0.0607015900,0.0607339591,0.0938692540,0.0000000000,0.0000000000,0.0323719196,0.3227816820,0.3258163631,0.2762850821,0.2393357158,0.0000001835,-0.0502894931,0.1030624732,0.0195045564,-0.1814348400,0.1222722754,-0.0221699160,-0.1141638979,0.1222267747,-0.0139924334
14:52:54:07.917,61,0.0001764691,0.1955145448,0.0000000000,0.1976962537,0.0000000000,0.0940590948,0.2002083212,0.0001757874,0.1935558319,0.3084435463,0.0000000000,0.0000000000,0.0940803289,0.2002202272,0.0523036607,0.0000000000,0.0055506960,0.0447599776,0.0574442893,0.0341024287,0.0399560928,0.0133902114,0.0000000000,0.6424596310,0.6127693653,0.0000000000,0.0000000000,0.0610217862,0.0563182682,0.0751130208,0.0735834688,0.0761968717,0.0265503339,0.1801168174,0.1662456244,0.0621427745,0.0676891506,0.0947595462,0.0881924257,0.0621573739,0.0576293208,0.0670804009,0.0671160072,0.0913705155,0.0000000000,0.0000000000,0.0323867463,0.3016648889,0.3078697920,0.2615635395,0.2294165790,0.0000000984,-0.0502894931,0.1030624732,0.0195045564,-0.1870863289,0.1203464791,-0.0224889722,-0.1199013293,0.1203009039,-0.0144585166
14:52:54:08.918,61,0.0001624059,0.1947827339,0.0000000000,0.2047398090,0.0000000000,0.0941348374,0.2197201699,0.0001617785,0.1927785575,0.3153037131,0.0000000000,0.0000000000,0.0941577554,0.2197271585,0.0523893274,0.0000000000,0.0056055095,0.0448508412,0.0575701930,0.0339998789,0.0399787985,0.0134743517,0.0000000000,0.6423251033,0.6142947674,0.0000000000,0.0000000000,0.0613477603,0.0566042028,0.0750632808,0.0735577792,0.0761931092,0.0266558640,0.1781978011,0.1642079800,0.0620786212,0.0676897466,0.0949134156,0.0883378834,0.0616065115,0.0571956187,0.0690276027,0.0690638646,0.0904123411,0.0000000000,0.0000000000,0.0325545557,0.2963480353,0.3035465777,0.2571075559,0.2264168411,0.0000000840,-0.0499224998,0.1006446332,0.0205736179,-0.1912575215,0.1199593246,-0.0229095146,-0.1241795570,0.1199137941,-0.0149230938
14:52:54:09.920,61,0.0001494634,0.1960912049,0.0000000000,0.2012294531,0.0000000000,0.0941535085,0.2215810269,0.0001488861,0.1940997094,0.3118875325,0.0000000000,0.0000000000,0.0941774845,0.2216043919,0.0523599721,0.0000000000,0.0053692325,0.0448639318,0.0575947389,0.0339414999,0.0400499329,0.0134209804,0.0000000000,0.6134231687,0.5911495090,0.0000000000,0.0000000000,0.0615294166,0.0567651950,0.0749102831,0.0733973384,0.0762335882,0.0266679395,0.1778844744,0.1662184298,0.0621140338,0.0677716509,0.0947629288,0.0882509947,0.0611899458,0.0569262989,0.0704410449,0.0704768524,0.0895287991,0.0000000000,0.0000000000,0.0328100547,0.2915416956,0.3007267416,0.2545747161,0.2246402055,0.0000000258,-0.0499224998,0.1006446332,0.0205736179,-0.1891673505,0.1207327694,-0.0228097308,-0.1220388412,0.1206872538,-0.0147626763
14:52:54:10.921,61,0.0001375524,0.1883412749,0.0000000000,0.2075813115,0.0000000000,0.0951186791,0.2231944501,0.0001370211,0.1863847226,0.3180281520,0.0000000000,0.0000000000,0.0951488614,0.2232205570,0.0524766855,0.0000000000,0.0051543382,0.0450815409,0.0578634962,0.0340449214,0.0403107479,0.0132337818,0.0000000000,0.6032261848,0.5797864795,0.0000000000,0.0000000000,0.0616525933,0.0568804927,0.0750349239,0.0735349208,0.0765194520,0.0268135834,0.1777595580,0.1668324918,0.0621375293,0.0678398311,0.0947744995,0.0883471891,0.0606493019,0.0565532148,0.0713494271,0.0713871270,0.0889569074,0.0000000000,0.0000000000,0.0330304764,0.2898640335,0.2999040782,0.2533677220,0.2238281816,0.0000000107,-0.0499224998,0.1006446332,0.0205736179,-0.1929986030,0.1160194725,-0.0223495103,-0.1259614378,0.1159740686,-0.0146342888
14:52:54:11.923,61,0.0001265906,0.1887940168,0.0000000000,0.2036628872,0.0000000000,0.0956157967,0.2243591547,0.0001261016,0.1868599057,0.3142595291,0.0000000000,0.0000000000,0.0956471041,0.2243855894,0.0528583787,0.0000000000,0.0052990573,0.0455142967,0.0583809651,0.0341158062,0.0404446758,0.0128010903,0.0000000000,0.5990995765,0.5756900907,0.0000000000,0.0000000000,0.0617640913,0.0570092350,0.0752852410,0.0738706365,0.0769526958,0.0270894878,0.1766591221,0.1665851474,0.0619972683,0.0677077323,0.0951942727,0.0892340690,0.0600621104,0.0561336465,0.0714012533,0.0714416802,0.0888139382,0.0000000000,0.0000000000,0.0329977795,0.2950410843,0.3037470281,0.2534225285,0.2237689346,0.0000000174,-0.0504590161,0.0979733467,0.0202265922,-0.1907055825,0.1162632853,-0.0221341271,-0.1235798970,0.1162179932,-0.0143895335
14:52:54:12.925,61,0.0001165023,0.1850618124,0.0000000000,0.2013090104,0.0000000000,0.0977205783,0.2247197777,0.0001160523,0.1831848770,0.3119023740,0.0000000000,0.0000000000,0.0977532566,0.2247455567,0.0535405725,0.0000000000,0.0051185470,0.0456272848,0.0584981032,0.0338515565,0.0401150510,0.0123201208,0.0000000000,0.6289131641,0.6151232719,0.0000000000,0.0000000000,0.0621491447,0.0573761947,0.0752394646,0.0738389269,0.0773358122,0.0273467731,0.1763094068,0.1664622128,0.0620443709,0.0677977875,0.0954070166,0.0896146744,0.0596766584,0.0559535176,0.0681048185,0.0681493059,0.0888653398,0.0000000000,0.0000000000,0.0330446884,0.3044662178,0.3135738969,0.2531927228,0.2237316817,0.0000000116,-0.0490032062,0.0967901945,0.0210906938,-0.1893241853,0.1139459312,-0.0215340406,-0.1221837997,0.1139006391,-0.0139416540
14:52:54:13.926,61,0.0001072180,0.1818451881,0.0000000000,0.1986493617,0.0000000000,0.0993721262,0.2252380848,0.0001068039,0.1800193787,0.3093476593,0.0000000000,0.0000000000,0.0994075611,0.2252626270,0.0541516617,0.0000000000,0.0049760113,0.0458480269,0.0587392710,0.0337077826,0.0399718210,0.0121887689,0.0000000000,0.6353935003,0.6157550812,0.0000000000,0.0000000000,0.0624875464,0.0576801971,0.0753594339,0.0739550889,0.0779043734,0.0276143271,0.1763063669,0.1667228043,0.0620846674,0.0678437129,0.0956805199,0.0899531767,0.0593867376,0.0557917170,0.0676024035,0.0676483810,0.0889232159,0.0000000000,0.0000000000,0.0330149233,0.3112896085,0.3195229769,0.2535630763,0.2241204083,0.0000000549,-0.0471586920,0.0937390774,0.0210676864,-0.1878146380,0.1119442135,-0.0209860411,-0.1205964386,0.1118989959,-0.0135175809
14:52:54:14.928,61,0.0000986736,0.1777152568,0.0000000000,0.1986440718,0.0000000000,0.1023854837,0.2323168218,0.0000982924,0.1759314090,0.3093689382,0.0000000000,0.0000000000,0.1024232879,0.2323305458,0.0548307151,0.0000000000,0.0047608083,0.0461325608,0.0590589046,0.0336321741,0.0399246849,0.0117909340,0.0000000000,0.6270558834,0.6070960760,0.0000000000,0.0000000000,0.0627420917,0.0579294302,0.0755476281,0.0741379261,0.0785369277,0.0279414542,0.1763525903,0.1669541895,0.0621885695,0.0679692253,0.0959056318,0.0902871042,0.0590691119,0.0556517169,0.0670557469,0.0671045855,0.0893836617,0.0000000000,0.0000000000,0.0330211371,0.3167627454,0.3261771202,0.2539244890,0.2245456874,0.0000000724,-0.0449647270,0.0917269439,0.0221212041,-0.1878793836,0.1094031185,-0.0205129180,-0.1206269264,0.1093578935,-0.0132114813
14:52:54:15.929,61,0.0000908101,0.1760098636,0.0000000000,0.2012764215,0.0000000000,0.1043594182,0.2358049452,0.0000904593,0.1742258221,0.3119165301,0.0000000000,0.0000000000,0.1043953896,0.2358132899,0.0554136671,0.0000000000,0.0047219791,0.0463843532,0.0593786798,0.0335824750,0.0398962460,0.0112753315,0.0000000000,0.6256278753,0.6053657532,0.0000000000,0.0000000000,0.0629408732,0.0581139028,0.0758497566,0.0744378939,0.0790052265,0.0282226223,0.1762135178,0.1670117378,0.0621956438,0.0679952875,0.0962858945,0.0908080935,0.0588314384,0.0555896424,0.0692005232,0.0692633986,0.0895675868,0.0000000000,0.0000000000,0.0329456478,0.3223752975,0.3319109678,0.2582796514,0.2280023992,0.0000000860,-0.0445055440,0.0908898339,0.0226898342,-0.1894477159,0.1083749160,-0.0204862021,-0.1222392321,0.1083298102,-0.0132603357
