Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:05:45.309,61,0.0052651353,0.1370096207,0.0472695306,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0052892952,0.1369148344,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0406659395,0.0000000000,0.0251283012,0.1149650812,0.0119608575,0.0643796697,0.0000000000,0.0000000000,0.0000000000,0.4313499629,0.4143174291,0.0000000000,0.0000000000,0.0629211292,0.0600597523,0.1227075607,0.1293817312,0.0000000000,0.0197851639,0.0000000000,0.0784941986,0.0000000000,0.0000000000,0.4003855884,0.3894787431,0.0550108105,0.0561366193,0.1236784905,0.1235807538,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0609487817,0.0484685227,0.0333494283,0.0309709031,0.0000000000,0.0218924880,0.0807186291,-0.0005032120,0.0303709172,0.0836864337,-0.0037477957,0.0287719443,0.0836988315,0.0024229102
13:45:05:46.310,61,0.0052310522,0.1353377551,0.0470640324,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0052558617,0.1352427155,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0411621854,0.0000000000,0.0247415733,0.1148944423,0.0111231785,0.0636246651,0.0000000000,0.0000000000,0.0000000000,0.4328907132,0.4160612524,0.0000000000,0.0000000000,0.0632892624,0.0604625978,0.1227978319,0.1293009967,0.0000000000,0.0190164577,0.0000000000,0.0789718777,0.0000000000,0.0000000000,0.4019274712,0.3910379708,0.0558173545,0.0568649620,0.1248978227,0.1248004362,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0619495884,0.0496181846,0.0342454165,0.0319242328,0.0000000000,0.0218924880,0.0807186291,-0.0005032120,0.0302400962,0.0826648697,-0.0037126043,0.0286493152,0.0826772153,0.0023830936
13:45:05:47.312,61,0.0051679811,0.1339860559,0.0468020961,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0051929923,0.1338903755,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0417119972,0.0000000000,0.0243775323,0.1148931012,0.0103868721,0.0629377812,0.0000000000,0.0000000000,0.0000000000,0.4357156754,0.4197409153,0.0000000000,0.0000000000,0.0635140240,0.0607196502,0.1227056831,0.1290578395,0.0000000000,0.0182427913,0.0000000000,0.0796250179,0.0000000000,0.0000000000,0.4031320810,0.3922668397,0.0569879748,0.0578539558,0.1255049258,0.1254077405,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0633701161,0.0515104458,0.0352408029,0.0330611318,0.0000000000,0.0218924880,0.0807186291,-0.0005032120,0.0300785415,0.0818388686,-0.0036885424,0.0284918081,0.0818511024,0.0023462868
13:45:05:48.314,61,0.0050429059,0.1340936273,0.0466906838,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0050674332,0.1339971572,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0421187840,0.0000000000,0.0239905212,0.1147367731,0.0096843215,0.0623351820,0.0000000000,0.0000000000,0.0000000000,0.4368959665,0.4212011397,0.0000000000,0.0000000000,0.0637006238,0.0609371960,0.1227009445,0.1288835108,0.0000000000,0.0174797513,0.0000000000,0.0802902132,0.0000000000,0.0000000000,0.4038085938,0.3929634690,0.0579965822,0.0587350875,0.1261103749,0.1260133684,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0641886294,0.0525027290,0.0360262729,0.0338927358,0.0000000000,0.0218924880,0.0807186291,-0.0005032120,0.0299976878,0.0819044188,-0.0036981672,0.0284238271,0.0819166377,0.0023425748
13:45:05:49.316,61,0.0050963713,0.1335768849,0.0457163565,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0051227077,0.1334747374,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0424001403,0.0000000000,0.0234329198,0.1146805286,0.0090216771,0.0611919351,0.0000000000,0.0000000000,0.0000000000,0.4377345443,0.4223492742,0.0000000000,0.0000000000,0.0638823882,0.0611721724,0.1226488352,0.1286581308,0.0000000000,0.0167272128,0.0000000000,0.0809746236,0.0000000000,0.0000000000,0.4042702913,0.3934984803,0.0588074699,0.0595201403,0.1268094778,0.1267126948,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0648291707,0.0533529185,0.0367792733,0.0346913897,0.0000000000,0.0219476670,0.0820021704,0.0001894347,0.0294014737,0.0815873221,-0.0037326056,0.0278314091,0.0815996006,0.0022849308
13:45:05:50.317,61,0.0052619819,0.1335552186,0.0447936244,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0052921060,0.1334476024,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0429033488,0.0000000000,0.0229432639,0.1146436855,0.0083350716,0.0603204146,0.0000000000,0.0000000000,0.0000000000,0.4443012774,0.4318438470,0.0000000000,0.0000000000,0.0641334206,0.0614772923,0.1227655187,0.1286428571,0.0000000000,0.0160238463,0.0000000000,0.0819588304,0.0000000000,0.0000000000,0.4100357890,0.4002754986,0.0597735830,0.0607094094,0.1275406927,0.1274443120,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0656033158,0.0549544282,0.0377443060,0.0359169580,0.0000000000,0.0219476670,0.0820021704,0.0001894347,0.0288375504,0.0815728754,-0.0037781338,0.0272696968,0.0815850869,0.0022384860
13:45:05:51.318,61,0.0052824374,0.1341865510,0.0440297350,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0053136772,0.1340736896,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0450549684,0.0000000000,0.0224444866,0.1147031039,0.0076806252,0.0584050119,0.0000000000,0.0000000000,0.0000000000,0.4468112290,0.4349350929,0.0000000000,0.0000000000,0.0644216016,0.0618177243,0.1229557544,0.1286689937,0.0000000000,0.0154241472,0.0000000000,0.0827075765,0.0000000000,0.0000000000,0.4167013168,0.4064996839,0.0606149398,0.0616243854,0.1281743348,0.1280783117,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0661060810,0.0557398573,0.0384968258,0.0367671400,0.0000000000,0.0219476670,0.0820021704,0.0001894347,0.0283611640,0.0819574147,-0.0038352637,0.0268037971,0.0819697306,0.0022106927
13:45:05:52.320,61,0.0053005568,0.1362621337,0.0435718596,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0053326902,0.1361448616,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0468174331,0.0000000000,0.0219338890,0.1147264689,0.0070170858,0.0573571548,0.0000000000,0.0000000000,0.0000000000,0.4483286440,0.4368389547,0.0000000000,0.0000000000,0.0646827295,0.0621206537,0.1231970340,0.1287166774,0.0000000000,0.0148362052,0.0000000000,0.0845153183,0.0000000000,0.0000000000,0.4218792617,0.4117343724,0.0624765418,0.0637742579,0.1290504336,0.1289554089,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0665900186,0.0564138032,0.0398991629,0.0385202169,0.0000000000,0.0219476670,0.0820021704,0.0001894347,0.0280774049,0.0832246244,-0.0039186608,0.0265222657,0.0832369924,0.0022213929
13:45:05:53.321,61,0.0054012593,0.1374234855,0.0432154462,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0054355767,0.1373031437,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0484320708,0.0000000000,0.0216106437,0.1148387194,0.0065113283,0.0566366948,0.0000000000,0.0000000000,0.0000000000,0.4503557384,0.4388194680,0.0000000000,0.0000000000,0.0649619550,0.0624361672,0.1234947518,0.1289041191,0.0000000000,0.0143481595,0.0000000000,0.0873073339,0.0000000000,0.0000000000,0.4238223135,0.4137275517,0.0642087683,0.0657086074,0.1313600540,0.1312689781,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0695697293,0.0598997250,0.0428084061,0.0415594056,0.0000000000,0.0219476670,0.0820021704,0.0001894347,0.0278605409,0.0839335397,-0.0039705345,0.0263037477,0.0839459226,0.0022219219
13:45:05:54.323,61,0.0054652775,0.1395181865,0.0428064466,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0055010426,0.1393934339,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0506133586,0.0000000000,0.0213206373,0.1149799526,0.0060868040,0.0560241044,0.0000000000,0.0000000000,0.0000000000,0.4520890117,0.4408375919,0.0000000000,0.0000000000,0.0652654395,0.0627628192,0.1236995831,0.1289886236,0.0000000000,0.0139690004,0.0000000000,0.0890702978,0.0000000000,0.0000000000,0.4249522388,0.4149380922,0.0656489134,0.0673801005,0.1325573921,0.1324676275,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0717774555,0.0623591840,0.0458794720,0.0448342189,0.0000000000,0.0219476670,0.0820021704,0.0001894347,0.0276118144,0.0852123648,-0.0040527117,0.0260519646,0.0852249339,0.0022342901
