Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:05:45.309,61,0.0054426151,0.1373238713,0.0473250598,0.0000000000,0.0000000000,0.1157974973,0.0000000000,0.0054663136,0.1372629851,0.0735689849,0.0000000000,0.0000000000,0.1157964990,0.0000000000,0.0997050703,0.0000000000,0.0264011975,0.1516621411,0.0540496297,0.0987869576,0.0436726473,0.0000000000,0.0080054263,0.4313499629,0.4143174291,0.0000000000,0.0000000000,0.0894165859,0.0862196386,0.1859534979,0.1914191544,0.0502155125,0.0552705824,0.0304507948,0.1905822903,0.0423101895,0.0437299684,0.4194089472,0.4092994630,0.0652954876,0.0681508929,0.1504515260,0.1504500359,0.0780196637,0.0000000000,0.0000000000,0.0207656417,0.1088217273,0.1052370146,0.0966554731,0.0959999859,0.0000000147,-0.0028821570,0.0842777267,0.0035804019,-0.0447827540,0.0839335397,-0.0037663491,0.0288075507,0.0839212760,0.0024229181
13:45:05:46.310,61,0.0054085380,0.1356526166,0.0471195765,0.0000000000,0.0000000000,0.1173092276,0.0000000000,0.0054328861,0.1355915368,0.0737776160,0.0000000000,0.0000000000,0.1173085421,0.0000000000,0.1001707762,0.0000000000,0.0260149743,0.1515944302,0.0532476343,0.0980597213,0.0429138914,0.0000000000,0.0076275906,0.4328907132,0.4160612524,0.0000000000,0.0000000000,0.0897743106,0.0866112709,0.1860372573,0.1913441718,0.0498590395,0.0545297042,0.0297871698,0.1910018623,0.0418192931,0.0432267450,0.4209019244,0.4108080566,0.0660932511,0.0688699633,0.1516336054,0.1516323239,0.0779538378,0.0000000000,0.0000000000,0.0202616397,0.1097715124,0.1063180864,0.0974927843,0.0968893394,0.0000000170,-0.0028821570,0.0842777267,0.0035804019,-0.0449135751,0.0829119757,-0.0037311576,0.0286849216,0.0828996599,0.0023831015
13:45:05:47.312,61,0.0053454782,0.1343014091,0.0468576550,0.0000000000,0.0000000000,0.1188373566,0.0000000000,0.0053700279,0.1342397481,0.0740379468,0.0000000000,0.0000000000,0.1188369393,0.0000000000,0.1006867513,0.0000000000,0.0256514102,0.1515931487,0.0525426939,0.0973980948,0.0422182083,0.0000000000,0.0072330157,0.4357156754,0.4197409153,0.0000000000,0.0000000000,0.0899927169,0.0868611708,0.1859517545,0.1911183447,0.0495079122,0.0537840463,0.0291636698,0.1915755570,0.0413240567,0.0427179821,0.4220683277,0.4119970202,0.0672511309,0.0698463693,0.1522221565,0.1522210091,0.0778291374,0.0000000000,0.0000000000,0.0197702348,0.1111196205,0.1080974564,0.0984229818,0.0979499444,0.0000000183,-0.0028821570,0.0842777267,0.0035804019,-0.0450751297,0.0820859745,-0.0037070957,0.0285274144,0.0820735469,0.0023462947
13:45:05:48.314,61,0.0052204253,0.1344089359,0.0467462465,0.0000000000,0.0000000000,0.1197199002,0.0000000000,0.0052444912,0.1343464851,0.0741711482,0.0000000000,0.0000000000,0.1197195947,0.0000000000,0.1010685042,0.0000000000,0.0252649039,0.1514433026,0.0518700704,0.0968176574,0.0415941738,0.0000000000,0.0068595735,0.4368959665,0.4212011397,0.0000000000,0.0000000000,0.0901740417,0.0870726630,0.1859473586,0.1909564286,0.0491694920,0.0530486293,0.0286120865,0.1921598464,0.0408737138,0.0422549807,0.4227233529,0.4126710296,0.0682487637,0.0707162842,0.1528091133,0.1528080702,0.0777135193,0.0000000000,0.0000000000,0.0193196032,0.1118964106,0.1090305373,0.0991570130,0.0987257436,0.0000000211,-0.0028821570,0.0842777267,0.0035804019,-0.0451559834,0.0821515247,-0.0037167205,0.0284594335,0.0821390823,0.0023425827
13:45:05:49.316,61,0.0052738814,0.1338923872,0.0457719788,0.0000000000,0.0000000000,0.1205104738,0.0000000000,0.0052997558,0.1338242739,0.0751485005,0.0000000000,0.0000000000,0.1205102876,0.0000000000,0.1013325453,0.0000000000,0.0247080307,0.1513893902,0.0512356535,0.0957164541,0.0409651771,0.0000000000,0.0065834303,0.4377345443,0.4223492742,0.0000000000,0.0000000000,0.0903506652,0.0873010978,0.1858990043,0.1907471120,0.0489203036,0.0523233339,0.0280859936,0.1927610040,0.0404303446,0.0417987816,0.4231704175,0.4131886959,0.0690508261,0.0714913458,0.1534868628,0.1534859538,0.0775078908,0.0000000000,0.0000000000,0.0188686065,0.1125042960,0.1098300070,0.0998606980,0.0994708017,0.0000000202,-0.0028269775,0.0855612680,0.0042730486,-0.0457521975,0.0818344280,-0.0037511589,0.0278670155,0.0818220451,0.0022849387
13:45:05:50.317,61,0.0054394621,0.1338707209,0.0448492989,0.0000000000,0.0000000000,0.1214087754,0.0000000000,0.0054691238,0.1337971538,0.0760746375,0.0000000000,0.0000000000,0.1214087680,0.0000000000,0.1018047854,0.0000000000,0.0242190138,0.1513540745,0.0505782962,0.0948769823,0.0403231792,0.0000000000,0.0064041559,0.4443012774,0.4318438470,0.0000000000,0.0000000000,0.0905945972,0.0875977278,0.1860072762,0.1907329261,0.0486765057,0.0516454317,0.0275670178,0.1936254948,0.0400639921,0.0414254144,0.4287529886,0.4197456837,0.0700064227,0.0726654753,0.1541957259,0.1541951448,0.0772567466,0.0000000000,0.0000000000,0.0184666421,0.1132389754,0.1113359705,0.1007625312,0.1006141230,0.0000000197,-0.0028269775,0.0855612680,0.0042730486,-0.0463161208,0.0818199813,-0.0037966871,0.0273053031,0.0818075314,0.0022384939
13:45:05:51.318,61,0.0054599140,0.1345018297,0.0440854542,0.0000000000,0.0000000000,0.1218710691,0.0000000000,0.0054906914,0.1344229877,0.0768595412,0.0000000000,0.0000000000,0.1218711287,0.0000000000,0.1038239896,0.0000000000,0.0237208884,0.1514110267,0.0499517284,0.0930320174,0.0396781377,0.0000000000,0.0061754216,0.4468112290,0.4349350929,0.0000000000,0.0000000000,0.0908746347,0.0879286826,0.1861837953,0.1907572001,0.0484866276,0.0510674417,0.0270706862,0.1942831725,0.0397463404,0.0411028750,0.4352070391,0.4257678092,0.0708386227,0.0735688061,0.1548100114,0.1548097134,0.0769481882,0.0000000000,0.0000000000,0.0180843882,0.1137161106,0.1120745391,0.1014657691,0.1014072523,0.0000000210,-0.0028269775,0.0855612680,0.0042730486,-0.0467925072,0.0822045207,-0.0038538170,0.0268394034,0.0821921751,0.0022107007
13:45:05:52.320,61,0.0054780301,0.1365766525,0.0436276048,0.0000000000,0.0000000000,0.1219976842,0.0000000000,0.0055097011,0.1364933252,0.0773337409,0.0000000000,0.0000000000,0.1219977811,0.0000000000,0.1054779887,0.0000000000,0.0232109576,0.1514334232,0.0493164547,0.0920226946,0.0390761457,0.0000000000,0.0060091466,0.4483286440,0.4368389547,0.0000000000,0.0000000000,0.0911283791,0.0882231817,0.1864076853,0.1908014864,0.0482784510,0.0505007841,0.0266080126,0.1958710253,0.0394962542,0.0408466496,0.4402207136,0.4308325350,0.0726799667,0.0756913126,0.1556593478,0.1556599140,0.0766496807,0.0000000000,0.0000000000,0.0177479926,0.1141753718,0.1127082780,0.1027762666,0.1030426845,0.0000000204,-0.0028269775,0.0855612680,0.0042730486,-0.0470762663,0.0834717304,-0.0039372141,0.0265578721,0.0834594369,0.0022214008
13:45:05:53.321,61,0.0055787149,0.1377375871,0.0432712138,0.0000000000,0.0000000000,0.1222637743,0.0000000000,0.0056125689,0.1376511306,0.0776946172,0.0000000000,0.0000000000,0.1222638935,0.0000000000,0.1069932580,0.0000000000,0.0228881333,0.1515410244,0.0488322414,0.0913287327,0.0385822728,0.0000000000,0.0059169619,0.4503557384,0.4388194680,0.0000000000,0.0000000000,0.0913997069,0.0885299146,0.1866839379,0.1909755766,0.0481978804,0.0500304066,0.0262669306,0.1983234286,0.0393326506,0.0406825803,0.4421021342,0.4327610135,0.0743933320,0.0776010379,0.1578984112,0.1579025537,0.0764102489,0.0000000000,0.0000000000,0.0174608976,0.1170031801,0.1159862280,0.1054949835,0.1058779210,0.0000000186,-0.0028269775,0.0855612680,0.0042730486,-0.0472931303,0.0841806456,-0.0039890879,0.0263393540,0.0841683671,0.0022219298
13:45:05:54.323,61,0.0056427214,0.1398315281,0.0428622365,0.0000000000,0.0000000000,0.1223815754,0.0000000000,0.0056780232,0.1397405863,0.0781117156,0.0000000000,0.0000000000,0.1223817021,0.0000000000,0.1090403050,0.0000000000,0.0225985050,0.1516764015,0.0484258011,0.0907386690,0.0381236412,0.0000000000,0.0058932970,0.4520890117,0.4408375919,0.0000000000,0.0000000000,0.0916946083,0.0888474733,0.1868740022,0.1910540611,0.0482067876,0.0496649742,0.0259842444,0.1998719573,0.0392400585,0.0405921713,0.4431962073,0.4339322448,0.0758178085,0.0792512596,0.1590591669,0.1590644568,0.0762034133,0.0000000000,0.0000000000,0.0172065422,0.1190983579,0.1182989553,0.1083649248,0.1089329720,0.0000000152,-0.0028269775,0.0855612680,0.0042730486,-0.0475418568,0.0854594707,-0.0040712650,0.0260875709,0.0854473785,0.0022342980
