Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:48:26:37.162,61,0.0003665702,0.0000000000,0.0480506793,0.0000000000,0.0003256634,0.0569685735,0.1193853766,0.0003719823,0.0000000000,0.0000000000,0.0000000000,0.0002284015,0.0567709915,0.1192203313,0.0309004113,0.0000000000,0.0258049630,0.1259230971,0.0281886943,0.1173830107,0.0000000000,0.0000000000,0.0007299615,0.3612776399,0.3612565994,0.0000000000,0.0000000000,0.0473272838,0.0454317182,0.1193930879,0.1303867847,0.0000000000,0.0297114365,0.0000000000,0.0498195589,0.0000000000,0.0000000000,0.3926821947,0.3867271245,0.0240204278,0.0276505444,0.0455055423,0.0455108099,0.0232446026,0.0000000000,0.0000000000,0.0000000000,0.0687024891,0.0649487004,0.0098735131,0.0123263886,0.0000046606,0.0272390414,-0.0239263717,-0.0058994628,0.0320730209,-0.0003468546,0.0000228493,0.0293507781,-0.0003646034,-0.0000041849
13:48:26:38.164,61,0.0003231364,0.0000000000,0.0477270558,0.0000000000,0.0025932863,0.0618134625,0.1186817959,0.0003281538,0.0000000000,0.0000000000,0.0000000000,0.0024946583,0.0616164692,0.1185177639,0.0315504000,0.0000000000,0.0258017965,0.1252878755,0.0263861138,0.1102415770,0.0000000000,0.0000000000,0.0002275415,0.4017515481,0.4013909400,0.0000000000,0.0000000000,0.0478328392,0.0459838063,0.1190371960,0.1299772412,0.0000000000,0.0290124267,0.0000000000,0.0500904694,0.0000000000,0.0000000000,0.4064453840,0.4006020725,0.0252556093,0.0288790055,0.0465944447,0.0466033705,0.0232981797,0.0000000000,0.0000000000,0.0000000000,0.0828737170,0.0793832093,0.0116993366,0.0141279195,0.0000047061,0.0272390414,-0.0239263717,-0.0058994628,0.0319031104,-0.0013366221,0.0000656609,0.0291530844,-0.0013544613,-0.0000330453
13:48:26:39.165,61,0.0002831639,0.0001253308,0.0472549498,0.0000000000,0.0000000000,0.0647511184,0.1142828241,0.0002878181,0.0001552054,0.0000000000,0.0000000000,0.0000000000,0.0645548180,0.1140500978,0.0323636308,0.0000000000,0.0258974973,0.1248607710,0.0242703054,0.1004609987,0.0000000000,0.0000000000,0.0000000000,0.4245062768,0.4224425256,0.0000000000,0.0000000000,0.0482951105,0.0465081483,0.1186130941,0.1295943707,0.0000000000,0.0279237814,0.0000000000,0.0502162278,0.0000000000,0.0000000000,0.4340242147,0.4297979772,0.0270820670,0.0307412948,0.0483502634,0.0483773798,0.0233162399,0.0000000000,0.0000000000,0.0000000000,0.0930589214,0.0898446888,0.0154618761,0.0177062564,0.0000040365,0.0272390414,-0.0239263717,-0.0058994628,0.0315609649,0.0000943983,0.0000036710,0.0288647264,0.0000766573,0.0000086350
13:48:26:40.167,61,0.0002463769,0.0000000000,0.0458761491,0.0000000000,0.0012179593,0.0670274794,0.1110447049,0.0002506968,0.0000000000,0.0000000000,0.0000000000,0.0011198779,0.0668315366,0.1107446626,0.0354261100,0.0000000000,0.0260403305,0.1248105317,0.0224031582,0.0871106014,0.0000000000,0.0000000000,0.0000000000,0.4377152920,0.4356931150,0.0000000000,0.0000000000,0.0488913879,0.0471730419,0.1183684692,0.1294323951,0.0000000000,0.0271225572,0.0000000000,0.0499760583,0.0000000000,0.0000000000,0.4518784881,0.4478447139,0.0281766616,0.0318294354,0.0501651913,0.0502137877,0.0231374372,0.0000000000,0.0000000000,0.0000000000,0.0973411798,0.0942696482,0.0178264566,0.0197974667,0.0000023201,0.0272390414,-0.0239263717,-0.0058994628,0.0307157002,-0.0007362248,0.0000402817,0.0280225072,-0.0007540887,-0.0000149229
13:48:26:41.168,61,0.0002125215,0.0000000000,0.0455112420,0.0000000000,0.0017190221,0.0686250478,0.1020549685,0.0002165337,0.0000000000,0.0000000000,0.0000000000,0.0016206673,0.0684293136,0.1017273217,0.0369757675,0.0000000000,0.0261376817,0.1250467151,0.0212652292,0.0824880227,0.0000000000,0.0000000000,0.0000000000,0.4439128935,0.4416223466,0.0000000000,0.0000000000,0.0494270995,0.0477700494,0.1180362105,0.1291734874,0.0000000000,0.0263814852,0.0000000000,0.0497616269,0.0000000000,0.0000000000,0.4589463770,0.4549200237,0.0291024800,0.0327237733,0.0543119833,0.0543560088,0.0227241218,0.0000000000,0.0000000000,0.0000000000,0.0998720527,0.0968399495,0.0194129627,0.0211582687,0.0000017928,0.0272390414,-0.0239263717,-0.0058994628,0.0304947644,-0.0009549584,0.0000501548,0.0277996100,-0.0009728001,-0.0000208915
13:48:26:42.170,61,0.0001813641,0.0000000000,0.0456732325,0.0000000000,0.0076055527,0.0724600852,0.0990550667,0.0001850932,0.0000000000,0.0000000000,0.0000000000,0.0075033731,0.0722646937,0.0987194628,0.0380674489,0.0000000000,0.0260893088,0.1252012849,0.0203292016,0.0797337592,0.0000000000,0.0000000000,0.0000000000,0.4481002092,0.4459574819,0.0000000000,0.0000000000,0.0499442704,0.0483441427,0.1175792366,0.1287350208,0.0000000000,0.0256786309,0.0000000000,0.0496277399,0.0000000000,0.0000000000,0.4625233114,0.4584030807,0.0299256388,0.0335209779,0.0578601621,0.0578880906,0.0221663266,0.0000000000,0.0000000000,0.0000000000,0.1016261280,0.0985580310,0.0205899347,0.0223122835,0.0000018278,0.0272390414,-0.0239263717,-0.0058994628,0.0306601413,-0.0035243107,0.0001643202,0.0278984085,-0.0035422875,-0.0000927327
13:48:26:43.171,61,0.0001526897,0.0000000000,0.0469143838,0.0000000000,0.0106015466,0.0742330253,0.0991345942,0.0001561583,0.0000000000,0.0000000000,0.0000000000,0.0104980012,0.0740377530,0.0988280550,0.0388551354,0.0000000000,0.0261332616,0.1254515648,0.0194743238,0.0781104267,0.0000000000,0.0000000000,0.0000000000,0.4504272044,0.4481517375,0.0000000000,0.0000000000,0.0503987558,0.0488443412,0.1169229150,0.1281067282,0.0000000000,0.0249125864,0.0000000000,0.0499894097,0.0000000000,0.0000000000,0.4641018808,0.4597503841,0.0307399239,0.0342984162,0.0600205548,0.0600331500,0.0215731170,0.0000000000,0.0000000000,0.0000000000,0.1027493402,0.0995788351,0.0215708334,0.0232615061,0.0000019976,0.0272390414,-0.0239263717,-0.0058994628,0.0314722508,-0.0048320941,0.0002187698,0.0286563896,-0.0048501459,-0.0001327686
13:48:26:44.173,61,0.0001263004,0.0000000000,0.0468252748,0.0000000000,0.0099174352,0.0753100514,0.0993867889,0.0001295292,0.0000000000,0.0000000000,0.0000000000,0.0098144356,0.0751148388,0.0991019532,0.0396913104,0.0000000000,0.0259483065,0.1257495135,0.0187083259,0.0769962445,0.0000000000,0.0000000000,0.0000000000,0.4511001408,0.4488204122,0.0000000000,0.0000000000,0.0508438684,0.0493292660,0.1165446490,0.1276796162,0.0000000000,0.0242178384,0.0000000000,0.0505144000,0.0000000000,0.0000000000,0.4647216201,0.4600980878,0.0314726681,0.0350200273,0.0613793060,0.0613852851,0.0209682044,0.0000000000,0.0000000000,0.0000000000,0.1031910107,0.1000044271,0.0223318376,0.0240466632,0.0000020435,0.0272390414,-0.0239263717,-0.0058994628,0.0314247794,-0.0045335563,0.0002059365,0.0286019947,-0.0045515168,-0.0001239660
13:48:26:45.174,61,0.0001020142,0.0000000000,0.0465320498,0.0000000000,0.0049270256,0.0755449608,0.0975603387,0.0001050223,0.0000000000,0.0000000000,0.0000000000,0.0048270314,0.0753496513,0.0972973406,0.0404767282,0.0000000000,0.0257722642,0.1263901144,0.0179892946,0.0760675594,0.0000000000,0.0000000000,0.0000000000,0.4516520798,0.4491661191,0.0000000000,0.0000000000,0.0513060205,0.0498186424,0.1163080633,0.1273959279,0.0000000000,0.0235135108,0.0000000000,0.0511098951,0.0000000000,0.0000000000,0.4652939141,0.4603304863,0.0322569534,0.0357557014,0.0635714531,0.0635624826,0.0203383546,0.0000000000,0.0000000000,0.0000000000,0.1035715938,0.1003510877,0.0231815204,0.0248706974,0.0000021519,0.0272390414,-0.0239263717,-0.0058994628,0.0311933793,-0.0023553295,0.0001112018,0.0284230877,-0.0023731352,-0.0000612056
13:48:26:46.176,61,0.0000796634,0.0000000000,0.0440592989,0.0000000000,0.0018375942,0.0758907944,0.0952181444,0.0000824684,0.0000000000,0.0000000000,0.0000000000,0.0017392394,0.0756954700,0.0949466676,0.0432089195,0.0000000000,0.0255972948,0.1280052066,0.0173366126,0.0750215054,0.0000000000,0.0000000000,0.0000000000,0.4522027671,0.4496333599,0.0000000000,0.0000000000,0.0518567078,0.0504050292,0.1165160462,0.1275936365,0.0000000000,0.0228948630,0.0000000000,0.0516402274,0.0000000000,0.0000000000,0.4675672948,0.4618556201,0.0330123343,0.0364854112,0.0667404011,0.0667395219,0.0196398553,0.0000000000,0.0000000000,0.0000000000,0.1038968042,0.1007276699,0.0239928253,0.0256472602,0.0000018867,0.0272390414,-0.0239263717,-0.0058994628,0.0296479166,-0.0010067759,0.0000531108,0.0269127190,-0.0010245375,-0.0000216204
