Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:48:26:37.162,61,0.0005449239,0.0000000000,0.0481061637,0.0000000000,0.0003256634,0.2314351946,0.2247904688,0.0005498759,0.0000000000,0.0705239847,0.0000000000,0.0002284015,0.2314372212,0.2246449441,0.0905405283,0.0000000000,0.0270769764,0.1621657908,0.0695861876,0.1498411149,0.0568256900,0.0000000000,0.0232937634,0.3612776399,0.3612565994,0.0000000000,0.0000000000,0.0742636472,0.0719987229,0.1828779727,0.1923525929,0.0509713218,0.0648375079,0.0294362977,0.1653955132,0.0370757431,0.0388061740,0.4119499624,0.4066371620,0.0346423835,0.0400274098,0.0746668875,0.0747735649,0.1058453694,0.0000000000,0.0000000000,0.0284400154,0.1161801517,0.1207339838,0.0747170001,0.0786066577,0.0000048025,0.0024643973,-0.0203672741,-0.0018158492,-0.0430806503,-0.0000997515,0.0000042960,0.0293863844,-0.0001421588,-0.0000041769
13:48:26:38.164,61,0.0005014979,0.0000000000,0.0477825589,0.0000000000,0.0025932863,0.2353837490,0.2241711020,0.0005060552,0.0000000000,0.0708021745,0.0000000000,0.0024946583,0.2353854179,0.2240264714,0.0911505148,0.0000000000,0.0270738136,0.1615569144,0.0678603947,0.1429623067,0.0542610101,0.0000000000,0.0228026882,0.4017515481,0.4013909400,0.0000000000,0.0000000000,0.0747549087,0.0725354478,0.1825477332,0.1919722259,0.0505871624,0.0641638041,0.0286663920,0.1656334698,0.0366147868,0.0383450277,0.4252764881,0.4200616479,0.0358641222,0.0412402339,0.0757225230,0.0758326277,0.1058944166,0.0000000000,0.0000000000,0.0278333258,0.1296289265,0.1343073249,0.0764232501,0.0802872926,0.0000048480,0.0024643973,-0.0203672741,-0.0018158492,-0.0432505608,-0.0010895190,0.0000471076,0.0291886907,-0.0011320168,-0.0000330374
13:48:26:39.165,61,0.0004615325,0.0004894318,0.0473104827,0.0000000000,0.0000000000,0.2377779186,0.2202986628,0.0004657267,0.0005585143,0.0713622347,0.0000000000,0.0000000000,0.2377796471,0.2200935632,0.0919137001,0.0000000000,0.0271693897,0.1611475199,0.0658347160,0.1335414052,0.0510772020,0.0000000000,0.0223905221,0.4245062768,0.4224425256,0.0000000000,0.0000000000,0.0752041116,0.0730451941,0.1821542084,0.1916166395,0.0501876511,0.0631145686,0.0274873152,0.1657439321,0.0361329243,0.0378581472,0.4519803524,0.4483097196,0.0376707017,0.0430788174,0.0774246976,0.0775522515,0.1059109494,0.0000000000,0.0000000000,0.0271859039,0.1392948925,0.1441446692,0.0799393803,0.0836254954,0.0000041783,0.0024643973,-0.0203672741,-0.0018158492,-0.0435927063,0.0003415014,-0.0000148823,0.0289003327,0.0002991018,0.0000086429
13:48:26:40.167,61,0.0004247521,0.0000000000,0.0459317602,0.0000000000,0.0012179593,0.2396331429,0.2174481302,0.0004286120,0.0000000000,0.0727459416,0.0000000000,0.0011198779,0.2396347672,0.2171837687,0.0947877094,0.0000000000,0.0273120366,0.1610993594,0.0640471056,0.1206819713,0.0481739119,0.0000000000,0.0220460258,0.4377152920,0.4356931150,0.0000000000,0.0000000000,0.0757835284,0.0736915842,0.1819272190,0.1914661974,0.0499077290,0.0623423494,0.0262696519,0.1655329764,0.0356778428,0.0374006927,0.4692682028,0.4657705426,0.0387533829,0.0441531092,0.0791841745,0.0793323591,0.1057472676,0.0000000000,0.0000000000,0.0265432000,0.1433588415,0.1483056396,0.0821491033,0.0855763704,0.0000024619,0.0024643973,-0.0203672741,-0.0018158492,-0.0444379710,-0.0004891217,0.0000217284,0.0280581135,-0.0005316442,-0.0000149150
13:48:26:41.168,61,0.0003909027,0.0000000000,0.0455668755,0.0000000000,0.0017190221,0.2409351468,0.2095344216,0.0003944550,0.0000000000,0.0731076300,0.0000000000,0.0016206673,0.2409366667,0.2092457563,0.0962419957,0.0000000000,0.0274092611,0.1613257527,0.0629576519,0.1162293777,0.0466603599,0.0000000000,0.0215837881,0.4439128935,0.4416223466,0.0000000000,0.0000000000,0.0763040930,0.0742719769,0.1816189140,0.1912257522,0.0496408120,0.0616281070,0.0253650621,0.1653446257,0.0352513306,0.0369663090,0.4761118591,0.4726161659,0.0396691263,0.0450360626,0.0832042769,0.0833475888,0.1053689048,0.0000000000,0.0000000000,0.0259228908,0.1457606852,0.1507225931,0.0836317092,0.0868458524,0.0000019347,0.0024643973,-0.0203672741,-0.0018158492,-0.0446589068,-0.0007078553,0.0000316015,0.0278352164,-0.0007503555,-0.0000208836
13:48:26:42.170,61,0.0003597509,0.0000000000,0.0457288548,0.0000000000,0.0076055527,0.2440606803,0.2068935931,0.0003630201,0.0000000000,0.0728372857,0.0000000000,0.0075033731,0.2440618128,0.2065979242,0.0972664952,0.0000000000,0.0273609515,0.1614739150,0.0620614961,0.1135764122,0.0455533043,0.0000000000,0.0211958755,0.4481002092,0.4459574819,0.0000000000,0.0000000000,0.0768066421,0.0748300925,0.1811948866,0.1908185184,0.0494331010,0.0609506965,0.0245861094,0.1652270257,0.0348806530,0.0365912840,0.4795753062,0.4759861529,0.0404833257,0.0458231159,0.0866440535,0.0867713839,0.1048582792,0.0000000000,0.0000000000,0.0253584962,0.1474253386,0.1523381770,0.0847316012,0.0879224241,0.0000019696,0.0024643973,-0.0203672741,-0.0018158492,-0.0444935299,-0.0032772075,0.0001457670,0.0279340148,-0.0033198430,-0.0000927248
13:48:26:43.171,61,0.0003310817,0.0000000000,0.0469699353,0.0000000000,0.0106015466,0.2455056161,0.2069635987,0.0003340903,0.0000000000,0.0715081990,0.0000000000,0.0104980012,0.2455065399,0.2066935152,0.0980057046,0.0000000000,0.0274048466,0.1617138088,0.0612430349,0.1120127663,0.0446894504,0.0000000000,0.0207477529,0.4504272044,0.4481517375,0.0000000000,0.0000000000,0.0772482753,0.0753163695,0.1805858761,0.1902350038,0.0492531769,0.0602123849,0.0238978080,0.1655447036,0.0345532298,0.0362576544,0.4811037779,0.4772897065,0.0412887484,0.0465906635,0.0887384415,0.0888506770,0.1043152362,0.0000000000,0.0000000000,0.0248267166,0.1484912932,0.1532980800,0.0856482610,0.0888079479,0.0000021394,0.0024643973,-0.0203672741,-0.0018158492,-0.0436814204,-0.0045849909,0.0002002166,0.0286919959,-0.0046277014,-0.0001327607
13:48:26:44.173,61,0.0003046971,0.0000000000,0.0468808301,0.0000000000,0.0099174352,0.2463833839,0.2071856111,0.0003074660,0.0000000000,0.0715858191,0.0000000000,0.0098144356,0.2463841736,0.2069346309,0.0987904221,0.0000000000,0.0272201318,0.1619994044,0.0605096668,0.1109395623,0.0439678915,0.0000000000,0.0203626454,0.4511001408,0.4488204122,0.0000000000,0.0000000000,0.0776808038,0.0757877976,0.1802348793,0.1898383200,0.0491380356,0.0595427863,0.0232883133,0.1660058349,0.0342716649,0.0359706208,0.4817038774,0.4776261151,0.0420135185,0.0473030843,0.0900556818,0.0901613608,0.1037614793,0.0000000000,0.0000000000,0.0243460350,0.1489104480,0.1536982805,0.0863594264,0.0895404145,0.0000021853,0.0024643973,-0.0203672741,-0.0018158492,-0.0437288918,-0.0042864531,0.0001873832,0.0286376011,-0.0043290723,-0.0001239581
13:48:26:45.174,61,0.0002804152,0.0000000000,0.0465876237,0.0000000000,0.0049270256,0.2465748340,0.2055777758,0.0002829634,0.0000000000,0.0719641447,0.0000000000,0.0048270314,0.2465755045,0.2053460181,0.0995275006,0.0000000000,0.0270443205,0.1626134515,0.0598212667,0.1100450307,0.0433217883,0.0000000000,0.0198700894,0.4516520798,0.4491661191,0.0000000000,0.0000000000,0.0781298876,0.0762635544,0.1800153553,0.1895748526,0.0490475520,0.0588639565,0.0226974785,0.1665288955,0.0340016931,0.0356915966,0.4822579920,0.4778509736,0.0427892692,0.0480294004,0.0921808556,0.0922718123,0.1031848937,0.0000000000,0.0000000000,0.0238592830,0.1492716223,0.1540242583,0.0871534646,0.0903091505,0.0000022938,0.0024643973,-0.0203672741,-0.0018158492,-0.0439602919,-0.0021082263,0.0000926485,0.0284586940,-0.0021506906,-0.0000611977
13:48:26:46.176,61,0.0002580683,0.0000000000,0.0441150181,0.0000000000,0.0018375942,0.2468566895,0.2035159320,0.0002604135,0.0000000000,0.0744939595,0.0000000000,0.0017392394,0.2468572855,0.2032767087,0.1020915508,0.0000000000,0.0268695801,0.1641615778,0.0591963865,0.1090374440,0.0427158996,0.0000000000,0.0195311084,0.4522027671,0.4496333599,0.0000000000,0.0000000000,0.0786650032,0.0768336207,0.1802083403,0.1897584647,0.0489815474,0.0582677051,0.0221331902,0.1669947207,0.0337578468,0.0354416519,0.4844592512,0.4793266058,0.0435364284,0.0487498157,0.0952529833,0.0953514427,0.1025454625,0.0000000000,0.0000000000,0.0233994406,0.1495802552,0.1543783695,0.0879116356,0.0910336003,0.0000020285,0.0024643973,-0.0203672741,-0.0018158492,-0.0455057546,-0.0007596728,0.0000345576,0.0269483253,-0.0008020930,-0.0000216124
