Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:48:35:46.768,61,0.0000000000,0.0000000000,0.0264866129,0.0000000000,0.0522402935,0.1832518280,0.1577013731,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0519140847,0.1830962449,0.1574348658,0.0565890931,0.0000000000,0.0075069154,0.0844642892,0.0023070106,0.0551498830,0.0000000000,0.0000000000,0.0000000000,0.4451979399,0.4492837787,0.0000000000,0.0000000000,0.0470707491,0.0478613488,0.1008507982,0.1116423011,0.0000000000,0.0094924681,0.0000000000,0.0951728970,0.0000000000,0.0000000000,0.4532024562,0.4536787570,0.0454203561,0.0503485724,0.1667526364,0.1668198854,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1186797768,0.1212372929,0.0383610353,0.0414186120,0.0000004875,0.0200837832,-0.0408114754,0.0011762641,0.0208254643,-0.0229323693,0.0012506077,0.0161745977,-0.0230195690,-0.0003696018
13:48:35:47.769,61,0.0000000000,0.0000000000,0.0304395296,0.0000000000,0.0601288900,0.1850963533,0.1561508030,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0598024055,0.1849381328,0.1559073776,0.0565917343,0.0000000000,0.0075894161,0.0839380547,0.0020927815,0.0552566648,0.0000000000,0.0000000000,0.0000000000,0.4444914758,0.4486718476,0.0000000000,0.0000000000,0.0470192842,0.0478153527,0.1004211903,0.1104786322,0.0000000000,0.0093438737,0.0000000000,0.0958986804,0.0000000000,0.0000000000,0.4529198110,0.4528047442,0.0456068739,0.0504944511,0.1670756191,0.1671386957,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1187127382,0.1211570948,0.0383421555,0.0413088277,0.0000006414,0.0200837832,-0.0408114754,0.0011762641,0.0233551897,-0.0263758767,0.0013716859,0.0185869522,-0.0264631677,-0.0004887612
13:48:35:48.771,61,0.0000000000,0.0000000000,0.0336582921,0.0000000000,0.0672240928,0.1866255105,0.1556885839,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0668986961,0.1864673942,0.1554612070,0.0562358946,0.0000000000,0.0074627250,0.0827555060,0.0018737741,0.0551715195,0.0000000000,0.0000000000,0.0000000000,0.4596043825,0.4664259851,0.0000000000,0.0000000000,0.0470479056,0.0478610508,0.0994456634,0.1084988937,0.0000000000,0.0091480734,0.0000000000,0.0963328257,0.0000000000,0.0000000000,0.4527157247,0.4522441030,0.0458248705,0.0506649725,0.1683491617,0.1683921367,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1192105860,0.1214951053,0.0384253822,0.0412973911,0.0000008169,0.0200837832,-0.0408114754,0.0011762641,0.0254081637,-0.0294733290,0.0014722401,0.0205506217,-0.0295607038,-0.0006041026
13:48:35:49.772,61,0.0000000000,0.0000000000,0.0361927412,0.0000000000,0.0704788119,0.1876676083,0.1576246321,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0701572448,0.1875103265,0.1574092060,0.0557644032,0.0000000000,0.0073417951,0.0821155235,0.0017319301,0.0551951714,0.0000000000,0.0000000000,0.0000000000,0.4634606540,0.4710168540,0.0000000000,0.0000000000,0.0470108502,0.0478435792,0.0987509266,0.1074358821,0.0000000000,0.0090021146,0.0000000000,0.0963429883,0.0000000000,0.0000000000,0.4525379539,0.4518997073,0.0459100418,0.0507256016,0.1700008810,0.1700395644,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1198736504,0.1219959185,0.0385817699,0.0413840674,0.0000008768,0.0200837832,-0.0408114754,0.0011762641,0.0269542821,-0.0308945794,0.0014956323,0.0220971312,-0.0309821609,-0.0006809637
13:48:35:50.774,61,0.0000000000,0.0000000000,0.0369745046,0.0000000000,0.0692124963,0.1880978942,0.1639645994,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0688942075,0.1879413426,0.1637722552,0.0555194467,0.0000000000,0.0073627857,0.0820014253,0.0017445837,0.0554225184,0.0000000000,0.0000000000,0.0000000000,0.4653431475,0.4732163548,0.0000000000,0.0000000000,0.0469829254,0.0478085317,0.0981079265,0.1065738946,0.0000000000,0.0089273928,0.0000000000,0.0963059366,0.0000000000,0.0000000000,0.4523528516,0.4516027868,0.0459826626,0.0507765897,0.1707740128,0.1708100289,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1214569286,0.1226666868,0.0388316810,0.0415556841,0.0000006834,0.0200837832,-0.0408114754,0.0011762641,0.0273923613,-0.0303421970,0.0014558209,0.0225748047,-0.0304298177,-0.0006831585
13:48:35:51.776,61,0.0000000000,0.0000000000,0.0393353179,0.0000000000,0.0750594065,0.1887142807,0.1788288057,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0747433081,0.1885585040,0.1786483526,0.0556116700,0.0000000000,0.0073776906,0.0822049081,0.0019033499,0.0558180287,0.0000000000,0.0000000000,0.0000000000,0.4650612175,0.4739188850,0.0000000000,0.0000000000,0.0470173210,0.0478300899,0.0975368544,0.1058537439,0.0000000000,0.0090269679,0.0000000000,0.0960930660,0.0000000000,0.0000000000,0.4520629048,0.4513182044,0.0459315516,0.0507295951,0.1711191982,0.1711555868,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1223200634,0.1232398301,0.0389616266,0.0416365862,0.0000007486,0.0194349661,-0.0399219505,0.0007488406,0.0288771316,-0.0328949839,0.0015293807,0.0240142699,-0.0329827666,-0.0007880955
13:48:35:52.777,61,0.0000000000,0.0000000000,0.0406956300,0.0000000000,0.0752219707,0.1891631782,0.1830068976,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0749105141,0.1890090853,0.1828300208,0.0554666854,0.0000000000,0.0073001939,0.0818217173,0.0019576184,0.0562058166,0.0000000000,0.0000000000,0.0000000000,0.4648898542,0.4739655256,0.0000000000,0.0000000000,0.0470929444,0.0478975624,0.0968378261,0.1050147787,0.0000000000,0.0090975398,0.0000000000,0.0961997211,0.0000000000,0.0000000000,0.4501578510,0.4484874904,0.0460018478,0.0507807173,0.1716027260,0.1716393679,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1229747236,0.1237295642,0.0391406640,0.0417585075,0.0000007691,0.0182814132,-0.0403389446,-0.0001047328,0.0297256075,-0.0329667479,0.0015049614,0.0248446837,-0.0330543853,-0.0008170853
13:48:35:53.779,61,0.0000000000,0.0000000000,0.0423750766,0.0000000000,0.0743766651,0.1896197349,0.1838690341,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0740709454,0.1894671172,0.1836896241,0.0550328940,0.0000000000,0.0071821995,0.0808409229,0.0018848208,0.0562216565,0.0000000000,0.0000000000,0.0000000000,0.4672427177,0.4754180312,0.0000000000,0.0000000000,0.0471928678,0.0480042584,0.0956963971,0.1036248654,0.0000000000,0.0090191718,0.0000000000,0.0966155231,0.0000000000,0.0000000000,0.4491365254,0.4469393492,0.0462160818,0.0509731919,0.1722025126,0.1722388417,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1240624413,0.1246316433,0.0394155085,0.0419920757,0.0000007464,0.0186929666,-0.0404409729,-0.0005240352,0.0307313912,-0.0325985700,0.0014557072,0.0258703027,-0.0326862819,-0.0008412144
13:48:35:54.780,61,0.0000000000,0.0000000000,0.0433449037,0.0000000000,0.0685461387,0.1778321862,0.1603163630,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0682688355,0.1776952446,0.1601378024,0.0544040799,0.0000000000,0.0070248735,0.0789937824,0.0016592299,0.0560347959,0.0000000000,0.0000000000,0.0000000000,0.4677394331,0.4755842388,0.0000000000,0.0000000000,0.0472139977,0.0480350740,0.0937620252,0.1010384858,0.0000000000,0.0088435905,0.0000000000,0.0968995467,0.0000000000,0.0000000000,0.4484794438,0.4459072053,0.0464161187,0.0511587262,0.1621632576,0.1621762812,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1241798252,0.1246490330,0.0395066105,0.0420516059,0.0000012160,0.0204367656,-0.0395934321,-0.0005751026,0.0310125872,-0.0300640501,0.0013346678,0.0264644902,-0.0301418491,-0.0007930188
13:48:35:55.782,61,0.0000000000,0.0000000000,0.0429835394,0.0000000000,0.0580180883,0.1546566188,0.1243980825,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0577683747,0.1545409858,0.1242036819,0.0538845435,0.0000000000,0.0069896840,0.0782824010,0.0013630320,0.0558734722,0.0000000000,0.0000000000,0.0000000000,0.4656309485,0.4732569456,0.0000000000,0.0000000000,0.0470950902,0.0478928499,0.0923320800,0.0987970009,0.0000000000,0.0086154770,0.0000000000,0.0970691741,0.0000000000,0.0000000000,0.4485239983,0.4457097948,0.0466077700,0.0513923950,0.1297625750,0.1297898889,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1239339709,0.1243766248,0.0395352505,0.0420827866,0.0000015745,0.0220148005,-0.0394881889,-0.0004598924,0.0304386131,-0.0254785363,0.0011466412,0.0262471903,-0.0255463589,-0.0006656568
