Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:48:35:46.768,61,0.0000084859,0.0000000000,0.0265433565,0.0000000000,0.0522402935,0.3343552649,0.2585202456,0.0000083911,0.0000000000,0.0889593214,0.0000000000,0.0519140847,0.3343696892,0.2582854033,0.1146482825,0.0000000000,0.0088028209,0.1224260330,0.0448070206,0.0898965970,0.0315545686,0.0000000000,0.0220386460,0.4451979399,0.4492837787,0.0000000000,0.0000000000,0.0740143657,0.0743607357,0.1656724364,0.1749437749,0.0509529226,0.0453504995,0.0218410138,0.2052322626,0.0391228758,0.0409582779,0.4705501497,0.4714151919,0.0558094084,0.0624365211,0.1922096908,0.1923635453,0.0706803575,0.0000000000,0.0000000000,0.0249997918,0.1636095941,0.1736643910,0.1013388708,0.1057465747,0.0000006294,-0.0046908618,-0.0372523777,0.0052598780,-0.0543282069,-0.0226852670,0.0012320544,0.0162102040,-0.0227971245,-0.0003695939
13:48:35:47.769,61,0.0000078097,0.0000000000,0.0304960422,0.0000000000,0.0601288900,0.3358585536,0.2571552694,0.0000077224,0.0000000000,0.0848241523,0.0000000000,0.0598024055,0.3358705044,0.2569407523,0.1146507636,0.0000000000,0.0088852141,0.1219216213,0.0446019173,0.0899994522,0.0314892083,0.0000000000,0.0218988433,0.4444914758,0.4486718476,0.0000000000,0.0000000000,0.0739643574,0.0743160173,0.1652738005,0.1738630235,0.0508397073,0.0452072844,0.0218670759,0.2058697641,0.0392242670,0.0410566218,0.4702764750,0.4705695510,0.0559938960,0.0625805408,0.1925228089,0.1926725805,0.0704089031,0.0000000000,0.0000000000,0.0250761863,0.1636408716,0.1735889763,0.1013212278,0.1056441590,0.0000007832,-0.0046908618,-0.0372523777,0.0052598780,-0.0517984815,-0.0261287745,0.0013531327,0.0186225586,-0.0262407232,-0.0004887533
13:48:35:48.771,61,0.0000071873,0.0000000000,0.0337146148,0.0000000000,0.0672240928,0.3371047974,0.2567483783,0.0000071070,0.0000000000,0.0814692304,0.0000000000,0.0668986961,0.3371165693,0.2565479875,0.1143168211,0.0000000000,0.0087586883,0.1207881048,0.0443922393,0.0899174362,0.0313722156,0.0000000000,0.0217293482,0.4596043825,0.4664259851,0.0000000000,0.0000000000,0.0739921704,0.0743604451,0.1643685997,0.1720243543,0.0506848171,0.0450185724,0.0219162516,0.2062510997,0.0393124223,0.0411341935,0.4700788558,0.4700271189,0.0562095195,0.0627488941,0.1937574297,0.1938875914,0.0700837448,0.0000000000,0.0000000000,0.0251226425,0.1641133428,0.1739068180,0.1013990045,0.1056334898,0.0000009587,-0.0046908618,-0.0372523777,0.0052598780,-0.0497455075,-0.0292262267,0.0014536869,0.0205862280,-0.0293382592,-0.0006040947
13:48:35:49.772,61,0.0000066145,0.0000000000,0.0362489186,0.0000000000,0.0704788119,0.3379541039,0.2584526837,0.0000065406,0.0000000000,0.0789404809,0.0000000000,0.0701572448,0.3379663825,0.2582628131,0.1138743460,0.0000000000,0.0086379163,0.1201746613,0.0442564376,0.0899402201,0.0312612578,0.0000000000,0.0216564890,0.4634606540,0.4710168540,0.0000000000,0.0000000000,0.0739561617,0.0743434578,0.1637239456,0.1710370928,0.0505085140,0.0448778979,0.0219118744,0.2062600255,0.0393250249,0.0411313921,0.4699067473,0.4696938992,0.0562937632,0.0628087521,0.1953586936,0.1954845190,0.0698333606,0.0000000000,0.0000000000,0.0251294058,0.1647426039,0.1743777543,0.1015451476,0.1057143509,0.0000010187,-0.0046908618,-0.0372523777,0.0052598780,-0.0481993891,-0.0306474771,0.0014770791,0.0221327376,-0.0307597164,-0.0006809558
13:48:35:50.774,61,0.0000060874,0.0000000000,0.0370306335,0.0000000000,0.0692124963,0.3383047879,0.2640337944,0.0000060194,0.0000000000,0.0782216862,0.0000000000,0.0688942075,0.3383175731,0.2638642490,0.1136444658,0.0000000000,0.0086588794,0.1200652942,0.0442685522,0.0901592076,0.0312216729,0.0000000000,0.0215518232,0.4653431475,0.4732163548,0.0000000000,0.0000000000,0.0739290267,0.0743093863,0.1631273031,0.1702365279,0.0503755771,0.0448058806,0.0218930915,0.2062274814,0.0393036939,0.0410929993,0.4697275162,0.4694066346,0.0563655943,0.0628590882,0.1961082071,0.1962313503,0.0696316883,0.0000000000,0.0000000000,0.0250975471,0.1662451625,0.1750085056,0.1017786935,0.1058744490,0.0000008252,-0.0046908618,-0.0372523777,0.0052598780,-0.0477613099,-0.0300950948,0.0014372676,0.0226104110,-0.0302073732,-0.0006831505
13:48:35:51.776,61,0.0000056023,0.0000000000,0.0393913090,0.0000000000,0.0750594065,0.3388071358,0.2771188319,0.0000055397,0.0000000000,0.0757960454,0.0000000000,0.0747433081,0.3388204575,0.2769597471,0.1137310117,0.0000000000,0.0086737648,0.1202603355,0.0444205552,0.0905401707,0.0312677436,0.0000000000,0.0215943232,0.4650612175,0.4739188850,0.0000000000,0.0000000000,0.0739624500,0.0743303448,0.1625974029,0.1695676893,0.0503170229,0.0449018516,0.0218938962,0.2060405016,0.0393105596,0.0410920233,0.4694467485,0.4691312909,0.0563150421,0.0628126934,0.1964428425,0.1965663135,0.0695108995,0.0000000000,0.0000000000,0.0251145829,0.1670642942,0.1755474508,0.1019001305,0.1059499234,0.0000008905,-0.0053396793,-0.0363628529,0.0048324545,-0.0462765396,-0.0326478817,0.0015108275,0.0240498763,-0.0327603221,-0.0007880875
13:48:35:52.777,61,0.0000051558,0.0000000000,0.0407515429,0.0000000000,0.0752219707,0.3391729891,0.2807968259,0.0000050982,0.0000000000,0.0744065121,0.0000000000,0.0749105141,0.3391875923,0.2806409001,0.1135949492,0.0000000000,0.0085963691,0.1198930368,0.0444725119,0.0909136981,0.0313309878,0.0000000000,0.0214713309,0.4648898542,0.4739655256,0.0000000000,0.0000000000,0.0740359351,0.0743959397,0.1619487703,0.1687885076,0.0502817817,0.0449698679,0.0220195036,0.2061341852,0.0394230820,0.0411953554,0.4676021338,0.4663924575,0.0563845709,0.0628631637,0.1969116032,0.1970352679,0.0693274736,0.0000000000,0.0000000000,0.0252172854,0.1676855832,0.1760079712,0.1020674407,0.1060636640,0.0000009109,-0.0064932308,-0.0367798470,0.0039788811,-0.0454280637,-0.0327196456,0.0014864082,0.0248802900,-0.0328319408,-0.0008170774
13:48:35:53.779,61,0.0000047450,0.0000000000,0.0424308926,0.0000000000,0.0743766651,0.3395450711,0.2815557718,0.0000046919,0.0000000000,0.0727582797,0.0000000000,0.0740709454,0.3395608068,0.2813976109,0.1131878570,0.0000000000,0.0084785288,0.1189529076,0.0444028154,0.0909289569,0.0313183591,0.0000000000,0.0213336609,0.4672427177,0.4754180312,0.0000000000,0.0000000000,0.0741330311,0.0744996667,0.1608896255,0.1674976349,0.0502639823,0.0448943377,0.0221750587,0.2064994127,0.0395569131,0.0413166173,0.4666132331,0.4648945928,0.0565964729,0.0630531907,0.1974930614,0.1976163685,0.0691622794,0.0000000000,0.0000000000,0.0252851937,0.1687178463,0.1768562347,0.1023242846,0.1062815562,0.0000008882,-0.0060816789,-0.0368818752,0.0035595787,-0.0444222800,-0.0323514678,0.0014371540,0.0259059090,-0.0324638374,-0.0008412065
13:48:35:54.780,61,0.0000043668,0.0000000000,0.0434006639,0.0000000000,0.0685461387,0.3299382925,0.2608222365,0.0000043180,0.0000000000,0.0722920299,0.0000000000,0.0682688355,0.3299688399,0.2606648207,0.1125977412,0.0000000000,0.0083214082,0.1171823591,0.0441868342,0.0907489657,0.0312166326,0.0000000000,0.0210309196,0.4677394331,0.4755842388,0.0000000000,0.0000000000,0.0741535649,0.0745296255,0.1590947062,0.1650955528,0.0502264164,0.0447251126,0.0222746786,0.2067488879,0.0396577492,0.0414072908,0.4659769833,0.4638959467,0.0567943342,0.0632363632,0.1877605170,0.1878623068,0.0694209263,0.0000000000,0.0000000000,0.0253202189,0.1688292474,0.1768725812,0.1024094224,0.1063370928,0.0000013578,-0.0043378794,-0.0360343345,0.0035085112,-0.0441410840,-0.0298169479,0.0013161146,0.0265000965,-0.0299194045,-0.0007930109
13:48:35:55.782,61,0.0000040188,0.0000000000,0.0430393182,0.0000000000,0.0580180883,0.3110503554,0.2292031795,0.0000039739,0.0000000000,0.0732228160,0.0000000000,0.0577683747,0.3111022711,0.2290318161,0.1121101752,0.0000000000,0.0082862647,0.1165004745,0.0439032540,0.0905935764,0.0310555995,0.0000000000,0.0207835007,0.4656309485,0.4732569456,0.0000000000,0.0000000000,0.0740380213,0.0743913576,0.1577678472,0.1630137861,0.0501647666,0.0445052572,0.0222044140,0.2068978846,0.0396957844,0.0414534584,0.4660201371,0.4637049437,0.0569838993,0.0634670556,0.1563497335,0.1564688087,0.0715000331,0.0000000000,0.0000000000,0.0252715945,0.1685959250,0.1766164303,0.1024361849,0.1063661799,0.0000017163,-0.0027598445,-0.0359290913,0.0036237214,-0.0447150581,-0.0252314340,0.0011280880,0.0262827966,-0.0253239144,-0.0006656488
