Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:12:16.547,61,0.0000000000,0.1029391512,0.0276056156,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1027860269,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0030612214,0.0047160778,0.0000000000,0.0056388360,0.0043532979,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0152592016,0.0331669822,0.0000000000,0.0000000000,0.0222365316,0.0205250662,0.0139336325,0.0084932186,0.0000000000,0.0026645768,0.0236010831,0.0075366409,0.0225589518,0.0226525441,0.0292612612,0.0305147916,0.0091345599,0.0107390424,0.6315879822,0.6315557361,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0022557396,0.0010218581,0.0444277376,0.0438942835,0.0000000000,0.0068945568,0.0708827004,-0.0019560731,0.0184621811,0.0628639087,-0.0035621286,0.0168287139,0.0628680438,0.0010653333
13:45:12:17.549,61,0.0000000000,0.1028331518,0.0275713634,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1026800275,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0029007152,0.0047444631,0.0000000000,0.0056773466,0.0044174534,0.0015286054,0.0000000000,0.0000000000,0.0000000000,0.0111229056,0.0274739508,0.0000000000,0.0000000000,0.0215115454,0.0199027490,0.0134657407,0.0081609944,0.0000000000,0.0023148982,0.0246056449,0.0091755297,0.0231152363,0.0231923722,0.0289740488,0.0303627923,0.0092026107,0.0108130202,0.6621390581,0.6621062160,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028110829,0.0016336783,0.0500292964,0.0487981625,0.0000000000,0.0065616332,0.0678097084,-0.0026860500,0.0184549578,0.0627991110,-0.0035588967,0.0168079045,0.0628032908,0.0010629237
13:45:12:18.550,61,0.0000000000,0.1018992215,0.0266191717,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1017433256,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0026897874,0.0047846860,0.0000000000,0.0056632739,0.0043845624,0.0030023113,0.0000000000,0.0000000000,0.0000000000,0.0084034326,0.0242590886,0.0000000000,0.0000000000,0.0209135488,0.0193656832,0.0131113138,0.0079172868,0.0000000000,0.0019527737,0.0273050033,0.0137212649,0.0239776038,0.0240281262,0.0287147425,0.0302499607,0.0093003782,0.0109252771,0.6796221137,0.6795912385,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0033106538,0.0021991949,0.0538836941,0.0522645824,0.0000000000,0.0065616332,0.0678097084,-0.0026860500,0.0178789720,0.0622282736,-0.0035623941,0.0162280146,0.0622322932,0.0010170098
13:45:12:19.552,61,0.0000000000,0.1021807268,0.0252972040,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1020182073,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0025758762,0.0045315553,0.0000000000,0.0056830090,0.0043233410,0.0040884265,0.0018682607,0.0000000000,0.0000000000,0.0067322273,0.0225151610,0.0000000000,0.0000000000,0.0205206648,0.0190020669,0.0128000760,0.0077428119,0.0000000000,0.0016841062,0.0311088488,0.0187810455,0.0279305819,0.0283033494,0.0285698846,0.0302576069,0.0094334083,0.0110786585,0.6912037134,0.6911745667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0038334513,0.0027643866,0.0568336546,0.0550263897,0.0000000000,0.0065616332,0.0678097084,-0.0026860500,0.0170818679,0.0623992942,-0.0036221391,0.0154219279,0.0624034330,0.0009692622
13:45:12:20.553,61,0.0000000000,0.1025010794,0.0249920618,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1023368165,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0024688165,0.0042332937,0.0000000000,0.0057979818,0.0043157884,0.0051756743,0.0034339486,0.0000000000,0.0000000000,0.0058378791,0.0218807943,0.0000000000,0.0000000000,0.0201814380,0.0186913237,0.0126445945,0.0077321022,0.0000000000,0.0014138347,0.0326088592,0.0216143169,0.0293260291,0.0297680218,0.0285915080,0.0304594189,0.0096021025,0.0112788407,0.7012950778,0.7012670040,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0044361665,0.0034214724,0.0595201254,0.0577288494,0.0000000000,0.0065616332,0.0678097084,-0.0026860500,0.0169150494,0.0625947788,-0.0036440087,0.0152357155,0.0625988841,0.0009605833
13:45:12:21.555,61,0.0000000000,0.1014984325,0.0247907508,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1013349071,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0023984516,0.0039666146,0.0000000000,0.0058622593,0.0042913952,0.0060697710,0.0055487771,0.0000000000,0.0000000000,0.0033423228,0.0184274167,0.0000000000,0.0000000000,0.0198214781,0.0183452759,0.0124770040,0.0076926970,0.0000000000,0.0011323851,0.0347301140,0.0243542287,0.0304115899,0.0308772866,0.0284767561,0.0304800142,0.0097524952,0.0114436159,0.7071304321,0.7071020603,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0049815075,0.0039999755,0.0609881505,0.0591464601,0.0000000000,0.0065616332,0.0678097084,-0.0026860500,0.0168021098,0.0619823597,-0.0036152487,0.0151135717,0.0619864427,0.0009435869
13:45:12:22.556,61,0.0000000000,0.0986410081,0.0249589998,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0984830260,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0021915012,0.0038585444,0.0000000000,0.0058444208,0.0042621540,0.0067959474,0.0103667192,0.0000000000,0.0000000000,0.0000000000,0.0118898628,0.0000000000,0.0000000000,0.0191900805,0.0177345574,0.0120122032,0.0073392224,0.0000000000,0.0007480085,0.0359101892,0.0257422104,0.0308574289,0.0312944762,0.0281210411,0.0302070789,0.0098108705,0.0114921844,0.7126582265,0.7126288414,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0053676618,0.0043968526,0.0620527864,0.0601580031,0.0000000000,0.0065616332,0.0678097084,-0.0026860500,0.0169132985,0.0602375828,-0.0035063911,0.0152177773,0.0602414720,0.0009233608
13:45:12:23.558,61,0.0000000000,0.0981793106,0.0250048731,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0980221033,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0018708301,0.0037136730,0.0000000000,0.0058419607,0.0042966171,0.0074993060,0.0184419248,0.0000000000,0.0000000000,0.0000000000,0.0054271398,0.0000000000,0.0000000000,0.0177749600,0.0164607093,0.0108616091,0.0067081787,0.0000000000,0.0002901310,0.0365856774,0.0265215505,0.0308729429,0.0312503800,0.0276781954,0.0298304446,0.0098432945,0.0115038585,0.7152448297,0.7152150869,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0055575809,0.0045788265,0.0630278587,0.0610514507,0.0000000000,0.0065616332,0.0678097084,-0.0026860500,0.0169166699,0.0599556342,-0.0034897171,0.0152460076,0.0599595383,0.0009207456
13:45:12:24.559,61,0.0000000000,0.0978410020,0.0251114871,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0976847485,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0015474755,0.0036675131,0.0000000000,0.0058105425,0.0043125157,0.0081574880,0.0264082830,0.0000000000,0.0000000000,0.0000000000,0.0022347467,0.0000000000,0.0000000000,0.0168598741,0.0155930584,0.0095452061,0.0057999352,0.0000000000,0.0000000000,0.0394186638,0.0277227350,0.0312056448,0.0315198489,0.0271894559,0.0294052213,0.0098798880,0.0115306890,0.7190089822,0.7189790010,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0057856939,0.0048330612,0.0650208145,0.0628349781,0.0000000000,0.0065616332,0.0678097084,-0.0026860500,0.0169713646,0.0597491078,-0.0034743727,0.0153112030,0.0597529821,0.0009214922
13:45:12:25.561,61,0.0000000000,0.0975671038,0.0250459164,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0974110365,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011279061,0.0036738068,0.0000000000,0.0056713535,0.0042997962,0.0087366020,0.0389953889,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0156184463,0.0144504821,0.0070576612,0.0036895303,0.0000000000,0.0000000000,0.0474409834,0.0289894361,0.0317314081,0.0319948196,0.0265269484,0.0287985355,0.0098666819,0.0115024820,0.7263933420,0.7263635993,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0059794011,0.0050624325,0.0688968748,0.0661289468,0.0000000000,0.0065616332,0.0678097084,-0.0026860500,0.0169166550,0.0595818795,-0.0034678853,0.0152713759,0.0595856719,0.0009165310
