Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:12:16.547,61,0.0000014261,0.1032658145,0.0276622940,0.0000000000,0.0000000000,0.1233695000,0.0700106397,0.0000014244,0.1031479463,0.0929899663,0.0000000000,0.0000000000,0.1233905479,0.0700055212,0.0644146129,0.0047160778,0.0000000000,0.0468689986,0.0467661396,0.0364149734,0.0810923427,0.0000000000,0.0135593638,0.0152592016,0.0331669822,0.0000000000,0.0000000000,0.0498823263,0.0477852598,0.0850213170,0.0791447610,0.0818426237,0.0387697890,0.1416840106,0.1282557100,0.0729760900,0.0759831145,0.0600589216,0.0619893447,0.0199185237,0.0233311709,0.6428435445,0.6428515315,0.0736804977,0.0000000000,0.0000000000,0.0342158489,0.0531208627,0.0606210232,0.1070082635,0.1080561131,0.0000000018,-0.0178800877,0.0744417980,0.0021275408,-0.0566914901,0.0631110147,-0.0035806820,0.0168643203,0.0630904883,0.0010653412
13:45:12:17.549,61,0.0000013125,0.1031598523,0.0276280437,0.0000000000,0.0000000000,0.1269732565,0.0695742592,0.0000013109,0.1030419841,0.0930014253,0.0000000000,0.0000000000,0.1269939393,0.0695686489,0.0642639846,0.0047444631,0.0000000000,0.0469059125,0.0468275622,0.0382472314,0.0860048980,0.0000000000,0.0137379318,0.0111229056,0.0274739508,0.0000000000,0.0000000000,0.0491778404,0.0471802615,0.0845871568,0.0788362101,0.0818804428,0.0384327695,0.1425670832,0.1296952516,0.0735036805,0.0764934868,0.0597808212,0.0618422814,0.0199858341,0.0234042071,0.6724612713,0.6724653840,0.0739541873,0.0000000000,0.0000000000,0.0347662680,0.0536478944,0.0611963421,0.1122429743,0.1126309037,0.0000000016,-0.0182130113,0.0713688061,0.0013975638,-0.0566987135,0.0630462170,-0.0035774501,0.0168435108,0.0630257353,0.0010629316
13:45:12:18.550,61,0.0000012079,0.1022262648,0.0266759079,0.0000000000,0.0000000000,0.1293479949,0.0693111941,0.0000012065,0.1021056622,0.0939428285,0.0000000000,0.0000000000,0.1293680370,0.0693052784,0.0640660375,0.0047846860,0.0000000000,0.0468924232,0.0467960723,0.0396667421,0.0901339501,0.0000000000,0.0140185375,0.0084034326,0.0242590886,0.0000000000,0.0000000000,0.0485967509,0.0466581434,0.0842582807,0.0786098689,0.0818897262,0.0380837545,0.1449399889,0.1336880624,0.0743215680,0.0772836357,0.0595297404,0.0617331117,0.0200825371,0.0235150345,0.6894101501,0.6894143224,0.0742148012,0.0000000000,0.0000000000,0.0354008526,0.0541219972,0.0617281199,0.1158449501,0.1158647016,0.0000000017,-0.0182130113,0.0713688061,0.0013975638,-0.0572746992,0.0624753758,-0.0035809474,0.0162636209,0.0624547377,0.0010170178
13:45:12:19.552,61,0.0000011116,0.1025076658,0.0253540166,0.0000000000,0.0000000000,0.1316607594,0.0681485012,0.0000011103,0.1023804322,0.0952512622,0.0000000000,0.0000000000,0.1316777766,0.0681421086,0.0639591366,0.0045315553,0.0000000000,0.0469113402,0.0467374586,0.0407129154,0.0926748067,0.0000000000,0.0143764336,0.0067322273,0.0225151610,0.0000000000,0.0000000000,0.0482149757,0.0463046469,0.0839694813,0.0784478262,0.0819562078,0.0378248133,0.1482838094,0.1381323934,0.0780706480,0.0813255757,0.0593894795,0.0617405102,0.0202141199,0.0236664638,0.7006379366,0.7006425261,0.0741202235,0.0000000000,0.0000000000,0.0360245742,0.0546181425,0.0622595921,0.1186017171,0.1184411719,0.0000000013,-0.0182130113,0.0713688061,0.0013975638,-0.0580718033,0.0626463965,-0.0036406924,0.0154575333,0.0626258776,0.0009692701
13:45:12:20.553,61,0.0000010230,0.1028279066,0.0250488929,0.0000000000,0.0000000000,0.1339727193,0.0658095703,0.0000010218,0.1026989147,0.0955260396,0.0000000000,0.0000000000,0.1339869201,0.0658029839,0.0638586655,0.0042332937,0.0000000000,0.0470215455,0.0467302278,0.0417601801,0.0940980539,0.0000000000,0.0148293935,0.0058378791,0.0218807943,0.0000000000,0.0000000000,0.0478853397,0.0460025519,0.0838252082,0.0784378797,0.0819390789,0.0375643261,0.1496024132,0.1406210363,0.0793941170,0.0827103257,0.0594104156,0.0619357713,0.0203809775,0.0238640979,0.7104209661,0.7104255557,0.0742634758,0.0000000000,0.0000000000,0.0364571847,0.0551901311,0.0628774762,0.1211122498,0.1209622771,0.0000000032,-0.0182130113,0.0713688061,0.0013975638,-0.0582386218,0.0628418848,-0.0036625620,0.0152713209,0.0628213286,0.0009605912
13:45:12:21.555,61,0.0000009415,0.1018256247,0.0248475932,0.0000000000,0.0000000000,0.1365106851,0.0646588504,0.0000009404,0.1016974077,0.0957076401,0.0000000000,0.0000000000,0.1365233809,0.0646524057,0.0637926310,0.0039666146,0.0000000000,0.0470831580,0.0467068739,0.0426213965,0.0960204825,0.0000000000,0.0151115796,0.0033423228,0.0184274167,0.0000000000,0.0000000000,0.0475355573,0.0456661358,0.0836696997,0.0784012824,0.0819926113,0.0372930653,0.1514671296,0.1430276781,0.0804236829,0.0837590620,0.0592993051,0.0619556978,0.0205297340,0.0240267757,0.7160780430,0.7160817385,0.0743788183,0.0000000000,0.0000000000,0.0369386040,0.0557076707,0.0634214655,0.1224841326,0.1222847551,0.0000000040,-0.0182130113,0.0713688061,0.0013975638,-0.0583515614,0.0622294620,-0.0036338021,0.0151491771,0.0622088872,0.0009435948
13:45:12:22.556,61,0.0000008665,0.0989692360,0.0250158329,0.0000000000,0.0000000000,0.1405925155,0.0649555475,0.0000008655,0.0988466814,0.0955150500,0.0000000000,0.0000000000,0.1406063586,0.0649501234,0.0635984167,0.0038585444,0.0000000000,0.0470660590,0.0466788784,0.0433208682,0.1004001051,0.0000000000,0.0151858479,0.0000000000,0.0118898628,0.0091994256,0.0000000000,0.0469220132,0.0450724140,0.0832384080,0.0780729949,0.0819896683,0.0369226038,0.1525044888,0.1442468315,0.0808465257,0.0841534883,0.0589548759,0.0616916232,0.0205874741,0.0240747258,0.7214369774,0.7214390635,0.0742447600,0.0000000000,0.0000000000,0.0374160074,0.0560741387,0.0637946650,0.1234790459,0.1232284158,0.0000000045,-0.0182130113,0.0713688061,0.0013975638,-0.0582403727,0.0604846850,-0.0035249444,0.0152533827,0.0604639165,0.0009233687
13:45:12:23.558,61,0.0000007974,0.0985077098,0.0250617024,0.0000000000,0.0000000000,0.1421917975,0.0651108995,0.0000007965,0.0983859375,0.0955078900,0.0000000000,0.0000000000,0.1422055215,0.0651059225,0.0632974803,0.0037136730,0.0000000000,0.0470637009,0.0467118733,0.0439983606,0.1077406555,0.0000000000,0.0152065689,0.0000000000,0.0054271398,0.0157302022,0.0000000000,0.0455469042,0.0438340195,0.0821707621,0.0774869174,0.0819035918,0.0364813022,0.1530982852,0.1449313760,0.0808612406,0.0841117948,0.0585260801,0.0613272153,0.0206195451,0.0240862519,0.7239445448,0.7239460349,0.0737715885,0.0000000000,0.0000000000,0.0379466899,0.0562543757,0.0639657825,0.1243902594,0.1240619048,0.0000000057,-0.0182130113,0.0713688061,0.0013975638,-0.0582370013,0.0602027364,-0.0035082705,0.0152816130,0.0601819828,0.0009207535
13:45:12:24.559,61,0.0000007339,0.0981695205,0.0251683109,0.0000000000,0.0000000000,0.1433950216,0.0651018396,0.0000007330,0.0980487242,0.0954170227,0.0000000000,0.0000000000,0.1434087157,0.0650972128,0.0629940256,0.0036675131,0.0000000000,0.0470335856,0.0467270948,0.0446323380,0.1149822623,0.0000000000,0.0152756609,0.0000000000,0.0022347467,0.0193882994,0.0000000000,0.0446576923,0.0429905169,0.0809492618,0.0766433924,0.0819525197,0.0360672325,0.1555886567,0.1459864527,0.0811767802,0.0843665600,0.0580528453,0.0609157979,0.0206557401,0.0241127405,0.7275937200,0.7275945544,0.0731931105,0.0000000000,0.0000000000,0.0388274007,0.0564708598,0.0642048493,0.1262526959,0.1257257462,0.0000000077,-0.0182130113,0.0713688061,0.0013975638,-0.0581823066,0.0599962100,-0.0034929260,0.0153468084,0.0599754266,0.0009215001
13:45:12:25.561,61,0.0000006754,0.0978957266,0.0251027439,0.0000000000,0.0000000000,0.1444956511,0.0651744977,0.0000006746,0.0977751240,0.0955057740,0.0000000000,0.0000000000,0.1445087492,0.0651701987,0.0626002774,0.0036738068,0.0000000000,0.0469001681,0.0467149168,0.0451901555,0.1264242381,0.0000000000,0.0153617729,0.0000000000,0.0000000000,0.0240945257,0.0023572138,0.0434513651,0.0418797396,0.0786410496,0.0746833682,0.0821089819,0.0356281772,0.1626407802,0.1470990777,0.0816754252,0.0848156139,0.0574113578,0.0603288077,0.0206426773,0.0240848921,0.7347524762,0.7347527742,0.0721270293,0.0000000000,0.0000000000,0.0414133072,0.0566546917,0.0644205362,0.1298749149,0.1287986636,0.0000000084,-0.0182130113,0.0713688061,0.0013975638,-0.0582370162,0.0598289818,-0.0034864387,0.0153069813,0.0598081164,0.0009165389
