Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:48:44:16.218,61,0.0000000000,0.0000000000,0.0188329071,0.0000000000,0.1815379709,0.1477104425,0.4025750160,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1810858101,0.1477814764,0.4025617540,0.2170353383,0.0000000000,0.0092129270,0.0000000000,0.0000000000,0.0120320246,0.1056659073,0.0000000000,0.0129269650,0.0000000000,0.0000000000,0.6467015147,0.6294601560,0.0000000000,0.0000000000,0.0722055286,0.0786336958,0.1148595512,0.0000000000,0.5919237137,0.5657969117,0.0755244121,0.0760650113,0.0000000000,0.0000000000,0.0239943694,0.0299651064,0.6491183043,0.6491003036,0.0000000000,0.0000000000,0.0000000000,0.0015096680,0.0580817014,0.0711073056,0.0846592858,0.0855163261,0.0000126772,0.0103297597,-0.0296124816,-0.0104951216,0.0152923651,-0.0794027746,0.0047639655,0.0114675136,-0.0794385672,-0.0009131311
13:48:44:17.220,61,0.0000000000,0.0000000000,0.0181337167,0.0000000000,0.1780324429,0.1479692310,0.4203018844,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1775813699,0.1480357796,0.4202870131,0.2162352204,0.0000000000,0.0089946995,0.0000000000,0.0000000000,0.0121810827,0.1055999771,0.0000000000,0.0129413111,0.0000000000,0.0000000000,0.6131777763,0.5978862047,0.0000000000,0.0000000000,0.0722268894,0.0784668177,0.1127259508,0.0000000000,0.5798808932,0.5547114611,0.0758236870,0.0763881430,0.0000000000,0.0000000000,0.0238473471,0.0297956653,0.6536054611,0.6535874605,0.0000000000,0.0000000000,0.0000000000,0.0063889371,0.0578259863,0.0707079247,0.0849767104,0.0858228803,0.0000102602,0.0103297597,-0.0296124816,-0.0104951216,0.0148830339,-0.0778728276,0.0047036530,0.0110430997,-0.0779085308,-0.0008623870
13:48:44:18.221,61,0.0000000000,0.0000000000,0.0179587509,0.0000000000,0.1705899835,0.1478924304,0.4277455509,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1701509506,0.1479533762,0.4277296960,0.2155218422,0.0000000000,0.0087663252,0.0000000000,0.0000000000,0.0123413531,0.1052475721,0.0000000000,0.0129641714,0.0000000000,0.0000000000,0.6022123694,0.5870783925,0.0000000000,0.0000000000,0.0723020434,0.0783421695,0.1101144254,0.0000000000,0.5645087957,0.5398139954,0.0758603141,0.0764314085,0.0000000000,0.0000000000,0.0236844383,0.0296096783,0.6578865647,0.6578670144,0.0000000000,0.0000000000,0.0000000000,0.0083273510,0.0575093627,0.0702271685,0.0853782818,0.0862094015,0.0000093134,0.0103297597,-0.0296124816,-0.0104951216,0.0147702657,-0.0746252760,0.0045152968,0.0109392637,-0.0746608451,-0.0008184554
13:48:44:19.223,61,0.0000000000,0.0000000000,0.0195279717,0.0000000000,0.1609282792,0.1462076902,0.4304597974,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1605173796,0.1462485343,0.4304410517,0.2113854140,0.0000000000,0.0085613150,0.0000000000,0.0000000000,0.0126172071,0.1047296822,0.0000000000,0.0129710967,0.0000000000,0.0000000000,0.5948674679,0.5793968439,0.0000000000,0.0000000000,0.0724695250,0.0783206075,0.1010100022,0.0000000000,0.5194329619,0.4882168174,0.0754782856,0.0760264844,0.0000000000,0.0000000000,0.0234282184,0.0293157864,0.6596654058,0.6596455574,0.0000000000,0.0000000000,0.0000000000,0.0095956102,0.0570433997,0.0695806667,0.0856431648,0.0864623487,0.0000090804,0.0103297597,-0.0296124816,-0.0104951216,0.0157082230,-0.0704101548,0.0041938010,0.0118987802,-0.0704456568,-0.0008394390
13:48:44:20.224,61,0.0000000000,0.0000000000,0.0193658154,0.0000000000,0.1492161453,0.1438596845,0.4319537878,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1488246322,0.1438819319,0.4319330752,0.2097310722,0.0000000000,0.0083212089,0.0000000000,0.0000000000,0.0128247887,0.1041724160,0.0000000000,0.0129860220,0.0000000000,0.0000000000,0.5818625093,0.5640494823,0.0000000000,0.0000000000,0.0726196691,0.0782592520,0.0981631130,0.0000000000,0.5066670775,0.4740376770,0.0752094612,0.0757551566,0.0000000000,0.0000000000,0.0231895372,0.0290475227,0.6622762084,0.6622576714,0.0000000000,0.0000000000,0.0000000000,0.0106304837,0.0564868487,0.0688546523,0.0857835189,0.0866035670,0.0000098400,0.0103297597,-0.0296124816,-0.0104951216,0.0155899450,-0.0652996227,0.0038964858,0.0118040759,-0.0653348342,-0.0007719910
13:48:44:21.226,61,0.0000000000,0.0000000000,0.0225965288,0.0000000000,0.1326144040,0.1371640265,0.4317600727,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1322698891,0.1371480078,0.4317375124,0.1979696006,0.0000000000,0.0081250248,0.0000000000,0.0000000000,0.0133201713,0.1028526723,0.0000000000,0.0127461357,0.0000000000,0.0000000000,0.5445623398,0.5331853032,0.0000000000,0.0000000000,0.0731701404,0.0786009356,0.0821341202,0.0000000000,0.4514622688,0.4305302203,0.0690282732,0.0683960021,0.0000000000,0.0000000000,0.0229373090,0.0287308805,0.6703845859,0.6703609228,0.0000000000,0.0000000000,0.0000000000,0.0110528506,0.0554085858,0.0664083883,0.0862927958,0.0870198905,0.0000059768,0.0103297597,-0.0296124816,-0.0104951216,0.0174751207,-0.0580569729,0.0033547997,0.0137794679,-0.0580919273,-0.0008003470
13:48:44:22.227,61,0.0000000000,0.0000000000,0.0270760804,0.0000000000,0.1228652745,0.1326679736,0.4315680265,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1225606427,0.1326068640,0.4315437675,0.1499994546,0.0000000000,0.0083810156,0.0000000000,0.0000000000,0.0270858537,0.0962694362,0.0000000000,0.0123972287,0.0000000000,0.0000000000,0.4489153624,0.4404612482,0.0000000000,0.0000000000,0.1033281684,0.1075056791,0.0453979000,0.0000000000,0.3101491928,0.3047708273,0.0414124094,0.0380871594,0.0000000000,0.0000000000,0.0226061735,0.0282756779,0.6767498851,0.6767227054,0.0000000000,0.0000000000,0.0000000000,0.0103112254,0.0547456928,0.0651209727,0.0899498686,0.0885198712,0.0000070348,0.0117904823,-0.0248720385,-0.0104115093,0.0202323459,-0.0538051017,0.0029613571,0.0165150613,-0.0538398847,-0.0008882229
13:48:44:23.229,61,0.0000000000,0.0000000000,0.0277457666,0.0000000000,0.1264194250,0.1308474988,0.4313005507,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1261137128,0.1307675987,0.4312724173,0.1364762783,0.0000000000,0.0088165430,0.0025159630,0.0143917426,0.0476861224,0.0914258584,0.0000000000,0.0121030314,0.0000000000,0.0000000000,0.4030462205,0.3928419054,0.0000000000,0.0000000000,0.1199235022,0.1247720718,0.0342824720,0.0000000000,0.2134495825,0.2462283820,0.0282513890,0.0249835849,0.0102287531,0.0177346356,0.0221728794,0.0276893806,0.6790446639,0.6790164113,0.0000000000,0.0000000000,0.0000000000,0.0061384342,0.0542734675,0.0642222911,0.0914675668,0.0894096494,0.0000077440,0.0127747813,-0.0206151772,-0.0105646178,0.0206795633,-0.0553564169,0.0030221317,0.0169221014,-0.0553912632,-0.0009364499
13:48:44:24.230,61,0.0000000000,0.0000000000,0.0289513320,0.0000000000,0.1240892410,0.1305069774,0.4309659004,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1237936318,0.1304153353,0.4309351444,0.1208967492,0.0000000000,0.0093635526,0.0112446295,0.0205659084,0.0729417950,0.0877899230,0.0000000000,0.0116963899,0.0000000000,0.0000000000,0.3230120242,0.3166074157,0.0000000000,0.0000000000,0.1401024759,0.1442780197,0.0233104397,0.0000000000,0.1634477824,0.2218234390,0.0206258930,0.0173275527,0.0295150056,0.0391167030,0.0217964537,0.0271398835,0.6809976101,0.6809689403,0.0000000000,0.0000000000,0.0000000000,0.0021662463,0.0537983738,0.0633240193,0.0922701508,0.0897935033,0.0000075878,0.0130211841,-0.0194596071,-0.0111096203,0.0214371234,-0.0543403625,0.0029256872,0.0176583640,-0.0543750711,-0.0009590703
13:48:44:25.232,61,0.0000000000,0.0000000000,0.0289850589,0.0000000000,0.1194266826,0.1312334687,0.4303534031,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1191381738,0.1311283410,0.4303216338,0.0633332878,0.0000000000,0.0099442843,0.0546794161,0.0345138796,0.1859194487,0.0864168108,0.0000000000,0.0110981297,0.0000000000,0.0000000000,0.2070309222,0.2058194429,0.0000000000,0.0000000000,0.2019896507,0.2065499872,0.0000000000,0.0000000000,0.0570575297,0.2108699679,0.0106376754,0.0071780193,0.0913750380,0.1054822281,0.0218843818,0.0270599443,0.6869369149,0.6869069934,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0538702570,0.0628612936,0.0931556597,0.0902382582,0.0000075839,0.0133514479,-0.0216302965,-0.0123986369,0.0215751864,-0.0523057096,0.0028089543,0.0176808499,-0.0523403473,-0.0009241408
