Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:48:44:16.218,61,0.0000000000,0.0000000000,0.0188900977,0.0000000000,0.1815379709,0.3053892553,0.4740837514,0.0000000000,0.0000000000,0.0983013511,0.0000000000,0.1810858101,0.3055944741,0.4740719199,0.2652203739,0.0000000000,0.0105066048,0.0270342659,0.0278094746,0.0483643897,0.1870293021,0.0000000000,0.0352153555,0.0000000000,0.0000000000,0.7132920623,0.6934859157,0.0165713597,0.0165656637,0.1390922666,0.1442872584,0.1965355277,0.0253773797,0.6412752867,0.6186115742,0.1232095584,0.1264810413,0.0182350539,0.0198956747,0.0346166082,0.0423125103,0.6598383188,0.6598581672,0.0496075638,0.0000000000,0.0000000000,0.0629823953,0.1061008126,0.1265251637,0.1446050406,0.1468850076,0.0000128191,-0.0144448848,-0.0260533839,-0.0064115077,-0.0598613061,-0.0791556686,0.0047454122,0.0115031190,-0.0792161226,-0.0009131231
13:48:44:17.220,61,0.0000000000,0.0000000000,0.0181909464,0.0000000000,0.1780324429,0.3056001663,0.4896888137,0.0000000000,0.0000000000,0.0989616588,0.0000000000,0.1775813699,0.3058016896,0.4896755517,0.2644695044,0.0000000000,0.0102886623,0.0271751434,0.0280048791,0.0485079661,0.1869693696,0.0000000000,0.0352293774,0.0000000000,0.0000000000,0.6860869527,0.6673676372,0.0167274754,0.0167074688,0.1391120851,0.1441322714,0.1945988089,0.0255461428,0.6306889057,0.6088744998,0.1234933883,0.1267865449,0.0184655078,0.0201466139,0.0344711877,0.0421452262,0.6641883850,0.6642077565,0.0494659990,0.0000000000,0.0000000000,0.0675612688,0.1058581322,0.1261496097,0.1449016780,0.1471709907,0.0000104020,-0.0144448848,-0.0260533839,-0.0064115077,-0.0602706373,-0.0776257217,0.0046850997,0.0110787051,-0.0776860863,-0.0008623790
13:48:44:18.221,61,0.0000000000,0.0000000000,0.0180159919,0.0000000000,0.1705899835,0.3055375814,0.4962415099,0.0000000000,0.0000000000,0.0991223529,0.0000000000,0.1701509506,0.3057345450,0.4962273836,0.2638000250,0.0000000000,0.0100605860,0.0273307692,0.0282212663,0.0486623421,0.1866490245,0.0000000000,0.0352517217,0.0000000000,0.0000000000,0.6771883368,0.6584273577,0.0168815292,0.0168459266,0.1391818225,0.1440165043,0.1922282577,0.0257145446,0.6171758771,0.5957890749,0.1235281229,0.1268274486,0.0187307727,0.0204415880,0.0343100503,0.0419616066,0.6683386564,0.6683561206,0.0493386313,0.0000000000,0.0000000000,0.0693803430,0.1055576503,0.1256975383,0.1452769488,0.1475315690,0.0000094553,-0.0144448848,-0.0260533839,-0.0064115077,-0.0603834055,-0.0743781701,0.0044967434,0.0109748691,-0.0744384006,-0.0008184474
13:48:44:19.223,61,0.0000000000,0.0000000000,0.0195851214,0.0000000000,0.1609282792,0.3041645288,0.4986308813,0.0000000000,0.0000000000,0.0975529701,0.0000000000,0.1605173796,0.3043453991,0.4986142218,0.2599181533,0.0000000000,0.0098558431,0.0275081396,0.0284877438,0.0489280522,0.1861782521,0.0000000000,0.0352584906,0.0000000000,0.0000000000,0.6712278128,0.6520730853,0.0170332454,0.0169837326,0.1393372267,0.1439964771,0.1839639395,0.0258659944,0.5775513649,0.5504679680,0.1231658012,0.1264446229,0.0190616269,0.0208092518,0.0340566188,0.0416714549,0.6700631976,0.6700801253,0.0493479893,0.0000000000,0.0000000000,0.0705705211,0.1051154435,0.1250896007,0.1455244869,0.1477675438,0.0000092223,-0.0144448848,-0.0260533839,-0.0064115077,-0.0594454482,-0.0701630488,0.0041752476,0.0119343856,-0.0702232122,-0.0008394311
13:48:44:20.224,61,0.0000000000,0.0000000000,0.0194229744,0.0000000000,0.1492161453,0.3022509217,0.4999460578,0.0000000000,0.0000000000,0.0977133289,0.0000000000,0.1488246322,0.3024170399,0.4999276400,0.2583656311,0.0000000000,0.0096160509,0.0277348943,0.0287888460,0.0491279997,0.1856716871,0.0000000000,0.0352730788,0.0000000000,0.0000000000,0.6606740355,0.6393775940,0.0172599331,0.0171945281,0.1394765526,0.1439394951,0.1813797504,0.0260706171,0.5663293600,0.5380135179,0.1229108498,0.1261880994,0.0194165036,0.0212034397,0.0338205360,0.0414066054,0.6725941896,0.6726121902,0.0494218692,0.0000000000,0.0000000000,0.0715416819,0.1045872644,0.1244069040,0.1456556469,0.1478992850,0.0000099819,-0.0144448848,-0.0260533839,-0.0064115077,-0.0595637262,-0.0650525168,0.0038779324,0.0118396813,-0.0651123896,-0.0007719831
13:48:44:21.226,61,0.0000000000,0.0000000000,0.0226534996,0.0000000000,0.1326144040,0.2967939973,0.4997755289,0.0000000000,0.0000000000,0.0945787206,0.0000000000,0.1322698891,0.2969301045,0.4997555017,0.2473279834,0.0000000000,0.0094201230,0.0280512702,0.0292665064,0.0496051647,0.1844720095,0.0000000000,0.0350386091,0.0000000000,0.0000000000,0.6304042935,0.6138464808,0.0174146313,0.0173293576,0.1399873346,0.1442568302,0.1668298244,0.0261637587,0.5178008676,0.4997981191,0.1170484871,0.1192305088,0.0199575033,0.0218037963,0.0335710533,0.0410939939,0.6804548502,0.6804670095,0.0493737012,0.0000000000,0.0000000000,0.0719380453,0.1035639718,0.1221065819,0.1461315751,0.1482876688,0.0000061186,-0.0144448848,-0.0260533839,-0.0064115077,-0.0576785505,-0.0578098707,0.0033362464,0.0138150733,-0.0578694828,-0.0008003391
13:48:44:22.227,61,0.0000000000,0.0000000000,0.0271327905,0.0000000000,0.1228652745,0.2931297421,0.4996064603,0.0000000000,0.0000000000,0.0900362581,0.0000000000,0.1225606427,0.2932298779,0.4995849431,0.2023099959,0.0000000000,0.0096757794,0.0313160941,0.0378570482,0.0628646165,0.1784876883,0.0000000000,0.0346975811,0.0000000000,0.0000000000,0.5527850986,0.5371442437,0.0175801460,0.0174706392,0.1679712087,0.1711019129,0.1334834248,0.0261879861,0.3935777843,0.3893355727,0.0908570737,0.0905755162,0.0269389637,0.0316825621,0.0332435220,0.0406445861,0.6866257191,0.6866337657,0.0496122688,0.0000000000,0.0000000000,0.0712420791,0.1029348746,0.1208959743,0.1495491415,0.1496869922,0.0000071766,-0.0129841622,-0.0213129409,-0.0063278954,-0.0549213253,-0.0535579994,0.0029428038,0.0165506676,-0.0536174402,-0.0008882150
13:48:44:23.229,61,0.0000000000,0.0000000000,0.0278024375,0.0000000000,0.1264194250,0.2916460633,0.4993709922,0.0000000000,0.0000000000,0.0893106461,0.0000000000,0.1261137128,0.2917312086,0.4993460774,0.1896190643,0.0000000000,0.0101107378,0.0438756123,0.0563769639,0.0827073157,0.1740847677,0.0000000000,0.0344100259,0.0000000000,0.0000000000,0.5155614614,0.4977530539,0.0177847613,0.0176517311,0.1833701432,0.1871379614,0.1233936697,0.0263085198,0.3085727692,0.3379139900,0.0783749074,0.0781869590,0.0416302383,0.0496241003,0.0328149423,0.0400657505,0.6888503432,0.6888571382,0.0503982604,0.0000000000,0.0000000000,0.0673261881,0.1024867222,0.1200509071,0.1509674489,0.1505170614,0.0000078858,-0.0119998632,-0.0170560796,-0.0064810035,-0.0544741079,-0.0551093146,0.0030035784,0.0169577077,-0.0551688187,-0.0009364419
13:48:44:24.230,61,0.0000000000,0.0000000000,0.0290079322,0.0000000000,0.1240892410,0.2913685441,0.4990763962,0.0000000000,0.0000000000,0.0880637467,0.0000000000,0.1237936318,0.2914441824,0.4990491569,0.1749983281,0.0000000000,0.0106570330,0.0522423536,0.0622881204,0.1070342213,0.1707796156,0.0000000000,0.0340125673,0.0000000000,0.0000000000,0.4506123066,0.4346911907,0.0181744415,0.0180015825,0.2020943761,0.2052539736,0.1134340763,0.0264541879,0.2646180391,0.3164775670,0.0711427405,0.0709486902,0.0603046156,0.0703119934,0.0324426144,0.0395232476,0.6907436252,0.6907498240,0.0519630648,0.0000000000,0.0000000000,0.0635985509,0.1020358503,0.1192062274,0.1517174691,0.1508751512,0.0000077296,-0.0117534604,-0.0159005094,-0.0070260069,-0.0537165478,-0.0540932603,0.0029071339,0.0176939704,-0.0541526265,-0.0009590624
13:48:44:25.232,61,0.0000000000,0.0000000000,0.0290416572,0.0000000000,0.1194266826,0.2919606268,0.4985372126,0.0000000000,0.0000000000,0.0878279284,0.0000000000,0.1191381738,0.2920251489,0.4985090792,0.1209774315,0.0000000000,0.0112370066,0.0938761607,0.0756419301,0.2158571333,0.1695314199,0.0000000000,0.0334278159,0.0000000000,0.0000000000,0.3564915955,0.3430463076,0.0196330212,0.0191666856,0.2595199645,0.2630886436,0.0784797221,0.0264839232,0.1710943282,0.3068564236,0.0616697222,0.0613529831,0.1202020794,0.1345229447,0.0325295851,0.0394443274,0.6965014935,0.6965057850,0.0564251877,0.0000000000,0.0000000000,0.0556095541,0.1021040678,0.1187711060,0.1525449902,0.1512900591,0.0000077258,-0.0114231966,-0.0180711988,-0.0083150230,-0.0535784848,-0.0520586073,0.0027904010,0.0177164562,-0.0521179028,-0.0009241329
13:48:44:26.233,61,0.0000000000,0.0000000000,0.0285104364,0.0000000000,0.1120437905,0.2930966318,0.4992981851,0.0000000000,0.0000000000,0.0881251097,0.0000000000,0.1117637530,0.2931562960,0.4992727041,0.1058548614,0.0000000000,0.0114242816,0.1058525741,0.0801253468,0.3195804954,0.1686018705,0.0000000000,0.0328841060,0.0000000000,0.0000000000,0.3269683719,0.3139690459,0.0221607219,0.0212957170,0.2954319715,0.2946876884,0.0667028502,0.0263165869,0.1423855871,0.4093844891,0.0567105003,0.0563276745,0.1538585275,0.1707779467,0.0457053706,0.0539782122,0.7005284429,0.7005311847,0.0581574701,0.0000000000,0.0000000000,0.0501489565,0.1028910503,0.1187808588,0.1564710736,0.1529337764,0.0000049528,-0.0118624596,-0.0217725281,-0.0094088903,-0.0537685119,-0.0488367714,0.0026266978,0.0173952281,-0.0488957316,-0.0008511876
13:48:44:27.235,61,0.0000000000,0.0000000000,0.0276786201,0.0000000000,0.1061425060,0.2943357229,0.5049967170,0.0000000000,0.0000000000,0.0888430178,0.0000000000,0.1058671176,0.2943911850,0.5049772263,0.0988341197,0.0000000000,0.0114993053,0.1133030057,0.0824801922,0.3568444848,0.1601578295,0.0000000000,0.0324661136,0.0000000000,0.0000000000,0.3121055365,0.2990190089,0.0254245214,0.0242017582,0.3147455752,0.3141935170,0.0606851988,0.0261089355,0.1281590164,0.4466482699,0.0535767600,0.0531955920,0.1838141829,0.2022750825,0.0592651963,0.0694555342,0.7031914592,0.7031932473,0.0592352189,0.0000000000,0.0000000000,0.0458170697,0.1035642475,0.1188967079,0.1579964906,0.1537889987,0.0000028826,-0.0122360745,-0.0255371258,-0.0091132084,-0.0542131774,-0.0462612584,0.0025085255,0.0168897752,-0.0463200137,-0.0007828572
13:48:44:28.236,61,0.0000000000,0.0000000000,0.0277235135,0.0000000000,0.1038505733,0.2964559495,0.5105690360,0.0000000000,0.0000000000,0.0886962116,0.0000000000,0.1035787314,0.2965135276,0.5105547309,0.0953818262,0.0000000000,0.0113960244,0.1246174872,0.0839172676,0.3744570017,0.1426622570,0.0000000000,0.0321531631,0.0000000000,0.0000000000,0.3028375208,0.2836298645,0.0289252345,0.0275597982,0.3236489594,0.3229063749,0.0573656373,0.0259664152,0.1201239005,0.4567695260,0.0502684601,0.0499852225,0.2094594836,0.2283870578,0.0642809346,0.0749938488,0.7056332231,0.7056345940,0.0600899719,0.0000000000,0.0000000000,0.0419977978,0.1042402908,0.1190739125,0.1587888002,0.1543271244,0.0000011489,-0.0125283794,-0.0286063720,-0.0084757200,-0.0541260578,-0.0452610701,0.0024502762,0.0169179440,-0.0453198478,-0.0007672072
13:48:44:29.238,61,0.0000000000,0.0000000000,0.0285536498,0.0000000000,0.0996939912,0.2983445525,0.5221496224,0.0000000000,0.0000000000,0.0877660140,0.0000000000,0.0994319841,0.2984087467,0.5221418142,0.0937819108,0.0000000000,0.0111384457,0.1362008452,0.0848505199,0.3777504563,0.1288704723,0.0000000000,0.0317179859,0.0000000000,0.0000000000,0.2637129426,0.2427241206,0.0331811197,0.0316474512,0.3284416199,0.3276203871,0.0554878600,0.0259176306,0.1102878749,0.4551154673,0.0478321426,0.0476156212,0.2407614738,0.2564324141,0.0673226416,0.0781985894,0.7069646716,0.7069658637,0.0607370250,0.0000000000,0.0000000000,0.0390383825,0.1048221141,0.1191591993,0.1590882242,0.1546136141,0.0000001953,-0.0129454229,-0.0301541369,-0.0078896908,-0.0535627082,-0.0434477329,0.0023275262,0.0174259320,-0.0435063206,-0.0007585784
13:48:44:30.240,61,0.0000000000,0.0000000000,0.0290919654,0.0000000000,0.0953450724,0.2994692624,0.5350586772,0.0000000000,0.0000000000,0.0872033387,0.0000000000,0.0950909927,0.2995364368,0.5350543261,0.0932572111,0.0000000000,0.0106581869,0.1406486630,0.0853841454,0.3689684272,0.1221499890,0.0000000000,0.0313281752,0.0000000000,0.0000000000,0.2526963055,0.2307210714,0.0356767625,0.0341018066,0.3312171698,0.3303195238,0.0543714762,0.0258944295,0.1055264696,0.4533171952,0.0463375300,0.0461590663,0.2517098486,0.2666932344,0.0691480413,0.0801203251,0.7081556320,0.7081567049,0.0611481480,0.0000000000,0.0000000000,0.0372025445,0.1051913425,0.1191031709,0.1592298001,0.1548924744,0.0000000671,-0.0132193975,-0.0312678032,-0.0068628588,-0.0532235913,-0.0415501408,0.0022116732,0.0177558977,-0.0416086987,-0.0007391874
13:48:44:31.241,61,0.0000000000,0.0000000000,0.0296449494,0.0000000000,0.0900735334,0.3003900647,0.5483070612,0.0000000000,0.0000000000,0.0865844116,0.0000000000,0.0898290128,0.3004606366,0.5483054519,0.0932151899,0.0000000000,0.0099996040,0.1432232410,0.0857433677,0.3503996730,0.1187217236,0.0000000000,0.0308925807,0.0000000000,0.0000000000,0.2470531911,0.2244814187,0.0371821448,0.0355838053,0.3325014114,0.3315097690,0.0536976233,0.0259203501,0.1025798321,0.4468433261,0.0452408306,0.0450795889,0.2573923767,0.2720419168,0.0701419562,0.0811161771,0.7116006017,0.7116013169,0.0613891557,0.0000000000,0.0000000000,0.0359873734,0.1053814590,0.1188910529,0.1593271792,0.1552233547,0.0000000163,-0.0134577677,-0.0314905383,-0.0068287225,-0.0528507493,-0.0392501354,0.0020744959,0.0180950835,-0.0393084325,-0.0007116170
13:48:44:32.243,61,0.0000000000,0.0000000000,0.0300521310,0.0000000000,0.0891793221,0.3011038601,0.5532841682,0.0000000000,0.0000000000,0.0861316174,0.0000000000,0.0889378116,0.3011785448,0.5532836318,0.0942432880,0.0000000000,0.0091485018,0.1439801008,0.0857626423,0.3198548257,0.1169271991,0.0000000000,0.0304010883,0.0000000000,0.0000000000,0.2729670405,0.2467419356,0.0380912498,0.0364893749,0.3330854475,0.3318644166,0.0533190444,0.0259058028,0.1014059037,0.4398008585,0.0444121771,0.0442567021,0.2464076579,0.2611111403,0.0704581663,0.0813676789,0.7140600681,0.7140604854,0.0615383089,0.0000000000,0.0000000000,0.0350993909,0.1053837165,0.1185326949,0.1594249904,0.1555505097,0.0000000116,-0.0133579979,-0.0315501466,-0.0071909833,-0.0525751710,-0.0388601609,0.0020431636,0.0183439050,-0.0389183685,-0.0007142354
