Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:26:42.516,61,0.0023208577,0.0975171328,0.0500607453,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0023227392,0.0974791721,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0038285423,0.0833714232,0.0328067690,0.1025704145,0.0000000000,0.0000000000,0.0025969369,0.0533567891,0.0674109012,0.0000000000,0.0000000000,0.0138149653,0.0130901281,0.0334229134,0.0382122956,0.0000000000,0.0038178763,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1111764833,0.1112792864,0.0066641211,0.0084734997,0.0754885152,0.0754052922,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0067372867,0.0086672055,0.0000000000,0.0195735581,0.0610370487,0.0147242034,0.0323220678,0.0595768653,-0.0025460741,0.0305239055,0.0595760942,0.0018293007
13:45:26:43.517,61,0.0021212723,0.0947100744,0.0496613383,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0021230401,0.0946675166,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0043562320,0.1003865227,0.0458435975,0.1297131032,0.0000000000,0.0000000000,0.0023937405,0.0589321405,0.0724005699,0.0000000000,0.0000000000,0.0143395904,0.0136856958,0.0504561029,0.0569077991,0.0000000000,0.0054975799,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1314523220,0.1325985342,0.0077842977,0.0099579953,0.0767042711,0.0766211599,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0067223939,0.0087156519,0.0000000000,0.0195735581,0.0610370487,0.0147242034,0.0320790857,0.0578590371,-0.0024863852,0.0302834362,0.0578607470,0.0017627300
13:45:26:44.519,61,0.0019377831,0.0930594951,0.0496518612,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0019394464,0.0930178538,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0051112529,0.1090657488,0.0510654598,0.1426246762,0.0000000000,0.0000000000,0.0020848876,0.0658951253,0.0762028322,0.0000000000,0.0000000000,0.0148436390,0.0142654376,0.0616098009,0.0689032972,0.0000000000,0.0062491680,0.0000000000,0.0031152652,0.0000000000,0.0000000000,0.1414955109,0.1428362280,0.0092620282,0.0115962112,0.0781189650,0.0780335218,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0066413907,0.0086774435,0.0000000000,0.0194031391,0.0627005100,0.0151758501,0.0320613012,0.0568508208,-0.0024438419,0.0302794147,0.0568523668,0.0017318303
13:45:26:45.521,61,0.0017690186,0.0885641724,0.0509020686,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0017705859,0.0885297805,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0058505237,0.1151004508,0.0565392002,0.1513944715,0.0037700769,0.0000000000,0.0016649661,0.0708729327,0.0786064342,0.0000000000,0.0000000000,0.0153477192,0.0148400255,0.0688773766,0.0766857937,0.0000000000,0.0069406745,0.0000000000,0.0068137930,0.0000000000,0.0000000000,0.1469356269,0.1482595354,0.0101851337,0.0125691751,0.0792524442,0.0791635662,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011283036,0.0000000000,0.0065546478,0.0086433254,0.0000000000,0.0194031391,0.0627005100,0.0151758501,0.0327953398,0.0541060716,-0.0022853324,0.0310465917,0.0541073494,0.0016900713
13:45:26:46.522,61,0.0016137579,0.0878926218,0.0519345775,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0016152367,0.0878624916,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0063529522,0.1179303229,0.0588431172,0.1557520181,0.0063346084,0.0000000000,0.0011857649,0.0730918869,0.0800104663,0.0000000000,0.0000000000,0.0158674438,0.0154167172,0.0728423297,0.0804846659,0.0000000000,0.0074844602,0.0000000000,0.0097067449,0.0000000000,0.0000000000,0.1500160396,0.1512137353,0.0110304737,0.0134467641,0.0805982798,0.0805061534,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0023951898,0.0000000000,0.0065183239,0.0086689387,0.0000000000,0.0194031391,0.0627005100,0.0151758501,0.0334069543,0.0536968485,-0.0022349579,0.0316770524,0.0536981411,0.0017113277
13:45:26:47.524,61,0.0014708994,0.0834494308,0.0530879274,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0014722971,0.0834255666,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0067612887,0.1195278838,0.0600265935,0.1576191783,0.0074309385,0.0000000000,0.0007110095,0.0745904967,0.0812246054,0.0000000000,0.0000000000,0.0164188631,0.0160233509,0.0753969401,0.0828217641,0.0000000000,0.0079616373,0.0000000000,0.0118082939,0.0000000000,0.0000000000,0.1521322727,0.1530791074,0.0117970901,0.0142320450,0.0814996585,0.0814061016,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0034007574,0.0000000000,0.0064065070,0.0086135119,0.0000000000,0.0194031391,0.0627005100,0.0151758501,0.0340598784,0.0509838164,-0.0020879672,0.0323851593,0.0509847328,0.0016613278
13:45:26:48.525,61,0.0013394414,0.0812660977,0.0536174551,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0013407643,0.0812448785,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0072723273,0.1202990860,0.0603083521,0.1589893550,0.0079180412,0.0000000000,0.0002156215,0.0756985098,0.0820458606,0.0000000000,0.0000000000,0.0169371311,0.0165879913,0.0771240741,0.0844535306,0.0000000000,0.0081813596,0.0000000000,0.0182820130,0.0000000000,0.0000000000,0.1551216543,0.1547918171,0.0129284114,0.0153895980,0.0861081034,0.0860113949,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0041618706,0.0000000000,0.0063051577,0.0085446918,0.0000000000,0.0194031391,0.0627005100,0.0151758501,0.0343567729,0.0496505201,-0.0020182382,0.0327103958,0.0496513173,0.0016342204
13:45:26:49.527,61,0.0012184678,0.0833483040,0.0534416102,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0012197220,0.0833254158,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0075696064,0.1201210096,0.0574157275,0.1592707187,0.0066440334,0.0000000000,0.0000000000,0.0763785318,0.0825672150,0.0000000000,0.0000000000,0.0173566397,0.0170541164,0.0782397017,0.0854745507,0.0000000000,0.0079990411,0.0000000000,0.0271016918,0.0000000000,0.0000000000,0.1566062272,0.1558119804,0.0148055367,0.0174697377,0.0877817869,0.0876840055,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0045208451,0.0000000000,0.0061130868,0.0083724465,0.0000000000,0.0194031391,0.0627005100,0.0151758501,0.0342229269,0.0509222671,-0.0020770887,0.0326010138,0.0509233028,0.0016703756
13:45:26:50.528,61,0.0011071395,0.0855211020,0.0545122065,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011083302,0.0855014175,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0080218958,0.1198401451,0.0556439571,0.1592050791,0.0055055255,0.0000000000,0.0000000000,0.0767263696,0.0826453641,0.0000000000,0.0000000000,0.0176824685,0.0174330939,0.0789848343,0.0862144083,0.0000000000,0.0076858578,0.0000000000,0.0320547484,0.0000000000,0.0000000000,0.1577201486,0.1566393077,0.0166535918,0.0194354616,0.0893388316,0.0892402530,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0047394158,0.0000000000,0.0060296208,0.0082951682,0.0000000000,0.0194031391,0.0627005100,0.0151758501,0.0348163135,0.0522508286,-0.0021004444,0.0332518183,0.0522519387,0.0017480098
13:45:26:51.530,61,0.0010046855,0.0884497836,0.0549223907,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010058180,0.0884307921,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0083450265,0.1191038266,0.0530412085,0.1587342769,0.0028161977,0.0000000000,0.0000000000,0.0770013854,0.0826703683,0.0000000000,0.0000000000,0.0179161932,0.0177233443,0.0794637874,0.0866674557,0.0000000000,0.0072167940,0.0000000000,0.0345032439,0.0000000000,0.0000000000,0.1586038768,0.1572974473,0.0178419277,0.0206749290,0.0904309601,0.0903320387,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0047260029,0.0000000000,0.0058695045,0.0081312843,0.0000000000,0.0194031391,0.0627005100,0.0151758501,0.0350291356,0.0540405586,-0.0021612679,0.0334988274,0.0540417656,0.0018211564
