Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:26:42.516,61,0.0024988628,0.0978457704,0.0501161143,0.0000000000,0.0000000000,0.1055477262,0.0339023136,0.0025002856,0.0978432298,0.0702417791,0.0000000000,0.0000000000,0.1055501476,0.0338800885,0.0549139865,0.0000000000,0.0051292507,0.1213784814,0.0740075409,0.1355732530,0.0749073625,0.0000000000,0.0251185820,0.0533567891,0.0674109012,0.0000000000,0.0000000000,0.0416988768,0.0405572467,0.1031055748,0.1067461520,0.0691510141,0.0398813374,0.0642180592,0.1055343747,0.0510253906,0.0530074202,0.1393752992,0.1401318014,0.0174749717,0.0210944656,0.1037338302,0.1037515402,0.0536441766,0.0000000000,0.0000000000,0.0405034162,0.0476258397,0.0521900095,0.0717861652,0.0751930326,0.0000000423,-0.0052010864,0.0645961463,0.0188078173,-0.0428316034,0.0598239675,-0.0025646274,0.0305595119,0.0597985387,0.0018293086
13:45:26:43.517,61,0.0022993130,0.0950397328,0.0497167297,0.0000000000,0.0000000000,0.1060684174,0.0341960341,0.0023006222,0.0950327069,0.0706330985,0.0000000000,0.0000000000,0.1060706154,0.0341723338,0.0551750697,0.0000000000,0.0056562512,0.1376880705,0.0864890218,0.1617177725,0.0847636163,0.0000000000,0.0249199737,0.0589321405,0.0724005699,0.0000000000,0.0000000000,0.0422086678,0.0411362387,0.1189108044,0.1241094768,0.0673030764,0.0415002331,0.0576116741,0.1169437096,0.0470193960,0.0487905294,0.1590078622,0.1607589126,0.0185829569,0.0225600656,0.1049124449,0.1049301326,0.0568112843,0.0000000000,0.0000000000,0.0377932042,0.0486705378,0.0532187857,0.0717722476,0.0752382278,0.0000000406,-0.0052010864,0.0645961463,0.0188078173,-0.0430745855,0.0581061393,-0.0025049385,0.0303190425,0.0580831915,0.0017627379
13:45:26:44.519,61,0.0021158566,0.0933897570,0.0497072525,0.0000000000,0.0000000000,0.1071520820,0.0341231227,0.0021170611,0.0933837071,0.0706581697,0.0000000000,0.0000000000,0.1071540117,0.0340982527,0.0552800409,0.0000000000,0.0064102863,0.1460074186,0.0914884433,0.1741545200,0.0886234716,0.0000000000,0.0246180948,0.0658951253,0.0762028322,0.0000000000,0.0000000000,0.0426984653,0.0416998453,0.1292604059,0.1352502108,0.0617880374,0.0422246121,0.0532077886,0.1243721321,0.0431094170,0.0446849354,0.1687324196,0.1706642359,0.0200446043,0.0241774283,0.1062839180,0.1062991917,0.0596211478,0.0000000000,0.0000000000,0.0338987187,0.0497438982,0.0539972708,0.0716965497,0.0752025843,0.0000000217,-0.0053715054,0.0662596077,0.0192594640,-0.0430923700,0.0570979230,-0.0024623952,0.0303150211,0.0570748113,0.0017318382
13:45:26:45.521,61,0.0019471222,0.0888960734,0.0509573855,0.0000000000,0.0000000000,0.1111829653,0.0330946967,0.0019482306,0.0888974443,0.0694439486,0.0000000000,0.0000000000,0.1111845300,0.0330704972,0.0555225536,0.0000000000,0.0071485918,0.1517919004,0.0967290103,0.1826018095,0.0944036022,0.0000000000,0.0242076553,0.0708729327,0.0786064342,0.0000000000,0.0000000000,0.0431882925,0.0422584414,0.1360040456,0.1424781531,0.0587934479,0.0428910851,0.0507542081,0.1276207864,0.0408265553,0.0422979631,0.1739999503,0.1759114712,0.0209576637,0.0251380075,0.1073827669,0.1073945984,0.0623540469,0.0000000000,0.0000000000,0.0315367095,0.0520509034,0.0558420308,0.0716154873,0.0751707554,0.0000000049,-0.0053715054,0.0662596077,0.0192594640,-0.0423583314,0.0543531738,-0.0023038858,0.0310821980,0.0543297939,0.0016900792
13:45:26:46.522,61,0.0017918892,0.0882247686,0.0519898348,0.0000000000,0.0000000000,0.1137489676,0.0320512056,0.0017929091,0.0882304236,0.0684397295,0.0000000000,0.0000000000,0.1137504354,0.0320288166,0.0557894893,0.0000000000,0.0076503647,0.1545044333,0.0989347845,0.1867991090,0.0967348218,0.0000000000,0.0237392746,0.0730918869,0.0800104663,0.0000000000,0.0000000000,0.0436933227,0.0428190827,0.1396831572,0.1460063308,0.0568109378,0.0434151851,0.0491764583,0.1301618516,0.0394213498,0.0408432037,0.1769826263,0.1787697673,0.0217938032,0.0260044262,0.1086874828,0.1086960211,0.0645085648,0.0000000000,0.0000000000,0.0301294532,0.0532532036,0.0568885617,0.0715815425,0.0751946494,0.0000000030,-0.0053715054,0.0662596077,0.0192594640,-0.0417467169,0.0539439507,-0.0022535112,0.0317126587,0.0539205857,0.0017113356
13:45:26:47.524,61,0.0016490562,0.0837831944,0.0531431176,0.0000000000,0.0000000000,0.1177696511,0.0315244906,0.0016499949,0.0837952942,0.0673597381,0.0000000000,0.0000000000,0.1177716777,0.0315032005,0.0560831614,0.0000000000,0.0080581680,0.1560357511,0.1000678465,0.1885976046,0.0977314115,0.0000000000,0.0232752394,0.0745904967,0.0812246054,0.0000000000,0.0000000000,0.0442291498,0.0434088334,0.1420536041,0.1481768936,0.0555435568,0.0438750871,0.0479509868,0.1320077777,0.0383353084,0.0397276096,0.1790317297,0.1805745810,0.0225520767,0.0267797112,0.1095613241,0.1095683798,0.0660215318,0.0000000000,0.0000000000,0.0290225372,0.0542075075,0.0577840097,0.0714770481,0.0751429424,0.0000000012,-0.0053715054,0.0662596077,0.0192594640,-0.0410937928,0.0512309186,-0.0021065206,0.0324207656,0.0512071773,0.0016613357
13:45:26:48.525,61,0.0015176216,0.0816006511,0.0536726154,0.0000000000,0.0000000000,0.1204811409,0.0309193432,0.0015184855,0.0816154853,0.0668685585,0.0000000000,0.0000000000,0.1204834431,0.0308988038,0.0562531538,0.0000000000,0.0085685393,0.1567749828,0.1003376022,0.1899174005,0.0981741995,0.0000000000,0.0227910373,0.0756985098,0.0820458606,0.0000000000,0.0000000000,0.0447327644,0.0439577587,0.1436562240,0.1496923864,0.0536019877,0.0440868549,0.0466841832,0.1376940608,0.0374324471,0.0388055183,0.1819262654,0.1822316796,0.0236710850,0.0279225297,0.1140289754,0.1140324846,0.0668519735,0.0000000000,0.0000000000,0.0281201545,0.0549298190,0.0584677197,0.0713823363,0.0750787407,0.0000000000,-0.0053715054,0.0662596077,0.0192594640,-0.0407968983,0.0498976223,-0.0020367915,0.0327460021,0.0498737618,0.0016342283
13:45:26:49.527,61,0.0013966697,0.0836821049,0.0534967817,0.0000000000,0.0000000000,0.1214423701,0.0302352104,0.0013974647,0.0836951807,0.0670922548,0.0000000000,0.0000000000,0.1214450151,0.0302163158,0.0560990572,0.0000000000,0.0088654300,0.1566042900,0.0975681990,0.1901884079,0.0970160961,0.0000000000,0.0222680941,0.0763785318,0.0825672150,0.0000000000,0.0000000000,0.0451404117,0.0444109105,0.1446914226,0.1506406516,0.0514876880,0.0439111367,0.0451926589,0.1454409510,0.0363702700,0.0376476273,0.1833637357,0.1832187325,0.0255277809,0.0299761929,0.1156515256,0.1156538203,0.0673900247,0.0000000000,0.0000000000,0.0270345602,0.0552704930,0.0587841608,0.0712028444,0.0749180540,0.0000000000,-0.0053715054,0.0662596077,0.0192594640,-0.0409307443,0.0511693694,-0.0020956420,0.0326366201,0.0511457473,0.0016703835
13:45:26:50.528,61,0.0012853611,0.0858541057,0.0545673147,0.0000000000,0.0000000000,0.1216660514,0.0281138346,0.0012860928,0.0858703032,0.0661241487,0.0000000000,0.0000000000,0.1216688529,0.0280953608,0.0559042841,0.0000000000,0.0093171280,0.1563350707,0.0958719030,0.1901251823,0.0959811658,0.0000000000,0.0217796229,0.0767263696,0.0826453641,0.0000000000,0.0000000000,0.0454570279,0.0447793417,0.1453828365,0.1513277888,0.0500858165,0.0436092913,0.0439167954,0.1497915387,0.0354534201,0.0366358794,0.1844423264,0.1840191931,0.0273557212,0.0319168940,0.1171609983,0.1171623468,0.0677215680,0.0000000000,0.0000000000,0.0260771159,0.0554779209,0.0589596331,0.0711248443,0.0748459622,0.0000000000,-0.0053715054,0.0662596077,0.0192594640,-0.0403373577,0.0524979308,-0.0021189977,0.0332874246,0.0524743833,0.0017480177
13:45:26:51.530,61,0.0011829254,0.0887817219,0.0549774766,0.0000000000,0.0000000000,0.1212471128,0.0268767700,0.0011835988,0.0887985006,0.0657815710,0.0000000000,0.0000000000,0.1212503463,0.0268594008,0.0555122532,0.0000000000,0.0096398368,0.1556292772,0.0933800265,0.1896716952,0.0935365036,0.0000000000,0.0212765541,0.0770013854,0.0826703683,0.0000000000,0.0000000000,0.0456841439,0.0450615138,0.1458272636,0.1517485529,0.0487582721,0.0431572087,0.0424699336,0.1519422084,0.0344571099,0.0355506837,0.1852980107,0.1846559644,0.0285311248,0.0331405848,0.1182197630,0.1182206646,0.0678463951,0.0000000000,0.0000000000,0.0251669772,0.0554651916,0.0589142181,0.0709752142,0.0746930763,0.0000000000,-0.0053715054,0.0662596077,0.0192594640,-0.0401245356,0.0542876609,-0.0021798213,0.0335344337,0.0542642102,0.0018211643
