Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:44:58:40.352,61,0.0028709602,0.1473017633,0.0312427152,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028711800,0.1470965147,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0062824329,0.0049529341,0.0027691456,0.0079206182,0.0000000000,0.0000000000,0.0000000000,0.0370856114,0.0399726667,0.0000000000,0.0000000000,0.0150324525,0.0143371029,0.0019195421,0.0002919526,0.0000000000,0.0028350868,0.0000000000,0.0000000000,0.0080095921,0.0078596044,0.0189313497,0.0198871419,0.0097172996,0.0111677954,0.0875126421,0.0874119923,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0116875609,0.0099579254,0.0000000000,0.0126612876,0.0939189792,0.0019568549,0.0209662914,0.0899519771,-0.0048799594,0.0190062895,0.0899651647,0.0017219007
13:44:58:41.353,61,0.0026267532,0.1415716857,0.0327166021,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0026269918,0.1413863152,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0057535083,0.0055253324,0.0039598979,0.0076544825,0.0000000000,0.0000000000,0.0000000000,0.0359425880,0.0392690748,0.0000000000,0.0000000000,0.0146542210,0.0139412405,0.0023867993,0.0006434059,0.0000000000,0.0026107149,0.0000000000,0.0000000000,0.0055572982,0.0051761977,0.0189342313,0.0198378377,0.0094120009,0.0108002331,0.0861476660,0.0860463977,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0110256905,0.0092967115,0.0000000000,0.0126612876,0.0939189792,0.0019568549,0.0218641758,0.0864558518,-0.0046111909,0.0199091118,0.0864670277,0.0017332168
13:44:58:42.355,61,0.0024025624,0.1367939115,0.0329863057,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0024028183,0.1366161406,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0051345858,0.0060111606,0.0047741686,0.0072786063,0.0000000000,0.0000000000,0.0000000000,0.0351094715,0.0389455445,0.0000000000,0.0000000000,0.0142657766,0.0135506662,0.0028693527,0.0010234585,0.0000000000,0.0023263120,0.0000000000,0.0000000000,0.0025886747,0.0019409362,0.0188693572,0.0197254904,0.0090737687,0.0103979670,0.0852439106,0.0851424485,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0102778813,0.0085888170,0.0000000000,0.0120987445,0.0944631323,0.0005400809,0.0220099539,0.0835382566,-0.0044424310,0.0200782511,0.0835492089,0.0016888003
13:44:58:43.357,61,0.0021965343,0.1338480413,0.0333752893,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0021968063,0.1336762011,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0044769207,0.0065425299,0.0055332719,0.0069000614,0.0000000000,0.0000000000,0.0000000000,0.0343134031,0.0387149453,0.0000000000,0.0000000000,0.0139394104,0.0132255796,0.0033694904,0.0014263343,0.0000000000,0.0021161139,0.0000000000,0.0000000000,0.0009692785,0.0001828890,0.0188589692,0.0196770430,0.0087639298,0.0100322543,0.0848145932,0.0847130194,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0095864953,0.0079545509,0.0000000000,0.0120987445,0.0944631323,0.0005400809,0.0222174712,0.0817396268,-0.0043292041,0.0203180555,0.0817503631,0.0016720691
13:44:58:44.358,61,0.0020070844,0.1307836920,0.0334242880,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0020073708,0.1306156516,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0038636897,0.0070266672,0.0061896439,0.0063814465,0.0000000000,0.0000000000,0.0000000000,0.0341095440,0.0395838171,0.0000000000,0.0000000000,0.0137159526,0.0129922451,0.0039030549,0.0018291619,0.0000000000,0.0020290613,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0189663842,0.0197480805,0.0084655797,0.0096885934,0.0846820921,0.0845806003,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0089125140,0.0073566386,0.0000000000,0.0120987445,0.0944631323,0.0005400809,0.0222244710,0.0798681304,-0.0042289682,0.0203509852,0.0798787996,0.0016363702
13:44:58:45.360,61,0.0018328167,0.1297160387,0.0326199457,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0018331173,0.1295444369,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0031916159,0.0076921615,0.0070192064,0.0058737728,0.0000000000,0.0000000000,0.0000000000,0.0349136442,0.0443016402,0.0000000000,0.0000000000,0.0136318645,0.0128894765,0.0044052079,0.0021775910,0.0000000000,0.0022664554,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0193079952,0.0200386234,0.0081711942,0.0093466276,0.0842267722,0.0841254070,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0082594613,0.0067759613,0.0000000000,0.0120987445,0.0944631323,0.0005400809,0.0216901861,0.0792153627,-0.0042366977,0.0198622830,0.0792259201,0.0015840755
13:44:58:46.361,61,0.0016724825,0.1312506497,0.0331377722,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0016727956,0.1310800761,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0024678155,0.0081730653,0.0076175011,0.0053812792,0.0000000000,0.0000000000,0.0000000000,0.0350909345,0.0458581857,0.0000000000,0.0000000000,0.0134884808,0.0127402917,0.0047065690,0.0023418779,0.0000000000,0.0024299580,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0194868688,0.0201730020,0.0078996075,0.0090398164,0.0833000094,0.0831991136,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0077042095,0.0063180053,0.0000000000,0.0120987445,0.0944631323,0.0005400809,0.0219862945,0.0801531225,-0.0042633070,0.0201760717,0.0801637247,0.0016281278
13:44:58:47.363,61,0.0015249499,0.1325836033,0.0328574590,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0015252747,0.1324095726,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0016853819,0.0086268848,0.0081973132,0.0049367351,0.0000000000,0.0000000000,0.0000000000,0.0386875048,0.0514275506,0.0000000000,0.0000000000,0.0133639248,0.0126122357,0.0050112861,0.0025220891,0.0000000000,0.0024085988,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0196288936,0.0202784892,0.0077008046,0.0088083083,0.0826320648,0.0825313479,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0072817034,0.0059622452,0.0000000000,0.0120987445,0.0944631323,0.0005400809,0.0218157656,0.0809668377,-0.0043206913,0.0200040806,0.0809775665,0.0016306902
13:44:58:48.364,61,0.0013891875,0.1355934888,0.0306667686,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0013895230,0.1354022175,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009772973,0.0090371408,0.0085920282,0.0047332575,0.0000000000,0.0000000000,0.0000000000,0.0428133830,0.0549484752,0.0000000000,0.0000000000,0.0132998712,0.0125407856,0.0054618181,0.0028565594,0.0000000000,0.0022314559,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0198915638,0.0205059089,0.0076302057,0.0087067718,0.0821676850,0.0820670724,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0070140674,0.0057191271,0.0000000000,0.0120987445,0.0944631323,0.0005400809,0.0204787999,0.0828028396,-0.0045303619,0.0186675210,0.0828137472,0.0015565158
13:44:58:49.366,61,0.0012642512,0.1385374069,0.0297781900,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0012645967,0.1383366585,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004124459,0.0093859248,0.0088754632,0.0047033536,0.0000000000,0.0000000000,0.0000000000,0.0445419252,0.0565491132,0.0000000000,0.0000000000,0.0131473634,0.0123875234,0.0059466679,0.0032559857,0.0000000000,0.0018375786,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0201100018,0.0206855908,0.0076308181,0.0086788135,0.0817206353,0.0816200674,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0067809932,0.0054972372,0.0000000000,0.0120987445,0.0944631323,0.0005400809,0.0199581124,0.0845998079,-0.0046734726,0.0181238782,0.0846108943,0.0015441419
