Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:44:58:40.352,61,0.0030488670,0.1476122737,0.0312991813,0.0000000000,0.0000000000,0.0783246234,0.0304314420,0.0030486288,0.1474405527,0.0890673026,0.0000000000,0.0000000000,0.0783241540,0.0304216202,0.0530442148,0.0000000000,0.0075799371,0.0462115370,0.0452494696,0.0444041789,0.0693816096,0.0000000000,0.0199750997,0.0370856114,0.0399726667,0.0000000000,0.0000000000,0.0428819396,0.0417695157,0.0738733485,0.0715278909,0.0704344735,0.0389341265,0.1044404432,0.0912852436,0.0591771975,0.0619973764,0.0500567369,0.0517067239,0.0204949211,0.0237544663,0.1153905988,0.1153901443,0.0532643385,0.0000000000,0.0000000000,0.0445066355,0.0446872190,0.0476534478,0.0764122456,0.0763971359,0.0000000295,-0.0121133570,0.0974780768,0.0060404688,-0.0541873798,0.0901990831,-0.0048985127,0.0190418959,0.0901876092,0.0017219086
13:44:58:41.353,61,0.0028047038,0.1418842822,0.0327729806,0.0000000000,0.0000000000,0.0784217492,0.0324586257,0.0028044842,0.1417326629,0.0875643864,0.0000000000,0.0000000000,0.0784213692,0.0324494503,0.0531579033,0.0000000000,0.0070517031,0.0467602015,0.0463894978,0.0441478305,0.0682614148,0.0000000000,0.0195055865,0.0359425880,0.0392690748,0.0000000000,0.0000000000,0.0425144024,0.0413846709,0.0743069202,0.0718543008,0.0704559907,0.0387178771,0.1019898057,0.0906106904,0.0568513945,0.0594603941,0.0500595272,0.0516590215,0.0201929454,0.0233915821,0.1140673310,0.1140664071,0.0531917401,0.0000000000,0.0000000000,0.0431142263,0.0442546494,0.0472220182,0.0757937208,0.0757802948,0.0000000148,-0.0121133570,0.0974780768,0.0060404688,-0.0532894954,0.0867029577,-0.0046297442,0.0199447181,0.0866894722,0.0017332247
13:44:58:42.355,61,0.0025805528,0.1371082366,0.0330426693,0.0000000000,0.0000000000,0.0786436722,0.0351222232,0.0025803505,0.1369644105,0.0873031169,0.0000000000,0.0000000000,0.0786434337,0.0351146646,0.0531443581,0.0000000000,0.0064335889,0.0472258851,0.0471690819,0.0437857769,0.0669364333,0.0000000000,0.0191383585,0.0351094715,0.0389455445,0.0000000000,0.0000000000,0.0421369411,0.0410049669,0.0747546852,0.0722072721,0.0703616887,0.0384437703,0.0985122621,0.0898814350,0.0540358946,0.0564016700,0.0499967113,0.0515503213,0.0198583938,0.0229944363,0.1131911874,0.1131901741,0.0530059636,0.0000000000,0.0000000000,0.0413127542,0.0437723175,0.0467701070,0.0750948861,0.0751199052,0.0000000084,-0.0126759000,0.0980222300,0.0046236948,-0.0531437173,0.0837853625,-0.0044609844,0.0201138575,0.0837716535,0.0016888082
13:44:58:43.357,61,0.0023745617,0.1341634393,0.0334316306,0.0000000000,0.0000000000,0.0788780972,0.0372900516,0.0023743752,0.1340256631,0.0869492367,0.0000000000,0.0000000000,0.0788779929,0.0372837111,0.0532426201,0.0000000000,0.0057767825,0.0477352217,0.0478958488,0.0434211530,0.0660269037,0.0000000000,0.0188115444,0.0343134031,0.0387149453,0.0000000000,0.0000000000,0.0418198034,0.0406889282,0.0752187669,0.0725814402,0.0704101250,0.0382411815,0.0969263390,0.0893160701,0.0525000282,0.0547395535,0.0499866530,0.0515034460,0.0195519272,0.0226333793,0.1127749830,0.1127739176,0.0528084636,0.0000000000,0.0000000000,0.0401753187,0.0433152393,0.0463615805,0.0744487792,0.0745282024,0.0000000052,-0.0126759000,0.0980222300,0.0046236948,-0.0529362001,0.0819867328,-0.0043477574,0.0203536619,0.0819728076,0.0016720770
13:44:58:44.358,61,0.0021851454,0.1311002076,0.0334806256,0.0000000000,0.0000000000,0.0791065618,0.0414837152,0.0021849736,0.1309663355,0.0869245678,0.0000000000,0.0000000000,0.0791065097,0.0414774641,0.0535543784,0.0000000000,0.0051643522,0.0481992848,0.0485242605,0.0429216102,0.0637145266,0.0000000000,0.0185432397,0.0341095440,0.0395838171,0.0000000000,0.0000000000,0.0416026637,0.0404620878,0.0757138655,0.0729555637,0.0706130788,0.0381572805,0.0954109430,0.0886566490,0.0513708331,0.0535641387,0.0500906594,0.0515721776,0.0192568246,0.0222940929,0.1126465276,0.1126455516,0.0525663942,0.0000000000,0.0000000000,0.0391000137,0.0428866036,0.0459836386,0.0738189369,0.0739704147,0.0000000026,-0.0126759000,0.0980222300,0.0046236948,-0.0529292002,0.0801152363,-0.0042475215,0.0203865916,0.0801012442,0.0016363781
13:44:58:45.360,61,0.0020109089,0.1300329417,0.0326763317,0.0000000000,0.0000000000,0.0793349519,0.0437998809,0.0020107508,0.1298955530,0.0877974257,0.0000000000,0.0000000000,0.0793349445,0.0437922366,0.0544967577,0.0000000000,0.0044931560,0.0488371849,0.0493184850,0.0424326062,0.0621896200,0.0000000000,0.0181766432,0.0349136442,0.0443016402,0.0000000000,0.0000000000,0.0415209532,0.0403621793,0.0761798173,0.0732791647,0.0711085424,0.0383860804,0.0938884169,0.0871774703,0.0505468696,0.0527356043,0.0504214317,0.0518532880,0.0189656429,0.0219564792,0.1122051179,0.1122043133,0.0522824824,0.0000000000,0.0000000000,0.0383090526,0.0425200984,0.0456750728,0.0732086524,0.0734287053,0.0000000046,-0.0126759000,0.0980222300,0.0046236948,-0.0534634851,0.0794624686,-0.0042552510,0.0198978893,0.0794483647,0.0015840834
13:44:58:46.361,61,0.0018506033,0.1315670013,0.0331941247,0.0000000000,0.0000000000,0.0794043988,0.0450068526,0.0018504577,0.1314305812,0.0873177126,0.0000000000,0.0000000000,0.0794044212,0.0449987240,0.0551364087,0.0000000000,0.0037703004,0.0492981486,0.0498912930,0.0419582240,0.0611797236,0.0000000000,0.0179429948,0.0350909345,0.0458581857,0.0000000000,0.0000000000,0.0413816236,0.0402171463,0.0764594525,0.0734317452,0.0715157315,0.0385436639,0.0929632112,0.0862743258,0.0499334559,0.0521334335,0.0505946316,0.0519833043,0.0186970122,0.0216535740,0.1113066748,0.1113064140,0.0520582087,0.0000000000,0.0000000000,0.0377094932,0.0421642922,0.0453861132,0.0726897642,0.0730014816,0.0000000064,-0.0126759000,0.0980222300,0.0046236948,-0.0531673767,0.0804002285,-0.0042818603,0.0202116780,0.0803861693,0.0016281357
13:44:58:47.363,61,0.0017030970,0.1328994632,0.0329138301,0.0000000000,0.0000000000,0.0792915896,0.0456843898,0.0017029630,0.1327595413,0.0876035318,0.0000000000,0.0000000000,0.0792916939,0.0456757993,0.0554722697,0.0000000000,0.0029888884,0.0497331508,0.0504464060,0.0415300280,0.0603711493,0.0000000000,0.0176294129,0.0386875048,0.0514275506,0.0000000000,0.0000000000,0.0412605889,0.0400926545,0.0767422020,0.0735991150,0.0717335567,0.0385230780,0.0922541320,0.0856471136,0.0493200161,0.0515244640,0.0507321507,0.0520853661,0.0185003728,0.0214250125,0.1106591374,0.1106591299,0.0519404523,0.0000000000,0.0000000000,0.0370359533,0.0418658070,0.0451573357,0.0722949281,0.0726695955,0.0000000064,-0.0126759000,0.0980222300,0.0046236948,-0.0533379056,0.0812139437,-0.0043392447,0.0200396869,0.0812000111,0.0016306981
13:44:58:48.364,61,0.0015673588,0.1359082609,0.0307232682,0.0000000000,0.0000000000,0.0791089162,0.0457324237,0.0015672356,0.1357509792,0.0898129046,0.0000000000,0.0000000000,0.0791091248,0.0457235277,0.0555492081,0.0000000000,0.0022817284,0.0501263961,0.0508243069,0.0413340330,0.0597923845,0.0000000000,0.0172568448,0.0428133830,0.0549484752,0.0000000000,0.0000000000,0.0411983468,0.0400231928,0.0771602541,0.0739097521,0.0716191083,0.0383523479,0.0916052014,0.0855181888,0.0487547964,0.0509596318,0.0509864874,0.0523054041,0.0184305422,0.0213247687,0.1102089435,0.1102090776,0.0518059470,0.0000000000,0.0000000000,0.0363527648,0.0416164361,0.0449654236,0.0720448196,0.0724427924,0.0000000069,-0.0126759000,0.0980222300,0.0046236948,-0.0546748713,0.0830499455,-0.0045489152,0.0187031273,0.0830361918,0.0015565237
13:44:58:49.366,61,0.0014424449,0.1388511062,0.0298347417,0.0000000000,0.0000000000,0.0788358971,0.0458809249,0.0014423315,0.1386842430,0.0906819031,0.0000000000,0.0000000000,0.0788362250,0.0458718352,0.0553671271,0.0000000000,0.0017176145,0.0504607186,0.0510956682,0.0413052291,0.0594201945,0.0000000000,0.0168775097,0.0445419252,0.0565491132,0.0000000000,0.0000000000,0.0410501510,0.0398741961,0.0776101500,0.0742807165,0.0711552352,0.0379727297,0.0908861533,0.0856528580,0.0480938330,0.0502911583,0.0511979945,0.0524792522,0.0184311476,0.0212971661,0.1097755507,0.1097757816,0.0516445786,0.0000000000,0.0000000000,0.0355994403,0.0413775593,0.0447529703,0.0718270093,0.0722357929,0.0000000049,-0.0126759000,0.0980222300,0.0046236948,-0.0551955588,0.0848469138,-0.0046920259,0.0181594845,0.0848333389,0.0015441498
