Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:48:19:07.391,61,0.0000000000,0.0096883457,0.0506912023,0.0000000000,0.0000000000,0.0557717383,0.0002664352,0.0000000000,0.0097180093,0.0000000000,0.0000000000,0.0000000000,0.0555729866,0.0001925476,0.0007322377,0.0000000000,0.0116971573,0.0658153445,0.0387066863,0.0936213657,0.0000000000,0.0000000000,0.0012063576,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0172003675,0.0171287004,0.0549045838,0.0598571040,0.0000000000,0.0143800359,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0908168703,0.0893410370,0.0127152130,0.0148340082,0.1729013771,0.1728184521,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0174617227,0.0160865188,0.0091735972,0.0120730475,0.0000000000,0.0285912417,-0.0022016640,-0.0097476644,0.0336901844,0.0059386189,-0.0002378582,0.0309631042,0.0059190691,0.0001903430
13:48:19:08.392,61,0.0000000000,0.0083671007,0.0539972596,0.0000000000,0.0000000000,0.0550628379,0.0007400517,0.0000000000,0.0083984695,0.0000000000,0.0000000000,0.0000000000,0.0548635721,0.0006666888,0.0005283637,0.0000000000,0.0118301464,0.0657843128,0.0383655988,0.0947503299,0.0000000000,0.0000000000,0.0010678854,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0170517042,0.0169595815,0.0549821630,0.0597968251,0.0000000000,0.0141201271,0.0000000000,0.0011161058,0.0000000000,0.0000000000,0.0953018144,0.0931728929,0.0126679819,0.0148122888,0.1826148927,0.1825292557,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0170616992,0.0155630512,0.0089959092,0.0119486172,0.0000000000,0.0285912417,-0.0022016640,-0.0097476644,0.0357431397,0.0051317429,-0.0001933771,0.0329826549,0.0051122168,0.0001761030
13:48:19:09.394,61,0.0000000000,0.0067305770,0.0544254184,0.0000000000,0.0000000000,0.0551443845,0.0011717478,0.0000000000,0.0067624673,0.0000000000,0.0000000000,0.0000000000,0.0549448766,0.0010974453,0.0004282707,0.0000000000,0.0120156500,0.0662634075,0.0382437073,0.1045447066,0.0000000000,0.0000000000,0.0010603142,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0169725269,0.0168756898,0.0554878749,0.0604854673,0.0000000000,0.0139352074,0.0000000000,0.0043299953,0.0000000000,0.0000000000,0.1068786234,0.1053879112,0.0127140982,0.0149064129,0.1864574105,0.1863714606,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0168672744,0.0152858710,0.0088816201,0.0119109526,0.0000000000,0.0285912417,-0.0022016640,-0.0097476644,0.0360025354,0.0041319486,-0.0001528490,0.0332443416,0.0041123787,0.0001442291
13:48:19:10.395,61,0.0000000000,0.0053847348,0.0541773252,0.0000000000,0.0000000000,0.0552936718,0.0013549601,0.0000000000,0.0054169632,0.0000000000,0.0000000000,0.0000000000,0.0550941415,0.0012799550,0.0002174023,0.0000000000,0.0120599549,0.0668005347,0.0379980728,0.1077596173,0.0000000000,0.0000000000,0.0009057067,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0169111006,0.0168049857,0.0559537187,0.0609718896,0.0000000000,0.0137215145,0.0000000000,0.0078744749,0.0000000000,0.0000000000,0.1120020598,0.1101782620,0.0128025385,0.0150353843,0.1885310411,0.1884453148,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0166114084,0.0149603263,0.0086923242,0.0117565729,0.0000000000,0.0285912417,-0.0022016640,-0.0097476644,0.0358416103,0.0033097507,-0.0001212386,0.0330929160,0.0032900770,0.0001163359
13:48:19:11.397,61,0.0000000000,0.0049292878,0.0542429052,0.0000000000,0.0000000000,0.0553737916,0.0013238902,0.0000000000,0.0049616937,0.0000000000,0.0000000000,0.0000000000,0.0551742800,0.0012463714,0.0001675245,0.0000000000,0.0120743122,0.0668134391,0.0377959944,0.1081815362,0.0000000000,0.0000000000,0.0007708535,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0168176964,0.0166991130,0.0560353994,0.0610066243,0.0000000000,0.0136360778,0.0000000000,0.0089642517,0.0000000000,0.0000000000,0.1107319146,0.1090232506,0.0127509199,0.0149999000,0.1891420484,0.1890569031,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0163426585,0.0146483071,0.0085609974,0.0116609503,0.0000000000,0.0285912417,-0.0022016640,-0.0097476644,0.0358910561,0.0030315337,-0.0001101420,0.0331330039,0.0030118139,0.0001072486
13:48:19:12.399,61,0.0000000000,0.0067132022,0.0548654422,0.0000000000,0.0000000000,0.0533302128,0.0008424702,0.0000000000,0.0067452877,0.0000000000,0.0000000000,0.0000000000,0.0531299934,0.0007628949,0.0001123155,0.0000000000,0.0122106373,0.0669297054,0.0375454426,0.1089802682,0.0000000000,0.0000000000,0.0005705651,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0167703237,0.0166341085,0.0561227612,0.0610535704,0.0000000000,0.0135157192,0.0000000000,0.0100051360,0.0000000000,0.0000000000,0.1110111400,0.1092776135,0.0128099676,0.0150820138,0.1890571117,0.1889723837,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0160535052,0.0142892795,0.0084609082,0.0115786651,0.0000000000,0.0285912417,-0.0022016640,-0.0097476644,0.0362613685,0.0041214060,-0.0001513064,0.0335131250,0.0041018021,0.0001450388
13:48:19:13.400,61,0.0000000000,0.0089707188,0.0559414811,0.0000000000,0.0000000000,0.0490703881,0.0003827171,0.0000000000,0.0090026977,0.0000000000,0.0000000000,0.0000000000,0.0488673970,0.0003020078,0.0000000000,0.0000000000,0.0125059113,0.0669582710,0.0373686105,0.1092578843,0.0000000000,0.0000000000,0.0003673609,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0166232940,0.0164708719,0.0560988970,0.0610205196,0.0000000000,0.0133370413,0.0000000000,0.0101132523,0.0000000000,0.0000000000,0.1108841002,0.1090899482,0.0127891777,0.0150614567,0.1836416721,0.1835559160,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0156249451,0.0137308938,0.0082244687,0.0113450745,0.0000000000,0.0285912417,-0.0022016640,-0.0097476644,0.0369111374,0.0055007222,-0.0002012070,0.0341701545,0.0054812408,0.0001950551
13:48:19:14.401,61,0.0000000000,0.0111325784,0.0573629737,0.0000000000,0.0000000000,0.0436789617,0.0002506590,0.0000000000,0.0111648357,0.0000000000,0.0000000000,0.0000000000,0.0434740409,0.0001706014,0.0000000000,0.0000000000,0.0126612391,0.0667270645,0.0370530933,0.1089628786,0.0000000000,0.0000000000,0.0000990151,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0164415073,0.0162740257,0.0559754856,0.0608358160,0.0000000000,0.0131037869,0.0000000000,0.0098066498,0.0000000000,0.0000000000,0.1106039062,0.1087221876,0.0127373049,0.0150038060,0.1826622039,0.1825761795,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0150961773,0.0130615747,0.0080166683,0.0111451559,0.0000000000,0.0285912417,-0.0022016640,-0.0097476644,0.0377659239,0.0068217013,-0.0002456763,0.0350381322,0.0068023484,0.0002463314
13:48:19:15.403,61,0.0000000000,0.0113471234,0.0580697618,0.0000000000,0.0000000000,0.0412556306,0.0003131799,0.0000000000,0.0113799768,0.0000000000,0.0000000000,0.0000000000,0.0410497747,0.0002339771,0.0000000000,0.0000000000,0.0128572583,0.0667213127,0.0367162637,0.1089307815,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0163698606,0.0161821041,0.0561528243,0.0609617494,0.0000000000,0.0128826927,0.0000000000,0.0098049026,0.0000000000,0.0000000000,0.1111961156,0.1090635061,0.0127716288,0.0150376959,0.1822220534,0.1821358055,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0146922758,0.0125035932,0.0077773989,0.0108963996,0.0000000000,0.0285912417,-0.0022016640,-0.0097476644,0.0382052660,0.0069530453,-0.0002474248,0.0354698151,0.0069335499,0.0002540197
13:48:19:16.405,61,0.0000000000,0.0104955779,0.0585206486,0.0000000000,0.0000000000,0.0399740115,0.0006274261,0.0000000000,0.0105285915,0.0000000000,0.0000000000,0.0000000000,0.0397675931,0.0005488073,0.0000000000,0.0000000000,0.0130934715,0.0668705031,0.0364744104,0.1090915129,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0163549669,0.0161503423,0.0564575344,0.0612366870,0.0000000000,0.0126934946,0.0000000000,0.0101229902,0.0000000000,0.0000000000,0.1122557372,0.1096758544,0.0128679946,0.0151444906,0.1822224110,0.1821360141,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0145050967,0.0121856239,0.0076590921,0.0107790213,0.0000000000,0.0285912417,-0.0022016640,-0.0097476644,0.0384885632,0.0064327489,-0.0002263131,0.0357453562,0.0064132968,0.0002373781
