Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:48:19:07.391,61,0.0000000000,0.0100489641,0.0507465340,0.0000000000,0.0000000000,0.2304597795,0.1199294552,0.0000000000,0.0101174610,0.0678779334,0.0000000000,0.0000000000,0.2304610610,0.1198641509,0.0622289591,0.0000000000,0.0129875913,0.1045503467,0.0796561316,0.1269533038,0.0769034326,0.0000000000,0.0237594023,0.0000000000,0.0000000000,0.0186705664,0.0124074593,0.0449885577,0.0444834195,0.1230385825,0.1268486232,0.0606593750,0.0500611290,0.0507725440,0.1206650659,0.0363431163,0.0381771810,0.1196616143,0.1189057902,0.0234602075,0.0273740124,0.1981705725,0.1981782019,0.0627811402,0.0000000000,0.0000000000,0.0303228218,0.0675516427,0.0747869238,0.0740629211,0.0783703178,0.0000000258,0.0038165969,0.0013574334,-0.0056640506,-0.0414634869,0.0061857221,-0.0002564114,0.0309987105,0.0061415136,0.0001903509
13:48:19:08.392,61,0.0000000000,0.0087282006,0.0540523976,0.0000000000,0.0000000000,0.2298820317,0.1203463823,0.0000000000,0.0087984540,0.0645168424,0.0000000000,0.0000000000,0.2298830152,0.1202815399,0.0620376319,0.0000000000,0.0131204063,0.1045206040,0.0793295726,0.1280407459,0.0769667104,0.0000000000,0.0236240570,0.0000000000,0.0000000000,0.0197547395,0.0126472423,0.0448440984,0.0443190075,0.1231105700,0.1267926395,0.0604504496,0.0498106293,0.0506416894,0.1226161420,0.0361497700,0.0379844867,0.1240042746,0.1226132363,0.0234134905,0.0273525696,0.2075873315,0.2075912952,0.0624096654,0.0000000000,0.0000000000,0.0303319450,0.0671720132,0.0742946863,0.0738968700,0.0782542378,0.0000000256,0.0038165969,0.0013574334,-0.0056640506,-0.0394105315,0.0053788461,-0.0002119304,0.0330182612,0.0053346613,0.0001761109
13:48:19:09.394,61,0.0000000000,0.0070922729,0.0544805303,0.0000000000,0.0000000000,0.2299484909,0.1207264066,0.0000000000,0.0071631116,0.0640918836,0.0000000000,0.0000000000,0.2299492657,0.1206607372,0.0619436987,0.0000000000,0.0133056678,0.1049798355,0.0792128742,0.1374749392,0.0771405101,0.0000000000,0.0236166567,0.0000000000,0.0000000000,0.0200333744,0.0122742178,0.0447671600,0.0442374498,0.1235798225,0.1274322122,0.0601778999,0.0496324040,0.0503564030,0.1254391074,0.0359167047,0.0377522521,0.1352137923,0.1344316900,0.0234591048,0.0274454951,0.2113124430,0.2113157064,0.0621344484,0.0000000000,0.0000000000,0.0302629769,0.0669874996,0.0740340427,0.0737900659,0.0782191008,0.0000000219,0.0038165969,0.0013574334,-0.0056640506,-0.0391511358,0.0043790517,-0.0001714022,0.0332799479,0.0043348232,0.0001442370
13:48:19:10.395,61,0.0000000000,0.0057469206,0.0542324521,0.0000000000,0.0000000000,0.2300701588,0.1208876893,0.0000000000,0.0058181500,0.0643551201,0.0000000000,0.0000000000,0.2300708890,0.1208214015,0.0617458075,0.0000000000,0.0133499149,0.1054946929,0.0789777040,0.1405716240,0.0772547051,0.0000000000,0.0234655403,0.0000000000,0.0000000000,0.0202560853,0.0121481642,0.0447074696,0.0441687144,0.1240120828,0.1278839707,0.0599499457,0.0494264476,0.0499917008,0.1285524517,0.0356801562,0.0375128835,0.1401746869,0.1390665174,0.0235465821,0.0275728256,0.2133227289,0.2133259773,0.0618877485,0.0000000000,0.0000000000,0.0301484820,0.0667446777,0.0737279207,0.0736131668,0.0780750811,0.0000000224,0.0038165969,0.0013574334,-0.0056640506,-0.0393120609,0.0035568539,-0.0001397918,0.0331285223,0.0035125215,0.0001163438
13:48:19:11.397,61,0.0000000000,0.0052916398,0.0542980283,0.0000000000,0.0000000000,0.2301354557,0.1208603382,0.0000000000,0.0053630639,0.0642741099,0.0000000000,0.0000000000,0.2301361859,0.1207918376,0.0616989993,0.0000000000,0.0133642536,0.1055070609,0.0787842348,0.1409780234,0.0773660094,0.0000000000,0.0233337320,0.0000000000,0.0000000000,0.0208217502,0.0124571733,0.0446167067,0.0440657884,0.1240878776,0.1279162318,0.0599459484,0.0493441038,0.0499698669,0.1295096725,0.0355860889,0.0374222137,0.1389448345,0.1379490048,0.0234955251,0.0275377929,0.2139150649,0.2139188200,0.0616670623,0.0000000000,0.0000000000,0.0302025881,0.0664896294,0.0734345168,0.0734904408,0.0779858753,0.0000000177,0.0038165969,0.0013574334,-0.0056640506,-0.0392626151,0.0032786368,-0.0001286952,0.0331686102,0.0032342584,0.0001072566
13:48:19:12.399,61,0.0000000000,0.0070749046,0.0549205281,0.0000000000,0.0000000000,0.2284699529,0.1204365417,0.0000000000,0.0071459385,0.0636681765,0.0000000000,0.0000000000,0.2284704596,0.1203662306,0.0616471879,0.0000000000,0.0135004008,0.1056185067,0.0785443559,0.1417473853,0.0776413232,0.0000000000,0.0231379662,0.0000000000,0.0000000000,0.0209060796,0.0124484627,0.0445706733,0.0440025926,0.1241689399,0.1279598325,0.0598555580,0.0492281020,0.0499124005,0.1304239482,0.0355475135,0.0373890176,0.1392152011,0.1381951123,0.0235539302,0.0276188608,0.2138327211,0.2138368934,0.0615388751,0.0000000000,0.0000000000,0.0302785784,0.0662152171,0.0730969086,0.0733969063,0.0779091120,0.0000000175,0.0038165969,0.0013574334,-0.0056640506,-0.0388923027,0.0043685092,-0.0001698597,0.0335487314,0.0043242467,0.0001450467
13:48:19:13.400,61,0.0000000000,0.0093315989,0.0559965074,0.0000000000,0.0000000000,0.2249982208,0.1200318187,0.0000000000,0.0094024381,0.0626049265,0.0000000000,0.0000000000,0.2249972075,0.1199605092,0.0614947639,0.0000000000,0.0137952892,0.1056458876,0.0783750564,0.1420147866,0.0777761936,0.0000000000,0.0229393505,0.0000000000,0.0000000000,0.0209492054,0.0125617199,0.0444278009,0.0438438989,0.1241467968,0.1279291362,0.0596781150,0.0490558930,0.0497257598,0.1305189133,0.0353850946,0.0372313075,0.1390921921,0.1380135417,0.0235333666,0.0275985654,0.2085827291,0.2085864842,0.0613384731,0.0000000000,0.0000000000,0.0302925799,0.0658085048,0.0725718364,0.0731759518,0.0776911974,0.0000000198,0.0038165969,0.0013574334,-0.0056640506,-0.0382425338,0.0057478254,-0.0002197603,0.0342057608,0.0057036853,0.0001950630
13:48:19:14.401,61,0.0000000000,0.0114926705,0.0574179143,0.0000000000,0.0000000000,0.2206042409,0.1199155673,0.0000000000,0.0115637043,0.0612061024,0.0000000000,0.0000000000,0.2206025869,0.1198448315,0.0613270253,0.0000000000,0.0139504140,0.1054242700,0.0780729800,0.1417306364,0.0777542517,0.0000000000,0.0226770639,0.0000000000,0.0000000000,0.0209740214,0.0126648247,0.0442511551,0.0436525308,0.1240322813,0.1277575940,0.0594707206,0.0488310829,0.0495238081,0.1302496046,0.0352123156,0.0370601304,0.1388208866,0.1376577169,0.0234820582,0.0275416486,0.2076331973,0.2076367736,0.0610729381,0.0000000000,0.0000000000,0.0302859247,0.0653066933,0.0719424486,0.0729817599,0.0775046945,0.0000000199,0.0038165969,0.0013574334,-0.0056640506,-0.0373877473,0.0070688045,-0.0002642295,0.0350737385,0.0070247930,0.0002463393
13:48:19:15.403,61,0.0000000000,0.0117071383,0.0581246614,0.0000000000,0.0000000000,0.2186292410,0.1199706048,0.0000000000,0.0117787579,0.0604869127,0.0000000000,0.0000000000,0.2186272442,0.1199006215,0.0611471310,0.0000000000,0.0141461771,0.1054187566,0.0777504966,0.1416997164,0.0776067153,0.0000000000,0.0223491434,0.0000000000,0.0000000000,0.0181121528,0.0114434678,0.0441815332,0.0435631685,0.1241968349,0.1278745532,0.0592292137,0.0486179926,0.0492018461,0.1302480698,0.0350115485,0.0368554071,0.1393943131,0.1379879564,0.0235160086,0.0275751073,0.2072064877,0.2072099000,0.0609254576,0.0000000000,0.0000000000,0.0301913377,0.0649233833,0.0714177564,0.0727581605,0.0772726312,0.0000000188,0.0038165969,0.0013574334,-0.0056640506,-0.0369484052,0.0072001484,-0.0002659780,0.0355054215,0.0071559944,0.0002540276
13:48:19:16.405,61,0.0000000000,0.0108559020,0.0585755222,0.0000000000,0.0000000000,0.2175847292,0.1202472374,0.0000000000,0.0109277163,0.0600229353,0.0000000000,0.0000000000,0.2175824940,0.1201777682,0.0610362217,0.0000000000,0.0143820820,0.1055617556,0.0775189474,0.1418545395,0.0774919838,0.0000000000,0.0220506117,0.0000000000,0.0000000000,0.0136308521,0.0100674368,0.0441670604,0.0435322896,0.1244795769,0.1281298995,0.0590294525,0.0484356433,0.0489264205,0.1305274665,0.0348392874,0.0366825461,0.1404203176,0.1385804266,0.0236113258,0.0276805423,0.2072068304,0.2072101086,0.0609382391,0.0000000000,0.0000000000,0.0300912634,0.0647457466,0.0711187571,0.0726476014,0.0771631300,0.0000000151,0.0038165969,0.0013574334,-0.0056640506,-0.0366651081,0.0066798520,-0.0002448663,0.0357809626,0.0066357413,0.0002373861
