Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:49:03:19.101,61,0.0000000000,0.0000000000,0.0505700447,0.0000000000,0.1615951806,0.1111335680,0.4194478989,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1614132226,0.1109735519,0.4194346666,0.2823384106,0.0000000000,0.0258417223,0.0070683649,0.0082323318,0.0761446729,0.1522165239,0.0000000000,0.0070116883,0.0000000000,0.0000000000,0.6903908849,0.6850699186,0.0000000000,0.0000000000,0.0959042609,0.1039399430,0.1330458820,0.0040786471,0.4349106550,0.4182423651,0.0534331799,0.0517821200,0.0000000000,0.0000000000,0.0054555368,0.0061889770,0.1111842245,0.1110836416,0.4601206481,0.0000000000,0.0000000000,0.0378172733,0.0573263690,0.0583054796,0.0000000000,0.0000000000,0.0000040218,0.0166060310,-0.0095551973,-0.0095442738,0.0345954783,-0.0707349703,0.0028813647,0.0308128167,-0.0707652569,-0.0021794101
13:49:03:20.102,61,0.0000000000,0.0000000000,0.0504545681,0.0000000000,0.1628888100,0.1109054983,0.4192306101,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1627057642,0.1107442304,0.4192176163,0.2825880349,0.0000000000,0.0260902792,0.0070186807,0.0082037644,0.0760329515,0.1519092768,0.0000000000,0.0071004834,0.0000000000,0.0000000000,0.6901257634,0.6847418547,0.0000000000,0.0000000000,0.0960168839,0.1040667593,0.1332944632,0.0040554870,0.4353654981,0.4185824990,0.0535311326,0.0519001931,0.0000000000,0.0000000000,0.0054856334,0.0062262518,0.1137314439,0.1136324555,0.4539653361,0.0000000000,0.0000000000,0.0380872525,0.0572400801,0.0582053214,0.0000000000,0.0000000000,0.0000037044,0.0163621418,-0.0105085745,-0.0094630597,0.0345411003,-0.0712995753,0.0029082398,0.0307412259,-0.0713298246,-0.0021918139
13:49:03:21.104,61,0.0000000000,0.0000000000,0.0504089482,0.0000000000,0.1605313122,0.1104593724,0.4178682566,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1603488028,0.1102977544,0.4178557694,0.2826479673,0.0000000000,0.0262329653,0.0069287447,0.0081507992,0.0760584623,0.1518355310,0.0000000000,0.0071136574,0.0000000000,0.0000000000,0.6900979877,0.6846984029,0.0000000000,0.0000000000,0.0960520357,0.1041113809,0.1332506835,0.0039590923,0.4353884757,0.4185472429,0.0535698012,0.0519356877,0.0000000000,0.0000000000,0.0055134795,0.0062557100,0.1150401980,0.1149419770,0.4518362284,0.0000000000,0.0000000000,0.0382533111,0.0571361482,0.0580976382,0.0000000000,0.0000000000,0.0000039774,0.0163621418,-0.0105085745,-0.0094630597,0.0344920494,-0.0702704489,0.0028696849,0.0307156611,-0.0703006089,-0.0021581918
13:49:03:22.105,61,0.0000000000,0.0000000000,0.0504888743,0.0000000000,0.1594740003,0.1097532883,0.4172146916,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1592923105,0.1095919237,0.4172022939,0.2821541131,0.0000000000,0.0263147634,0.0068242112,0.0081197647,0.0762976557,0.1519904137,0.0000000000,0.0070510749,0.0000000000,0.0000000000,0.6901233792,0.6847242713,0.0000000000,0.0000000000,0.0962546691,0.1043145955,0.1321448386,0.0037819995,0.4305152893,0.4134242535,0.0533786528,0.0517232902,0.0000000000,0.0000000000,0.0054920190,0.0062268688,0.1153717786,0.1152738854,0.4505260289,0.0000000000,0.0000000000,0.0383751020,0.0568813421,0.0578261279,0.0000000000,0.0000000000,0.0000070202,0.0163621418,-0.0105085745,-0.0094630597,0.0345415659,-0.0698089376,0.0028473854,0.0307653602,-0.0698391721,-0.0021473982
13:49:03:23.107,61,0.0000000000,0.0000000000,0.0502543226,0.0000000000,0.1592974961,0.1090348139,0.4165303409,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1591144502,0.1088740602,0.4165183604,0.2818768024,0.0000000000,0.0262735486,0.0066749915,0.0080379704,0.0765678734,0.1521813124,0.0000000000,0.0068350495,0.0000000000,0.0000000000,0.6906973124,0.6854723692,0.0000000000,0.0000000000,0.0966369659,0.1046247184,0.1314230412,0.0036007555,0.4290567935,0.4118732810,0.0531277247,0.0514644608,0.0000000000,0.0000000000,0.0054654288,0.0061879884,0.1140898690,0.1139897108,0.4495845139,0.0000000000,0.0000000000,0.0383382626,0.0565847307,0.0574888289,0.0000000000,0.0000000000,0.0000086362,0.0163621418,-0.0105085745,-0.0094630597,0.0343856849,-0.0697317198,0.0028550758,0.0306225978,-0.0697618127,-0.0021350656
13:49:03:24.109,61,0.0000000000,0.0000000000,0.0500061028,0.0000000000,0.1589303166,0.1084947810,0.4160709679,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1587456167,0.1083339900,0.4160596728,0.2817323208,0.0000000000,0.0262451656,0.0065703606,0.0079923095,0.0768589601,0.1519272625,0.0000000000,0.0065366719,0.0000000000,0.0000000000,0.6913853884,0.6863710284,0.0000000000,0.0000000000,0.0972388536,0.1051364467,0.1308559924,0.0034804544,0.4278142154,0.4106124043,0.0528498888,0.0511807092,0.0000000000,0.0000000000,0.0054449970,0.0061464575,0.1098791733,0.1097696051,0.4493134618,0.0000000000,0.0000000000,0.0381883904,0.0564726554,0.0572849773,0.0000000000,0.0000000000,0.0000110742,0.0163621418,-0.0105085745,-0.0094630597,0.0342377648,-0.0695710704,0.0028587584,0.0304716863,-0.0696012005,-0.0021196369
13:49:03:25.110,61,0.0000000000,0.0000000000,0.0494188592,0.0000000000,0.1586065590,0.1082516462,0.4154391885,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1584180444,0.1080909446,0.4154284894,0.2813875079,0.0000000000,0.0261693262,0.0065384335,0.0080234529,0.0772088915,0.1515835226,0.0000000000,0.0062480401,0.0000000000,0.0000000000,0.6916765571,0.6867973208,0.0000000000,0.0000000000,0.0978936031,0.1056890264,0.1303085089,0.0034171268,0.4214638472,0.4041322470,0.0525714532,0.0508883633,0.0000000000,0.0000000000,0.0054074698,0.0060854261,0.1079164967,0.1078026369,0.4497991502,0.0000000000,0.0000000000,0.0381698608,0.0564258173,0.0571587682,0.0000000000,0.0000000000,0.0000126983,0.0163621418,-0.0105085745,-0.0094630597,0.0338768698,-0.0694290400,0.0028779071,0.0301141441,-0.0694591329,-0.0020904990
13:49:03:26.112,61,0.0000000000,0.0000000000,0.0483388975,0.0000000000,0.1596231610,0.1081101298,0.4149190784,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1594267339,0.1079501659,0.4149090946,0.2810939252,0.0000000000,0.0260466002,0.0064728889,0.0080050211,0.0773845688,0.1516045034,0.0000000000,0.0059875287,0.0000000000,0.0000000000,0.6916743517,0.6868687272,0.0000000000,0.0000000000,0.0982878655,0.1059749275,0.1298660636,0.0033667863,0.4193872809,0.4019388556,0.0524041019,0.0507167168,0.0000000000,0.0000000000,0.0053677033,0.0060255206,0.1048115715,0.1046971157,0.4500867128,0.0000000000,0.0000000000,0.0382390842,0.0562273078,0.0569007136,0.0000000000,0.0000000000,0.0000113556,0.0163621418,-0.0105085745,-0.0094630597,0.0332302675,-0.0698714182,0.0029413025,0.0294551365,-0.0699015409,-0.0020579267
13:49:03:27.113,61,0.0000000000,0.0000000000,0.0472247936,0.0000000000,0.1615014672,0.1092017442,0.4145415723,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1612962931,0.1090504602,0.4145322144,0.2806473970,0.0000000000,0.0258394387,0.0064533749,0.0080097569,0.0773928016,0.1516921371,0.0000000000,0.0057587237,0.0000000000,0.0000000000,0.6912714243,0.6865279675,0.0000000000,0.0000000000,0.0985552296,0.1061501130,0.1295022219,0.0033573241,0.4176414311,0.4003233910,0.0522622019,0.0505725332,0.0000000000,0.0000000000,0.0053072735,0.0059400550,0.1036587209,0.1035437658,0.4525712430,0.0000000000,0.0000000000,0.0382768214,0.0561311990,0.0567938276,0.0000000000,0.0000000000,0.0000120343,0.0158101711,-0.0112928301,-0.0090155192,0.0325654298,-0.0706898719,0.0030226414,0.0287746061,-0.0707200617,-0.0020341463
13:49:03:28.115,61,0.0000000000,0.0000000000,0.0463568047,0.0000000000,0.1645941734,0.1102310121,0.4146262705,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1643813550,0.1100858003,0.4146173000,0.2800002098,0.0000000000,0.0257675871,0.0064407401,0.0080377767,0.0773892552,0.1517832428,0.0000000000,0.0057112477,0.0000000000,0.0000000000,0.6907251477,0.6859645844,0.0000000000,0.0000000000,0.0986765549,0.1062442288,0.1289823800,0.0033450290,0.4126954377,0.3960458338,0.0520305112,0.0503473207,0.0000000000,0.0000000000,0.0052152616,0.0058256593,0.0978799686,0.0977705643,0.4576560855,0.0000000000,0.0000000000,0.0383953154,0.0559812635,0.0566711538,0.0000000000,0.0000000000,0.0000149798,0.0152477883,-0.0130998325,-0.0092738699,0.0320823640,-0.0720386878,0.0031150666,0.0282430071,-0.0720689744,-0.0020349571
