Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:19:31.875,61,0.0000000000,0.1843460202,0.0636446625,0.0000000000,0.0000000000,0.0000000000,0.0047186706,0.0000000000,0.1843743175,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0047015729,0.0084716799,0.0000000000,0.0122531662,0.0278245136,0.0414667428,0.0534118116,0.0021224017,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0457565933,0.0519725569,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0128192361,0.0134285707,0.0024147835,0.0028547365,0.0000000000,0.0000000000,0.7131599188,0.6406995058,0.6407002211,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0125427004,0.0922454000,0.0003228984,0.0416237637,0.1126454845,-0.0037821573,0.0386286676,0.1126543060,0.0043818001
13:45:19:32.876,61,0.0000000000,0.1882986128,0.0640868545,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1883309931,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0127668586,0.0000000000,0.0130936308,0.0380094573,0.0526680797,0.0562642068,0.0054207928,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0482305698,0.0552486517,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0161417127,0.0169510674,0.0024097790,0.0028538865,0.0000000000,0.0000000000,0.7233727574,0.6482182145,0.6482187510,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0125427004,0.0922454000,0.0003228984,0.0418867879,0.1150618568,-0.0038337784,0.0388862975,0.1150709093,0.0045062494
13:45:19:33.878,61,0.0000000000,0.1902297139,0.0652240589,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1902715415,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0150058400,0.0000000000,0.0136054186,0.0542135015,0.0720419511,0.0617689155,0.0069267303,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0542613193,0.0631609261,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0252348278,0.0268141758,0.0023967647,0.0028663490,0.0000000000,0.0000000000,0.7303358912,0.6526427269,0.6526426077,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0125427004,0.0922454000,0.0003228984,0.0425235070,0.1162450090,-0.0037991956,0.0395708755,0.1162541732,0.0046329531
13:45:19:34.879,61,0.0000000000,0.1869330555,0.0643436760,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1869669408,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0175171662,0.0000000000,0.0140557848,0.0634958073,0.0814776346,0.0642764568,0.0077562970,0.0000000000,0.0019477226,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0609144010,0.0711400658,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0308762603,0.0330706127,0.0023640790,0.0028657385,0.0000000000,0.0000000000,0.7349065542,0.6555778980,0.6555760503,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0125427004,0.0922454000,0.0003228984,0.0419455841,0.1142282411,-0.0037989269,0.0390458852,0.1142371297,0.0044917068
13:45:19:35.881,61,0.0000000000,0.1873475015,0.0646311417,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1873837411,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0192371085,0.0000000000,0.0143470448,0.0702418685,0.0874256417,0.0681897029,0.0084090708,0.0000000000,0.0032541358,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0658302158,0.0761951730,0.0000000000,0.0014808886,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0362710580,0.0386226326,0.0023449869,0.0028778801,0.0000000000,0.0000000000,0.7406558394,0.6586137414,0.6586097479,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0125427004,0.0922454000,0.0003228984,0.0421010293,0.1144822910,-0.0037895713,0.0392191783,0.1144911721,0.0045217150
13:45:19:36.882,61,0.0000000000,0.1880563498,0.0640298873,0.0000000000,0.0000000000,0.0000000000,0.0123287309,0.0000000000,0.1880875379,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0122629395,0.0213891640,0.0000000000,0.0147008244,0.0772339925,0.0955002382,0.0737193376,0.0100331893,0.0000000000,0.0042543430,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0687054619,0.0793274939,0.0000000000,0.0038997107,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0394336730,0.0420602411,0.0022965684,0.0028529197,0.0000000000,0.0000000000,0.7484679222,0.6627937555,0.6627848148,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0125427004,0.0922454000,0.0003228984,0.0417253450,0.1149137318,-0.0038474496,0.0388523899,0.1149227098,0.0044964873
13:45:19:37.884,61,0.0000000000,0.1906646788,0.0631269440,0.0000000000,0.0000000000,0.0000000000,0.0418385975,0.0000000000,0.1906883568,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0417696163,0.0229677968,0.0000000000,0.0149537129,0.0899177343,0.1059154198,0.0851637125,0.0128758363,0.0000000000,0.0050433404,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0734130740,0.0844101757,0.0013165663,0.0055239140,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0446581617,0.0477093905,0.0022760271,0.0028597030,0.0000000000,0.0000000000,0.7569500208,0.6674001813,0.6673884392,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0125427004,0.0922454000,0.0003228984,0.0411431454,0.1165050492,-0.0039696000,0.0382973850,0.1165141612,0.0044941627
13:45:19:38.885,61,0.0000000000,0.1928999424,0.0618610233,0.0000000000,0.0000000000,0.0000000000,0.0564705282,0.0000000000,0.1929131597,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0564140007,0.0238173194,0.0000000000,0.0150391115,0.1003421545,0.1148829982,0.1090245470,0.0294886529,0.0000000000,0.0055670505,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0782677606,0.0891002566,0.0025627164,0.0065065566,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0483390912,0.0513754115,0.0023034955,0.0029094941,0.0000000000,0.0000000000,0.7661430836,0.6721421480,0.6721318960,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0125427004,0.0922454000,0.0003228984,0.0403815433,0.1178674698,-0.0041068927,0.0375233404,0.1178766340,0.0044553303
13:45:19:39.887,61,0.0000000000,0.1947461218,0.0610137880,0.0000000000,0.0000000000,0.0000000000,0.0675129294,0.0000000000,0.1947520077,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0674695373,0.0248987861,0.0000000000,0.0150856860,0.1055295840,0.1189548150,0.1163556576,0.0343480669,0.0000000000,0.0058237854,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0814322084,0.0919145942,0.0035709338,0.0073611755,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0514329150,0.0543061234,0.0023536126,0.0029720669,0.0000000000,0.0000000000,0.7723734975,0.6756549478,0.6756461263,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0125427004,0.0922454000,0.0003228984,0.0398606732,0.1189931631,-0.0042089503,0.0370044485,0.1190024912,0.0044360915
13:45:19:40.889,61,0.0000000000,0.1950270534,0.0608295389,0.0000000000,0.0000000000,0.0000000000,0.0748761222,0.0000000000,0.1950313747,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0748399049,0.0254074968,0.0000000000,0.0149999745,0.1085401103,0.1213018447,0.1209402159,0.0375808962,0.0000000000,0.0060358583,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0833763480,0.0936059356,0.0040327059,0.0079179984,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0531667173,0.0559776872,0.0024102121,0.0030442618,0.0000000000,0.0000000000,0.7749153376,0.6770794988,0.6770711541,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0125427004,0.0922454000,0.0003228984,0.0397521891,0.1191643253,-0.0042280830,0.0368919522,0.1191736609,0.0044290330
13:45:19:41.890,61,0.0000000000,0.1951933801,0.0607570224,0.0000000000,0.0000000000,0.0000000000,0.0898979753,0.0000000000,0.1951969266,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0898793191,0.0255863182,0.0000000000,0.0149295526,0.1095015854,0.1220941097,0.1224466413,0.0390080772,0.0000000000,0.0061947387,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0843494013,0.0944331661,0.0040588155,0.0081294375,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0538008474,0.0565651655,0.0024305782,0.0030724921,0.0000000000,0.0000000000,0.7760751247,0.6779372692,0.6779294610,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0125427004,0.0922454000,0.0003228984,0.0396920629,0.1192657202,-0.0042389403,0.0368475243,0.1192750931,0.0044275015
