Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:19:31.875,61,0.0000000000,0.1846430302,0.0636992380,0.0000000000,0.0000000000,0.0605265349,0.1238487810,0.0000000000,0.1847033203,0.0552405715,0.0000000000,0.0000000000,0.0605269335,0.1238334700,0.0694921017,0.0000000000,0.0135428738,0.0681347698,0.0822986141,0.0882224441,0.0929058269,0.0000000000,0.0192298256,0.0000000000,0.0000000000,0.1319579631,0.1284557730,0.0220079832,0.0216625277,0.1145500913,0.1195259020,0.0688935593,0.0249450095,0.0924851894,0.0898880512,0.0336698666,0.0353365019,0.0441385359,0.0454578325,0.0132718813,0.0155472225,0.0000000000,0.0000000000,0.7374169827,0.6406995058,0.6407002211,0.0362312943,0.0336076878,0.0356327407,0.0498695597,0.0518837459,0.0000000048,-0.0122319441,0.0958044976,0.0044065122,-0.0335299075,0.1128925905,-0.0038007107,0.0386642739,0.1128767505,0.0043818080
13:45:19:32.876,61,0.0000000000,0.1885941923,0.0641414076,0.0000000000,0.0000000000,0.0602767430,0.0968783945,0.0000000000,0.1886584014,0.0548224114,0.0000000000,0.0000000000,0.0602769777,0.0968497023,0.0735229477,0.0000000000,0.0143822413,0.0778974071,0.0930227935,0.0909699425,0.0959041417,0.0000000000,0.0198694468,0.0000000000,0.0000000000,0.1336063296,0.1289973259,0.0224314276,0.0221368615,0.1168457121,0.1225685552,0.0735238045,0.0278913286,0.0914952084,0.0883160084,0.0334398746,0.0351023525,0.0473556034,0.0488659702,0.0132669313,0.0155463833,0.0000000000,0.0000000000,0.7467661500,0.6482182145,0.6482187510,0.0367600657,0.0340696834,0.0361410677,0.0492971875,0.0513663106,0.0000000019,-0.0122319441,0.0958044976,0.0044065122,-0.0332668833,0.1153089628,-0.0038523318,0.0389219038,0.1152933538,0.0045062574
13:45:19:33.878,61,0.0000000000,0.1905245930,0.0652785450,0.0000000000,0.0000000000,0.0600395463,0.0869309902,0.0000000000,0.1905981749,0.0537805408,0.0000000000,0.0000000000,0.0600396320,0.0868981108,0.0756241381,0.0000000000,0.0148933604,0.0934295654,0.1115713716,0.0962722152,0.0972730741,0.0000000000,0.0218468495,0.0000000000,0.0000000000,0.1257953495,0.1092499718,0.0229619332,0.0227362625,0.1224416941,0.1299170256,0.0785019100,0.0315451287,0.0866219252,0.0842876956,0.0331359506,0.0347948484,0.0561602302,0.0584088713,0.0132540585,0.0155586870,0.0000000000,0.0000000000,0.7531404495,0.6526427269,0.6526426077,0.0369844139,0.0346770808,0.0371245332,0.0488707125,0.0510449484,0.0000000013,-0.0122319441,0.0958044976,0.0044065122,-0.0326301642,0.1164921150,-0.0038177490,0.0396064818,0.1164766178,0.0046329610
13:45:19:34.879,61,0.0000000000,0.1872291267,0.0643982142,0.0000000000,0.0000000000,0.0598464981,0.0939055234,0.0000000000,0.1872949004,0.0547202677,0.0000000000,0.0000000000,0.0598463938,0.0938715413,0.0779809132,0.0000000000,0.0153431389,0.1023269892,0.1206051111,0.0986875445,0.0980271697,0.0000000000,0.0244840272,0.0000000000,0.0000000000,0.1236700341,0.1039413959,0.0235546269,0.0234037042,0.1286151409,0.1373275965,0.0845377669,0.0349431969,0.0827950612,0.0812199488,0.0327923931,0.0344465338,0.0616226830,0.0644621924,0.0132217286,0.0155580845,0.0000000000,0.0000000000,0.7573245764,0.6555778980,0.6555760503,0.0370501913,0.0352870114,0.0379703939,0.0484784096,0.0507585518,0.0000000007,-0.0122319441,0.0958044976,0.0044065122,-0.0332080871,0.1144753471,-0.0038174803,0.0390814915,0.1144595742,0.0044917148
13:45:19:35.881,61,0.0000000000,0.1876434237,0.0646856576,0.0000000000,0.0000000000,0.0595847294,0.1090296358,0.0000000000,0.1877115369,0.0544657186,0.0000000000,0.0000000000,0.0595844835,0.1089886501,0.0795950070,0.0000000000,0.0156340189,0.1087933332,0.1262997389,0.1024568826,0.0986205563,0.0000000000,0.0257609412,0.0000000000,0.0000000000,0.1214198470,0.1008495688,0.0241922755,0.0241100937,0.1331765652,0.1420224905,0.0882485285,0.0376289524,0.0800702497,0.0795357227,0.0324734114,0.0341241062,0.0668463260,0.0698339641,0.0132028442,0.0155700715,0.0000000000,0.0000000000,0.7625876665,0.6586137414,0.6586097479,0.0370749757,0.0359142534,0.0388273820,0.0481718965,0.0505598933,0.0000000007,-0.0122319441,0.0958044976,0.0044065122,-0.0330526419,0.1147293970,-0.0038081247,0.0392547846,0.1147136167,0.0045217229
13:45:19:36.882,61,0.0000000000,0.1883520186,0.0640844405,0.0000000000,0.0000000000,0.0593227781,0.1305479556,0.0000000000,0.1884150505,0.0550875217,0.0000000000,0.0000000000,0.0593223944,0.1304897815,0.0816146210,0.0000000000,0.0159873366,0.1154955328,0.1340303719,0.1077831611,0.1000969186,0.0000000000,0.0267385636,0.0000000000,0.0000000000,0.1202901527,0.0992532820,0.0247937385,0.0247787125,0.1358445287,0.1449316144,0.0914515182,0.0399602093,0.0785171464,0.0780289695,0.0321891308,0.0338406451,0.0699086040,0.0731599703,0.0131549528,0.0155454287,0.0000000000,0.0000000000,0.7697390914,0.6627937555,0.6627848148,0.0371833891,0.0365296304,0.0396130718,0.0478820242,0.0503584743,0.0000000007,-0.0122319441,0.0958044976,0.0044065122,-0.0334283262,0.1151608378,-0.0038660029,0.0388879962,0.1151451543,0.0044964952
13:45:19:37.884,61,0.0000000000,0.1909593940,0.0631815493,0.0000000000,0.0000000000,0.0588660389,0.1565256417,0.0000000000,0.1910148114,0.0560573079,0.0000000000,0.0000000000,0.0588655509,0.1564646661,0.0830961019,0.0000000000,0.0162398946,0.1276533604,0.1440018862,0.1188066751,0.1026809514,0.0000000000,0.0275097452,0.0000000000,0.0000000000,0.1196156144,0.0984265879,0.0253728256,0.0254275650,0.1402127594,0.1496521235,0.0934696794,0.0415256135,0.0767831430,0.0770876110,0.0318664573,0.0335135944,0.0749673396,0.0786257163,0.0131346351,0.0155521259,0.0000000000,0.0000000000,0.7775039077,0.6674001813,0.6673884392,0.0371938162,0.0371255614,0.0403652824,0.0476553366,0.0502187200,0.0000000011,-0.0122319441,0.0958044976,0.0044065122,-0.0340105258,0.1167521551,-0.0039881533,0.0383329913,0.1167366058,0.0044941707
13:45:19:38.885,61,0.0000000000,0.1931938380,0.0619157031,0.0000000000,0.0000000000,0.0583686009,0.1694062054,0.0000000000,0.1932387203,0.0573217981,0.0000000000,0.0000000000,0.0583680570,0.1693561971,0.0838933438,0.0000000000,0.0163251814,0.1376455426,0.1525874585,0.1417900324,0.1177823916,0.0000000000,0.0280216299,0.0000000000,0.0000000000,0.1190547720,0.0979806036,0.0258859955,0.0260035824,0.1447174549,0.1540080011,0.0946008414,0.0424726829,0.0757710636,0.0766863897,0.0315713584,0.0332059637,0.0785314888,0.0821727216,0.0131618045,0.0156012829,0.0000000000,0.0000000000,0.7859195471,0.6721421480,0.6721318960,0.0372041017,0.0377580673,0.0411274396,0.0475183204,0.0501440801,0.0000000012,-0.0122319441,0.0958044976,0.0044065122,-0.0347721279,0.1181145757,-0.0041254461,0.0375589468,0.1180990785,0.0044553382
13:45:19:39.887,61,0.0000000000,0.1950393468,0.0610685162,0.0000000000,0.0000000000,0.0579143092,0.1791268885,0.0000000000,0.1950768232,0.0581882559,0.0000000000,0.0000000000,0.0579137281,0.1790884435,0.0849082544,0.0000000000,0.0163716953,0.1426178813,0.1564858258,0.1488515437,0.1221997142,0.0000000000,0.0282725673,0.0000000000,0.0000000000,0.1187178046,0.0980100259,0.0264135655,0.0265812427,0.1476537734,0.1566217989,0.0955160260,0.0432963632,0.0749999955,0.0765112340,0.0313364826,0.0329560265,0.0815271586,0.0850082859,0.0132113760,0.0156630594,0.0000000000,0.0000000000,0.7916230559,0.6756549478,0.6756461263,0.0372225605,0.0383880623,0.0418600440,0.0474236943,0.0500843637,0.0000000025,-0.0122319441,0.0958044976,0.0044065122,-0.0352929980,0.1192402691,-0.0042275037,0.0370400548,0.1192249358,0.0044360994
13:45:19:40.889,61,0.0000000000,0.1953201741,0.0608842783,0.0000000000,0.0000000000,0.0574824251,0.1856087446,0.0000000000,0.1953560859,0.0583683029,0.0000000000,0.0000000000,0.0574818403,0.1855766177,0.0853856578,0.0000000000,0.0162860956,0.1455035806,0.1587328762,0.1532675028,0.1251384318,0.0000000000,0.0284798518,0.0000000000,0.0000000000,0.1185152903,0.0981220677,0.0268466435,0.0270631015,0.1494577527,0.1581926197,0.0959351882,0.0438330285,0.0742719024,0.0764956772,0.0310757030,0.0326744393,0.0832059532,0.0866255835,0.0132673597,0.0157343354,0.0000000000,0.0000000000,0.7939499617,0.6770794988,0.6770711541,0.0372477844,0.0389326252,0.0425065495,0.0473425202,0.0500366054,0.0000000034,-0.0122319441,0.0958044976,0.0044065122,-0.0354014821,0.1194114313,-0.0042466363,0.0369275585,0.1193961054,0.0044290409
