Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:48:54:00.366,61,0.0000000000,0.0166883226,0.0512718856,0.0000000000,0.0000000000,0.0000000000,0.4251031578,0.0000000000,0.0167104565,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4251057506,0.0926862881,0.0000000000,0.0244324524,0.0352117606,0.0390617512,0.0415612049,0.0000000000,0.0000000000,0.0023922387,0.0000000000,0.0000000000,0.0575645491,0.0552687682,0.0104104569,0.0096630109,0.0670710877,0.0697181299,0.0670763925,0.0314257145,0.0153267151,0.0182443690,0.0043555670,0.0051966440,0.0383636951,0.0394116975,0.0002984165,0.0007280961,0.0000000000,0.0000000000,0.5806922913,0.5513367057,0.5513072610,0.0213106163,0.0156054124,0.0128498329,0.0000000000,0.0000000000,0.0000025060,0.0022783745,-0.0045470116,-0.0024645594,0.0353081897,0.0102113234,-0.0003980727,0.0313166939,0.0101957275,0.0003265840
13:48:54:01.367,61,0.0000000000,0.0164745599,0.0505852029,0.0000000000,0.0000000000,0.0000000000,0.4256446660,0.0000000000,0.0164964851,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4256472588,0.0932428539,0.0000000000,0.0245402995,0.0351951569,0.0389299840,0.0411100686,0.0000000000,0.0000000000,0.0024277263,0.0000000000,0.0000000000,0.0565412864,0.0543688908,0.0106587876,0.0098840492,0.0671719834,0.0698499605,0.0677167550,0.0318707712,0.0151684079,0.0179632306,0.0046006441,0.0054812436,0.0383697115,0.0394001007,0.0002688992,0.0006938881,0.0000000000,0.0000000000,0.5807168484,0.5511152148,0.5510858297,0.0216978677,0.0156980120,0.0129553871,0.0000000000,0.0000000000,0.0000030421,0.0022783745,-0.0045470116,-0.0024645594,0.0348835811,0.0100807417,-0.0003972524,0.0308973063,0.0100649931,0.0003181730
13:48:54:02.369,61,0.0000000000,0.0157553703,0.0502547771,0.0000000000,0.0000000000,0.0000000000,0.4259421527,0.0000000000,0.0157772694,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4259446859,0.0945168361,0.0000000000,0.0245846529,0.0353337638,0.0389927477,0.0407428630,0.0000000000,0.0000000000,0.0025435379,0.0000000000,0.0000000000,0.0601816252,0.0567628480,0.0108246747,0.0100335516,0.0674075186,0.0701073632,0.0685152635,0.0323402248,0.0148747796,0.0176357273,0.0047433996,0.0056487420,0.0384639725,0.0395075157,0.0002335800,0.0006572152,0.0000000000,0.0000000000,0.5807626843,0.5507678390,0.5507383943,0.0219235122,0.0158231948,0.0131176086,0.0000000000,0.0000000000,0.0000040390,0.0022783745,-0.0045470116,-0.0024645594,0.0346975774,0.0096412916,-0.0003813965,0.0306956172,0.0096255550,0.0003025953
13:48:54:03.371,61,0.0000000000,0.0151784979,0.0504486822,0.0000000000,0.0000000000,0.0000000000,0.4261099398,0.0000000000,0.0152007630,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4261122942,0.0950231627,0.0000000000,0.0246648975,0.0356119871,0.0392581932,0.0405955724,0.0000000000,0.0000000000,0.0026153857,0.0000000000,0.0000000000,0.0607942231,0.0571450815,0.0109604523,0.0101563698,0.0678376555,0.0705798566,0.0690420344,0.0326753780,0.0143061858,0.0171739496,0.0047538634,0.0056720525,0.0387177281,0.0397784822,0.0002115171,0.0006321670,0.0000000000,0.0000000000,0.5807709694,0.5504749417,0.5504454970,0.0218309388,0.0159532744,0.0132747507,0.0000000000,0.0000000000,0.0000042423,0.0022783745,-0.0045470116,-0.0024645594,0.0348113813,0.0092889341,-0.0003660597,0.0308141634,0.0092731612,0.0002928917
13:48:54:04.372,61,0.0000000000,0.0147283226,0.0502917096,0.0000000000,0.0000000000,0.0000000000,0.4257238209,0.0000000000,0.0147505701,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4257260859,0.0943609625,0.0000000000,0.0246811938,0.0358695164,0.0395890884,0.0407055169,0.0000000000,0.0000000000,0.0027574690,0.0000000000,0.0000000000,0.0341663063,0.0314706862,0.0110389087,0.0102326330,0.0680638626,0.0708798245,0.0688685030,0.0328534655,0.0085702417,0.0115778632,0.0045969873,0.0055145826,0.0391363986,0.0402199738,0.0001705890,0.0005860013,0.0000000000,0.0000000000,0.5809372663,0.5504044294,0.5503748059,0.0217690673,0.0159610547,0.0133166406,0.0000000000,0.0000000000,0.0000049216,0.0025831554,-0.0052990415,-0.0030419510,0.0347419456,0.0090138391,-0.0003556063,0.0307183564,0.0089981053,0.0002835239
13:48:54:05.374,61,0.0000000000,0.0169290286,0.0501963012,0.0000000000,0.0000000000,0.0000000000,0.4254080057,0.0000000000,0.0169503894,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4254101217,0.0939883888,0.0000000000,0.0247461703,0.0369770899,0.0413193479,0.0408084951,0.0000000000,0.0000000000,0.0028031538,0.0000000000,0.0000000000,0.0216173586,0.0210763812,0.0111541534,0.0103471614,0.0682309270,0.0711447671,0.0690766051,0.0333221592,0.0008233108,0.0029562470,0.0042963736,0.0052073970,0.0401288606,0.0412187241,0.0001117446,0.0005134630,0.0000000000,0.0000000000,0.5813554525,0.5504524708,0.5504231453,0.0214702450,0.0159524344,0.0133224409,0.0000000000,0.0000000000,0.0000050488,0.0028714575,-0.0057407320,-0.0036356591,0.0346512534,0.0103582283,-0.0004108870,0.0306596775,0.0103425682,0.0003242493
13:48:54:06.375,61,0.0000000000,0.0153098805,0.0502386056,0.0000000000,0.0000000000,0.0000000000,0.4250125289,0.0000000000,0.0153319566,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4250147045,0.0939839259,0.0000000000,0.0249582697,0.0391698554,0.0438631885,0.0412103683,0.0000000000,0.0000000000,0.0028417895,0.0000000000,0.0000000000,0.0193833169,0.0204375405,0.0112332655,0.0104202786,0.0684469789,0.0714892596,0.0695741400,0.0345213041,0.0000000000,0.0000000000,0.0040894402,0.0049952120,0.0410357714,0.0421293713,0.0000215601,0.0004022840,0.0000000000,0.0000000000,0.5810774565,0.5501921177,0.5501631498,0.0218560509,0.0160158370,0.0133678177,0.0000000000,0.0000000000,0.0000040163,0.0033796746,-0.0052288040,-0.0041879970,0.0347038880,0.0093691507,-0.0003703281,0.0306858178,0.0093533872,0.0002941380
13:48:54:07.377,61,0.0000000000,0.0110423863,0.0508015566,0.0000000000,0.0000000000,0.0000000000,0.4248537719,0.0000000000,0.0110662468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4248559475,0.0904197320,0.0000000000,0.0250836741,0.0421725400,0.0487464555,0.0447413400,0.0000000000,0.0000000000,0.0027265705,0.0000000000,0.0000000000,0.0131580178,0.0170373525,0.0111772548,0.0103650913,0.0686081499,0.0717746243,0.0693719313,0.0350157581,0.0000000000,0.0000000000,0.0036262081,0.0044971225,0.0425284207,0.0434821248,0.0000000000,0.0002784748,0.0000000000,0.0000000000,0.5808979273,0.5501363873,0.5501082540,0.0222902559,0.0160014778,0.0133194299,0.0000000000,0.0000000000,0.0000032337,0.0037855003,-0.0037015104,-0.0046063899,0.0351188853,0.0067621777,-0.0002619915,0.0310303438,0.0067463168,0.0002164520
13:48:54:08.378,61,0.0000000000,0.0080278097,0.0508378558,0.0000000000,0.0000000000,0.0000000000,0.4250580668,0.0000000000,0.0080525270,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4250601530,0.0859415606,0.0000000000,0.0251990464,0.0442251936,0.0519996546,0.0472294316,0.0000000000,0.0000000000,0.0027373757,0.0000000000,0.0000000000,0.0036424145,0.0065181926,0.0110779051,0.0102788033,0.0687181652,0.0720415711,0.0688866377,0.0352614634,0.0000000000,0.0000000000,0.0030652066,0.0038964909,0.0436174907,0.0445994027,0.0000000000,0.0001525506,0.0000000000,0.0000000000,0.5810366273,0.5504134893,0.5503855944,0.0225803293,0.0159473624,0.0132586900,0.0000000000,0.0000000000,0.0000022635,0.0042788647,-0.0017552776,-0.0045631519,0.0351985618,0.0049204524,-0.0001878639,0.0310528576,0.0049046013,0.0001593598
13:48:54:09.380,61,0.0000000000,0.0091434885,0.0507073812,0.0000000000,0.0000000000,0.0000000000,0.4249992371,0.0000000000,0.0091678584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4250011444,0.0838681683,0.0000000000,0.0253803227,0.0471061394,0.0561274104,0.0497346409,0.0000000000,0.0000000000,0.0028994381,0.0000000000,0.0000000000,0.0000632941,0.0024304539,0.0109493118,0.0101768738,0.0689636245,0.0725070536,0.0684183091,0.0354284644,0.0000000000,0.0000000000,0.0024333657,0.0032150280,0.0451475829,0.0465019681,0.0000000000,0.0000352551,0.0000000000,0.0000000000,0.5817859173,0.5508851409,0.5508569479,0.0227449834,0.0159262978,0.0132685788,0.0000000000,0.0000000000,0.0000015983,0.0049638934,-0.0005388320,-0.0043553570,0.0350873619,0.0056020645,-0.0002157413,0.0309730489,0.0055861971,0.0001800834
