Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:48:54:00.366,61,0.0000000000,0.0170463938,0.0513271838,0.0000000000,0.0000000000,0.1584730446,0.4939154088,0.0000000000,0.0171070863,0.0652315021,0.0000000000,0.0000000000,0.1584705263,0.4939175248,0.1485239863,0.0000000000,0.0257062577,0.0752157122,0.0799960718,0.0768076405,0.0842701793,0.0000000000,0.0249185059,0.0000000000,0.0000000000,0.2351969928,0.2185093611,0.0383906290,0.0372255109,0.1343279779,0.1360069811,0.1531615406,0.0664897263,0.1344103217,0.1376609951,0.0557116494,0.0594797246,0.0688725710,0.0705974102,0.0111785475,0.0134476516,0.0000000000,0.0000000000,0.6161516905,0.5513367057,0.5513072610,0.0815642849,0.0657899678,0.0717433393,0.0424001180,0.0453816801,0.0000026479,-0.0224962700,-0.0009879140,0.0016190545,-0.0398454815,0.0104584266,-0.0004166260,0.0313523002,0.0104181720,0.0003265919
13:48:54:01.367,61,0.0000000000,0.0168327074,0.0506405383,0.0000000000,0.0000000000,0.1590663940,0.4943920970,0.0000000000,0.0168932024,0.0659265444,0.0000000000,0.0000000000,0.1590636224,0.4943942130,0.1490463018,0.0000000000,0.0258139633,0.0751997977,0.0798699185,0.0763730928,0.0841862261,0.0000000000,0.0249531921,0.0000000000,0.0000000000,0.2343665957,0.2177649736,0.0386319384,0.0374403968,0.1344216019,0.1361294240,0.1537428200,0.0669186711,0.1342711598,0.1374140531,0.0559440851,0.0597487949,0.0688783973,0.0705861896,0.0111493515,0.0134138791,0.0000000000,0.0000000000,0.6161741614,0.5511152148,0.5510858297,0.0819276944,0.0658778474,0.0718425959,0.0424362980,0.0454039350,0.0000031840,-0.0224962700,-0.0009879140,0.0016190545,-0.0402700901,0.0103278449,-0.0004158056,0.0309329126,0.0102874376,0.0003181809
13:48:54:02.369,61,0.0000000000,0.0161137804,0.0503101349,0.0000000000,0.0000000000,0.1596657485,0.4946539700,0.0000000000,0.0161742773,0.0662307590,0.0000000000,0.0000000000,0.1596627235,0.4946560264,0.1502418816,0.0000000000,0.0258582588,0.0753326565,0.0799300075,0.0760193914,0.0840295628,0.0000000000,0.0250663888,0.0000000000,0.0000000000,0.2373207957,0.2197452784,0.0387931354,0.0375857390,0.1346401572,0.1363684833,0.1544676423,0.0673711300,0.1340130419,0.1371263862,0.0560794771,0.0599071532,0.0689696670,0.0706901178,0.0111144166,0.0133776730,0.0000000000,0.0000000000,0.6162161231,0.5507678390,0.5507383943,0.0821394473,0.0659966469,0.0719951391,0.0424806103,0.0454490408,0.0000041809,-0.0224962700,-0.0009879140,0.0016190545,-0.0404560938,0.0098883947,-0.0003999498,0.0307312235,0.0098479996,0.0003026032
13:48:54:03.371,61,0.0000000000,0.0155371176,0.0505040288,0.0000000000,0.0000000000,0.1602012813,0.4948016703,0.0000000000,0.0155980038,0.0660442188,0.0000000000,0.0000000000,0.1601980925,0.4948035777,0.1507170498,0.0000000000,0.0259383991,0.0755993426,0.0801841468,0.0758775175,0.0839052126,0.0000000000,0.0251366142,0.0000000000,0.0000000000,0.2378179282,0.2200614661,0.0389250740,0.0377051383,0.1350392848,0.1368073076,0.1549458057,0.0676941499,0.1335132122,0.1367207766,0.0560894012,0.0599291921,0.0692153722,0.0709522888,0.0110925939,0.0133529436,0.0000000000,0.0000000000,0.6162236929,0.5504749417,0.5504454970,0.0820525736,0.0661200956,0.0721429065,0.0425505489,0.0455252491,0.0000043842,-0.0224962700,-0.0009879140,0.0016190545,-0.0403422900,0.0095360372,-0.0003846129,0.0308497697,0.0094956057,0.0002928996
13:48:54:04.372,61,0.0000000000,0.0150871063,0.0503470637,0.0000000000,0.0000000000,0.1604511142,0.4944617748,0.0000000000,0.0151479924,0.0661577284,0.0000000000,0.0000000000,0.1604477316,0.4944635928,0.1500955969,0.0000000000,0.0259546749,0.0758461952,0.0805009454,0.0759834200,0.0838607922,0.0000000000,0.0252754893,0.0000000000,0.0000000000,0.2162089050,0.1988233626,0.0390013121,0.0377792791,0.1352491826,0.1370858997,0.1547882855,0.0678657889,0.1284709573,0.1318053752,0.0559406169,0.0597803146,0.0696207583,0.0713794455,0.0110521112,0.0133073656,0.0000000000,0.0000000000,0.6163759232,0.5504044294,0.5503748059,0.0819945112,0.0661274791,0.0721822977,0.0426120348,0.0455985405,0.0000050634,-0.0221914891,-0.0017399442,0.0010416629,-0.0404117256,0.0092609422,-0.0003741595,0.0307539627,0.0092205498,0.0002835318
13:48:54:05.374,61,0.0000000000,0.0172870122,0.0502516627,0.0000000000,0.0000000000,0.1604217589,0.4941837490,0.0000000000,0.0173469223,0.0663070828,0.0000000000,0.0000000000,0.1604179442,0.4941854477,0.1497459561,0.0000000000,0.0260195658,0.0769078434,0.0821575001,0.0760826096,0.0837361217,0.0000000000,0.0253201425,0.0000000000,0.0000000000,0.2060252130,0.1902250946,0.0391132981,0.0378906205,0.1354041994,0.1373319626,0.1549771875,0.0683175176,0.1216609180,0.1242324561,0.0556555092,0.0594898909,0.0705817342,0.0723457709,0.0109939072,0.0132357506,0.0000000000,0.0000000000,0.6167587638,0.5504524708,0.5504231453,0.0817140862,0.0661192983,0.0721877515,0.0426864997,0.0456742644,0.0000051906,-0.0219031870,-0.0021816343,0.0004479548,-0.0405024178,0.0106053315,-0.0004294402,0.0306952838,0.0105650127,0.0003242572
13:48:54:06.375,61,0.0000000000,0.0156684518,0.0502939634,0.0000000000,0.0000000000,0.1605933458,0.4938356280,0.0000000000,0.0157291442,0.0662202537,0.0000000000,0.0000000000,0.1605885476,0.4938373566,0.1497417688,0.0000000000,0.0262313876,0.0790096894,0.0845929757,0.0764697045,0.0838910267,0.0000000000,0.0253579058,0.0000000000,0.0000000000,0.2042122483,0.1896966398,0.0391901731,0.0379617028,0.1356046796,0.1376519054,0.1554288119,0.0694732517,0.1190924197,0.1211282387,0.0554592498,0.0592892841,0.0714598745,0.0732268542,0.0109047042,0.0131259868,0.0000000000,0.0000000000,0.6165042520,0.5501921177,0.5501631498,0.0820761397,0.0661794692,0.0722304210,0.0427360348,0.0457042232,0.0000041581,-0.0213949699,-0.0016697067,-0.0001043833,-0.0404497832,0.0096162539,-0.0003888813,0.0307214241,0.0095758317,0.0002941459
13:48:54:07.377,61,0.0000000000,0.0114025120,0.0508568808,0.0000000000,0.0000000000,0.1606955677,0.4936958551,0.0000000000,0.0114651546,0.0655394420,0.0000000000,0.0000000000,0.1606900990,0.4936976135,0.1463969201,0.0000000000,0.0263566300,0.0818878710,0.0892682225,0.0798708275,0.0844007879,0.0000000000,0.0252452884,0.0000000000,0.0000000000,0.1991603076,0.1868839711,0.0391357467,0.0379080512,0.1357542276,0.1379169375,0.1552452594,0.0699498057,0.1142518222,0.1163628623,0.0550199114,0.0588183738,0.0729051679,0.0745356902,0.0108109377,0.0130037535,0.0000000000,0.0000000000,0.6163399220,0.5501363873,0.5501082540,0.0824836120,0.0661658421,0.0721849203,0.0428391397,0.0457777828,0.0000033755,-0.0209891442,-0.0001424131,-0.0005227762,-0.0400347859,0.0070092808,-0.0002805447,0.0310659502,0.0069687613,0.0002164599
13:48:54:08.378,61,0.0000000000,0.0083890324,0.0508931763,0.0000000000,0.0000000000,0.1606900245,0.4938757122,0.0000000000,0.0084526511,0.0654082671,0.0000000000,0.0000000000,0.1606840789,0.4938773811,0.1421943456,0.0000000000,0.0264718514,0.0838554129,0.0923828408,0.0822674185,0.0850059316,0.0000000000,0.0252558496,0.0000000000,0.0000000000,0.1914382279,0.1781824231,0.0390392058,0.0378241651,0.1358563155,0.1381648630,0.1548047513,0.0701866150,0.1105516627,0.1127944887,0.0544878468,0.0582505167,0.0739596859,0.0756166950,0.0107128797,0.0128794322,0.0000000000,0.0000000000,0.6164668798,0.5504134893,0.5503855944,0.0827558264,0.0661144853,0.0721278042,0.0429241583,0.0458468385,0.0000024054,-0.0204957798,0.0018038198,-0.0004795380,-0.0399551094,0.0051675555,-0.0002064171,0.0310884640,0.0051270458,0.0001593677
13:48:54:09.380,61,0.0000000000,0.0095043052,0.0507627130,0.0000000000,0.0000000000,0.1605416834,0.4938239157,0.0000000000,0.0095675327,0.0655905604,0.0000000000,0.0000000000,0.1605352908,0.4938254356,0.1402485520,0.0000000000,0.0266528912,0.0866169035,0.0963347629,0.0846804976,0.0856563300,0.0000000000,0.0254142527,0.0000000000,0.0000000000,0.1885337085,0.1748010069,0.0389142483,0.0377250724,0.1360840797,0.1385971755,0.1543796360,0.0703475699,0.1077266335,0.1103600785,0.0538885966,0.0576062389,0.0754412338,0.0774574950,0.0106177693,0.0127636297,0.0000000000,0.0000000000,0.6171528101,0.5508851409,0.5508569479,0.0829103440,0.0660944954,0.0721371025,0.0430407450,0.0459616929,0.0000017402,-0.0198107511,0.0030202654,-0.0002717431,-0.0400663093,0.0058491677,-0.0002342946,0.0310086552,0.0058086417,0.0001800913
