Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:40:46.079,61,0.0048978967,0.1123924553,0.0616421513,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0049119527,0.1124085709,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0037311451,0.0799515322,0.0140059264,0.1470586658,0.0000000000,0.0000000000,0.0000000000,0.1696565747,0.1775319874,0.0000000000,0.0000000000,0.0190721713,0.0190314222,0.0728135034,0.0776141584,0.0000000000,0.0000000000,0.0000000000,0.0578716882,0.0000000000,0.0000000000,0.2189942449,0.2166033685,0.0232508369,0.0282127317,0.0474335067,0.0473247357,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0037451964,0.0000000000,0.0126654627,0.0157889761,0.0000000000,0.0286203362,0.0382733159,0.0041546226,0.0393572412,0.0686823279,-0.0024522566,0.0375635065,0.0686804354,0.0025941695
13:45:40:47.081,61,0.0043426789,0.1091412678,0.0617311858,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0043566665,0.1091572642,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0042021018,0.0899013504,0.0151683558,0.1574109644,0.0000000000,0.0000000000,0.0000000000,0.1936322898,0.2133961022,0.0000000000,0.0000000000,0.0251968186,0.0250223763,0.0879557431,0.0913586691,0.0000000000,0.0000000000,0.0000000000,0.0699142963,0.0000000000,0.0000000000,0.2477127314,0.2476174682,0.0291015003,0.0352766514,0.0545820408,0.0544782691,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0100031998,0.0043739462,0.0126942284,0.0158743430,0.0000000000,0.0286203362,0.0382733159,0.0041546226,0.0392839238,0.0666959286,-0.0023857490,0.0376228467,0.0666938573,0.0025231228
13:45:40:48.082,61,0.0039121150,0.1038367748,0.0646256655,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0039255363,0.1038662195,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0046688961,0.1002007946,0.0159610268,0.1616077870,0.0000000000,0.0000000000,0.0000000000,0.2195638418,0.2350355685,0.0000000000,0.0000000000,0.0295615960,0.0293053947,0.1000587791,0.1034285948,0.0000000000,0.0000000000,0.0000000000,0.0769261420,0.0000000000,0.0000000000,0.2744714022,0.2753771842,0.0330331028,0.0398425572,0.0590773895,0.0589779988,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0155176483,0.0101684900,0.0128451753,0.0160836633,0.0000000000,0.0286203362,0.0382733159,0.0041546226,0.0409707725,0.0634592548,-0.0021616372,0.0393952727,0.0634567440,0.0025136610
13:45:40:49.084,61,0.0035613964,0.1047025695,0.0655437708,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0035740526,0.1047361568,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004648980,0.0000000000,0.0049992017,0.1116560549,0.0164713375,0.1473001540,0.0000000000,0.0000000000,0.0000000000,0.2478188723,0.2675478458,0.0000000000,0.0000000000,0.0353595130,0.0348339304,0.1056192145,0.1085918844,0.0000000000,0.0000000000,0.0000000000,0.0827145875,0.0000000000,0.0000000000,0.3055172563,0.3078550100,0.0364938714,0.0439318754,0.0653870478,0.0652944073,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0206858870,0.0158985220,0.0132120084,0.0165282097,0.0000000000,0.0286203362,0.0382733159,0.0041546226,0.0414670035,0.0639896691,-0.0021479377,0.0399535932,0.0639872849,0.0025705309
13:45:40:50.085,61,0.0032422608,0.1050935909,0.0658129752,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0032540828,0.1051285565,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0051640696,0.0000000000,0.0049179057,0.1163818836,0.0165956672,0.1297190934,0.0000000000,0.0000000000,0.0000000000,0.2981244922,0.3136360943,0.0000000000,0.0000000000,0.0391460881,0.0385563523,0.1087192520,0.1114419997,0.0000000000,0.0000000000,0.0000000000,0.0855097845,0.0000000000,0.0000000000,0.3291053772,0.3283866644,0.0391662791,0.0469301641,0.0688691735,0.0687788948,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0260014702,0.0220708083,0.0137320207,0.0171516873,0.0000000000,0.0286203362,0.0382733159,0.0041546226,0.0416395068,0.0642290562,-0.0021449022,0.0401170738,0.0642266646,0.0025906838
13:45:40:51.087,61,0.0031222864,0.1069809720,0.0658308640,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0031339300,0.1070163995,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0095863789,0.0000000000,0.0048203524,0.1203793511,0.0163789727,0.1119674817,0.0000000000,0.0000000000,0.0000000000,0.3266571164,0.3445254266,0.0000000000,0.0000000000,0.0417201482,0.0413111337,0.1106026694,0.1132152975,0.0000000000,0.0000000000,0.0000000000,0.0872795060,0.0000000000,0.0000000000,0.3642627597,0.3666127324,0.0417501517,0.0498872995,0.0743202195,0.0742357597,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0314200632,0.0283037554,0.0151680177,0.0193936359,0.0000000000,0.0286203362,0.0382733159,0.0041546226,0.0416681767,0.0653823838,-0.0021818285,0.0401249640,0.0653801486,0.0026377002
13:45:40:52.088,61,0.0030155976,0.1058383584,0.0657325685,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0030269003,0.1058731601,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0127307596,0.0000000000,0.0046511921,0.1224651560,0.0159275495,0.0951938406,0.0000000000,0.0000000000,0.0000000000,0.3505374491,0.3675243855,0.0000000000,0.0000000000,0.0433100723,0.0431631319,0.1117153689,0.1143030599,0.0000000000,0.0000000000,0.0000000000,0.0882612392,0.0000000000,0.0000000000,0.3765262663,0.3791044652,0.0433267169,0.0516465791,0.0775177404,0.0774388686,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0359017588,0.0334386863,0.0163667630,0.0212479811,0.0000000000,0.0286203362,0.0382733159,0.0041546226,0.0415992774,0.0646840483,-0.0021628265,0.0400668718,0.0646816865,0.0026057654
13:45:40:53.090,61,0.0029201133,0.1051646546,0.0653754994,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0029310298,0.1051976681,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0152498502,0.0000000000,0.0045628543,0.1234035268,0.0152964182,0.0869956613,0.0000000000,0.0000000000,0.0000000000,0.3720991910,0.3865706921,0.0000000000,0.0000000000,0.0446885787,0.0446780063,0.1123617738,0.1149490252,0.0000000000,0.0002621700,0.0000000000,0.0884456113,0.0000000000,0.0000000000,0.3874452114,0.3882738352,0.0444208831,0.0527888909,0.0811348334,0.0810605288,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0398034155,0.0373137034,0.0174731053,0.0226398986,0.0000000000,0.0286203362,0.0382733159,0.0041546226,0.0413893238,0.0642718226,-0.0021624956,0.0398502909,0.0642694011,0.0025751910
13:45:40:54.091,61,0.0027309018,0.1047011986,0.0647379383,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0027411710,0.1047310829,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0188219622,0.0000000000,0.0045982404,0.1239392981,0.0143853147,0.0794405863,0.0000000000,0.0000000000,0.0000000000,0.4040934741,0.4130693376,0.0000000000,0.0000000000,0.0461429507,0.0461653657,0.1127571762,0.1153736785,0.0000000000,0.0006494841,0.0000000000,0.0883229524,0.0000000000,0.0000000000,0.4058219492,0.4032472372,0.0453719050,0.0537060052,0.0844894201,0.0844166577,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0443004966,0.0412161835,0.0189222023,0.0240354892,0.0000000000,0.0286203362,0.0382733159,0.0041546226,0.0409779809,0.0639876351,-0.0021793062,0.0394623801,0.0639851987,0.0025388892
13:45:40:55.093,61,0.0025535931,0.1045503020,0.0649543405,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0025631930,0.1045811474,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0210163333,0.0000000000,0.0047501414,0.1241378933,0.0136179430,0.0760997012,0.0000000000,0.0000000000,0.0000000000,0.4176684618,0.4253421426,0.0000000000,0.0000000000,0.0474698134,0.0474015325,0.1130723953,0.1157281771,0.0000000000,0.0010295664,0.0000000000,0.0881717131,0.0000000000,0.0000000000,0.4124390781,0.4087764025,0.0465787277,0.0545635596,0.0871398896,0.0870652944,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0507923141,0.0466622449,0.0215300936,0.0265056863,0.0000000000,0.0286203362,0.0382733159,0.0041546226,0.0410923027,0.0638957769,-0.0021688156,0.0395945236,0.0638933033,0.0025437237
