Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:40:46.079,61,0.0050754421,0.1127156764,0.0616968423,0.0000000000,0.0000000000,0.0987026542,0.0000000000,0.0050890385,0.1127666086,0.0587389134,0.0000000000,0.0000000000,0.0987055004,0.0000000000,0.0435425341,0.0000000000,0.0050319806,0.1181003973,0.0560075827,0.1784254611,0.0715719610,0.0000000000,0.0221030526,0.1696565747,0.1775319874,0.0000000000,0.0000000000,0.0468074381,0.0463331863,0.1396564096,0.1433403641,0.0499630831,0.0316085294,0.0447127298,0.1724682152,0.0443929546,0.0459455885,0.2437724322,0.2420365065,0.0338811688,0.0405824408,0.0765359476,0.0765318796,0.0669392720,0.0000000000,0.0000000000,0.0295924153,0.0545343868,0.0569539219,0.0773261040,0.0818368793,0.0000000931,0.0038456914,0.0418324135,0.0082382364,-0.0357964300,0.0689294338,-0.0024708100,0.0375991128,0.0689028800,0.0025941774
13:45:40:47.081,61,0.0045203231,0.1094656736,0.0617858730,0.0000000000,0.0000000000,0.1030591875,0.0000000000,0.0045338511,0.1095166132,0.0588512756,0.0000000000,0.0000000000,0.1030629054,0.0000000000,0.0496895537,0.0000000000,0.0055023222,0.1276376545,0.0571204945,0.1883970499,0.0717171058,0.0000000000,0.0220027678,0.1936322898,0.2133961022,0.0000000000,0.0000000000,0.0527589135,0.0521574020,0.1537070125,0.1561054885,0.0475424416,0.0328257382,0.0403126068,0.1830460131,0.0424105935,0.0438022129,0.2715798020,0.2720437348,0.0396681577,0.0475564450,0.0834660828,0.0834660977,0.0687105805,0.0000000000,0.0000000000,0.0282200873,0.0604733564,0.0637731254,0.0773529857,0.0819165185,0.0000000910,0.0038456914,0.0418324135,0.0082382364,-0.0358697474,0.0669430345,-0.0024043024,0.0376584530,0.0669163018,0.0025231307
13:45:40:48.082,61,0.0040898360,0.1041631103,0.0646801814,0.0000000000,0.0000000000,0.1073804200,0.0000000000,0.0041027977,0.1042276993,0.0560718067,0.0000000000,0.0000000000,0.1073846519,0.0000000000,0.0541542321,0.0000000000,0.0059685074,0.1375100464,0.0578793995,0.1924395412,0.0708457977,0.0000000000,0.0219590142,0.2195638418,0.2350355685,0.0000000000,0.0000000000,0.0570002794,0.0563212186,0.1649375111,0.1673153490,0.0452958271,0.0336594880,0.0371147841,0.1892049611,0.0403546654,0.0416040532,0.2974895239,0.2989022136,0.0435569696,0.0520642325,0.0878240913,0.0878278762,0.0707843974,0.0000000000,0.0000000000,0.0265221465,0.0657066777,0.0692219660,0.0774940476,0.0821117908,0.0000000824,0.0038456914,0.0418324135,0.0082382364,-0.0341828987,0.0637063608,-0.0021801905,0.0394308791,0.0636791885,0.0025136690
13:45:40:49.084,61,0.0037391800,0.1050285921,0.0655982345,0.0000000000,0.0000000000,0.1114379019,0.0000000000,0.0037513764,0.1050972864,0.0552597083,0.0000000000,0.0000000000,0.1114420518,0.0000000000,0.0619780719,0.0000000000,0.0062983814,0.1484903246,0.0583679713,0.1786580682,0.0677783713,0.0000000000,0.0219576005,0.2478188723,0.2675478458,0.0000000000,0.0000000000,0.0626342595,0.0616958886,0.1700970829,0.1721107215,0.0440593585,0.0344805941,0.0349944197,0.1942893267,0.0391548350,0.0403451249,0.3275504112,0.3303256631,0.0469800755,0.0561015010,0.0939409807,0.0939506292,0.0720238015,0.0000000000,0.0000000000,0.0250711273,0.0706114396,0.0746101439,0.0778368562,0.0825265050,0.0000000039,0.0038456914,0.0418324135,0.0082382364,-0.0336866677,0.0642367750,-0.0021664910,0.0399891995,0.0642097294,0.0025705388
13:45:40:50.085,61,0.0034201017,0.1054194719,0.0658674240,0.0000000000,0.0000000000,0.1147072166,0.0000000000,0.0034314636,0.1054895297,0.0549775846,0.0000000000,0.0000000000,0.1147133261,0.0000000000,0.0663880482,0.0000000000,0.0062171915,0.1530202031,0.0584870055,0.1617235392,0.0627161935,0.0000000000,0.0218412150,0.2981244922,0.3136360943,0.0000000000,0.0000000000,0.0663137734,0.0653147101,0.1729736328,0.1747577488,0.0431735143,0.0351578705,0.0331259444,0.1967445314,0.0381847918,0.0393383019,0.3503901958,0.3501907289,0.0496233962,0.0590616204,0.0973167196,0.0973282903,0.0732220486,0.0000000000,0.0000000000,0.0238415599,0.0756560341,0.0804141909,0.0783228129,0.0831081420,0.0000000003,0.0038456914,0.0418324135,0.0082382364,-0.0335141644,0.0644761622,-0.0021634556,0.0401526801,0.0644491091,0.0025906917
13:45:40:51.087,61,0.0033001485,0.1073061675,0.0658853129,0.0000000000,0.0000000000,0.1176584437,0.0000000000,0.0033113321,0.1073766127,0.0549346693,0.0000000000,0.0000000000,0.1176650077,0.0000000000,0.0705382004,0.0000000000,0.0061197658,0.1568519175,0.0582795404,0.1446247399,0.0572963171,0.0000000000,0.0218676198,0.3266571164,0.3445254266,0.0000000000,0.0000000000,0.0688150525,0.0679928213,0.1747212708,0.1764046848,0.0425130539,0.0356753431,0.0311037917,0.1982989907,0.0373679884,0.0384979807,0.3844321668,0.3871757984,0.0521791466,0.0619811192,0.1026012301,0.1026178673,0.0740325004,0.0000000000,0.0000000000,0.0228305403,0.0807983875,0.0862752795,0.0796647668,0.0851996392,0.0000000002,0.0038456914,0.0418324135,0.0082382364,-0.0334854946,0.0656294897,-0.0022003818,0.0401605703,0.0656025931,0.0026377081
13:45:40:52.088,61,0.0031934786,0.1061639637,0.0657870248,0.0000000000,0.0000000000,0.1207350865,0.0000000000,0.0032043215,0.1062338278,0.0550452024,0.0000000000,0.0000000000,0.1207426190,0.0000000000,0.0734890699,0.0000000000,0.0059508262,0.1588512361,0.0578473471,0.1284679472,0.0525019392,0.0000000000,0.0219376814,0.3505374491,0.3675243855,0.0000000000,0.0000000000,0.0703600198,0.0697932765,0.1757537574,0.1774149388,0.0420355722,0.0360596627,0.0294277146,0.1991613060,0.0366182663,0.0377336144,0.3963066041,0.3992619812,0.0537385568,0.0637180060,0.1057010591,0.1057227775,0.0747147053,0.0000000000,0.0000000000,0.0219081994,0.0850516036,0.0911038592,0.0807850063,0.0869295448,0.0000000002,0.0038456914,0.0418324135,0.0082382364,-0.0335543938,0.0649311543,-0.0021813798,0.0401024781,0.0649041310,0.0026057733
13:45:40:53.090,61,0.0030980115,0.1054905057,0.0654299781,0.0000000000,0.0000000000,0.1233383343,0.0000000000,0.0031084679,0.1055586115,0.0553881340,0.0000000000,0.0000000000,0.1233459413,0.0000000000,0.0758531317,0.0000000000,0.0058626039,0.1597507000,0.0572431013,0.1205712557,0.0491182059,0.0000000000,0.0219485313,0.3720991910,0.3865706921,0.0000000000,0.0000000000,0.0716995522,0.0712659881,0.1763535589,0.1780148745,0.0416773707,0.0364543535,0.0282011442,0.1993232518,0.0359807424,0.0370903052,0.4068791270,0.4081336558,0.0548208132,0.0648457780,0.1092076451,0.1092334017,0.0752230808,0.0000000000,0.0000000000,0.0211331025,0.0887543559,0.0947476923,0.0818188936,0.0882280543,0.0000000002,0.0038456914,0.0418324135,0.0082382364,-0.0337643474,0.0645189285,-0.0021810490,0.0398858972,0.0644918457,0.0025751989
13:45:40:54.091,61,0.0029088340,0.1050272211,0.0647924468,0.0000000000,0.0000000000,0.1253467202,0.0000000000,0.0029186432,0.1050922126,0.0560618900,0.0000000000,0.0000000000,0.1253537983,0.0000000000,0.0792054087,0.0000000000,0.0058979439,0.1602642536,0.0563708097,0.1132940128,0.0464411750,0.0000000000,0.0218361225,0.4040934741,0.4130693376,0.0000000000,0.0000000000,0.0731128007,0.0727119520,0.1767204553,0.1784092635,0.0414471366,0.0368276462,0.0272023734,0.1992155164,0.0354337469,0.0365418233,0.4246728420,0.4226209521,0.0557614863,0.0657512173,0.1124597415,0.1124866381,0.0755764395,0.0000000000,0.0000000000,0.0204360727,0.0930221751,0.0984173492,0.0831730887,0.0895299911,0.0000000001,0.0038456914,0.0418324135,0.0082382364,-0.0341756903,0.0642347410,-0.0021978596,0.0394979864,0.0642076433,0.0025388971
13:45:40:55.093,61,0.0027315565,0.1048763767,0.0650088415,0.0000000000,0.0000000000,0.1267167032,0.0001594860,0.0027406968,0.1049423367,0.0558740273,0.0000000000,0.0000000000,0.1267231256,0.0001292466,0.0812647343,0.0000000000,0.0060496465,0.1604546160,0.0556361265,0.1100759953,0.0449353084,0.0000000000,0.0216178652,0.4176684618,0.4253421426,0.0000000000,0.0000000000,0.0744021460,0.0739137158,0.1770129502,0.1787385046,0.0412985496,0.0371939689,0.0264039785,0.1990826726,0.0349884108,0.0360985473,0.4310800433,0.4279706180,0.0569551736,0.0665978566,0.1150292382,0.1150540709,0.0759228691,0.0000000000,0.0000000000,0.0198352337,0.0991830379,0.1035384983,0.0856101885,0.0918344185,0.0000000000,0.0038456914,0.0418324135,0.0082382364,-0.0340613686,0.0641428828,-0.0021873689,0.0396301299,0.0641157478,0.0025437316
