Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:46:15.545,61,0.0011229829,0.1147501171,0.0588434339,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011225186,0.1147514954,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004619962,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0655229688,0.0950932652,0.0000000000,0.0000000000,0.0222500060,0.0195482709,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0705752745,0.0285454877,0.0744904056,0.0767581835,0.0222859364,0.0249691978,0.0075314636,0.0096677030,0.7018747926,0.7018463612,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002476108,0.0000000000,0.0516546108,0.0553391688,0.0000000000,0.0173717085,0.0317065157,-0.0003347176,0.0377586558,0.0701180100,-0.0026164823,0.0358544216,0.0701167136,0.0025280900
13:45:46:16.546,61,0.0009837534,0.0990868956,0.0554913282,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009833560,0.0990751609,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003495947,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0563527122,0.0871803612,0.0000000000,0.0000000000,0.0244299471,0.0215207078,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0773692727,0.0336248465,0.0847183391,0.0873624161,0.0230564605,0.0258521661,0.0076466608,0.0098140622,0.7375890017,0.7375636101,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0031874862,0.0018297400,0.0552540943,0.0592791885,0.0000000000,0.0173717085,0.0317065157,-0.0003347176,0.0357223265,0.0605437830,-0.0023808433,0.0338331722,0.0605415888,0.0020601356
13:45:46:17.548,61,0.0008721252,0.0885142013,0.0528591685,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008717928,0.0884946361,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003358865,0.0004996035,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0517542399,0.0833401904,0.0000000000,0.0000000000,0.0261880644,0.0231604129,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0810183212,0.0364518911,0.0924389288,0.0951828361,0.0237916019,0.0266514160,0.0077449232,0.0099440832,0.7563539743,0.7563301921,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0057323282,0.0051605147,0.0577162504,0.0621868707,0.0000000000,0.0173717085,0.0317065157,-0.0003347176,0.0340883769,0.0540816449,-0.0022140387,0.0322403386,0.0540788770,0.0017540368
13:45:46:18.549,61,0.0007782278,0.0836754888,0.0534559116,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007779566,0.0836598352,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028668230,0.0006599058,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0490848646,0.0810698718,0.0000000000,0.0000000000,0.0271688830,0.0240968503,0.0000000000,0.0000000000,0.0000000000,0.0012109688,0.0827771947,0.0379318707,0.0958871022,0.0986991599,0.0245402958,0.0274364054,0.0078147892,0.0100405915,0.7662770748,0.7662542462,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0073847249,0.0071857143,0.0600332171,0.0649706125,0.0000000000,0.0173717085,0.0317065157,-0.0003347176,0.0344114713,0.0511262491,-0.0020757706,0.0326093994,0.0511232205,0.0016773471
13:45:46:19.551,61,0.0006965420,0.0728665888,0.0525904037,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0006963281,0.0728518739,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0068517947,0.0010443418,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0336419456,0.0609521419,0.0000000000,0.0000000000,0.0277144779,0.0246145576,0.0000000000,0.0000000000,0.0014229579,0.0030850272,0.0833640769,0.0386423357,0.0976440310,0.1004725918,0.0252280142,0.0280880947,0.0078181336,0.0100389123,0.7714719772,0.7714495659,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0086930636,0.0086783180,0.0613546483,0.0664283261,0.0000000000,0.0168077312,0.0292889774,-0.0010627299,0.0338775106,0.0445221923,-0.0018300597,0.0320916101,0.0445185676,0.0014381079
13:45:46:20.552,61,0.0006238971,0.0602284819,0.0479765572,0.0000000000,0.0000000000,0.0085666599,0.0000000000,0.0006237364,0.0602062494,0.0000000000,0.0000000000,0.0000000000,0.0083808089,0.0000000000,0.0109924302,0.0016701203,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028939226,0.0000000000,0.0000000000,0.0155036645,0.0280917082,0.0000000000,0.0000000000,0.0280164443,0.0248888787,0.0000000000,0.0000000000,0.0057874215,0.0042048041,0.0909323096,0.0464471355,0.1064339206,0.1088446528,0.0256484766,0.0284158625,0.0078240372,0.0100190742,0.7744976282,0.7744752765,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0096233105,0.0096995905,0.0622595921,0.0673106015,0.0000000000,0.0168077312,0.0292889774,-0.0010627299,0.0310878567,0.0367983505,-0.0016141020,0.0292854160,0.0367940068,0.0010856922
13:45:46:21.554,61,0.0005583961,0.0489004888,0.0438979864,0.0000000000,0.0000000000,0.0175530594,0.0122125084,0.0005582845,0.0488760546,0.0000000000,0.0000000000,0.0000000000,0.0173759740,0.0122380229,0.0127032734,0.0024087834,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0470577590,0.0000000000,0.0000000000,0.0000000000,0.0083665298,0.0000000000,0.0000000000,0.0276655667,0.0245485865,0.0000000000,0.0000000000,0.0077178618,0.0048691537,0.0995509773,0.0545866825,0.1093102396,0.1115520522,0.0256753657,0.0283159819,0.0077577359,0.0098907892,0.7761294246,0.7761070132,0.0000000000,0.0000000000,0.0000000000,0.0066844090,0.0102550769,0.0103678722,0.0630181879,0.0679116845,0.0000000000,0.0168077312,0.0292889774,-0.0010627299,0.0286464430,0.0298765283,-0.0013823311,0.0268020388,0.0298715755,0.0008077915
13:45:46:22.556,61,0.0004988402,0.0401570052,0.0405295715,0.0000000000,0.0000000000,0.0254457798,0.0646391511,0.0004987739,0.0401330069,0.0000000000,0.0000000000,0.0000000000,0.0252732392,0.0646620989,0.0138072232,0.0028248555,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0594769754,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0265972652,0.0236130543,0.0000000000,0.0000000000,0.0097075962,0.0052630464,0.1136433631,0.0676259696,0.1106682867,0.1127613112,0.0253823157,0.0279184543,0.0076859733,0.0097490558,0.7773672938,0.7773446441,0.0000000000,0.0000000000,0.0000000000,0.0140104583,0.0107604815,0.0108640678,0.0638370886,0.0684374869,0.0000000000,0.0168077312,0.0292889774,-0.0010627299,0.0265777260,0.0245345160,-0.0011850096,0.0247490741,0.0245291945,0.0006135160
13:45:46:23.557,61,0.0004444185,0.0346557237,0.0380645730,0.0000000000,0.0000000000,0.0303570572,0.1162823886,0.0004443942,0.0346330740,0.0000000000,0.0000000000,0.0000000000,0.0301826131,0.1163022518,0.0145442560,0.0030144649,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0662909597,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0248646177,0.0220694803,0.0000000000,0.0000000000,0.0114528313,0.0055145407,0.1243504956,0.0778631791,0.1112763733,0.1132406890,0.0249012094,0.0273557473,0.0076081827,0.0095975101,0.7780444622,0.7780216336,0.0000000000,0.0000000000,0.0000000000,0.0249243900,0.0112069733,0.0112802777,0.0647382587,0.0689214841,0.0000000000,0.0168077312,0.0292889774,-0.0010627299,0.0250325464,0.0211738162,-0.0010548016,0.0232456457,0.0211680681,0.0004980210
13:45:46:24.559,61,0.0003945415,0.0322683863,0.0349250734,0.0000000000,0.0000000000,0.0337130800,0.1480207741,0.0003945557,0.0322434939,0.0000000000,0.0000000000,0.0000000000,0.0335346311,0.1480356008,0.0152953817,0.0029916971,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0705712959,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0232380461,0.0206627473,0.0000000000,0.0000000000,0.0140199885,0.0057201972,0.1353192478,0.0875248015,0.1117610857,0.1136237830,0.0242967661,0.0266954601,0.0075278156,0.0094541665,0.7785106301,0.7784876227,0.0000000000,0.0000000000,0.0000000000,0.0371643230,0.0115886675,0.0116432747,0.0659258738,0.0694565699,0.0000000000,0.0168077312,0.0292889774,-0.0010627299,0.0230728537,0.0197148621,-0.0010207499,0.0213290267,0.0197090097,0.0004258442
