Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:46:15.545,61,0.0013012018,0.1150724813,0.0588982888,0.0000000000,0.0000000000,0.1257373840,0.0322090723,0.0013002786,0.1151085868,0.0613681898,0.0000000000,0.0000000000,0.1257413030,0.0322050080,0.0550259054,0.0004619962,0.0000000000,0.0372477844,0.0377815366,0.0319677927,0.0685122237,0.0000000000,0.0201510787,0.0655229688,0.0950932652,0.0000000000,0.0000000000,0.0498954207,0.0468356498,0.0707715228,0.0664280578,0.0820502341,0.0331637822,0.1829772741,0.1467091292,0.1222288758,0.1271363944,0.0533048958,0.0566237904,0.0183328744,0.0222734679,0.7109829783,0.7109871507,0.0622172989,0.0000000000,0.0000000000,0.0377365947,0.0512151085,0.0578390658,0.1137618497,0.1187329590,0.0000000092,-0.0074029355,0.0352656133,0.0037488963,-0.0373950154,0.0703651160,-0.0026350357,0.0358900279,0.0703391582,0.0025280979
13:45:46:16.546,61,0.0011619970,0.0994149595,0.0555463806,0.0000000000,0.0000000000,0.1467555612,0.0499338359,0.0011611409,0.0994385704,0.0646693185,0.0000000000,0.0000000000,0.1467645913,0.0499294326,0.0591794923,0.0003495947,0.0000000000,0.0374858193,0.0377641767,0.0322208926,0.0733314455,0.0000000000,0.0201949198,0.0563527122,0.0871803612,0.0000000000,0.0000000000,0.0520137250,0.0487531908,0.0710834414,0.0666868985,0.0860413164,0.0345988050,0.1889496297,0.1511706561,0.1319292486,0.1371619850,0.0540509745,0.0574780926,0.0184468180,0.0224179644,0.7456060648,0.7456094027,0.0622113384,0.0000000000,0.0000000000,0.0399679355,0.0540051088,0.0613807067,0.1171256006,0.1224085763,0.0000000071,-0.0074029355,0.0352656133,0.0037488963,-0.0394313447,0.0607908852,-0.0023993966,0.0338687785,0.0607640333,0.0020601435
13:45:46:17.548,61,0.0010503888,0.0888461173,0.0529143736,0.0000000000,0.0000000000,0.1600757986,0.0657829344,0.0010495974,0.0888623148,0.0673240200,0.0000000000,0.0000000000,0.1600891203,0.0657807440,0.0618570000,0.0004996035,0.0000000000,0.0377670340,0.0377854556,0.0325351097,0.0775152445,0.0000000000,0.0202524271,0.0517542399,0.0833401904,0.0000000000,0.0000000000,0.0537221320,0.0503472611,0.0713751242,0.0669072494,0.0885957554,0.0360863432,0.1921573728,0.1536538303,0.1392516047,0.1445556730,0.0547627918,0.0582513958,0.0185440108,0.0225463305,0.7637977600,0.7638006210,0.0622389391,0.0000000000,0.0000000000,0.0427008159,0.0564202145,0.0645127669,0.1194265112,0.1251211315,0.0000000079,-0.0074029355,0.0352656133,0.0037488963,-0.0410652943,0.0543287471,-0.0022325921,0.0322759449,0.0543013215,0.0017540447
13:45:46:18.549,61,0.0009565081,0.0840091705,0.0535110831,0.0000000000,0.0000000000,0.1690099984,0.0743559077,0.0009557779,0.0840294659,0.0667838976,0.0000000000,0.0000000000,0.1690229475,0.0743548200,0.0642321780,0.0006599058,0.0000000000,0.0380825065,0.0378658995,0.0328631923,0.0795529783,0.0000000000,0.0202926472,0.0490848646,0.0810698718,0.0000000000,0.0000000000,0.0546752177,0.0512576364,0.0715824366,0.0670461357,0.0903153419,0.0373688042,0.1937035322,0.1549537927,0.1425219178,0.1478801221,0.0554877333,0.0590109006,0.0186131168,0.0226416104,0.7734177113,0.7734204531,0.0620430112,0.0000000000,0.0000000000,0.0440849885,0.0579883717,0.0664171427,0.1215917394,0.1277180612,0.0000000047,-0.0074029355,0.0352656133,0.0037488963,-0.0407421999,0.0513733514,-0.0020943240,0.0326450057,0.0513456650,0.0016773550
13:45:46:19.551,61,0.0008748369,0.0732042044,0.0526456237,0.0000000000,0.0000000000,0.1806314737,0.0822238177,0.0008741640,0.0732258633,0.0676376745,0.0000000000,0.0000000000,0.1806470901,0.0822238699,0.0679719076,0.0010443418,0.0000000000,0.0385337695,0.0380896144,0.0332354158,0.0814882517,0.0000000000,0.0200305823,0.0336419456,0.0609521419,0.0000000000,0.0000000000,0.0552053861,0.0517609343,0.0717115998,0.0670762062,0.0935662538,0.0391750187,0.1942194402,0.1555778384,0.1441882253,0.1495567858,0.0561536327,0.0596414320,0.0186164249,0.0226399526,0.7784538865,0.7784564495,0.0617962889,0.0000000000,0.0000000000,0.0450500436,0.0592300110,0.0678206980,0.1228266284,0.1290779561,0.0000000051,-0.0079669142,0.0328480750,0.0030208840,-0.0412761606,0.0447692946,-0.0018486129,0.0321272165,0.0447410122,0.0014381158
13:45:46:20.552,61,0.0008022049,0.0605706982,0.0480320454,0.0000000000,0.0000000000,0.1919879317,0.0946553946,0.0008015851,0.0605853349,0.0721861720,0.0000000000,0.0000000000,0.1920078844,0.0946691334,0.0718577206,0.0016701203,0.0000000000,0.0389410816,0.0382574424,0.0336563587,0.0936071575,0.0000000000,0.0195266102,0.0155036645,0.0280917082,0.0000000000,0.0000000000,0.0554988161,0.0520276204,0.0718226656,0.0670540780,0.0975279883,0.0402542576,0.2008723915,0.1624332964,0.1525247246,0.1574720144,0.0565607548,0.0599585585,0.0186222643,0.0226203669,0.7813870907,0.7813894153,0.0613891743,0.0000000000,0.0000000000,0.0502470508,0.0601128340,0.0687810406,0.1236723065,0.1299010217,0.0000000047,-0.0079669142,0.0328480750,0.0030208840,-0.0440658145,0.0370454527,-0.0016326553,0.0293210223,0.0370164514,0.0010857001
13:45:46:21.554,61,0.0007367157,0.0492468290,0.0439537130,0.0000000000,0.0000000000,0.1993117929,0.1304456443,0.0007361450,0.0492597111,0.0761678815,0.0000000000,0.0000000000,0.1993373334,0.1304678470,0.0734632760,0.0024087834,0.0000000000,0.0392540731,0.0384059325,0.0344006643,0.1337531209,0.0000000000,0.0188795626,0.0000000000,0.0083665298,0.0169138089,0.0000000000,0.0551578589,0.0516967997,0.0718195140,0.0669341385,0.0992802978,0.0408945568,0.2084487379,0.1695827842,0.1552526802,0.1600316763,0.0565867908,0.0598619208,0.0185566843,0.0224937145,0.7829690576,0.7829711437,0.0609969161,0.0000000000,0.0000000000,0.0678385496,0.0607123934,0.0694094524,0.1243812218,0.1304617673,0.0000000098,-0.0079669142,0.0328480750,0.0030208840,-0.0465072282,0.0301236305,-0.0014008844,0.0268376451,0.0300940201,0.0008077995
13:45:46:22.556,61,0.0006771704,0.0405065306,0.0405854955,0.0000000000,0.0000000000,0.2057443112,0.1765970886,0.0006766450,0.0405201912,0.0795442834,0.0000000000,0.0000000000,0.2057721913,0.1766170412,0.0744992867,0.0028248555,0.0000000000,0.0394690521,0.0385004245,0.0350389555,0.1450424790,0.0000000000,0.0183243342,0.0000000000,0.0000000000,0.0306432173,0.0107203051,0.0541197620,0.0507873036,0.0717984587,0.0668381602,0.1010864303,0.0412741899,0.2208368331,0.1810360253,0.1565406770,0.1611749530,0.0563030392,0.0594772995,0.0184857026,0.0223537851,0.7841690779,0.7841708064,0.0608239099,0.0000000000,0.0000000000,0.0747135654,0.0611920319,0.0698760450,0.1251464933,0.1309522837,0.0000000091,-0.0079669142,0.0328480750,0.0030208840,-0.0485759452,0.0247816183,-0.0012035628,0.0247846805,0.0247516390,0.0006135239
13:45:46:23.557,61,0.0006227584,0.0350072533,0.0381206386,0.0000000000,0.0000000000,0.2097469717,0.2220588923,0.0006222749,0.0350224748,0.0820681825,0.0000000000,0.0000000000,0.2097724527,0.2220761478,0.0751909614,0.0030144649,0.0000000000,0.0396469012,0.0386051126,0.0357599780,0.1512365490,0.0000000000,0.0179308932,0.0000000000,0.0000000000,0.0457653888,0.0299886055,0.0524361059,0.0492866896,0.0717789605,0.0667873621,0.1026706249,0.0415165797,0.2302490771,0.1900280267,0.1571173966,0.1616281718,0.0558371954,0.0589328595,0.0184087586,0.0222041681,0.7848255634,0.7848270535,0.0607838854,0.0000000000,0.0000000000,0.0849555731,0.0616157614,0.0702674240,0.1259886473,0.1314038038,0.0000000085,-0.0079669142,0.0328480750,0.0030208840,-0.0501211248,0.0214209184,-0.0010733549,0.0232812520,0.0213905126,0.0004980289
13:45:46:24.559,61,0.0005728903,0.0326207839,0.0349813215,0.0000000000,0.0000000000,0.2124821097,0.2499983609,0.0005724453,0.0326338597,0.0852744132,0.0000000000,0.0000000000,0.2125037462,0.2500111759,0.0758958608,0.0029916971,0.0000000000,0.0398300886,0.0387220234,0.0364599675,0.1551274806,0.0000000000,0.0178187583,0.0000000000,0.0000000000,0.0657315254,0.0494015291,0.0508555248,0.0479191095,0.0717836022,0.0668293834,0.1050008982,0.0417147912,0.2398912907,0.1985144466,0.1575771123,0.1619903594,0.0552519299,0.0582940094,0.0183292665,0.0220626500,0.7852774858,0.7852787375,0.0606271513,0.0000000000,0.0000000000,0.0964419469,0.0619779974,0.0706087649,0.1270984858,0.1319029778,0.0000000081,-0.0079669142,0.0328480750,0.0030208840,-0.0520808175,0.0199619643,-0.0010393031,0.0213646330,0.0199314542,0.0004258522
