Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:34:21.659,61,0.0000000000,0.0862381384,0.0644832924,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0862649456,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0037820342,0.0293307956,0.0142035764,0.0284859575,0.0000000000,0.0000000000,0.0000000000,0.0377891958,0.0489992015,0.0000000000,0.0000000000,0.0159830377,0.0159875639,0.0364728346,0.0360785350,0.0000000000,0.0016701953,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0563384593,0.0560135357,0.0158275813,0.0181218497,0.0406721607,0.0405557156,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0023720094,0.0000000000,0.0340935215,0.0634497255,0.0054128002,0.0410740264,0.0527050942,-0.0017873758,0.0393331647,0.0527017489,0.0020849581
13:45:34:22.660,61,0.0000000000,0.0871685520,0.0648227930,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0871967599,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0037268717,0.0279773213,0.0137166670,0.0272646490,0.0000000000,0.0000000000,0.0000000000,0.0354828872,0.0468384996,0.0000000000,0.0000000000,0.0153838051,0.0153751215,0.0347791910,0.0343120769,0.0000000000,0.0012843693,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0543707386,0.0540746264,0.0152434343,0.0174928717,0.0395134129,0.0393981412,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0021862346,0.0000000000,0.0344523154,0.0633754730,0.0048035327,0.0412966684,0.0532740019,-0.0017948947,0.0395390540,0.0532707833,0.0021184336
13:45:34:23.662,61,0.0000000000,0.0880439207,0.0645171925,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0880709961,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0036390675,0.0265262183,0.0133658927,0.0258627087,0.0000000000,0.0000000000,0.0000000000,0.0318281427,0.0429594070,0.0000000000,0.0000000000,0.0146455178,0.0146494247,0.0323535539,0.0319932476,0.0000000000,0.0008243350,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0500051044,0.0495477393,0.0145950839,0.0167871378,0.0368553922,0.0367419571,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0020145958,0.0000000000,0.0344523154,0.0633754730,0.0048035327,0.0411103293,0.0538084731,-0.0018231159,0.0393515192,0.0538053252,0.0021295098
13:45:34:24.663,61,0.0000000000,0.0880817920,0.0644441023,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0881086737,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0036165069,0.0255250726,0.0131384069,0.0245014820,0.0000000000,0.0000000000,0.0000000000,0.0302527342,0.0413554832,0.0000000000,0.0000000000,0.0139214229,0.0139274951,0.0307343528,0.0304479580,0.0000000000,0.0004335267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0476276614,0.0470984243,0.0139398137,0.0160743631,0.0308822244,0.0307699982,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0018828819,0.0000000000,0.0344523154,0.0633754730,0.0048035327,0.0410732366,0.0538315549,-0.0018259105,0.0393068902,0.0538283847,0.0021280076
13:45:34:25.665,61,0.0000000000,0.0878125876,0.0652397349,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0878425762,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0035656579,0.0246731956,0.0129358396,0.0235642083,0.0000000000,0.0000000000,0.0000000000,0.0274665672,0.0384101942,0.0000000000,0.0000000000,0.0132309720,0.0132318186,0.0296174344,0.0293350611,0.0000000000,0.0000680626,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0459448025,0.0452626981,0.0133349299,0.0154187391,0.0285806172,0.0284676515,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0018104201,0.0000000000,0.0344523154,0.0633754730,0.0048035327,0.0415782556,0.0536680594,-0.0017930844,0.0397925302,0.0536649004,0.0021477335
13:45:34:26.667,61,0.0000000000,0.0871453211,0.0654123649,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0871760696,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0036091497,0.0226056352,0.0126100695,0.0216439515,0.0000000000,0.0000000000,0.0000000000,0.0221305676,0.0334178470,0.0000000000,0.0000000000,0.0125095490,0.0125076165,0.0278416108,0.0275636017,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0420080386,0.0413360856,0.0126957437,0.0147272591,0.0269791614,0.0268669464,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0017130722,0.0000000000,0.0344523154,0.0633754730,0.0048035327,0.0417017788,0.0532606244,-0.0017727556,0.0398986973,0.0532573462,0.0021371373
13:45:34:27.668,61,0.0000000000,0.0867654234,0.0646021068,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0867928416,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0036327438,0.0215456896,0.0122551098,0.0206394251,0.0000000000,0.0000000000,0.0000000000,0.0206762701,0.0320365652,0.0000000000,0.0000000000,0.0119559839,0.0119461492,0.0269842353,0.0266883951,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0405804329,0.0399025083,0.0121718468,0.0141559141,0.0258194245,0.0257075317,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0015797450,0.0000000000,0.0344523154,0.0633754730,0.0048035327,0.0412103273,0.0530273728,-0.0017911237,0.0394049734,0.0530241393,0.0021015068
13:45:34:28.670,61,0.0000000000,0.0866754279,0.0639406592,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0867003053,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0035403236,0.0207399577,0.0118608577,0.0198552776,0.0000000000,0.0000000000,0.0000000000,0.0201853532,0.0314765275,0.0000000000,0.0000000000,0.0115068983,0.0114810281,0.0264358409,0.0260891505,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0397925228,0.0390823185,0.0117509626,0.0136900134,0.0248604044,0.0247483067,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0013919815,0.0000000000,0.0344523154,0.0633754730,0.0048035327,0.0408129208,0.0529715493,-0.0018103812,0.0390016213,0.0529682972,0.0020778405
13:45:34:29.671,61,0.0000000000,0.0874801204,0.0639494136,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0875052214,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0033905706,0.0200877637,0.0114730215,0.0192040000,0.0000000000,0.0000000000,0.0000000000,0.0207370650,0.0314434171,0.0000000000,0.0000000000,0.0111505846,0.0111030806,0.0259006377,0.0254815873,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0392718315,0.0385073796,0.0113887992,0.0132765304,0.0242528412,0.0241402388,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011978048,0.0000000000,0.0344523154,0.0633754730,0.0048035327,0.0408231542,0.0534633212,-0.0018267641,0.0390059389,0.0534600578,0.0020973196
13:45:34:30.673,61,0.0000000000,0.0889471993,0.0636960641,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0889713839,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0034388236,0.0196796209,0.0112340143,0.0186816137,0.0000000000,0.0000000000,0.0000000000,0.0211771335,0.0314445905,0.0000000000,0.0000000000,0.0108408304,0.0107742427,0.0254983064,0.0250616409,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0389614180,0.0381635800,0.0110605136,0.0128929140,0.0238431208,0.0237303469,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009819847,0.0000000000,0.0344523154,0.0633754730,0.0048035327,0.0406647027,0.0543594137,-0.0018662674,0.0388495214,0.0543562733,0.0021238634
13:45:34:31.674,61,0.0000000000,0.0896800533,0.0639282092,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0897052363,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0035274844,0.0193745792,0.0109742675,0.0184308793,0.0000000000,0.0000000000,0.0000000000,0.0282273982,0.0351353250,0.0000000000,0.0000000000,0.0105732922,0.0104953544,0.0252380334,0.0247951187,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0390534960,0.0382192060,0.0108248321,0.0126132211,0.0238057543,0.0236928035,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008087247,0.0000000000,0.0344523154,0.0633754730,0.0048035327,0.0408113971,0.0548075028,-0.0018736856,0.0389901437,0.0548044220,0.0021490778
13:45:34:32.676,61,0.0000000000,0.0902596563,0.0632527098,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0902821347,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0034972718,0.0190214794,0.0106269382,0.0181410052,0.0000000000,0.0000000000,0.0000000000,0.0304433759,0.0365732349,0.0000000000,0.0000000000,0.0103450883,0.0102581270,0.0250010435,0.0245321337,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0391205922,0.0382659100,0.0106162261,0.0123721110,0.0238091182,0.0236961935,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0006463904,0.0000000000,0.0344523154,0.0633754730,0.0048035327,0.0404000990,0.0551607721,-0.0019086509,0.0385773964,0.0551577434,0.0021400412
13:45:34:34.679,61,0.0000000000,0.0916872993,0.0628102943,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0917080715,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0036953355,0.0190654080,0.0104155689,0.0184722338,0.0000000000,0.0000000000,0.0000000000,0.0367670767,0.0431111269,0.0000000000,0.0000000000,0.0102347322,0.0101459241,0.0253914278,0.0249623265,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0420739502,0.0411180072,0.0105748912,0.0123174796,0.0240341648,0.0239212923,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005556153,0.0000000000,0.0345881060,0.0635024756,0.0043696389,0.0401344970,0.0560325310,-0.0019539907,0.0383057036,0.0560295805,0.0021585140
13:45:34:35.680,61,0.0000000000,0.0929202959,0.0626653209,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0929405391,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0038422665,0.0191810112,0.0101701375,0.0189013239,0.0000000000,0.0000000000,0.0000000000,0.0386773795,0.0450984277,0.0000000000,0.0000000000,0.0101993131,0.0101029910,0.0258724783,0.0254484154,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0441041030,0.0430434532,0.0105782067,0.0123233283,0.0242083389,0.0240955651,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004297955,0.0000000000,0.0346148126,0.0638682395,0.0040565673,0.0400476120,0.0567857251,-0.0019854039,0.0382156633,0.0567828678,0.0021823468
