Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:34:21.659,61,0.0000000000,0.0865708813,0.0645378157,0.0000000000,0.0000000000,0.1192249060,0.0424028374,0.0000000000,0.0866335258,0.0558673739,0.0000000000,0.0000000000,0.1192310750,0.0423709601,0.0528054871,0.0000000000,0.0050828033,0.0695785955,0.0561968125,0.0642132312,0.0487407744,0.0000000000,0.0196745675,0.0377891958,0.0489992015,0.0000000000,0.0000000000,0.0438056476,0.0433740430,0.1059356183,0.1047644392,0.0550726838,0.0378114060,0.0444948450,0.1008208245,0.0297378320,0.0309947021,0.0862770677,0.0866602659,0.0265387017,0.0306200031,0.0699811727,0.0699703842,0.0670968890,0.0000000000,0.0000000000,0.0178425852,0.0482656434,0.0517051145,0.0641191900,0.0693202913,0.0000000012,0.0093188789,0.0670088232,0.0094964141,-0.0340796448,0.0529521964,-0.0018059290,0.0393687710,0.0529241934,0.0020849661
13:45:34:22.660,61,0.0000000000,0.0875009596,0.0648773015,0.0000000000,0.0000000000,0.1179378852,0.0437105410,0.0000000000,0.0875649676,0.0555040874,0.0000000000,0.0000000000,0.1179435998,0.0436795987,0.0525873713,0.0000000000,0.0050277128,0.0682812408,0.0557306446,0.0630368367,0.0487741046,0.0000000000,0.0198012199,0.0354828872,0.0468384996,0.0000000000,0.0000000000,0.0432233587,0.0427786447,0.1043640748,0.1031238511,0.0550826937,0.0374395475,0.0454852507,0.0996873304,0.0297878049,0.0310708899,0.0843717754,0.0847843066,0.0259609129,0.0299990308,0.0688578263,0.0688482970,0.0665232167,0.0000000000,0.0000000000,0.0181540642,0.0477600992,0.0512038805,0.0639549270,0.0691469833,0.0000000007,0.0096776700,0.0669345707,0.0088871466,-0.0338570029,0.0535211042,-0.0018134479,0.0395746604,0.0534932278,0.0021184415
13:45:34:23.662,61,0.0000000000,0.0883760080,0.0645717159,0.0000000000,0.0000000000,0.1164331138,0.0461334214,0.0000000000,0.0884388462,0.0558111593,0.0000000000,0.0000000000,0.1164383143,0.0461035669,0.0522704050,0.0000000000,0.0049400232,0.0668903068,0.0553948134,0.0616864525,0.0488516316,0.0000000000,0.0199439824,0.0318281427,0.0429594070,0.0000000000,0.0000000000,0.0425059460,0.0420731455,0.1021133065,0.1009702533,0.0551449917,0.0369961672,0.0463226661,0.0967290699,0.0297602806,0.0310668722,0.0801446438,0.0804043859,0.0253196191,0.0293022804,0.0662810132,0.0662735477,0.0659900159,0.0000000000,0.0000000000,0.0184550844,0.0472353175,0.0506953001,0.0638052002,0.0689868629,0.0000000005,0.0096776700,0.0669345707,0.0088871466,-0.0340433419,0.0540555753,-0.0018416691,0.0393871255,0.0540277697,0.0021295177
13:45:34:24.663,61,0.0000000000,0.0884138644,0.0644986331,0.0000000000,0.0000000000,0.1156173572,0.0479232259,0.0000000000,0.0884765089,0.0558720455,0.0000000000,0.0000000000,0.1156222820,0.0478916578,0.0520534031,0.0000000000,0.0049174922,0.0659306720,0.0551770180,0.0603752844,0.0488971174,0.0000000000,0.0201371815,0.0302527342,0.0413554832,0.0000000000,0.0000000000,0.0418023244,0.0413713083,0.1006108373,0.0995350778,0.0552895516,0.0366195068,0.0470525622,0.0936337262,0.0297034550,0.0310367085,0.0778426304,0.0780345872,0.0246714801,0.0285985786,0.0604903363,0.0604846776,0.0655406937,0.0000000000,0.0000000000,0.0187543519,0.0467924625,0.0502758101,0.0636840388,0.0688639879,0.0000000005,0.0096776700,0.0669345707,0.0088871466,-0.0340804346,0.0540786572,-0.0018444638,0.0393424965,0.0540508293,0.0021280155
13:45:34:25.665,61,0.0000000000,0.0881447569,0.0652942210,0.0000000000,0.0000000000,0.1151075736,0.0493222661,0.0000000000,0.0882105231,0.0550436229,0.0000000000,0.0000000000,0.1151123121,0.0492892414,0.0519074611,0.0000000000,0.0048667095,0.0651141182,0.0549830794,0.0594724789,0.0490080528,0.0000000000,0.0202307496,0.0274665672,0.0384101942,0.0000000000,0.0000000000,0.0411313958,0.0406949930,0.0995744392,0.0985014811,0.0554768965,0.0362672731,0.0479234457,0.0922307447,0.0296968613,0.0310534090,0.0762131587,0.0762584582,0.0240731798,0.0279513001,0.0582590476,0.0582529157,0.0652053207,0.0000000000,0.0000000000,0.0190649200,0.0464268662,0.0499293953,0.0636071861,0.0687963888,0.0000000001,0.0096776700,0.0669345707,0.0088871466,-0.0335754156,0.0539151616,-0.0018116377,0.0398281366,0.0538873449,0.0021477414
13:45:34:26.667,61,0.0000000000,0.0874777362,0.0654668361,0.0000000000,0.0000000000,0.1148020402,0.0510875285,0.0000000000,0.0875442848,0.0548399091,0.0000000000,0.0000000000,0.1148066148,0.0510461442,0.0517306328,0.0000000000,0.0049101445,0.0631322861,0.0546711870,0.0576228388,0.0490365028,0.0000000000,0.0204239152,0.0221305676,0.0334178470,0.0000000000,0.0000000000,0.0404303707,0.0399909467,0.0979266390,0.0968562514,0.0556821972,0.0358967185,0.0491653644,0.0906547382,0.0297287013,0.0311112553,0.0724012926,0.0724593252,0.0234409496,0.0272686221,0.0567065179,0.0567012839,0.0648591369,0.0000000000,0.0000000000,0.0194074828,0.0460486375,0.0495855361,0.0635131374,0.0687055737,0.0000000000,0.0096776700,0.0669345707,0.0088871466,-0.0334518924,0.0535077266,-0.0017913089,0.0399343036,0.0534797907,0.0021371453
13:45:34:27.668,61,0.0000000000,0.0870979801,0.0646566302,0.0000000000,0.0000000000,0.1143469810,0.0529663749,0.0000000000,0.0871612057,0.0556448884,0.0000000000,0.0000000000,0.1143514663,0.0529178455,0.0516118370,0.0000000000,0.0049337079,0.0621162914,0.0543313473,0.0566552542,0.0489579253,0.0000000000,0.0205464996,0.0206762701,0.0320365652,0.0000000000,0.0000000000,0.0398924574,0.0394451059,0.0971310735,0.0960434079,0.0557803027,0.0355784073,0.0499445647,0.0898254663,0.0297423285,0.0311515126,0.0710189790,0.0710722879,0.0229227543,0.0267045498,0.0555822141,0.0555774160,0.0645420700,0.0000000000,0.0000000000,0.0196708459,0.0456924587,0.0492445305,0.0634059533,0.0685811937,0.0000000001,0.0096776700,0.0669345707,0.0088871466,-0.0339433439,0.0532744750,-0.0018096769,0.0394405797,0.0532465838,0.0021015147
13:45:34:28.670,61,0.0000000000,0.0870080143,0.0639952198,0.0000000000,0.0000000000,0.1135285571,0.0549576543,0.0000000000,0.0870687068,0.0562962145,0.0000000000,0.0000000000,0.1135330424,0.0549120568,0.0514848381,0.0000000000,0.0048414082,0.0613439679,0.0539538898,0.0558999442,0.0488135181,0.0000000000,0.0204926711,0.0201853532,0.0314765275,0.0000000000,0.0000000000,0.0394560695,0.0389929302,0.0966222137,0.0954868644,0.0558183715,0.0352435894,0.0505804941,0.0894220546,0.0297230650,0.0311473198,0.0702560693,0.0702787265,0.0225064512,0.0262445789,0.0546524934,0.0546475984,0.0641833395,0.0000000000,0.0000000000,0.0198452845,0.0452915877,0.0488322973,0.0632667989,0.0684060305,0.0000000007,0.0096776700,0.0669345707,0.0088871466,-0.0343407504,0.0532186516,-0.0018289344,0.0390372276,0.0531907417,0.0020778484
13:45:34:29.671,61,0.0000000000,0.0878124163,0.0640039742,0.0000000000,0.0000000000,0.1125033200,0.0560482256,0.0000000000,0.0878733024,0.0562809184,0.0000000000,0.0000000000,0.1125084758,0.0560035519,0.0513061769,0.0000000000,0.0046918509,0.0607188158,0.0535825752,0.0552726164,0.0486957617,0.0000000000,0.0202316418,0.0207370650,0.0314434171,0.0000000000,0.0000000000,0.0391098298,0.0386255011,0.0961255953,0.0949225947,0.0558644794,0.0349305309,0.0512059666,0.0892587304,0.0297528058,0.0311884489,0.0697518960,0.0697224513,0.0221482292,0.0258363597,0.0540634915,0.0540581718,0.0638073385,0.0000000000,0.0000000000,0.0199989565,0.0449164584,0.0484318770,0.0631370917,0.0682248846,0.0000000025,0.0096776700,0.0669345707,0.0088871466,-0.0343305171,0.0537104234,-0.0018453173,0.0390415452,0.0536825024,0.0020973275
13:45:34:30.673,61,0.0000000000,0.0892789587,0.0637506396,0.0000000000,0.0000000000,0.1111586019,0.0566904731,0.0000000000,0.0893388689,0.0565434285,0.0000000000,0.0000000000,0.1111639068,0.0566460602,0.0511423126,0.0000000000,0.0047400407,0.0603275970,0.0533537492,0.0547694415,0.0485841967,0.0000000000,0.0199960470,0.0211771335,0.0314445905,0.0000000000,0.0000000000,0.0388088338,0.0383058153,0.0957522690,0.0945325717,0.0559048094,0.0346560664,0.0516768284,0.0890536904,0.0297288951,0.0311736036,0.0694513321,0.0693898126,0.0218235161,0.0254576262,0.0536662899,0.0536608472,0.0634384006,0.0000000000,0.0000000000,0.0200905409,0.0445451513,0.0480217710,0.0630026683,0.0680235475,0.0000000038,0.0096776700,0.0669345707,0.0088871466,-0.0344889686,0.0546065159,-0.0018848206,0.0388851278,0.0545787178,0.0021238714
