Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:46:41:23.576,61,0.0000000000,0.0476137996,0.0773818716,0.0000000000,0.0000000000,0.0022169256,0.0580984578,0.0000000000,0.0477413945,0.0000000000,0.0000000000,0.0000000000,0.0019967919,0.0581432059,0.2533854544,0.0000000000,0.0197083894,0.0000000000,0.0000000000,0.0100101801,0.1136021391,0.0000000000,0.0025839459,0.0000000000,0.0000000000,0.6726680994,0.6727243066,0.0000000000,0.0000000000,0.0497363620,0.0553480722,0.0959378183,0.0000000000,0.5217508674,0.5134904385,0.1232984737,0.1256093532,0.0000000000,0.0000000000,0.0131134167,0.0150032472,0.2906761169,0.2905294597,0.0429523513,0.0000000000,0.0000000000,0.0009828984,0.0274700206,0.0201802179,0.0082407817,0.0100231674,0.0000006351,0.0469767973,0.0931973308,-0.0057449597,0.0503337532,0.0291601587,-0.0007114680,0.0472468249,0.0291078147,0.0013866781
13:46:41:24.578,61,0.0000000000,0.0452653095,0.0766418576,0.0000000000,0.0000000000,0.0018645424,0.0654338747,0.0000000000,0.0453898832,0.0000000000,0.0000000000,0.0000000000,0.0016440781,0.0654993206,0.2525556982,0.0000000000,0.0197457187,0.0000000000,0.0000000000,0.0092032682,0.1130774766,0.0000000000,0.0023031465,0.0000000000,0.0000000000,0.6626045704,0.6616514921,0.0000000000,0.0000000000,0.0493766665,0.0548488088,0.0962414294,0.0000000000,0.5227534175,0.5140398741,0.1242121384,0.1267516315,0.0000000000,0.0000000000,0.0130575271,0.0149414856,0.2973083854,0.2971601188,0.0432919785,0.0000000000,0.0000000000,0.0008249923,0.0266542658,0.0193742625,0.0074345088,0.0091291862,0.0000007135,0.0469767973,0.0931973308,-0.0057449597,0.0498836711,0.0277241580,-0.0006883896,0.0467969216,0.0276715327,0.0013061982
13:46:41:25.580,61,0.0000000000,0.0460182726,0.0771887302,0.0000000000,0.0000000000,0.0015355626,0.0701113492,0.0000000000,0.0461444370,0.0000000000,0.0000000000,0.0000000000,0.0013149735,0.0702008680,0.2517530620,0.0000000000,0.0195968729,0.0000000000,0.0000000000,0.0085173994,0.1129127815,0.0000000000,0.0019034405,0.0000000000,0.0000000000,0.6496376991,0.6494039297,0.0000000000,0.0000000000,0.0490184091,0.0542813838,0.0965342447,0.0000000000,0.5237658620,0.5144202709,0.1270937771,0.1296971291,0.0000000000,0.0000000000,0.0130283702,0.0149015002,0.3066553175,0.3064859807,0.0438358150,0.0000000000,0.0000000000,0.0009245123,0.0258377660,0.0185524262,0.0066732261,0.0083019892,0.0000005794,0.0469767973,0.0931973308,-0.0057449597,0.0502284393,0.0281848013,-0.0006902360,0.0471302271,0.0281322729,0.0013372279
13:46:41:26.581,61,0.0000000000,0.0462097824,0.0778078064,0.0000000000,0.0000000000,0.0008664862,0.0726970211,0.0000000000,0.0463373214,0.0000000000,0.0000000000,0.0000000000,0.0006454260,0.0727915019,0.2468622029,0.0000000000,0.0195996631,0.0000000000,0.0000000000,0.0080054477,0.1126972064,0.0000000000,0.0015729562,0.0000000000,0.0000000000,0.6432234645,0.6431987286,0.0000000000,0.0000000000,0.0489303507,0.0540431067,0.0963226780,0.0000000000,0.5220704079,0.5062986612,0.1277454942,0.1303549409,0.0000000000,0.0000000000,0.0129498774,0.0148034422,0.3099492490,0.3097746968,0.0461655445,0.0000000000,0.0000000000,0.0010906755,0.0250348542,0.0176904052,0.0060184589,0.0075805732,0.0000005128,0.0469767973,0.0931973308,-0.0057449597,0.0506332591,0.0283023324,-0.0006816106,0.0475080684,0.0282498579,0.0013535249
13:46:41:27.583,61,0.0000000000,0.0468134023,0.0770992339,0.0000000000,0.0000000000,0.0000000000,0.0742489174,0.0000000000,0.0469399877,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0743459836,0.2418459505,0.0000000000,0.0195933338,0.0000000000,0.0000000000,0.0075803809,0.1130048111,0.0000000000,0.0012448294,0.0000000000,0.0000000000,0.6362890005,0.6367271543,0.0000000000,0.0000000000,0.0487089157,0.0536847226,0.0941291451,0.0000000000,0.5192885399,0.4985527694,0.1281538457,0.1307445019,0.0000000000,0.0000000000,0.0128477467,0.0146729443,0.3122387528,0.3120659888,0.0466871820,0.0000000000,0.0000000000,0.0015096917,0.0231919698,0.0156951714,0.0054007885,0.0068761287,0.0000005038,0.0469767973,0.0931973308,-0.0057449597,0.0502085313,0.0286707431,-0.0007029328,0.0470749214,0.0286182780,0.0013585673
13:46:41:28.584,61,0.0000000000,0.0457660481,0.0758903846,0.0000000000,0.0000000000,0.0000000000,0.0767800882,0.0000000000,0.0458892770,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0768699870,0.2398325354,0.0000000000,0.0196523424,0.0000000000,0.0000000000,0.0072749397,0.1137887314,0.0000000000,0.0010855111,0.0000000000,0.0000000000,0.6326537132,0.6327754855,0.0000000000,0.0000000000,0.0484725907,0.0533672273,0.0920195505,0.0000000000,0.5105479360,0.4874937236,0.1280643791,0.1306253374,0.0000000000,0.0000000000,0.0127023589,0.0145039447,0.3134694695,0.3132987916,0.0470349863,0.0000000000,0.0000000000,0.0020342858,0.0221187863,0.0145920757,0.0048684268,0.0062778490,0.0000004668,0.0458886102,0.0949933603,-0.0059075532,0.0494704098,0.0280294884,-0.0007077956,0.0463376828,0.0279770363,0.0013075719
13:46:41:29.586,61,0.0000000000,0.0450773127,0.0751711354,0.0000000000,0.0000000000,0.0000000000,0.0787092894,0.0000000000,0.0451985635,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0787893534,0.2384277135,0.0000000000,0.0197224580,0.0000000000,0.0000000000,0.0070475144,0.1155176312,0.0000000000,0.0009820691,0.0000000000,0.0000000000,0.6241803169,0.6238487959,0.0000000000,0.0000000000,0.0481768772,0.0530081280,0.0889566615,0.0000000000,0.5060926080,0.4817648232,0.1280760616,0.1306094825,0.0000000000,0.0000000000,0.0125596551,0.0143429367,0.3139257431,0.3137582541,0.0467744619,0.0000000000,0.0000000000,0.0031662183,0.0212107934,0.0136847571,0.0044260924,0.0057914769,0.0000004983,0.0452188775,0.0964554995,-0.0060009765,0.0490550548,0.0276078880,-0.0007085289,0.0458990596,0.0275554471,0.0012758389
13:46:41:30.587,61,0.0000000000,0.0447733551,0.0742586553,0.0000000000,0.0000000000,0.0000000000,0.0807859898,0.0000000000,0.0448926426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0808571428,0.2324584424,0.0000000000,0.0198076963,0.0000000000,0.0000000000,0.0068285661,0.1160690561,0.0000000000,0.0009202680,0.0000000000,0.0000000000,0.6122040749,0.6119972467,0.0000000000,0.0000000000,0.0479749106,0.0527565107,0.0846588388,0.0000000000,0.4775177240,0.4527565837,0.1270189583,0.1293285787,0.0000000000,0.0000000000,0.0123667456,0.0141255055,0.3137588799,0.3135947883,0.0469526239,0.0000000000,0.0000000000,0.0039037305,0.0203850288,0.0128904395,0.0039902721,0.0053055203,0.0000005017,0.0447544977,0.0969255865,-0.0066120643,0.0485034361,0.0274214279,-0.0007189203,0.0453421362,0.0273689404,0.0012519143
13:46:41:31.589,61,0.0000000000,0.0447589122,0.0739440247,0.0000000000,0.0000000000,0.0000000000,0.0818263218,0.0000000000,0.0448776111,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0818930864,0.2302956879,0.0000000000,0.0198507272,0.0000000000,0.0000000000,0.0065907179,0.1164672971,0.0000000000,0.0008680944,0.0000000000,0.0000000000,0.6045440435,0.6042379737,0.0000000000,0.0000000000,0.0476537161,0.0523688123,0.0828291029,0.0000000000,0.4695593715,0.4445394278,0.1265930086,0.1288257092,0.0000000000,0.0000000000,0.0121843340,0.0139231291,0.3137399256,0.3135795891,0.0469077118,0.0000000000,0.0000000000,0.0046622981,0.0196337048,0.0121798394,0.0035852978,0.0048726900,0.0000004792,0.0440615341,0.0961494297,-0.0067740884,0.0483342707,0.0274123698,-0.0007233574,0.0451500304,0.0273598693,0.0012462077
13:46:41:32.590,61,0.0000000000,0.0443653464,0.0740824938,0.0000000000,0.0000000000,0.0000000000,0.0826243237,0.0000000000,0.0444840305,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0826880634,0.2289139330,0.0000000000,0.0199613087,0.0000000000,0.0000000000,0.0065207737,0.1171238348,0.0000000000,0.0008267850,0.0000000000,0.0000000000,0.5997664928,0.5998029709,0.0000000000,0.0000000000,0.0475799255,0.0522676371,0.0813866183,0.0000000000,0.4656956494,0.4403921068,0.1261450350,0.1283178180,0.0000000000,0.0000000000,0.0120263621,0.0137448749,0.3140278757,0.3138709366,0.0472353511,0.0000000000,0.0000000000,0.0056458912,0.0190204699,0.0116008855,0.0032932973,0.0045563672,0.0000004450,0.0446334258,0.0953821391,-0.0068571335,0.0484335050,0.0271718837,-0.0007141830,0.0452348851,0.0271194056,0.0012376561
