Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:46:41:23.576,61,0.0000000000,0.0479606092,0.0774356499,0.0000000000,0.0000000000,0.1868129373,0.1708392799,0.0000000000,0.0481255092,0.0406483188,0.0000000000,0.0000000000,0.1868060529,0.1708784252,0.2993334532,0.0000000000,0.0209883638,0.0293359645,0.0271623917,0.0464168973,0.1942435205,0.0000000000,0.0251058843,0.0000000000,0.0000000000,0.7343643904,0.7292744517,0.0195225775,0.0195543915,0.1182429492,0.1226608902,0.1793597937,0.0308207981,0.5795889497,0.5726674199,0.1685193926,0.1733219177,0.0175971948,0.0176737793,0.0238540769,0.0275410973,0.3123471141,0.3122804463,0.1238865033,0.0000000000,0.0000000000,0.0624880567,0.0770497173,0.0786363930,0.0731911957,0.0764579996,0.0000007770,0.0222021509,0.0967564285,-0.0016613457,-0.0248199180,0.0294072609,-0.0007300212,0.0472824313,0.0293302592,0.0013866860
13:46:41:24.578,61,0.0000000000,0.0456129760,0.0766956732,0.0000000000,0.0000000000,0.1865257472,0.1772966832,0.0000000000,0.0457749479,0.0413837284,0.0000000000,0.0000000000,0.1865186542,0.1773540527,0.2985547483,0.0000000000,0.0210256428,0.0289957169,0.0267478768,0.0456396602,0.1937665939,0.0000000000,0.0248314254,0.0000000000,0.0000000000,0.7261976600,0.7201148868,0.0196349882,0.0196483638,0.1179091856,0.1221972033,0.1796353906,0.0307112914,0.5804702640,0.5731500387,0.1693859249,0.1744018644,0.0173623022,0.0174065530,0.0237987954,0.0274801217,0.3187767565,0.3187078238,0.1241974086,0.0000000000,0.0000000000,0.0623398721,0.0762755498,0.0778785199,0.0724377260,0.0756240115,0.0000008553,0.0222021509,0.0967564285,-0.0016613457,-0.0252699982,0.0279712602,-0.0007069428,0.0468325280,0.0278939772,0.0013062061
13:46:41:25.580,61,0.0000000000,0.0463656634,0.0772425160,0.0000000000,0.0000000000,0.1862576306,0.1814142913,0.0000000000,0.0465291962,0.0408196449,0.0000000000,0.0000000000,0.1862504929,0.1814928502,0.2978014946,0.0000000000,0.0208769925,0.0286514368,0.0263411663,0.0449790135,0.1936168820,0.0000000000,0.0244407449,0.0000000000,0.0000000000,0.7156748176,0.7099835873,0.0197950993,0.0197852179,0.1175767556,0.1216702089,0.1799011827,0.0306051504,0.5813602805,0.5734841228,0.1721189320,0.1771866381,0.0171647780,0.0171758216,0.0237699561,0.0274406448,0.3278381228,0.3277477622,0.1246952564,0.0000000000,0.0000000000,0.0624332651,0.0755006745,0.0771057159,0.0717262998,0.0748523250,0.0000007212,0.0222021509,0.0967564285,-0.0016613457,-0.0249252301,0.0284319036,-0.0007087892,0.0471658334,0.0283547174,0.0013372358
13:46:41:26.581,61,0.0000000000,0.0465571024,0.0778615549,0.0000000000,0.0000000000,0.1857123375,0.1836904734,0.0000000000,0.0467220023,0.0401568152,0.0000000000,0.0000000000,0.1857049316,0.1837733984,0.2932116389,0.0000000000,0.0208797790,0.0283678323,0.0260169916,0.0444858894,0.1934209168,0.0000000000,0.0241177231,0.0000000000,0.0000000000,0.7104695439,0.7048506141,0.0199265089,0.0198956374,0.1174950451,0.1214489117,0.1797091365,0.0304834880,0.5798698664,0.5663504004,0.1727370322,0.1778085530,0.0170075875,0.0169923659,0.0236923173,0.0273438357,0.3310314119,0.3309356570,0.1268279701,0.0000000000,0.0000000000,0.0625891984,0.0747386962,0.0762951225,0.0711144134,0.0741793215,0.0000006546,0.0222021509,0.0967564285,-0.0016613457,-0.0245204121,0.0285494346,-0.0007001638,0.0475436747,0.0284723025,0.0013535328
13:46:41:27.583,61,0.0000000000,0.0471605025,0.0771530271,0.0000000000,0.0000000000,0.1838837564,0.1850566119,0.0000000000,0.0473244265,0.0408528261,0.0000000000,0.0000000000,0.1838751733,0.1851418167,0.2885040939,0.0000000000,0.0208734572,0.0280803293,0.0257131159,0.0440764539,0.1937005371,0.0000000000,0.0237970054,0.0000000000,0.0000000000,0.7048420906,0.6994972825,0.0200208351,0.0199705567,0.1172895730,0.1211160645,0.1777180135,0.0303014629,0.5774244070,0.5595467091,0.1731243134,0.1781768650,0.0168626774,0.0168272480,0.0235912986,0.0272149984,0.3332509696,0.3331567049,0.1273054928,0.0000000000,0.0000000000,0.0629824176,0.0729897618,0.0744189247,0.0705371946,0.0735221505,0.0000006457,0.0222021509,0.0967564285,-0.0016613457,-0.0249451417,0.0289178453,-0.0007214860,0.0471105278,0.0288407225,0.0013585752
13:46:41:28.584,61,0.0000000000,0.0461135320,0.0759442449,0.0000000000,0.0000000000,0.1829721928,0.1872848123,0.0000000000,0.0462741368,0.0420608781,0.0000000000,0.0000000000,0.1829629391,0.1873637140,0.2866145968,0.0000000000,0.0209323894,0.0278603733,0.0254959799,0.0437822454,0.1944131404,0.0000000000,0.0236412846,0.0000000000,0.0000000000,0.7018920183,0.6962283850,0.0200480819,0.0199861340,0.1170702875,0.1208211929,0.1758030802,0.0301316306,0.5697408915,0.5498328209,0.1730394661,0.1780641973,0.0167403258,0.0166963115,0.0234474931,0.0270481501,0.3344440758,0.3343517184,0.1276238859,0.0000000000,0.0000000000,0.0634747148,0.0719712898,0.0733816400,0.0700396970,0.0729640201,0.0000006087,0.0211139638,0.0985524580,-0.0018239393,-0.0256832633,0.0282765906,-0.0007263488,0.0463732891,0.0281994808,0.0013075798
13:46:41:29.586,61,0.0000000000,0.0454250462,0.0752250403,0.0000000000,0.0000000000,0.1824279875,0.1889830977,0.0000000000,0.0455837026,0.0427405834,0.0000000000,0.0000000000,0.1824182272,0.1890533417,0.2852962315,0.0000000000,0.0210024137,0.0276518706,0.0253070928,0.0435631834,0.1959847510,0.0000000000,0.0235401783,0.0000000000,0.0000000000,0.6950156689,0.6888441443,0.0200721957,0.0199972205,0.1167958900,0.1204876825,0.1730228215,0.0299772993,0.5658243895,0.5448007584,0.1730505526,0.1780492067,0.0166432783,0.0165914353,0.0233063418,0.0268891919,0.3348864317,0.3347970843,0.1273853928,0.0000000000,0.0000000000,0.0645369589,0.0711095855,0.0725284517,0.0696263313,0.0725102872,0.0000006401,0.0204442330,0.1000145972,-0.0019173627,-0.0260986164,0.0278549902,-0.0007270821,0.0459346659,0.0277778916,0.0012758469
13:46:41:30.587,61,0.0000000000,0.0451212004,0.0743126124,0.0000000000,0.0000000000,0.1820024550,0.1908112317,0.0000000000,0.0452779047,0.0436437204,0.0000000000,0.0000000000,0.1819920838,0.1908736229,0.2796943188,0.0000000000,0.0210875403,0.0274903215,0.0251724143,0.0433522873,0.1964860111,0.0000000000,0.0234797727,0.0000000000,0.0000000000,0.6852967739,0.6790404320,0.0201128740,0.0200234931,0.1166084856,0.1202539951,0.1691215783,0.0298476741,0.5407052636,0.5193209648,0.1720479727,0.1768382043,0.0165867601,0.0165314246,0.0231155325,0.0266745277,0.3347246647,0.3346386254,0.1275484860,0.0000000000,0.0000000000,0.0652290657,0.0703259185,0.0717815235,0.0692190528,0.0720569417,0.0000006435,0.0199798513,0.1004846841,-0.0025284505,-0.0266502332,0.0276685301,-0.0007374735,0.0453777425,0.0275913849,0.0012519222
13:46:41:31.589,61,0.0000000000,0.0451067612,0.0739979967,0.0000000000,0.0000000000,0.1817206889,0.1917270422,0.0000000000,0.0452628806,0.0439207405,0.0000000000,0.0000000000,0.1817099899,0.1917855740,0.2776646614,0.0000000000,0.0211305153,0.0273552462,0.0250544082,0.0431231856,0.1968480200,0.0000000000,0.0234287772,0.0000000000,0.0000000000,0.6790804863,0.6726219058,0.0201761052,0.0200744551,0.1163104475,0.1198939234,0.1674606800,0.0297642760,0.5337093472,0.5121033192,0.1716439873,0.1763627678,0.0165420417,0.0164847430,0.0229351055,0.0264747273,0.3347062767,0.3346239030,0.1275073737,0.0000000000,0.0000000000,0.0659409314,0.0696128979,0.0711133182,0.0688406006,0.0716531575,0.0000006211,0.0192868896,0.0997085273,-0.0026904745,-0.0268194024,0.0276594721,-0.0007419106,0.0451856367,0.0275823139,0.0012462157
13:46:41:32.590,61,0.0000000000,0.0447133407,0.0741364583,0.0000000000,0.0000000000,0.1816971153,0.1924295276,0.0000000000,0.0448694602,0.0437579453,0.0000000000,0.0000000000,0.1816860139,0.1924853921,0.2763679326,0.0000000000,0.0212409515,0.0272369348,0.0249713734,0.0430558138,0.1974448264,0.0000000000,0.0233884007,0.0000000000,0.0000000000,0.6752034426,0.6689532399,0.0202263668,0.0201117303,0.1162419766,0.1197999567,0.1661513001,0.0296736285,0.5303128958,0.5084604621,0.1712191254,0.1758825928,0.0165244360,0.0164659247,0.0227788538,0.0262987427,0.3349854350,0.3349063098,0.1278073043,0.0000000000,0.0000000000,0.0668639690,0.0690309256,0.0705689043,0.0685677230,0.0713580623,0.0000005868,0.0198587831,0.0989412367,-0.0027735198,-0.0267201681,0.0274189860,-0.0007327362,0.0452704914,0.0273418501,0.0012376640
