Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:51:49.762,61,0.0007780765,0.1165357828,0.0781366900,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007841762,0.1166287959,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0085499398,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0204517040,0.0089542428,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0056923530,0.0068943878,0.0615952425,0.0614662915,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010449518,0.0009544151,0.0000000000,0.0254069716,0.0755721256,0.0058176657,0.0495981202,0.0712384358,-0.0018112159,0.0476064682,0.0712429807,0.0034092586
13:45:51:50.763,61,0.0007018187,0.1173061207,0.0779256821,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007074690,0.1173985749,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0086744502,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0205252208,0.0092424555,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0056980494,0.0068867356,0.0612301640,0.0611009896,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007519227,0.0006449528,0.0000000000,0.0256324969,0.0752769709,0.0070783738,0.0494613796,0.0717088804,-0.0018331524,0.0474763066,0.0717134550,0.0034224109
13:45:51:51.765,61,0.0006316521,0.1176391691,0.0776874423,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0006368888,0.1177304611,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0085208127,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0201499052,0.0090282597,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0056923307,0.0068745613,0.0612022579,0.0610735938,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005866802,0.0005032397,0.0000000000,0.0256324969,0.0752769709,0.0070783738,0.0493100993,0.0719118863,-0.0018493264,0.0473304689,0.0719165653,0.0034215802
13:45:51:52.767,61,0.0005670848,0.1178474650,0.0779579133,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005719409,0.1179403290,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0082172742,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0190870818,0.0078375768,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0056181140,0.0067858864,0.0608275943,0.0606988072,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003658599,0.0003174568,0.0000000000,0.0256324969,0.0752769709,0.0070783738,0.0494745336,0.0720397830,-0.0018407449,0.0474948063,0.0720444694,0.0034395519
13:45:51:53.768,61,0.0005076669,0.1166007966,0.0780660063,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005121726,0.1166934147,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0079295551,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0136055080,0.0023062963,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0054793363,0.0066258409,0.0592012927,0.0590743087,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000586553,0.0000582139,0.0000000000,0.0256324969,0.0752769709,0.0070783738,0.0495347083,0.0712780207,-0.0018167748,0.0475632697,0.0712825656,0.0034080625
13:45:51:54.770,61,0.0004529864,0.1140953526,0.0773114413,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004571696,0.1141822115,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0076176678,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0116095394,0.0003258998,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0053326166,0.0064611863,0.0582743362,0.0581483394,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0256324969,0.0752769709,0.0070783738,0.0490987301,0.0697449222,-0.0018078597,0.0471086390,0.0697493851,0.0033029194
13:45:51:55.771,61,0.0004026645,0.1088408232,0.0756331459,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004065510,0.1089159623,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0075286613,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0095451558,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0051696273,0.0062815198,0.0566299483,0.0565082990,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0256324969,0.0752769709,0.0070783738,0.0481049791,0.0665299222,-0.0017901447,0.0460961349,0.0665339977,0.0030830626
13:45:51:56.773,61,0.0003563536,0.1037307680,0.0730164573,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003599669,0.1037902832,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0076144254,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0084864525,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0050116056,0.0061021154,0.0524855219,0.0523693375,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0256324969,0.0752769709,0.0070783738,0.0465292633,0.0634017140,-0.0018055699,0.0445104055,0.0634056553,0.0028372554
13:45:51:57.774,61,0.0003137336,0.1026828289,0.0714734793,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003170956,0.1027346924,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0077029560,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0077378200,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0048638959,0.0059400247,0.0298080724,0.0296989344,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0256324969,0.0752769709,0.0070783738,0.0455937609,0.0627585948,-0.0018460844,0.0435715914,0.0627624989,0.0027493481
13:45:51:58.776,61,0.0002745102,0.1047076434,0.0716387257,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002776409,0.1047615334,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0080594597,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0069861873,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0047233202,0.0057834680,0.0000000000,0.0000000000,0.0000000000,0.0110957008,0.0111015756,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0256324969,0.0752769709,0.0070783738,0.0457233861,0.0639965385,-0.0018744853,0.0436688811,0.0640003905,0.0028097816
