Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:51:49.762,61,0.0009563569,0.1168574989,0.0781904235,0.0000000000,0.0000000000,0.0718440041,0.0679186061,0.0009619964,0.1169851273,0.0419420786,0.0000000000,0.0000000000,0.0718444139,0.0679133087,0.0511692017,0.0000000000,0.0098444829,0.0330788456,0.0355072170,0.0356632657,0.0897701830,0.0000000000,0.0168666374,0.0000000000,0.0000000000,0.1525288075,0.1502019763,0.0211473852,0.0204105265,0.0666073784,0.0638506636,0.0658024102,0.0197862685,0.1389155090,0.1295008808,0.0487500727,0.0502833761,0.0246251561,0.0254047066,0.0165137798,0.0195354540,0.0902650207,0.0902398825,0.0495340712,0.0000000000,0.0000000000,0.0397164673,0.0328008235,0.0349222533,0.0664666221,0.0679978281,0.0000000004,0.0006323276,0.0791312233,0.0099012796,-0.0255555492,0.0714855418,-0.0018297691,0.0476420745,0.0714654252,0.0034092665
13:45:51:50.763,61,0.0008801127,0.1176275536,0.0779794231,0.0000000000,0.0000000000,0.0717824325,0.0688995719,0.0008853030,0.1177546009,0.0421679206,0.0000000000,0.0000000000,0.0717828199,0.0688946992,0.0513993464,0.0000000000,0.0099688312,0.0331926681,0.0356488749,0.0358975418,0.0896479413,0.0000000000,0.0166423041,0.0000000000,0.0000000000,0.1536048502,0.1506936848,0.0212896895,0.0205348898,0.0676019937,0.0648104325,0.0656708628,0.0198527630,0.1389801353,0.1297540367,0.0486081429,0.0501485914,0.0248460378,0.0256064180,0.0165194143,0.0195278991,0.0899110958,0.0898857787,0.0496684648,0.0000000000,0.0000000000,0.0395834744,0.0328110829,0.0349037871,0.0661927834,0.0677091330,0.0000000003,0.0008578521,0.0788360685,0.0111619877,-0.0256922916,0.0719559863,-0.0018517056,0.0475119129,0.0719358996,0.0034224188
13:45:51:51.765,61,0.0008099586,0.1179604828,0.0777411982,0.0000000000,0.0000000000,0.0719429702,0.0694283098,0.0008147353,0.1180863529,0.0424168333,0.0000000000,0.0000000000,0.0719433725,0.0694238096,0.0515528917,0.0000000000,0.0098153939,0.0334538817,0.0359463729,0.0361390524,0.0894611403,0.0000000000,0.0165168867,0.0000000000,0.0000000000,0.1506297439,0.1437999606,0.0214772448,0.0207138136,0.0683504790,0.0655287057,0.0656383187,0.0199885909,0.1386502087,0.1295658946,0.0484325550,0.0499805026,0.0251288563,0.0258746780,0.0165137574,0.0195158795,0.0898840427,0.0898592249,0.0498333201,0.0000000000,0.0000000000,0.0393828861,0.0329217762,0.0350186899,0.0660383627,0.0675769299,0.0000000001,0.0008578521,0.0788360685,0.0111619877,-0.0258435719,0.0721589923,-0.0018678796,0.0473660752,0.0721390098,0.0034215881
13:45:51:52.767,61,0.0007454028,0.1181687042,0.0780116543,0.0000000000,0.0000000000,0.0721064359,0.0699673072,0.0007497988,0.1182961315,0.0421473384,0.0000000000,0.0000000000,0.0721068680,0.0699632615,0.0515201911,0.0000000000,0.0095122522,0.0336822905,0.0361901522,0.0361939259,0.0890313610,0.0000000000,0.0164044276,0.0000000000,0.0000000000,0.1470573694,0.1382394582,0.0216287524,0.0208583269,0.0687720627,0.0659135953,0.0656132624,0.0201257952,0.1377159208,0.1285200417,0.0481718443,0.0497246124,0.0253225695,0.0260491334,0.0164403487,0.0194283333,0.0895208269,0.0894959271,0.0499554016,0.0000000000,0.0000000000,0.0392196178,0.0329834409,0.0350817256,0.0658320040,0.0674036145,0.0000000001,0.0008578521,0.0788360685,0.0111619877,-0.0256791376,0.0722868890,-0.0018592981,0.0475304127,0.0722669140,0.0034395598
13:45:51:53.768,61,0.0006859955,0.1169224828,0.0781197399,0.0000000000,0.0000000000,0.0723643675,0.0711354688,0.0006900413,0.1170497239,0.0420462675,0.0000000000,0.0000000000,0.0723648593,0.0711317211,0.0513969474,0.0000000000,0.0092249084,0.0339751057,0.0365050137,0.0362196118,0.0885669887,0.0000000000,0.0163318962,0.0000000000,0.0000000000,0.1431675255,0.1339423954,0.0217264537,0.0209558997,0.0690023601,0.0661372617,0.0655589476,0.0202814955,0.1328972727,0.1236615628,0.0477652773,0.0493174531,0.0254902169,0.0261951685,0.0163030811,0.0192703251,0.0879442096,0.0879212320,0.0501413941,0.0000000000,0.0000000000,0.0390620865,0.0330267772,0.0351306498,0.0655449182,0.0671617687,0.0000000001,0.0008578521,0.0788360685,0.0111619877,-0.0256189629,0.0715251267,-0.0018353281,0.0475988761,0.0715050101,0.0034080704
13:45:51:54.770,61,0.0006313247,0.1144179553,0.0773652196,0.0000000000,0.0000000000,0.0727337748,0.0723461434,0.0006350481,0.1145395339,0.0427571535,0.0000000000,0.0000000000,0.0727343261,0.0723425522,0.0511300303,0.0000000000,0.0089134285,0.0342203155,0.0367792100,0.0362832583,0.0883952901,0.0000000000,0.0163938086,0.0000000000,0.0000000000,0.1412197948,0.1311685294,0.0217688140,0.0210032109,0.0690434203,0.0661775097,0.0654735789,0.0203977916,0.1311426908,0.1219220534,0.0474005453,0.0489570312,0.0255779978,0.0262708515,0.0161579587,0.0191077664,0.0870455727,0.0870236531,0.0502931885,0.0000000000,0.0000000000,0.0390488133,0.0330714285,0.0351961851,0.0653133988,0.0669856146,0.0000000000,0.0008578521,0.0788360685,0.0111619877,-0.0260549411,0.0699920282,-0.0018264130,0.0471442454,0.0699718297,0.0033029274
13:45:51:55.771,61,0.0005810119,0.1091653407,0.0756870210,0.0000000000,0.0000000000,0.0732368007,0.0761561766,0.0005844385,0.1092754081,0.0443781652,0.0000000000,0.0000000000,0.0732373893,0.0761495456,0.0508848429,0.0000000000,0.0088245384,0.0344181322,0.0370005332,0.0362492949,0.0880083367,0.0000000000,0.0166034047,0.0000000000,0.0000000000,0.1399909705,0.1296552718,0.0217792429,0.0210224632,0.0689988658,0.0661778748,0.0653954670,0.0205063857,0.1293279678,0.1205545142,0.0469632149,0.0485293344,0.0256266184,0.0263148788,0.0159967430,0.0189303868,0.0854514241,0.0854338929,0.0503848232,0.0000000000,0.0000000000,0.0390062109,0.0331062824,0.0352579504,0.0650560334,0.0667827725,0.0000000001,0.0008578521,0.0788360685,0.0111619877,-0.0270486921,0.0667770281,-0.0018086979,0.0461317413,0.0667564422,0.0030830705
13:45:51:56.773,61,0.0005347092,0.1040571406,0.0730704889,0.0000000000,0.0000000000,0.0737060905,0.0812324211,0.0005378627,0.1041517928,0.0469538122,0.0000000000,0.0000000000,0.0737067014,0.0812226683,0.0506237075,0.0000000000,0.0089101903,0.0345183909,0.0371096022,0.0361775979,0.0877014548,0.0000000000,0.0167964622,0.0000000000,0.0000000000,0.1393170357,0.1289838403,0.0217665210,0.0210138746,0.0688697845,0.0660990253,0.0653148964,0.0205829404,0.1283973008,0.1197719127,0.0465921760,0.0481714718,0.0256138779,0.0262966044,0.0158404410,0.0187532660,0.0814336166,0.0814218223,0.0505180508,0.0000000000,0.0000000000,0.0390909314,0.0331335068,0.0353029408,0.0647903457,0.0665399432,0.0000000004,0.0008578521,0.0788360685,0.0111619877,-0.0286244079,0.0636488199,-0.0018241231,0.0445460118,0.0636280999,0.0028372633
13:45:51:57.774,61,0.0004920968,0.1030095890,0.0715276003,0.0000000000,0.0000000000,0.0740659386,0.0855533481,0.0004949990,0.1030966267,0.0484863818,0.0000000000,0.0000000000,0.0740665570,0.0855388716,0.0504324213,0.0000000000,0.0089986054,0.0346739255,0.0372722000,0.0361714698,0.0875038430,0.0000000000,0.0170380138,0.0000000000,0.0000000000,0.1391519159,0.1288259327,0.0217640642,0.0210139398,0.0688585714,0.0661359578,0.0653329194,0.0206945557,0.1277392060,0.1192805395,0.0462473892,0.0478444286,0.0256335065,0.0263100825,0.0156943388,0.0185932387,0.0594490021,0.0594464503,0.0510441698,0.0000000000,0.0000000000,0.0392656550,0.0332014896,0.0353892334,0.0645179451,0.0662927181,0.0000000005,0.0008578521,0.0788360685,0.0111619877,-0.0295599122,0.0630057007,-0.0018646376,0.0436071977,0.0629849434,0.0027493560
13:45:51:58.776,61,0.0004528804,0.1050336659,0.0716928318,0.0000000000,0.0000000000,0.0739402622,0.0895093903,0.0004555513,0.1051226556,0.0482775643,0.0000000000,0.0000000000,0.0739408433,0.0894933641,0.0501822755,0.0000000000,0.0093546435,0.0348040946,0.0374206454,0.0362334922,0.0872999355,0.0000000000,0.0172494166,0.0000000000,0.0000000000,0.1393963993,0.1293039918,0.0217413697,0.0209897887,0.0689517781,0.0662794635,0.0652612522,0.0207590945,0.1270784736,0.1188380271,0.0457952842,0.0474088676,0.0256282855,0.0262885038,0.0155552933,0.0184386745,0.0000000000,0.0000000000,0.0680685490,0.0110957008,0.0111015756,0.0393317565,0.0332786739,0.0354325697,0.0640141591,0.0658145249,0.0000000005,0.0008578521,0.0788360685,0.0111619877,-0.0294302870,0.0642436445,-0.0018930385,0.0437044874,0.0642228350,0.0028097895
