Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:46:32:36.503,61,0.0000000000,0.1669613421,0.0790447146,0.0000000000,0.0000000000,0.0000000000,0.3364492655,0.0000000000,0.1671763808,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3364515305,0.0143580828,0.0000000000,0.0178767946,0.0345870405,0.0512720197,0.0675332770,0.0236668680,0.0000000000,0.0037125994,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003725787,0.0004403721,0.0751446411,0.0816410482,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0185759049,0.0178449657,0.0027373908,0.0031841502,0.0000000000,0.0000000000,0.6199601889,0.5312070847,0.5312206149,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0398322903,0.0921191722,-0.0088228015,0.0525629446,0.1021065786,-0.0023015975,0.0480306596,0.1020723060,0.0049322019
13:46:32:37.504,61,0.0000000000,0.1654987484,0.0783486962,0.0000000000,0.0000000000,0.0000000000,0.3399603367,0.0000000000,0.1657076776,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3399620354,0.0147467367,0.0000000000,0.0175526310,0.0371816568,0.0544662252,0.0691932291,0.0249928311,0.0000000000,0.0036444487,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004070243,0.0004925631,0.0755892321,0.0820863843,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0191024225,0.0183601007,0.0027178496,0.0031612951,0.0000000000,0.0000000000,0.6193376780,0.5298113227,0.5298242569,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0398322903,0.0921191722,-0.0088228015,0.0521134138,0.1012105644,-0.0023268999,0.0476120710,0.1011760980,0.0048461519
13:46:32:38.506,61,0.0000000000,0.1640904546,0.0776900128,0.0000000000,0.0000000000,0.0000000000,0.3446133733,0.0000000000,0.1642934680,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3446144164,0.0152810356,0.0000000000,0.0170977768,0.0400428362,0.0577679351,0.0720863044,0.0260791369,0.0000000000,0.0037283613,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004883196,0.0005948165,0.0761871338,0.0826741531,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0197034180,0.0189750772,0.0026931474,0.0031438398,0.0000000000,0.0000000000,0.6189945936,0.5288491845,0.5288602114,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0398322903,0.0921191722,-0.0088228015,0.0516928434,0.1003477722,-0.0023492572,0.0472159125,0.1003132537,0.0047647161
13:46:32:39.507,61,0.0000000000,0.1624465138,0.0769653320,0.0000000000,0.0000000000,0.0000000000,0.3475176394,0.0000000000,0.1626430154,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3475185037,0.0156081449,0.0000000000,0.0165151078,0.0414038599,0.0593635216,0.0734492168,0.0282723308,0.0000000000,0.0037998033,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005266047,0.0006542805,0.0765509382,0.0829850435,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0201321505,0.0194109753,0.0026485310,0.0031019126,0.0000000000,0.0000000000,0.6148406267,0.5249581337,0.5249660015,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0398322903,0.0921191722,-0.0088228015,0.0512255318,0.0993408039,-0.0023720765,0.0467802100,0.0993062109,0.0046732123
13:46:32:40.509,61,0.0000000000,0.1621306390,0.0770657361,0.0000000000,0.0000000000,0.0000000000,0.3484902382,0.0000000000,0.1623275280,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3484912813,0.0158096887,0.0000000000,0.0158555172,0.0426657684,0.0611297973,0.0744762570,0.0299646016,0.0000000000,0.0038002320,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005408679,0.0006862523,0.0767877996,0.0831255615,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0205143169,0.0197838265,0.0025960405,0.0030506067,0.0000000000,0.0000000000,0.6103984118,0.5221743584,0.5221821666,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0398322903,0.0921191722,-0.0088228015,0.0512586758,0.0991480201,-0.0023641142,0.0468421467,0.0991134048,0.0046702661
13:46:32:41.510,61,0.0000000000,0.1617525071,0.0775691047,0.0000000000,0.0000000000,0.0000000000,0.3492334783,0.0000000000,0.1619524956,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3492350578,0.0159743708,0.0000000000,0.0151815265,0.0435726233,0.0620241128,0.0757711381,0.0308155920,0.0000000000,0.0038640264,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0006330106,0.0007970567,0.0772954598,0.0835276172,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0210590623,0.0203150548,0.0025759623,0.0030463636,0.0000000000,0.0000000000,0.6085615158,0.5205947757,0.5206025839,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0394620672,0.0927044079,-0.0093781296,0.0515470393,0.0989182815,-0.0023298888,0.0471491776,0.0988836661,0.0046898886
13:46:32:42.512,61,0.0000000000,0.1613892019,0.0779146478,0.0000000000,0.0000000000,0.0000000000,0.3490805328,0.0000000000,0.1615915298,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3490835428,0.0161711443,0.0000000000,0.0140343159,0.0441498682,0.0625529140,0.0761508495,0.0309883449,0.0000000000,0.0037808169,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007346933,0.0009076732,0.0776728094,0.0837216750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0215386432,0.0207524635,0.0025309685,0.0030076210,0.0000000000,0.0000000000,0.6071040034,0.5194996595,0.5195079446,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0401129313,0.0943698883,-0.0087227942,0.0517291054,0.0986973792,-0.0023065552,0.0473602563,0.0986625478,0.0047002728
13:46:32:43.514,61,0.0000000000,0.1607500464,0.0783712342,0.0000000000,0.0000000000,0.0000000000,0.3486158848,0.0000000000,0.1609548926,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3486203253,0.0162856746,0.0000000000,0.0127822394,0.0443320647,0.0626239553,0.0760986656,0.0308835898,0.0000000000,0.0035460454,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008351186,0.0010112927,0.0779145733,0.0837145373,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0218362436,0.0209885519,0.0024914218,0.0029680126,0.0000000000,0.0000000000,0.6061887741,0.5186522007,0.5186612606,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0411931276,0.0952813029,-0.0078769913,0.0519886389,0.0983079299,-0.0022716890,0.0476396270,0.0982731506,0.0047092177
13:46:32:44.515,61,0.0000000000,0.1594983041,0.0788458139,0.0000000000,0.0000000000,0.0000000000,0.3483518362,0.0000000000,0.1597054303,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3483577073,0.0164198782,0.0000000000,0.0121820653,0.0443943478,0.0624669939,0.0761390924,0.0304529499,0.0000000000,0.0035235716,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009290191,0.0011120784,0.0785154849,0.0841846392,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0221902914,0.0213187840,0.0024796538,0.0029648750,0.0000000000,0.0000000000,0.6039305925,0.5146719813,0.5146865845,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0422862470,0.0959967002,-0.0073088459,0.0522607416,0.0975441784,-0.0022271390,0.0479317233,0.0975092500,0.0047010654
13:46:32:45.517,61,0.0000000000,0.1586299539,0.0786770508,0.0000000000,0.0000000000,0.0000000000,0.3483002484,0.0000000000,0.1588353068,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3483066857,0.0166383795,0.0000000000,0.0120376693,0.0442309082,0.0620098487,0.0759048238,0.0292506758,0.0000000000,0.0035527381,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010588296,0.0012425559,0.0790559724,0.0846846625,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0225012340,0.0216201190,0.0024858795,0.0029797419,0.0000000000,0.0000000000,0.5994046926,0.5101234317,0.5101396441,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0428773314,0.0960162580,-0.0061719911,0.0521610305,0.0970129222,-0.0022245885,0.0478316061,0.0969779491,0.0046655964
