Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:46:32:36.503,61,0.0000000000,0.1672646850,0.0790983960,0.0000000000,0.0000000000,0.0797394365,0.4158729315,0.0000000000,0.1675123274,0.0371760130,0.0000000000,0.0000000000,0.0797341913,0.4158747196,0.0750162452,0.0000000000,0.0191591606,0.0746168941,0.0916862041,0.1018245965,0.1124902517,0.0000000000,0.0262090527,0.0000000000,0.0000000000,0.1055680215,0.0996488705,0.0286365673,0.0282595512,0.1418194920,0.1470803171,0.0717662349,0.0289253592,0.1059365720,0.0982117578,0.0370885879,0.0390459672,0.0497125685,0.0497308485,0.0135909775,0.0158724431,0.0000000000,0.0000000000,0.6520988345,0.5312070847,0.5312206149,0.0557044260,0.0436417200,0.0445386060,0.0481292494,0.0503363088,0.0000000009,0.0150576457,0.0956782699,-0.0047391877,-0.0225907248,0.1023536846,-0.0023201508,0.0480662659,0.1022947505,0.0049322098
13:46:32:37.504,61,0.0000000000,0.1658026278,0.0784024149,0.0000000000,0.0000000000,0.0798588097,0.4189637303,0.0000000000,0.1660442203,0.0379123054,0.0000000000,0.0000000000,0.0798537359,0.4189650416,0.0753809810,0.0000000000,0.0188354198,0.0771039277,0.0947443396,0.1034234986,0.1136955842,0.0000000000,0.0261424407,0.0000000000,0.0000000000,0.1060545892,0.1000004634,0.0286700390,0.0283102896,0.1422320306,0.1474939138,0.0721890703,0.0292064473,0.1054529175,0.0979249030,0.0368875638,0.0388288535,0.0502223819,0.0502292588,0.0135716489,0.0158498790,0.0000000000,0.0000000000,0.6515289545,0.5298113227,0.5298242569,0.0557428822,0.0438750871,0.0448254980,0.0481163785,0.0503498800,0.0000000014,0.0150576457,0.0956782699,-0.0047391877,-0.0230402593,0.1014576703,-0.0023454532,0.0476476774,0.1013985425,0.0048461598
13:46:32:38.506,61,0.0000000000,0.1643948406,0.0777437687,0.0000000000,0.0000000000,0.0801044106,0.4230598211,0.0000000000,0.1646305770,0.0386009701,0.0000000000,0.0000000000,0.0800995529,0.4230605662,0.0758823976,0.0000000000,0.0183811598,0.0798464715,0.0979054049,0.1062101871,0.1146830618,0.0000000000,0.0262244586,0.0000000000,0.0000000000,0.1064813510,0.1000043750,0.0287490357,0.0284096971,0.1427868307,0.1480398029,0.0726829618,0.0295529924,0.1050113067,0.0976201743,0.0367482938,0.0386797190,0.0508043095,0.0508242697,0.0135472156,0.0158326458,0.0000000000,0.0000000000,0.6512148976,0.5288491845,0.5288602114,0.0558574982,0.0441706590,0.0452096984,0.0481377840,0.0504171513,0.0000000068,0.0150576457,0.0956782699,-0.0047391877,-0.0234608278,0.1005948782,-0.0023678106,0.0472515188,0.1005356982,0.0047647241
13:46:32:39.507,61,0.0000000000,0.1627514958,0.0770191327,0.0000000000,0.0000000000,0.0803920552,0.4256164730,0.0000000000,0.1629807949,0.0393658690,0.0000000000,0.0000000000,0.0803874359,0.4256170392,0.0761893764,0.0000000000,0.0177992508,0.0811510608,0.0994330198,0.1075229719,0.1166767254,0.0000000000,0.0262942873,0.0000000000,0.0000000000,0.1068017632,0.0998410285,0.0287862383,0.0284675062,0.1431244016,0.1483285427,0.0730903596,0.0298459884,0.1047146320,0.0973096490,0.0366461240,0.0385703333,0.0512194410,0.0512460172,0.0135030849,0.0157912523,0.0000000000,0.0000000000,0.6474121809,0.5249581337,0.5249660015,0.0561179966,0.0444001108,0.0455341265,0.0481101647,0.0504346043,0.0000000099,0.0150576457,0.0956782699,-0.0047391877,-0.0239281394,0.0995879099,-0.0023906298,0.0468158163,0.0995286554,0.0046732202
13:46:32:40.509,61,0.0000000000,0.1624357402,0.0771195292,0.0000000000,0.0000000000,0.0806148052,0.4264726639,0.0000000000,0.1626654267,0.0393105857,0.0000000000,0.0000000000,0.0806104094,0.4264733791,0.0763785169,0.0000000000,0.0171405207,0.0823606476,0.1011240557,0.1085122451,0.1182150394,0.0000000000,0.0262947064,0.0000000000,0.0000000000,0.1070941091,0.0996528566,0.0288000982,0.0284985881,0.1433441937,0.1484590471,0.0735094324,0.0301338676,0.1042985916,0.0968793482,0.0364842750,0.0383953527,0.0515894815,0.0516067632,0.0134511655,0.0157405995,0.0000000000,0.0000000000,0.6433456540,0.5221743584,0.5221821666,0.0563034005,0.0445710234,0.0457840413,0.0480481088,0.0504195355,0.0000000099,0.0150576457,0.0956782699,-0.0047391877,-0.0238949973,0.0993951261,-0.0023826675,0.0468777530,0.0993358493,0.0046702740
13:46:32:41.510,61,0.0000000000,0.1620577425,0.0776228681,0.0000000000,0.0000000000,0.0808494315,0.4271269441,0.0000000000,0.1622905433,0.0388353020,0.0000000000,0.0000000000,0.0808452144,0.4271281362,0.0765330642,0.0000000000,0.0164674111,0.0832298994,0.1019802764,0.1097595021,0.1189886108,0.0000000000,0.0263570603,0.0000000000,0.0000000000,0.1069837585,0.0982054323,0.0288896356,0.0286063086,0.1438152492,0.1488324553,0.0737326741,0.0304004941,0.1037454084,0.0966285840,0.0363446102,0.0382466726,0.0521169454,0.0521207452,0.0134313060,0.0157364104,0.0000000000,0.0000000000,0.6416640878,0.5205947757,0.5206025839,0.0563442409,0.0447287038,0.0460234769,0.0479434878,0.0503765643,0.0000000098,0.0146874245,0.0962635055,-0.0052945153,-0.0236066319,0.0991653875,-0.0023484421,0.0471847840,0.0991061106,0.0046898965
13:46:32:42.512,61,0.0000000000,0.1616945714,0.0779683888,0.0000000000,0.0000000000,0.0809906721,0.4269922972,0.0000000000,0.1619297266,0.0385349467,0.0000000000,0.0000000000,0.0809866488,0.4269947708,0.0767177269,0.0000000000,0.0153216980,0.0837832093,0.1024865508,0.1101252586,0.1191456467,0.0000000000,0.0262757298,0.0000000000,0.0000000000,0.1067700833,0.0973439962,0.0289884433,0.0287138466,0.1441653967,0.1490126848,0.0740201622,0.0307054985,0.1031385660,0.0961263180,0.0361883454,0.0380846262,0.0525813103,0.0525439531,0.0133868018,0.0156981610,0.0000000000,0.0000000000,0.6403298378,0.5194996595,0.5195079446,0.0563347824,0.0448024161,0.0461715646,0.0477965362,0.0502896644,0.0000000047,0.0153382868,0.0979289860,-0.0046391804,-0.0234245677,0.0989444852,-0.0023251085,0.0473958626,0.0988849923,0.0047002807
13:46:32:43.514,61,0.0000000000,0.1610556543,0.0784249529,0.0000000000,0.0000000000,0.0811871067,0.4265832603,0.0000000000,0.1612933427,0.0381065197,0.0000000000,0.0000000000,0.0811833069,0.4265869856,0.0768252090,0.0000000000,0.0140712569,0.0839578509,0.1025545672,0.1100749895,0.1190504208,0.0000000000,0.0260462593,0.0000000000,0.0000000000,0.1066267118,0.0967969447,0.0290860292,0.0288145822,0.1443897337,0.1490060538,0.0742895007,0.0309483651,0.1027703062,0.0957893804,0.0360920615,0.0379832350,0.0528694689,0.0527723767,0.0133476853,0.0156590566,0.0000000000,0.0000000000,0.6394919753,0.5186522007,0.5186612606,0.0563709997,0.0448413342,0.0462789126,0.0476515666,0.0501892902,0.0000000019,0.0164184831,0.0988404006,-0.0037933774,-0.0231650304,0.0985550359,-0.0022902424,0.0476752333,0.0984955952,0.0047092256
13:46:32:44.515,61,0.0000000000,0.1598043591,0.0788995028,0.0000000000,0.0000000000,0.0814920217,0.4263508320,0.0000000000,0.1600443870,0.0376560763,0.0000000000,0.0000000000,0.0814883113,0.4263558090,0.0769511536,0.0000000000,0.0134718660,0.0840175524,0.1024042889,0.1101139262,0.1186589599,0.0000000000,0.0260242932,0.0000000000,0.0000000000,0.1068471596,0.0966762751,0.0291772746,0.0289125629,0.1449473202,0.1494426578,0.0743307173,0.0311096851,0.1023261845,0.0955872312,0.0359556079,0.0378360152,0.0532122850,0.0530918874,0.0133360457,0.0156559590,0.0000000000,0.0000000000,0.6374247670,0.5146719813,0.5146865845,0.0562525541,0.0449146740,0.0463998467,0.0475451052,0.0501236692,0.0000000031,0.0175116025,0.0995557979,-0.0032252320,-0.0228929278,0.0977912843,-0.0022456923,0.0479673296,0.0977316946,0.0047010733
13:46:32:45.517,61,0.0000000000,0.1589363366,0.0787307471,0.0000000000,0.0000000000,0.0817840174,0.4263054132,0.0000000000,0.1591746211,0.0378181264,0.0000000000,0.0000000000,0.0817802697,0.4263108969,0.0771562085,0.0000000000,0.0133276582,0.0838608891,0.1019666195,0.1098882779,0.1175660640,0.0000000000,0.0260528009,0.0000000000,0.0000000000,0.1070205793,0.0967271924,0.0293034147,0.0290394090,0.1454488486,0.1499070525,0.0743460506,0.0312486421,0.1020200029,0.0955363363,0.0358752199,0.0377502777,0.0535133630,0.0533834398,0.0133422036,0.0156706367,0.0000000000,0.0000000000,0.6332816482,0.5101234317,0.5101396441,0.0561233126,0.0449762717,0.0464784764,0.0474569760,0.0500543900,0.0000000027,0.0181026850,0.0995753556,-0.0020883775,-0.0229926407,0.0972600281,-0.0022431419,0.0478672124,0.0972003937,0.0046656043
