Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:43:42:49.785,61,0.0000169749,0.0000000000,0.0368040502,0.0000000000,0.0029189498,0.1482281983,0.1545785218,0.0000171049,0.0000000000,0.0805584490,0.0000000000,0.0028451837,0.1482637823,0.1545779109,0.0519949347,0.0080165099,0.0000000000,0.0363755524,0.0377131999,0.0276709925,0.0433937535,0.0000000000,0.0239042379,0.0135025037,0.0320558175,0.0000000000,0.0000000000,0.0335389376,0.0328864194,0.0653293580,0.0625563934,0.0671378002,0.0338428840,0.0884467289,0.0797951370,0.0453997217,0.0479993522,0.0383968055,0.0391147844,0.0106983567,0.0129518732,0.0880334526,0.0880548805,0.0482635051,0.0000000000,0.0000000000,0.0324237868,0.0385531336,0.0438773707,0.0550028048,0.0576343313,0.0000002010,-0.0078683496,-0.0402979627,0.0215976574,-0.0492103249,-0.0012429503,0.0000611413,0.0224822983,-0.0012739538,-0.0000286390
13:43:42:50.787,61,0.0000156221,0.0000000000,0.0386591181,0.0000000000,0.0016105587,0.1483330131,0.1542152464,0.0000157418,0.0000000000,0.0787082464,0.0000000000,0.0015384319,0.1483668238,0.1542146951,0.0523005649,0.0078940606,0.0000000000,0.0364898928,0.0378048718,0.0276529789,0.0432592146,0.0000000000,0.0239810776,0.0145828892,0.0337004997,0.0000000000,0.0000000000,0.0337097310,0.0330591425,0.0655346587,0.0627787709,0.0674175546,0.0340594351,0.0884863585,0.0797786787,0.0454631895,0.0480596758,0.0386300273,0.0393679403,0.0107143242,0.0129716676,0.0884861648,0.0885068253,0.0482136682,0.0000000000,0.0000000000,0.0324862674,0.0386294685,0.0439502858,0.0550928004,0.0577179119,0.0000000921,-0.0078683496,-0.0402979627,0.0215976574,-0.0480801277,-0.0006720442,0.0000322995,0.0236155037,-0.0007029347,-0.0000165986
13:43:42:51.789,61,0.0000143772,0.0000000000,0.0415258221,0.0000000000,0.0005272906,0.1483045518,0.1538359672,0.0000144873,0.0000000000,0.0758494511,0.0000000000,0.0004562566,0.1483363956,0.1538355798,0.0525970608,0.0078148646,0.0000000000,0.0366035663,0.0378779992,0.0275736898,0.0429970883,0.0000000000,0.0240139719,0.0199910607,0.0390231609,0.0000000000,0.0000000000,0.0339221954,0.0332769454,0.0657041594,0.0629693642,0.0676764771,0.0343485661,0.0882276893,0.0794860125,0.0454543307,0.0480400100,0.0389531031,0.0396971591,0.0107120126,0.0129675101,0.0884684846,0.0884880051,0.0481393039,0.0000000000,0.0000000000,0.0324916095,0.0386743173,0.0439803526,0.0551393814,0.0577618293,0.0000000546,-0.0078683496,-0.0402979627,0.0215976574,-0.0463338010,-0.0001992934,0.0000092307,0.0253666844,-0.0002301480,-0.0000058375
13:43:42:52.790,61,0.0000132314,0.0003670738,0.0447819754,0.0000000000,0.0000000000,0.1481969059,0.1535228938,0.0000133328,0.0004172270,0.0726244599,0.0000000000,0.0000000000,0.1482269019,0.1535227746,0.0528637320,0.0079613319,0.0000000000,0.0366992652,0.0379339308,0.0274532363,0.0426464602,0.0000000000,0.0240090620,0.0252272803,0.0457904376,0.0000000000,0.0000000000,0.0341531746,0.0335069224,0.0658759922,0.0631210133,0.0679802448,0.0346345603,0.0879083574,0.0792064816,0.0453994907,0.0479716063,0.0393021144,0.0400409698,0.0107180309,0.0129756862,0.0882065520,0.0882247761,0.0481007807,0.0000000000,0.0000000000,0.0324437469,0.0387121551,0.0440058783,0.0551813655,0.0578240119,0.0000000526,-0.0078683496,-0.0402979627,0.0215976574,-0.0443637632,0.0002551205,-0.0000113144,0.0273557585,0.0002243166,0.0000061356
13:43:42:53.792,61,0.0000121770,0.0014029207,0.0483158268,0.0000000000,0.0000000000,0.1480979621,0.1531920880,0.0000122702,0.0014526836,0.0691189989,0.0000000000,0.0000000000,0.1481263787,0.1531922221,0.0529189222,0.0081657609,0.0000000000,0.0367225073,0.0379560702,0.0273435824,0.0422643982,0.0000000000,0.0239810217,0.0274173617,0.0483171307,0.0000000000,0.0000000000,0.0342509113,0.0336079523,0.0660485998,0.0632761791,0.0681121126,0.0347707160,0.0873727351,0.0788370892,0.0451903082,0.0477330275,0.0395969748,0.0403185822,0.0107205501,0.0129825808,0.0879416987,0.0879585892,0.0480302535,0.0000000000,0.0000000000,0.0323167816,0.0387249999,0.0440085866,0.0552491397,0.0579348393,0.0000000655,-0.0078683496,-0.0402979627,0.0215976574,-0.0422223769,0.0008881855,-0.0000374902,0.0295144506,0.0008573690,0.0000253011
13:43:42:54.793,61,0.0000112066,0.0017087180,0.0500509590,0.0000000000,0.0000000000,0.1478385478,0.1531253755,0.0000112924,0.0017584808,0.0673551559,0.0000000000,0.0000000000,0.1478655934,0.1531256288,0.0529412813,0.0082406132,0.0000000000,0.0367015973,0.0379495062,0.0272531230,0.0419748053,0.0000000000,0.0239450280,0.0282838587,0.0492100269,0.0000000000,0.0000000000,0.0342643857,0.0336229503,0.0661749542,0.0634033903,0.0681416690,0.0347918943,0.0869753808,0.0785882697,0.0449844077,0.0474966541,0.0397572108,0.0404614024,0.0107285911,0.0129943024,0.0875981674,0.0876137763,0.0480686314,0.0000000000,0.0000000000,0.0322038308,0.0387153178,0.0439838320,0.0553242788,0.0580473728,0.0000000717,-0.0053586755,-0.0387230143,0.0205550939,-0.0411449037,0.0010751049,-0.0000442226,0.0305743776,0.0010442846,0.0000319234
13:43:42:55.795,61,0.0000103135,0.0014667342,0.0501015112,0.0000000000,0.0000000000,0.1477395445,0.1530785114,0.0000103925,0.0015164970,0.0672814026,0.0000000000,0.0000000000,0.1477659792,0.1530790031,0.0529746413,0.0084547810,0.0000000000,0.0366932303,0.0379301161,0.0271891970,0.0418117084,0.0000000000,0.0238502175,0.0286801606,0.0495965667,0.0000000000,0.0000000000,0.0343229696,0.0336813852,0.0661567673,0.0633662790,0.0681775063,0.0348530971,0.0868198499,0.0784790665,0.0449506342,0.0474451706,0.0398546159,0.0405410081,0.0107291033,0.0129965767,0.0874219388,0.0874364674,0.0481440052,0.0000000000,0.0000000000,0.0321742706,0.0387131199,0.0439803377,0.0553321727,0.0580823570,0.0000000930,-0.0034786556,-0.0365390405,0.0186974611,-0.0410998613,0.0009271582,-0.0000380954,0.0306052640,0.0008963966,0.0000274302
13:43:42:56.796,61,0.0000094916,0.0020076851,0.0491078272,0.0000000000,0.0000000000,0.1478113383,0.1527244896,0.0000095643,0.0020572529,0.0682788268,0.0000000000,0.0000000000,0.1478381604,0.1527250558,0.0531759076,0.0086919554,0.0000000000,0.0367507637,0.0379669517,0.0272141676,0.0418841764,0.0000000000,0.0235989206,0.0290567987,0.0498513430,0.0000000000,0.0000000000,0.0344808735,0.0338266380,0.0661787838,0.0633456856,0.0683048144,0.0349935964,0.0871218517,0.0786917135,0.0451436378,0.0476427935,0.0399567299,0.0406184532,0.0107577620,0.0130248154,0.0876401663,0.0876538977,0.0482038222,0.0000000000,0.0000000000,0.0322732180,0.0388114154,0.0440893881,0.0553906932,0.0581458695,0.0000001194,-0.0033638487,-0.0361316614,0.0179163050,-0.0417091325,0.0012577982,-0.0000524465,0.0299982447,0.0012269772,0.0000368017
13:43:42:57.798,61,0.0000087352,0.0024026651,0.0486174151,0.0000000000,0.0000000000,0.1479469091,0.1523927301,0.0000088021,0.0024518427,0.0687546209,0.0000000000,0.0000000000,0.1479739100,0.1523933709,0.0533404723,0.0087924991,0.0000000000,0.0367826112,0.0379854292,0.0272779055,0.0420245342,0.0000000000,0.0234586932,0.0292779282,0.0499448963,0.0000000000,0.0000000000,0.0346320085,0.0339698680,0.0662117302,0.0633539036,0.0684018061,0.0351084732,0.0875297412,0.0789909512,0.0453840122,0.0478885099,0.0400369726,0.0406927466,0.0107893450,0.0130575160,0.0877976716,0.0878108665,0.0483067371,0.0000000000,0.0000000000,0.0324236229,0.0389333367,0.0442171916,0.0554650836,0.0582085289,0.0000001184,-0.0040172460,-0.0356839299,0.0174278710,-0.0419997610,0.0014990673,-0.0000629420,0.0296986569,0.0014683523,0.0000436017
13:43:42:58.799,61,0.0000080391,0.0023634403,0.0473539755,0.0000000000,0.0000000000,0.1482493728,0.1520231217,0.0000081006,0.0024124226,0.0700206086,0.0000000000,0.0000000000,0.1482769549,0.1520237625,0.0535864756,0.0088992845,0.0000000000,0.0368071944,0.0379731953,0.0273089577,0.0421466492,0.0000000000,0.0232876483,0.0293754451,0.0499022827,0.0000000000,0.0000000000,0.0348329060,0.0341556296,0.0662517846,0.0633612052,0.0685426891,0.0352721140,0.0879851803,0.0793048292,0.0456779450,0.0481960177,0.0401141196,0.0407607183,0.0108174356,0.0130834254,0.0880081877,0.0880211443,0.0483829901,0.0000000000,0.0000000000,0.0325593725,0.0390613899,0.0443592183,0.0554953143,0.0582253784,0.0000001163,-0.0058802217,-0.0367760286,0.0178067386,-0.0427731201,0.0014750144,-0.0000630718,0.0289268699,0.0014443479,0.0000417747
13:43:42:59.801,61,0.0000073984,0.0022410825,0.0463408977,0.0000000000,0.0000000000,0.1485404223,0.1518621892,0.0000074551,0.0022900647,0.0710452124,0.0000000000,0.0000000000,0.1485683173,0.1518629491,0.0538406223,0.0090157790,0.0000000000,0.0368668996,0.0380001590,0.0273450054,0.0422588661,0.0000000000,0.0231088325,0.0294284169,0.0497879200,0.0000000000,0.0000000000,0.0350231826,0.0343335979,0.0663105920,0.0633867458,0.0686931983,0.0354641564,0.0883294865,0.0795073211,0.0459229015,0.0484534986,0.0402119420,0.0408465154,0.0108353328,0.0130968140,0.0880642682,0.0880767033,0.0484653749,0.0000000000,0.0000000000,0.0327034667,0.0391687118,0.0444665104,0.0554739833,0.0581877269,0.0000001072,-0.0078869881,-0.0388737954,0.0188191701,-0.0433990099,0.0014002394,-0.0000607500,0.0283080209,0.0013695483,0.0000387640
