Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:43:54:26.221,61,0.0049491557,0.0372203216,0.0370123982,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0049266238,0.0371995270,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0138302511,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0107161179,0.0000000000,0.0000000000,0.0023058644,0.0017887183,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0057556108,0.0057152756,0.0028300441,0.0040799063,0.0592171624,0.0591195412,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0044118054,0.0050480743,0.0000000000,0.0068906993,-0.0467012562,0.0088882204,0.0259288102,0.0227418877,-0.0011128184,0.0226023067,0.0227342062,0.0005197296
13:43:54:27.222,61,0.0045459210,0.0342492796,0.0391256735,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0045251879,0.0342348106,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0132711558,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0085661877,0.0000000000,0.0000000000,0.0022099474,0.0017221901,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0058639096,0.0058618751,0.0026446416,0.0038630271,0.0651528388,0.0650590211,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0039377795,0.0046251630,0.0000000000,0.0068906993,-0.0467012562,0.0088882204,0.0271653496,0.0209281053,-0.0009973709,0.0238937736,0.0209201314,0.0005059479
13:43:54:28.224,61,0.0041723130,0.0260723215,0.0424548239,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0041532512,0.0260692462,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0126683712,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0074005523,0.0000000000,0.0000000000,0.0021388689,0.0016791938,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0061270264,0.0061721047,0.0024872723,0.0036791286,0.1114616096,0.1113730296,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0037146553,0.0044536125,0.0000000000,0.0068906993,-0.0467012562,0.0088882204,0.0291705169,0.0159347858,-0.0007253436,0.0259292834,0.0159263201,0.0004192823
13:43:54:29.225,61,0.0038271374,0.0195383318,0.0430345573,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0038096216,0.0195408557,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119026145,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0067193578,0.0000000000,0.0000000000,0.0022040685,0.0017593465,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0064983382,0.0066162706,0.0023668511,0.0035403762,0.1935165673,0.1934449524,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0039355312,0.0047162813,0.0000000000,0.0068906993,-0.0467012562,0.0088882204,0.0295995511,0.0119439671,-0.0005366356,0.0262848362,0.0119351521,0.0003199643
13:43:54:30.227,61,0.0035087513,0.0180753581,0.0436883532,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0034926629,0.0180795826,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0111870635,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0063289255,0.0000000000,0.0000000000,0.0023925689,0.0019406010,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0020711273,0.0019280829,0.0069785835,0.0071996204,0.0023202207,0.0034921193,0.3288444579,0.3287985325,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0093385288,0.0106551498,0.0000000000,0.0068906993,-0.0467012562,0.0088882204,0.0299807526,0.0110505605,-0.0004916433,0.0266844463,0.0110416086,0.0003009451
13:43:54:31.228,61,0.0032153535,0.0183500312,0.0398951247,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0032005811,0.0183509476,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0102189053,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0057772161,0.0000000000,0.0000000000,0.0027199984,0.0022378254,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0040848386,0.0000000000,0.0135691967,0.0144716548,0.0075555285,0.0080517670,0.0023152190,0.0035044202,0.4779976308,0.4779811502,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0196228679,0.0211497061,0.0000000000,0.0090079680,-0.0487744398,0.0104405303,0.0276314691,0.0112176826,-0.0005260974,0.0243675280,0.0112087186,0.0002789328
13:43:54:32.230,61,0.0029451314,0.0213132650,0.0372804180,0.0000000000,0.0000000000,0.0014314364,0.0000000000,0.0029315711,0.0213090256,0.0000000000,0.0000000000,0.0000000000,0.0012494854,0.0000000000,0.0000000000,0.0097285854,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0051894155,0.0000000000,0.0000000000,0.0031358497,0.0025981043,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0265130438,0.0000000000,0.0291728247,0.0306526348,0.0082566813,0.0093922839,0.0023613165,0.0035815563,0.5923503637,0.5923405886,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0314311832,0.0330852345,0.0000000093,0.0094686858,-0.0522739701,0.0115098692,0.0260396339,0.0130270049,-0.0006331679,0.0227699857,0.0130182365,0.0003019451
13:43:54:33.232,61,0.0026963339,0.0197819639,0.0343706980,0.0000000000,0.0000000000,0.0233772099,0.0000000000,0.0026838898,0.0197766908,0.0000000000,0.0000000000,0.0000000000,0.0232293382,0.0000000000,0.0000000000,0.0095665390,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0045943120,0.0000000000,0.0000000000,0.0036713697,0.0030459985,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0525380187,0.0136690643,0.0500922389,0.0520338640,0.0089338850,0.0103009529,0.0024528767,0.0037009157,0.6682261229,0.6682122350,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0389016569,0.0399676785,0.0000000022,0.0087370910,-0.0557564907,0.0121400105,0.0242607370,0.0120912977,-0.0006091449,0.0209930483,0.0120824361,0.0002587412
13:43:54:34.233,61,0.0024673045,0.0150195900,0.0314455926,0.0000000000,0.0000000000,0.0442084596,0.0000000000,0.0024558881,0.0150176408,0.0000000000,0.0000000000,0.0000000000,0.0440843925,0.0000000000,0.0000000000,0.0094949948,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0030619865,0.0000000000,0.0000000000,0.0000000000,0.0044505759,0.0000000000,0.0000000000,0.0042603463,0.0035392782,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0616860166,0.0208573025,0.0575777665,0.0595681332,0.0095582865,0.0110648545,0.0025215039,0.0037785671,0.7057816982,0.7057632208,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0433131270,0.0440178588,0.0000000000,0.0075083543,-0.0588779785,0.0123961093,0.0224966258,0.0091824299,-0.0004777634,0.0192070529,0.0091733448,0.0001807862
13:43:54:35.235,61,0.0022564952,0.0061509707,0.0248101875,0.0000000000,0.0000000000,0.0754483268,0.0000000000,0.0022460250,0.0061584353,0.0000000000,0.0000000000,0.0000000000,0.0753402188,0.0000000000,0.0000000000,0.0094622346,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0054469635,0.0000000000,0.0000000000,0.0000000000,0.0045068134,0.0000000000,0.0000000000,0.0048545562,0.0040336596,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0656761229,0.0240384489,0.0614369549,0.0634893924,0.0102673611,0.0118664652,0.0025093190,0.0037541271,0.7249959707,0.7249757648,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0014220474,0.0457324572,0.0463064201,0.0000000000,0.0058606956,-0.0612285882,0.0121834697,0.0185009874,0.0037661972,-0.0002086906,0.0151546784,0.0037565054,0.0000604315
