Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:43:33:35.896,61,0.0004107091,0.0052166507,0.0321454741,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004108805,0.0051973327,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002754535,0.0079419501,0.0000000000,0.0011862573,0.0002289567,0.0000000000,0.0000000000,0.0000000000,0.0008085039,0.0893799663,0.1103837788,0.0000000000,0.0000000000,0.0225742254,0.0219917372,0.0000000000,0.0000000000,0.0000000000,0.0141591309,0.0000000000,0.0000000000,0.0142607726,0.0147501547,0.0244494993,0.0257446505,0.0025471239,0.0032776380,0.0640096441,0.0639441758,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000491,0.0154391723,-0.0523185395,-0.0028699348,0.0232188255,0.0031775092,-0.0001592242,0.0196352936,0.0031861700,0.0000670385
13:43:33:36.897,61,0.0003637578,0.0081480648,0.0348121673,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003639521,0.0081263231,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002701819,0.0074056513,0.0000000000,0.0009595692,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008616875,0.0884373337,0.1079074442,0.0000000000,0.0000000000,0.0223459937,0.0217384156,0.0000000000,0.0000000000,0.0000000000,0.0140284440,0.0000000000,0.0000000000,0.0141493781,0.0146094151,0.0242589246,0.0255742315,0.0025202441,0.0032491079,0.0661658198,0.0660907552,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0154391723,-0.0523185395,-0.0028699348,0.0248348415,0.0049679894,-0.0002437558,0.0212640166,0.0049767364,0.0001107253
13:43:33:37.899,61,0.0003205481,0.0088547589,0.0367543101,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003207635,0.0088328496,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005960651,0.0069199749,0.0000000000,0.0008986454,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009231665,0.0877642035,0.1065990776,0.0000000000,0.0000000000,0.0222709756,0.0216425397,0.0000000000,0.0000000000,0.0000000000,0.0142469443,0.0000000000,0.0000000000,0.0140320435,0.0144675253,0.0242743175,0.0256206430,0.0024873069,0.0032127067,0.0670731589,0.0669949204,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000180,0.0154391723,-0.0523185395,-0.0028699348,0.0260257162,0.0053996206,-0.0002587501,0.0224502645,0.0054085180,0.0001265998
13:43:33:38.900,61,0.0002807819,0.0066300388,0.0385075249,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002810167,0.0066109714,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007605329,0.0063780411,0.0000000000,0.0008632283,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008369538,0.0860795081,0.1021840423,0.0000000000,0.0000000000,0.0220061298,0.0213598274,0.0000000000,0.0000000000,0.0000000000,0.0143522872,0.0000000000,0.0000000000,0.0137228947,0.0141199520,0.0242853668,0.0256281979,0.0024256972,0.0031274504,0.0667786226,0.0666958764,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000171,0.0154391723,-0.0523185395,-0.0028699348,0.0271111764,0.0040410347,-0.0001873816,0.0235213228,0.0040497710,0.0001006237
13:43:33:39.902,61,0.0002441847,0.0043114186,0.0412802994,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002444375,0.0042951885,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008559538,0.0059658517,0.0000000000,0.0008678065,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007021844,0.0801126733,0.0945890620,0.0000000000,0.0000000000,0.0216576327,0.0210009553,0.0000000000,0.0000000000,0.0000000000,0.0143896798,0.0000000000,0.0000000000,0.0132623101,0.0136139542,0.0242151022,0.0255385675,0.0023456337,0.0030229276,0.0641609207,0.0640705973,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000258,0.0154391723,-0.0523185395,-0.0028699348,0.0288325250,0.0026251071,-0.0001144436,0.0252151284,0.0026336480,0.0000721030
13:43:33:40.904,61,0.0002105040,0.0038696374,0.0425621830,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002107733,0.0038539760,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004346498,0.0058255643,0.0000000000,0.0006720816,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005814045,0.0781378821,0.0920645893,0.0000000000,0.0000000000,0.0211519692,0.0204950441,0.0000000000,0.0000000000,0.0000000000,0.0139779449,0.0000000000,0.0000000000,0.0123850694,0.0124795260,0.0237929486,0.0250681546,0.0022423395,0.0028965194,0.0623735562,0.0622783005,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0154391723,-0.0523185395,-0.0028699348,0.0296226777,0.0023553104,-0.0000998966,0.0259981565,0.0023638424,0.0000673154
13:43:33:41.905,61,0.0001795074,0.0049597421,0.0413479209,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001797918,0.0049429517,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0056679579,0.0000000000,0.0003956471,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005963469,0.0719753355,0.0882789418,0.0000000000,0.0000000000,0.0206250865,0.0199670438,0.0000000000,0.0000000000,0.0000000000,0.0134036466,0.0000000000,0.0000000000,0.0118262563,0.0118408827,0.0231853593,0.0244301148,0.0021671045,0.0028106840,0.0618660450,0.0617689118,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0160666108,-0.0525038987,-0.0028977571,0.0288830400,0.0030210607,-0.0001326134,0.0252564028,0.0030296713,0.0000822361
13:43:33:42.907,61,0.0001509810,0.0065767439,0.0398200639,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001512794,0.0065582604,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0055965879,0.0000000000,0.0001199121,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008142381,0.0693606809,0.0867105052,0.0000000000,0.0000000000,0.0200286619,0.0193758793,0.0000000000,0.0000000000,0.0000000000,0.0127299204,0.0000000000,0.0000000000,0.0112558240,0.0112316646,0.0225871466,0.0238298234,0.0021126799,0.0027604308,0.0615093820,0.0614115819,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0146695385,-0.0517837778,-0.0030208800,0.0279521048,0.0040086396,-0.0001822512,0.0243230555,0.0040172990,0.0001032570
13:43:33:43.908,61,0.0001247279,0.0075165299,0.0375997424,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001250392,0.0074963258,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0055844435,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009642967,0.0678791404,0.0858351439,0.0000000000,0.0000000000,0.0195512902,0.0188947152,0.0000000000,0.0000000000,0.0000000000,0.0121411858,0.0000000000,0.0000000000,0.0108679486,0.0108324494,0.0220523905,0.0232933965,0.0020772051,0.0027324394,0.0614929125,0.0613952242,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0124272667,-0.0512264185,-0.0023103659,0.0266071036,0.0045823902,-0.0002158118,0.0229667723,0.0045911889,0.0001107082
13:43:33:44.910,61,0.0001005670,0.0070800195,0.0370804928,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001008900,0.0070599932,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0055135200,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0012706760,0.0667710900,0.0852639079,0.0000000000,0.0000000000,0.0190932732,0.0184477270,0.0000000000,0.0000000000,0.0000000000,0.0116078202,0.0000000000,0.0000000000,0.0104906661,0.0104528256,0.0215424355,0.0228021238,0.0020375990,0.0027023077,0.0612330772,0.0611362606,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0106003154,-0.0497590750,-0.0015153249,0.0262943134,0.0043157130,-0.0002042959,0.0226496309,0.0043245335,0.0001031332
