Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:44:02:30.340,61,0.0000000000,0.1111227497,0.0531827360,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1110921577,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0065877256,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0024051794,0.0032787663,0.0636796281,0.0635576844,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0018226263,0.0015220981,0.0000000000,0.0059361886,-0.0054602064,0.0005168193,0.0353752151,0.0678882599,-0.0026952452,0.0324102342,0.0678922236,0.0022130618
13:44:02:31.342,61,0.0000000000,0.1114278734,0.0539675578,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1114010066,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0064576389,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0023932084,0.0032718724,0.0627841428,0.0626625046,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0018663248,0.0015890732,0.0000000000,0.0059361886,-0.0054602064,0.0005168193,0.0358453579,0.0680757314,-0.0026705898,0.0328880921,0.0680796951,0.0022518444
13:44:02:32.343,61,0.0000000000,0.1102479696,0.0546460450,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1102247611,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0063356692,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0023735126,0.0032587205,0.0621192716,0.0619979799,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0019031268,0.0016545708,0.0000000000,0.0059361886,-0.0054602064,0.0005168193,0.0362585858,0.0673558339,-0.0026142120,0.0333032012,0.0673597455,0.0022561166
13:44:02:33.345,61,0.0000000000,0.1034836173,0.0567934178,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1034720615,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0061384630,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0023490130,0.0032400575,0.0618974641,0.0617769286,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0019885465,0.0018043023,0.0000000000,0.0059361886,-0.0054602064,0.0005168193,0.0375758186,0.0632261634,-0.0023692776,0.0346212760,0.0632296950,0.0022015572
13:44:02:34.346,61,0.0000000000,0.0900620967,0.0571738370,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0900544971,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0058465335,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0022949320,0.0031822692,0.0616616197,0.0615419298,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0018872133,0.0017533723,0.0000000000,0.0059361886,-0.0054602064,0.0005168193,0.0378147624,0.0550268516,-0.0020469371,0.0348701701,0.0550294667,0.0019301733
13:44:02:35.348,61,0.0000000000,0.0779827014,0.0581195243,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0779802948,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0056222649,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0022170283,0.0030944981,0.0602013357,0.0600835606,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0015444983,0.0014573353,0.0000000000,0.0066276900,-0.0060577160,0.0001258785,0.0383704863,0.0476479642,-0.0017441289,0.0354604572,0.0476497598,0.0017002072
13:44:02:36.349,61,0.0000000000,0.0627499372,0.0581156574,0.0000000000,0.0000000000,0.0000000000,0.0170557387,0.0000000000,0.0627490729,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0170601606,0.0000000000,0.0052686483,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0021445416,0.0030096378,0.0555381030,0.0554257631,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011785666,0.0011293043,0.0000000000,0.0080344323,-0.0068333154,-0.0004943132,0.0383187346,0.0383412689,-0.0014032302,0.0354723707,0.0383421220,0.0013697322
13:44:02:37.351,61,0.0000000000,0.0445656441,0.0573774949,0.0000000000,0.0000000000,0.0000000000,0.1004144102,0.0000000000,0.0445656367,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1004091278,0.0000000000,0.0050467099,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0020518168,0.0028991937,0.0482777692,0.0481705219,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008190689,0.0008415014,0.0000000000,0.0088825412,-0.0077853836,-0.0005341570,0.0378909521,0.0272310022,-0.0010053762,0.0350346640,0.0272305757,0.0009628213
13:44:02:38.353,61,0.0000000000,0.0361423232,0.0549559891,0.0000000000,0.0000000000,0.0000000000,0.1921296865,0.0000000000,0.0361398347,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1921133399,0.0000000000,0.0047633979,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0019473099,0.0027685389,0.0235195551,0.0234147385,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004486805,0.0005396263,0.0000000000,0.0092384908,-0.0097169532,-0.0000850861,0.0365259089,0.0220836308,-0.0008439618,0.0335603952,0.0220826399,0.0007493369
13:44:02:39.354,61,0.0000000000,0.0234725866,0.0520937778,0.0000000000,0.0000000000,0.0000000000,0.2903176248,0.0000000000,0.0234703831,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2902991474,0.0000000000,0.0046946052,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0018460206,0.0026323567,0.0130245332,0.0129196867,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001970297,0.0003584278,0.0000000000,0.0091680689,-0.0121743623,0.0004159226,0.0349834412,0.0143425316,-0.0005673997,0.0318170451,0.0143407546,0.0004638229
13:44:02:40.355,61,0.0000000000,0.0186854172,0.0490927659,0.0000000000,0.0000000000,0.0000000000,0.3855971098,0.0000000000,0.0186822489,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3855798542,0.0000000000,0.0043597873,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0017340322,0.0024815646,0.0060652052,0.0059613744,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002217781,0.0000000000,0.0087985992,-0.0143435290,0.0008787005,0.0332719833,0.0114172632,-0.0004698494,0.0299852863,0.0114153605,0.0003493327
