Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
01:34:45:32.186,61,0.0629246607,0.2382022440,0.1045623794,0.0000000000,0.0000000000,0.0665483996,0.0000000000,0.0629213005,0.2387898266,0.0142679652,0.0000000000,0.0000000000,0.0665468723,0.0000000000,0.0232973062,0.0000000000,0.0168954674,0.0447725914,0.0474731438,0.0514038093,0.0790260807,0.0000000000,0.0326247811,0.0359474868,0.0602831542,0.0000000000,0.0000000000,0.0229898896,0.0237871557,0.0586963557,0.0610138699,0.0442998745,0.0156337880,0.0678984299,0.0891366377,0.0318584815,0.0331205204,0.0426991060,0.0446008295,0.0198456421,0.0244769212,0.2919622064,0.2919724584,0.0682481453,0.0000000000,0.0000000000,0.0186086446,0.0400174707,0.0436354876,0.0917416736,0.1034535170,0.0000000435,0.0000000000,0.0000000000,0.0000000000,-0.0086232396,0.1458738893,-0.0012668880,0.0631976277,0.1458026469,0.0092737926
01:34:45:33.187,61,0.0624660663,0.2394000590,0.1040510833,0.0000000000,0.0000000000,0.0660789907,0.0000000000,0.0624627024,0.2399845272,0.0147767272,0.0000000000,0.0000000000,0.0660775304,0.0000000000,0.0231524836,0.0000000000,0.0166588388,0.0447772592,0.0474175960,0.0514528304,0.0786754116,0.0000000000,0.0325297192,0.0363044180,0.0607074499,0.0000000000,0.0000000000,0.0229703430,0.0237715635,0.0586500764,0.0609369539,0.0440951735,0.0155915981,0.0671691000,0.0887279436,0.0316677578,0.0329235271,0.0426454917,0.0445409901,0.0197697878,0.0243797414,0.2629216611,0.2629298270,0.0681447387,0.0000000000,0.0000000000,0.0185055118,0.0396998040,0.0432952344,0.0913849473,0.1030055955,0.0000000338,0.0000000000,0.0000000000,0.0000000000,-0.0089297649,0.1466041058,-0.0013185823,0.0628818423,0.1465328932,0.0092743952
01:34:45:34.189,61,0.0621061325,0.2407965362,0.1012100428,0.0000000000,0.0000000000,0.0656158701,0.0000000000,0.0621028952,0.2413534969,0.0176345017,0.0000000000,0.0000000000,0.0656144992,0.0000000000,0.0230244584,0.0000000000,0.0163149051,0.0447521880,0.0472774543,0.0515817665,0.0783239231,0.0000000000,0.0323481373,0.0391838849,0.0630719587,0.0000000000,0.0000000000,0.0230192989,0.0238162521,0.0586376972,0.0608663410,0.0439088196,0.0155781303,0.0666464195,0.0885056555,0.0315666832,0.0328230821,0.0426521972,0.0445336290,0.0197457857,0.0243377648,0.2519347966,0.2519438267,0.0680534840,0.0000000000,0.0000000000,0.0184561629,0.0394096971,0.0429962836,0.0910530686,0.1025499851,0.0000000172,0.0000000000,0.0000000000,0.0000000000,-0.0106554348,0.1474429071,-0.0015825214,0.0611572228,0.1473717839,0.0090727611
01:34:45:35.190,61,0.0569356978,0.2398447990,0.1005467623,0.0000000000,0.0000000000,0.0646993667,0.0000000000,0.0569175333,0.2403933704,0.0182443075,0.0000000000,0.0000000000,0.0646979660,0.0000000000,0.0227625221,0.0000000000,0.0163430423,0.0444693565,0.0469336882,0.0513793305,0.0762308836,0.0000000000,0.0319986939,0.0407015756,0.0635584891,0.0000000000,0.0000000000,0.0229598079,0.0237411670,0.0585111305,0.0607010126,0.0434858687,0.0154592935,0.0651611015,0.0861727893,0.0312291197,0.0324795879,0.0423997045,0.0442225561,0.0196020734,0.0241251625,0.1977662146,0.1977651119,0.0673838556,0.0000000000,0.0000000000,0.0183407199,0.0388470702,0.0421015546,0.0878418088,0.0965180695,0.0000000130,0.0000000000,0.0000000000,0.0000000000,-0.0110248597,0.1468569636,-0.0016307838,0.0607616678,0.1467857063,0.0089777885
01:34:45:36.192,61,0.0516676791,0.2393510789,0.0996696055,0.0000000000,0.0000000000,0.0632666871,0.0000000000,0.0516503975,0.2398894876,0.0191179179,0.0000000000,0.0000000000,0.0632652417,0.0000000000,0.0225144997,0.0000000000,0.0164734535,0.0439521596,0.0465348884,0.0504580028,0.0750156641,0.0000000000,0.0315331034,0.0414267890,0.0631457120,0.0000000000,0.0000000000,0.0228381772,0.0235944409,0.0582777113,0.0604155213,0.0431703143,0.0153165963,0.0645286217,0.0816461146,0.0309026316,0.0321536437,0.0418429412,0.0433444306,0.0193517376,0.0237767939,0.1645118147,0.1644951999,0.0657207966,0.0000000000,0.0000000000,0.0183283482,0.0381872393,0.0409765765,0.0856127217,0.0930574685,0.0000000106,0.0000000000,0.0000000000,0.0000000000,-0.0115532996,0.1465499997,-0.0017053225,0.0602342859,0.1464788169,0.0088810893
01:34:45:37.193,61,0.0494790263,0.2403291613,0.0987477750,0.0000000000,0.0000000000,0.0616475604,0.0000000000,0.0494605973,0.2408593744,0.0200720318,0.0000000000,0.0000000000,0.0616461150,0.0000000000,0.0222960133,0.0000000000,0.0165212769,0.0433826484,0.0460823141,0.0491948836,0.0738552883,0.0000000000,0.0308884196,0.0414266586,0.0575350299,0.0000000000,0.0000000000,0.0226857010,0.0234107040,0.0579977557,0.0600575022,0.0429149941,0.0151662147,0.0640110075,0.0785520002,0.0305558275,0.0318022557,0.0412672758,0.0426327474,0.0190867111,0.0234040767,0.1596937925,0.1596719921,0.0639786199,0.0000000000,0.0000000000,0.0183116924,0.0373103991,0.0396209210,0.0843161419,0.0911459252,0.0000000094,0.0000000000,0.0000000000,0.0000000000,-0.0121288244,0.1471435428,-0.0017976247,0.0596719310,0.1470724046,0.0088344477
01:34:45:38.195,61,0.0481717698,0.2409673035,0.0990881622,0.0000000000,0.0000000000,0.0602244772,0.0000000000,0.0481516868,0.2415021956,0.0197231770,0.0000000000,0.0000000000,0.0602230765,0.0000000000,0.0220682155,0.0000000000,0.0165531468,0.0428464562,0.0455800220,0.0484009460,0.0725535080,0.0000000000,0.0293748081,0.0416387357,0.0557269193,0.0000000000,0.0000000000,0.0225964375,0.0232839845,0.0578496456,0.0598144531,0.0425978787,0.0150107024,0.0635161251,0.0770676062,0.0302258004,0.0314646661,0.0408401601,0.0420857258,0.0188686792,0.0230795499,0.1637424529,0.1637068689,0.0625163242,0.0000000000,0.0000000000,0.0182544254,0.0365420021,0.0385047384,0.0831814110,0.0896271914,0.0000000084,0.0000000000,0.0000000000,0.0000000000,-0.0119173294,0.1475358605,-0.0017710589,0.0598741546,0.1474647671,0.0088883424
01:34:45:39.197,61,0.0476399548,0.2407573164,0.0993139520,0.0000000000,0.0000000000,0.0592593104,0.0000000000,0.0476173833,0.2412941754,0.0194696467,0.0000000000,0.0000000000,0.0592579842,0.0000000000,0.0218943413,0.0000000000,0.0162360072,0.0424637161,0.0451183878,0.0478937849,0.0716058984,0.0000000000,0.0273536276,0.0454011634,0.0562529229,0.0000000000,0.0000000000,0.0226239394,0.0232699551,0.0579082221,0.0597397983,0.0423004441,0.0148938354,0.0630476847,0.0763930082,0.0299651027,0.0311925374,0.0407384858,0.0418701470,0.0187543053,0.0228794478,0.1890725642,0.1890320033,0.0617107563,0.0000000000,0.0000000000,0.0181585997,0.0359298512,0.0377434827,0.0824223980,0.0887155905,0.0000000016,0.0000000000,0.0000000000,0.0000000000,-0.0117643597,0.1474085152,-0.0017467955,0.0600117296,0.1473374516,0.0089009358
01:34:45:40.198,61,0.0474176444,0.2410394996,0.0988188684,0.0000000000,0.0000000000,0.0584571622,0.0000000000,0.0473917760,0.2415716648,0.0199835151,0.0000000000,0.0000000000,0.0584559217,0.0000000000,0.0217364877,0.0000000000,0.0157423019,0.0420734286,0.0446631499,0.0473407246,0.0704174042,0.0000000000,0.0254650377,0.0478754975,0.0568219312,0.0000000000,0.0000000000,0.0226617120,0.0232688840,0.0579239279,0.0596021153,0.0420603119,0.0147969564,0.0625834987,0.0758121461,0.0297221784,0.0309370607,0.0406602845,0.0416921638,0.0186178610,0.0226491783,0.2016533762,0.2016129345,0.0612355024,0.0000000000,0.0000000000,0.0180525910,0.0353589803,0.0370913707,0.0817524120,0.0879517645,0.0000000014,0.0000000000,0.0000000000,0.0000000000,-0.0120745581,0.1475786269,-0.0017949510,0.0597110502,0.1475074589,0.0088667646
01:34:45:41.200,61,0.0473483019,0.2395372540,0.0985219553,0.0000000000,0.0000000000,0.0579054952,0.0000000000,0.0473197028,0.2400637567,0.0202644821,0.0000000000,0.0000000000,0.0579043366,0.0000000000,0.0215786789,0.0000000000,0.0152624063,0.0416826159,0.0442410186,0.0468585640,0.0696142539,0.0000000000,0.0245127603,0.0488229990,0.0571118891,0.0000000000,0.0000000000,0.0226688646,0.0232457034,0.0578640066,0.0594152436,0.0418505482,0.0147121381,0.0621890612,0.0753584057,0.0295183938,0.0307241380,0.0405037850,0.0414600819,0.0184642989,0.0224144943,0.2066288590,0.2065887004,0.0607729666,0.0000000000,0.0000000000,0.0179887842,0.0348457098,0.0365501195,0.0811823383,0.0873594955,0.0000000014,0.0000000000,0.0000000000,0.0000000000,-0.0122459969,0.1466576904,-0.0018089100,0.0595397353,0.1465866119,0.0087853633
01:34:45:42.201,61,0.0471735224,0.2380305082,0.0980182588,0.0000000000,0.0000000000,0.0574395582,0.0000000000,0.0471429713,0.2385494113,0.0207761843,0.0000000000,0.0000000000,0.0574384704,0.0000000000,0.0213955045,0.0000000000,0.0149399815,0.0413377248,0.0439354368,0.0464921892,0.0691834688,0.0000000000,0.0239148661,0.0485071912,0.0567433797,0.0000000000,0.0000000000,0.0225997642,0.0231532566,0.0578053147,0.0592668504,0.0416367389,0.0146077750,0.0618862920,0.0749407485,0.0292882975,0.0304841343,0.0402247570,0.0411259793,0.0182805695,0.0221487023,0.2063113451,0.2062774450,0.0603539795,0.0000000000,0.0000000000,0.0179608632,0.0343639851,0.0360563584,0.0806385502,0.0868112519,0.0000000013,0.0000000000,0.0000000000,0.0000000000,-0.0125569310,0.1457331181,-0.0018429762,0.0592433512,0.1456619501,0.0086857555
01:34:45:43.203,61,0.0468836576,0.2351868153,0.0959793553,0.0000000000,0.0000000000,0.0571995825,0.0000000000,0.0468527004,0.2356803417,0.0228110794,0.0000000000,0.0000000000,0.0571985580,0.0000000000,0.0212509073,0.0000000000,0.0147386920,0.0410681292,0.0437463932,0.0462513342,0.0690820664,0.0000000000,0.0236187503,0.0459482856,0.0553272292,0.0000000000,0.0000000000,0.0225161389,0.0230518263,0.0577875935,0.0591908582,0.0415025875,0.0145284049,0.0617417023,0.0746389925,0.0291121900,0.0303031150,0.0399062596,0.0407788157,0.0180915762,0.0218883231,0.2063160986,0.2062883973,0.0600121580,0.0000000000,0.0000000000,0.0180003513,0.0339747705,0.0356835723,0.0802129880,0.0863839909,0.0000000017,0.0000000000,0.0000000000,0.0000000000,-0.0137903262,0.1439827085,-0.0019993382,0.0580257364,0.1439113468,0.0084037753
01:34:45:44.204,61,0.0464189239,0.2330673039,0.0943083167,0.0000000000,0.0000000000,0.0569592081,0.0000000000,0.0463886224,0.2335405350,0.0244738832,0.0000000000,0.0000000000,0.0569582321,0.0000000000,0.0211028829,0.0000000000,0.0146573726,0.0408050343,0.0435798801,0.0460252650,0.0690835118,0.0000000000,0.0235586725,0.0431023352,0.0539143868,0.0000000000,0.0000000000,0.0224118046,0.0229342952,0.0577113740,0.0590792112,0.0413952619,0.0144477673,0.0616616309,0.0743936151,0.0289444178,0.0301340409,0.0395294055,0.0403951630,0.0179025568,0.0216366872,0.2018040419,0.2017897516,0.0597800054,0.0000000000,0.0000000000,0.0180537254,0.0336114503,0.0353469215,0.0797876567,0.0859711617,0.0000000016,0.0000000000,0.0000000000,0.0000000000,-0.0147983562,0.1426775455,-0.0021257570,0.0570261516,0.1426061392,0.0081832381
