Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:43:54:26.221,61,0.0051266919,0.0375709161,0.0370685272,0.0000000000,0.0000000000,0.1329751611,0.0561693534,0.0051037068,0.0375878923,0.0806034431,0.0000000000,0.0000000000,0.1330457479,0.0561940111,0.0415374488,0.0138302511,0.0000000000,0.0353633165,0.0375415944,0.0331909694,0.0559823178,0.0000000000,0.0195389520,0.0000000000,0.0107161179,0.0018376075,0.0000000000,0.0305151902,0.0295703709,0.0579490773,0.0538719185,0.0660023689,0.0287450776,0.0954541937,0.0855296031,0.0513599403,0.0539213866,0.0372990109,0.0379949510,0.0136826225,0.0167567972,0.0879595950,0.0879650787,0.0484336950,0.0000000000,0.0000000000,0.0370994098,0.0371567793,0.0424662828,0.0696129799,0.0718167722,0.0000000294,-0.0178839453,-0.0431421585,0.0129718343,-0.0492248610,0.0229889899,-0.0011313716,0.0226379130,0.0229566507,0.0005197375
13:43:54:27.222,61,0.0047235289,0.0346009545,0.0391816795,0.0000000000,0.0000000000,0.1350584775,0.0660602301,0.0047023422,0.0346243717,0.0785755366,0.0000000000,0.0000000000,0.1351277679,0.0660820156,0.0420642123,0.0132711558,0.0000000000,0.0356998965,0.0379077941,0.0333406664,0.0560741387,0.0000000000,0.0201088153,0.0000000000,0.0085661877,0.0043987851,0.0000000000,0.0304219853,0.0295056943,0.0583613999,0.0544027947,0.0662555546,0.0291117616,0.0949923694,0.0852819756,0.0510339513,0.0536003597,0.0374038741,0.0381367914,0.0134992376,0.0165426787,0.0937139243,0.0937224701,0.0482247323,0.0000000000,0.0000000000,0.0372634530,0.0374482609,0.0428264700,0.0691699982,0.0714222416,0.0000000355,-0.0178839453,-0.0431421585,0.0129718343,-0.0479883216,0.0211752076,-0.0010159242,0.0239293799,0.0211425759,0.0005059558
13:43:54:28.224,61,0.0043499880,0.0264269747,0.0425106362,0.0000000000,0.0000000000,0.1364023685,0.0785552934,0.0043304721,0.0264621023,0.0752852857,0.0000000000,0.0000000000,0.1364688128,0.0785751939,0.0425920077,0.0126683712,0.0000000000,0.0360319540,0.0382896475,0.0334570296,0.0560910925,0.0000000000,0.0206191707,0.0000000000,0.0074005523,0.0060896198,0.0000000000,0.0303529166,0.0294638947,0.0587496459,0.0549131036,0.0666074604,0.0294579566,0.0945834219,0.0851052925,0.0507223345,0.0532878600,0.0376586430,0.0384369493,0.0133435810,0.0163611211,0.1386078894,0.1386165768,0.0479838140,0.0000000000,0.0000000000,0.0373341665,0.0377197713,0.0431516580,0.0689614862,0.0712622032,0.0000000420,-0.0178839453,-0.0431421585,0.0129718343,-0.0459831543,0.0161818881,-0.0007438968,0.0259648897,0.0161487646,0.0004192902
13:43:54:29.225,61,0.0040048738,0.0198953636,0.0430903360,0.0000000000,0.0000000000,0.1386306435,0.0866699964,0.0039869035,0.0199363455,0.0745786279,0.0000000000,0.0000000000,0.1386823207,0.0866889805,0.0439892150,0.0119026145,0.0000000000,0.0363636240,0.0386168361,0.0335116126,0.0562438332,0.0000000000,0.0210857168,0.0000000000,0.0067193578,0.0074147480,0.0000000000,0.0304162726,0.0295418166,0.0590132624,0.0553032905,0.0675201565,0.0299423225,0.0948442072,0.0853052512,0.0509033464,0.0534846298,0.0380181745,0.0388666950,0.0132244704,0.0162241347,0.2181559354,0.2181723416,0.0476963185,0.0000000000,0.0000000000,0.0376207530,0.0380641073,0.0435690433,0.0691678971,0.0715072453,0.0000000505,-0.0178839453,-0.0431421585,0.0129718343,-0.0455541201,0.0121910702,-0.0005551888,0.0263204426,0.0121575966,0.0003199722
13:43:54:30.227,61,0.0036865445,0.0184329227,0.0437440909,0.0000000000,0.0000000000,0.1467587650,0.0924976841,0.0036700012,0.0184756611,0.0739537776,0.0000000000,0.0000000000,0.1467878222,0.0925166234,0.0448833220,0.0111870635,0.0000000000,0.0366450436,0.0388683341,0.0336216465,0.0574313141,0.0000000000,0.0214006715,0.0000000000,0.0063289255,0.0085872030,0.0000000000,0.0305994432,0.0297180265,0.0592550002,0.0556333512,0.0690874755,0.0303816944,0.1037077904,0.0900571570,0.0535450429,0.0563895181,0.0384831838,0.0394311063,0.0131783476,0.0161764920,0.3493493497,0.3493762612,0.0475569926,0.0000000000,0.0000000000,0.0379589908,0.0386458486,0.0444854535,0.0742170513,0.0770475715,0.0000000710,-0.0178839453,-0.0431421585,0.0129718343,-0.0451729186,0.0112976637,-0.0005101966,0.0267200526,0.0112640532,0.0003009530
13:43:54:31.228,61,0.0033931991,0.0187074970,0.0399510860,0.0000000000,0.0000000000,0.1673863381,0.0958780274,0.0033779712,0.0187469162,0.0778000057,0.0000000000,0.0000000000,0.1673998088,0.0958963335,0.0473707505,0.0102189053,0.0000000000,0.0368630886,0.0389944091,0.0336888582,0.0620484278,0.0000000000,0.0217226222,0.0000000000,0.0057772161,0.0122393882,0.0000000000,0.0309176147,0.0300069787,0.0594654866,0.0558973514,0.0725972503,0.0309041273,0.1245280057,0.1011442840,0.0644500330,0.0682486296,0.0390418246,0.0402555875,0.0131734004,0.0161886364,0.4939456582,0.4939852357,0.0476612709,0.0000000000,0.0000000000,0.0384881049,0.0402596109,0.0472799949,0.0838278681,0.0868378654,0.0000001128,-0.0157666765,-0.0452153422,0.0145241441,-0.0475222021,0.0114647858,-0.0005446506,0.0244031344,0.0114311632,0.0002789407
13:43:54:32.230,61,0.0031230252,0.0216696523,0.0373365320,0.0000000000,0.0000000000,0.1861727685,0.0977594778,0.0031090092,0.0217038020,0.0804078355,0.0000000000,0.0000000000,0.1861971319,0.0977773294,0.0503236949,0.0097285854,0.0000000000,0.0371071473,0.0391150750,0.0339101143,0.0778967738,0.0000000000,0.0218450744,0.0000000000,0.0051894155,0.0159790032,0.0000000000,0.0313217081,0.0303572305,0.0596712716,0.0560779609,0.0769288465,0.0315039046,0.1442438066,0.1153066754,0.0792488158,0.0835466683,0.0397207327,0.0415525846,0.0132189961,0.0162647907,0.6048046947,0.6048386097,0.0478620343,0.0000000000,0.0000000000,0.0411297083,0.0436488353,0.0524227470,0.0948628560,0.0979724303,0.0000001512,-0.0153059587,-0.0487148724,0.0155934831,-0.0491140373,0.0132741081,-0.0006517211,0.0228055920,0.0132406810,0.0003019531
13:43:54:33.232,61,0.0028742719,0.0201389082,0.0344269797,0.0000000000,0.0000000000,0.2040584385,0.0996811613,0.0028613720,0.0201720838,0.0833191872,0.0000000000,0.0000000000,0.2041067779,0.0997042805,0.0520061739,0.0095665390,0.0000000000,0.0372022577,0.0390451625,0.0341809839,0.0893264264,0.0000000000,0.0217292458,0.0000000000,0.0045943120,0.0181749314,0.0000000000,0.0318420865,0.0307926591,0.0598970130,0.0562074110,0.0799337700,0.0320574753,0.1671213955,0.1336422116,0.0990891904,0.1037611961,0.0403764509,0.0424317531,0.0133095598,0.0163826309,0.6783623695,0.6783841848,0.0480847731,0.0000000000,0.0000000000,0.0454450026,0.0467602834,0.0563102067,0.1018440872,0.1043930128,0.0000001441,-0.0160375535,-0.0521973930,0.0162236243,-0.0508929342,0.0123384008,-0.0006276981,0.0210286546,0.0123048807,0.0002587491
13:43:54:34.233,61,0.0026452835,0.0153782675,0.0315020457,0.0000000000,0.0000000000,0.2210357785,0.1045449376,0.0026334110,0.0154149551,0.0862045735,0.0000000000,0.0000000000,0.2210999131,0.1045796126,0.0531835705,0.0094949948,0.0000000000,0.0372598432,0.0389083251,0.0343018100,0.0937599316,0.0000000000,0.0214747302,0.0000000000,0.0044505759,0.0192166250,0.0000000000,0.0324144103,0.0312722102,0.0600302219,0.0562380366,0.0815323964,0.0325855464,0.1751630604,0.1399561018,0.1061886102,0.1108843461,0.0409810431,0.0431708544,0.0133774402,0.0164592937,0.7147705555,0.7147839069,0.0481602512,0.0000000000,0.0000000000,0.0471651033,0.0490954146,0.0588879958,0.1059666499,0.1081713960,0.0000001295,-0.0172662903,-0.0553188808,0.0164797232,-0.0526570454,0.0094295330,-0.0004963166,0.0192426592,0.0093957894,0.0001807941
13:43:54:35.235,61,0.0024345119,0.0065128775,0.0248670299,0.0000000000,0.0000000000,0.2464960814,0.1120207682,0.0024235852,0.0065593231,0.0927424505,0.0000000000,0.0000000000,0.2465678155,0.1120627001,0.0543382652,0.0094622346,0.0000000000,0.0373933464,0.0388223156,0.0343205258,0.0959279314,0.0000000000,0.0211938452,0.0000000000,0.0045068134,0.0196726546,0.0000000000,0.0329918191,0.0317528322,0.0601015463,0.0562172383,0.0827236921,0.0332706273,0.1786706150,0.1427503079,0.1098487377,0.1145916358,0.0416676216,0.0439464413,0.0133653879,0.0164351650,0.7333977818,0.7334074378,0.0480477475,0.0000000000,0.0000000000,0.0483385362,0.0509307012,0.0609973371,0.1082275361,0.1103063747,0.0000000978,-0.0189139489,-0.0576694906,0.0162670836,-0.0566526838,0.0040133004,-0.0002272439,0.0151902838,0.0039789500,0.0000604394
