Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:43:33:35.896,61,0.0005890550,0.0055788979,0.0322018862,0.0000000000,0.0000000000,0.1515410244,0.1009713933,0.0005887672,0.0055986079,0.0850189924,0.0000000000,0.0000000000,0.1515512317,0.1009738743,0.0618002862,0.0079419501,0.0000000000,0.0426010415,0.0428174883,0.0359254070,0.0527524538,0.0000000000,0.0233705323,0.0893799663,0.1103837788,0.0000000000,0.0000000000,0.0502104722,0.0492111109,0.0697447658,0.0666620731,0.0778739825,0.0498482212,0.1055023521,0.0896988064,0.0651059374,0.0685119331,0.0553998165,0.0573740676,0.0134027814,0.0159647409,0.0926056579,0.0926418006,0.0514255129,0.0000000000,0.0000000000,0.0457241908,0.0494534560,0.0564062521,0.0646751672,0.0664834678,0.0000001909,-0.0093354722,-0.0487594418,0.0012136791,-0.0519348457,0.0034246123,-0.0001777775,0.0196709000,0.0034086145,0.0000670465
13:43:33:36.897,61,0.0005421120,0.0085092438,0.0348684229,0.0000000000,0.0000000000,0.1494234651,0.0995404944,0.0005418471,0.0085264174,0.0823741704,0.0000000000,0.0000000000,0.1494302154,0.0995434523,0.0617953390,0.0074056513,0.0000000000,0.0423837528,0.0425936058,0.0357308909,0.0525288880,0.0000000000,0.0234225150,0.0884373337,0.1079074442,0.0000000000,0.0000000000,0.0499886945,0.0489648394,0.0694851577,0.0664489716,0.0780435428,0.0497222655,0.1053595692,0.0895358026,0.0650002882,0.0683788732,0.0552152880,0.0572091825,0.0133761941,0.0159365740,0.0946959630,0.0947225764,0.0510659032,0.0000000000,0.0000000000,0.0457546860,0.0491071753,0.0559670813,0.0646684393,0.0664048493,0.0000001195,-0.0093354722,-0.0487594418,0.0012136791,-0.0503188297,0.0052150926,-0.0002623090,0.0212996230,0.0051991809,0.0001107332
13:43:33:37.899,61,0.0004989101,0.0092156809,0.0368104540,0.0000000000,0.0000000000,0.1482489109,0.0986533239,0.0004986663,0.0092326589,0.0804248303,0.0000000000,0.0000000000,0.1482540965,0.0986563712,0.0621011667,0.0069199749,0.0000000000,0.0423253551,0.0424924605,0.0355457962,0.0522701964,0.0000000000,0.0234826058,0.0877642035,0.1065990776,0.0000000000,0.0000000000,0.0499157980,0.0488716327,0.0693368688,0.0663462356,0.0785231143,0.0499328561,0.1051507592,0.0892309397,0.0648890063,0.0682447255,0.0552301928,0.0572540872,0.0133436155,0.0159006361,0.0955755785,0.0955990180,0.0506305769,0.0000000000,0.0000000000,0.0458082221,0.0488052554,0.0555784851,0.0646394938,0.0663185790,0.0000001599,-0.0093354722,-0.0487594418,0.0012136791,-0.0491279550,0.0056467238,-0.0002773033,0.0224858709,0.0056309626,0.0001266078
13:43:33:38.900,61,0.0004591510,0.0069917715,0.0385635644,0.0000000000,0.0000000000,0.1476496309,0.0985430852,0.0004589265,0.0070116767,0.0786473453,0.0000000000,0.0000000000,0.1476538628,0.0985460505,0.0622555129,0.0063780411,0.0000000000,0.0422914065,0.0424673744,0.0354948826,0.0520877056,0.0000000000,0.0233983397,0.0860795081,0.1021840423,0.0000000000,0.0000000000,0.0496584401,0.0485967882,0.0692203939,0.0662906468,0.0787854418,0.0500343852,0.1046054885,0.0887202173,0.0645958036,0.0679161176,0.0552408919,0.0572613962,0.0132826762,0.0158164650,0.0952900425,0.0953091383,0.0502602197,0.0000000000,0.0000000000,0.0458589047,0.0485255234,0.0551888496,0.0645386428,0.0661539733,0.0000001590,-0.0093354722,-0.0487594418,0.0012136791,-0.0480424948,0.0042881379,-0.0002059348,0.0235569291,0.0042722155,0.0001006316
13:43:33:39.902,61,0.0004225603,0.0046739955,0.0413361788,0.0000000000,0.0000000000,0.1471227109,0.0999284014,0.0004223538,0.0046968278,0.0758290589,0.0000000000,0.0000000000,0.1471263319,0.0999309942,0.0623450615,0.0059658517,0.0000000000,0.0422957949,0.0424824394,0.0354000442,0.0519014709,0.0000000000,0.0232666135,0.0801126733,0.0945890620,0.0000000000,0.0000000000,0.0493197963,0.0482479036,0.0691363290,0.0662496388,0.0789978430,0.0500704236,0.1039750725,0.0881604999,0.0641589761,0.0674377307,0.0551728569,0.0571746752,0.0132034840,0.0157132726,0.0927523151,0.0927643478,0.0500008017,0.0000000000,0.0000000000,0.0458634198,0.0482294001,0.0547832996,0.0644299164,0.0659899041,0.0000001676,-0.0093354722,-0.0487594418,0.0012136791,-0.0463211462,0.0028722102,-0.0001329969,0.0252507348,0.0028560925,0.0000721110
13:43:33:40.904,61,0.0003888856,0.0042323750,0.0426179878,0.0000000000,0.0000000000,0.1464987248,0.1004726067,0.0003886956,0.0042557931,0.0745355040,0.0000000000,0.0000000000,0.1465020627,0.1004756913,0.0619496852,0.0058255643,0.0000000000,0.0421081856,0.0423171856,0.0351244397,0.0514774844,0.0000000000,0.0231485609,0.0781378821,0.0920645893,0.0000000000,0.0000000000,0.0488284305,0.0477560721,0.0687583312,0.0659139678,0.0786471441,0.0496735945,0.1021041274,0.0874799490,0.0633269846,0.0663652048,0.0547640957,0.0567195341,0.0131013142,0.0155884735,0.0910195559,0.0910269991,0.0495967902,0.0000000000,0.0000000000,0.0455689207,0.0478089079,0.0542685948,0.0642178133,0.0657484084,0.0000001347,-0.0093354722,-0.0487594418,0.0012136791,-0.0455309935,0.0026024135,-0.0001184498,0.0260337628,0.0025862870,0.0000673233
13:43:33:41.905,61,0.0003578946,0.0053220829,0.0414037965,0.0000000000,0.0000000000,0.1459945291,0.1004851088,0.0003577197,0.0053443299,0.0757464468,0.0000000000,0.0000000000,0.1459978670,0.1004884914,0.0614148639,0.0056679579,0.0000000000,0.0418432131,0.0420873202,0.0349157155,0.0512348451,0.0000000000,0.0231631659,0.0719753355,0.0882789418,0.0000000000,0.0000000000,0.0483164452,0.0472427681,0.0684222877,0.0656137988,0.0782216042,0.0491200872,0.1014875397,0.0872241929,0.0627969950,0.0657614097,0.0541757829,0.0561022088,0.0130268978,0.0155037306,0.0905275494,0.0905332267,0.0492431484,0.0000000000,0.0000000000,0.0453514978,0.0474256761,0.0538230613,0.0640681908,0.0655677319,0.0000000660,-0.0087080346,-0.0489448011,0.0011858569,-0.0462706313,0.0032681639,-0.0001511666,0.0252920091,0.0032521158,0.0000822441
13:43:33:42.907,61,0.0003293733,0.0069384957,0.0398760289,0.0000000000,0.0000000000,0.1452056915,0.0999761224,0.0003292123,0.0069589866,0.0772707164,0.0000000000,0.0000000000,0.1452095807,0.0999799818,0.0607818998,0.0055965879,0.0000000000,0.0415789112,0.0418976694,0.0347942561,0.0510753319,0.0000000000,0.0233761370,0.0693606809,0.0867105052,0.0000000000,0.0000000000,0.0477368832,0.0466680564,0.0680953860,0.0653078333,0.0777101219,0.0484707505,0.1010240987,0.0870454684,0.0622559860,0.0651854351,0.0535965487,0.0555214062,0.0129730655,0.0154541172,0.0901817828,0.0901868492,0.0490284748,0.0000000000,0.0000000000,0.0451242104,0.0470787287,0.0534551777,0.0640212446,0.0655120984,0.0000000397,-0.0101051060,-0.0482246801,0.0010627338,-0.0472015664,0.0042557428,-0.0002008044,0.0243586618,0.0042397436,0.0001032649
13:43:33:43.908,61,0.0003031249,0.0078779394,0.0376558378,0.0000000000,0.0000000000,0.1445627213,0.0996073931,0.0003029767,0.0078966739,0.0794727355,0.0000000000,0.0000000000,0.1445671618,0.0996114165,0.0602617972,0.0055844435,0.0000000000,0.0413635410,0.0417505428,0.0347338840,0.0510222912,0.0000000000,0.0235228073,0.0678791404,0.0858351439,0.0000000000,0.0000000000,0.0472730100,0.0462002829,0.0678740591,0.0650872886,0.0773120224,0.0479033291,0.1009002551,0.0870753452,0.0618881173,0.0648080036,0.0530787595,0.0550023951,0.0129379770,0.0154264821,0.0901658162,0.0901709944,0.0489406511,0.0000000000,0.0000000000,0.0449819975,0.0468030311,0.0531737134,0.0639807135,0.0654567704,0.0000000472,-0.0123473778,-0.0476673208,0.0017732481,-0.0485465676,0.0048294934,-0.0002343651,0.0230023786,0.0048136334,0.0001107161
13:43:33:44.910,61,0.0002789682,0.0074415882,0.0371366180,0.0000000000,0.0000000000,0.1441168487,0.0995622948,0.0002788319,0.0074605173,0.0799846724,0.0000000000,0.0000000000,0.1441216618,0.0995662734,0.0598251484,0.0055135200,0.0000000000,0.0412021726,0.0416562632,0.0346812531,0.0510197133,0.0000000000,0.0238222685,0.0667710900,0.0852639079,0.0000000000,0.0000000000,0.0468279421,0.0457657352,0.0676838756,0.0649266988,0.0769327730,0.0473892726,0.1008288264,0.0871033967,0.0615302958,0.0644490942,0.0525849834,0.0545270704,0.0128988018,0.0153967338,0.0899139196,0.0899199694,0.0489389263,0.0000000000,0.0000000000,0.0448387228,0.0465899557,0.0529709011,0.0639450848,0.0654307753,0.0000000514,-0.0141743291,-0.0461999774,0.0025682889,-0.0488593578,0.0045628161,-0.0002228491,0.0226852372,0.0045469780,0.0001031411
