Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:44:13:45.852,61,0.0000067422,0.0000000000,0.1835626364,0.0000000000,0.0124626365,0.2087425292,0.7266333103,0.0000067552,0.0000000000,0.0000000000,0.0655272231,0.0124577191,0.2084723711,0.7266548872,0.0759625435,0.0000000000,0.0354518071,0.0498462319,0.0576760098,0.0498881638,0.1109349281,0.0000000000,0.0133316154,0.0000000000,0.0000000000,0.1031807661,0.1168694347,0.0283205509,0.0276569705,0.1037749499,0.1102396846,0.1104649082,0.0396392085,0.1704016775,0.1777178645,0.0660070777,0.0640796721,0.0470320508,0.0483369492,0.0132494038,0.0142382346,0.2869314849,0.2861240804,0.2093352526,0.0000000000,0.0000000000,0.0749404430,0.0751557052,0.0698701665,0.0797460601,0.0854823664,0.0000000204,0.0737237632,-0.0915727764,0.0136833368,0.0400277153,-0.0054400628,-0.0002176973,0.1121303812,-0.0054722177,-0.0006123228
13:44:13:46.854,61,0.0000062049,0.0000000000,0.1833009720,0.0000000000,0.0110389525,0.2091204673,0.7276269794,0.0000062169,0.0000000000,0.0000000000,0.0652466714,0.0110263843,0.2088515460,0.7276490927,0.0759699941,0.0000000000,0.0352563001,0.0499063805,0.0577638522,0.0497889742,0.1104906648,0.0000000000,0.0130888969,0.0000000000,0.0000000000,0.1025237665,0.1165632904,0.0283976961,0.0277292859,0.1042385772,0.1106929556,0.1102482975,0.0396406837,0.1699128896,0.1772463173,0.0658007488,0.0638648421,0.0472117886,0.0484974496,0.0132333292,0.0142045217,0.2946705520,0.2938377261,0.2091213465,0.0000000000,0.0000000000,0.0745324194,0.0752231181,0.0699036196,0.0797237083,0.0854220316,0.0000000237,0.0737237632,-0.0915727764,0.0136833368,0.0398564637,-0.0048149922,-0.0001918592,0.1119708940,-0.0048470045,-0.0005415943
13:44:13:47.855,61,0.0000057104,0.0000000000,0.1834704131,0.0000000000,0.0103286123,0.2095055729,0.7283139825,0.0000057215,0.0000000000,0.0000000000,0.0654211044,0.0103122201,0.2092366964,0.7283367515,0.0759151131,0.0000000000,0.0350954086,0.0498774238,0.0577561855,0.0496337228,0.1099573895,0.0000000000,0.0128802434,0.0000000000,0.0000000000,0.1019406542,0.1162735075,0.0284716282,0.0277970955,0.1046570390,0.1111183614,0.1099586338,0.0395918712,0.1695499867,0.1768961102,0.0656177476,0.0636729822,0.0473367572,0.0486034080,0.0132307969,0.0141875045,0.3013683259,0.3005245924,0.2084218413,0.0000000000,0.0000000000,0.0741075203,0.0753312111,0.0699684322,0.0798070580,0.0854723305,0.0000000644,0.0737237632,-0.0915727764,0.0136833368,0.0399630778,-0.0045031505,-0.0001799131,0.1120745763,-0.0045351610,-0.0005072162
13:44:13:48.857,61,0.0000052554,0.0000000000,0.1834985316,0.0000000000,0.0073249685,0.2094334811,0.7288819551,0.0000052655,0.0000000000,0.0000000000,0.0654263720,0.0072924565,0.2091666609,0.7289052606,0.0758254528,0.0000000000,0.0348487422,0.0498321280,0.0577362143,0.0494920388,0.1095564291,0.0000000000,0.0127354851,0.0000000000,0.0000000000,0.1012301147,0.1156922132,0.0285163932,0.0278413054,0.1049649045,0.1114125699,0.1097255722,0.0394955724,0.1693843603,0.1767289639,0.0654718205,0.0635121167,0.0474434197,0.0487001352,0.0132433940,0.0141902659,0.3048355579,0.3039902747,0.2082036138,0.0000000000,0.0000000000,0.0737153292,0.0753878802,0.0700091943,0.0798858702,0.0855263174,0.0000001292,0.0737237632,-0.0915727764,0.0136833368,0.0399665013,-0.0031844778,-0.0001272390,0.1120923162,-0.0032163053,-0.0003597698
13:44:13:49.859,61,0.0000048366,0.0000000000,0.1837556660,0.0000000000,0.0064496114,0.2094193995,0.7292181849,0.0000048459,0.0000000000,0.0000000000,0.0656835511,0.0064121820,0.2091503739,0.7292416692,0.0757950097,0.0000000000,0.0348000713,0.0497263856,0.0576160923,0.0492758229,0.1090682447,0.0000000000,0.0126814926,0.0000000000,0.0000000000,0.1005574167,0.1151161641,0.0285904035,0.0279151276,0.1050163880,0.1114650816,0.1096921563,0.0394910052,0.1693313122,0.1765458286,0.0655050203,0.0635363236,0.0474935398,0.0487508439,0.0132473800,0.0141853886,0.3068574667,0.3060283363,0.2080372125,0.0000000000,0.0000000000,0.0735091567,0.0754195452,0.0700067505,0.0799689963,0.0855727419,0.0000002112,0.0737237632,-0.0915727764,0.0136833368,0.0401236489,-0.0028000961,-0.0001123202,0.1122495085,-0.0028319964,-0.0003172239
13:44:13:50.860,61,0.0000044511,0.0000000000,0.1838521361,0.0000000000,0.0072533879,0.2094917595,0.7288872600,0.0000044597,0.0000000000,0.0000000000,0.0657942221,0.0072206031,0.2092196345,0.7289113402,0.0757297128,0.0000000000,0.0348099768,0.0496995747,0.0576005802,0.0492397361,0.1088762507,0.0000000000,0.0126763489,0.0000000000,0.0000000000,0.1001419872,0.1147663817,0.0286354199,0.0279610306,0.1050863117,0.1115533188,0.1096637845,0.0394317284,0.1693853587,0.1765733212,0.0655106679,0.0635365546,0.0475299917,0.0487910733,0.0132684726,0.0141997701,0.3077766597,0.3069522679,0.2083770633,0.0000000000,0.0000000000,0.0732382983,0.0754893050,0.0700439885,0.0800221637,0.0855870545,0.0000004833,0.0742755905,-0.0921755135,0.0142168393,0.0401912071,-0.0031531285,-0.0001266943,0.1123083308,-0.0031849523,-0.0003569464
13:44:13:51.862,61,0.0000040964,0.0000000000,0.1838871837,0.0000000000,0.0083686216,0.2096782029,0.7229779363,0.0000041043,0.0000000000,0.0000000000,0.0658261180,0.0083418470,0.2094033211,0.7230102420,0.0756283626,0.0000000000,0.0348756835,0.0496569723,0.0575781688,0.0493925549,0.1089743301,0.0000000000,0.0126845930,0.0000000000,0.0000000000,0.0997418985,0.1144824922,0.0286614466,0.0279858336,0.1051297784,0.1116088703,0.1095285937,0.0393452123,0.1694671363,0.1766181439,0.0655757561,0.0635842979,0.0475840084,0.0488556027,0.0132977795,0.0142209036,0.3085172176,0.3076944351,0.2093611658,0.0000000000,0.0000000000,0.0731194317,0.0756044164,0.0701183826,0.0801024064,0.0856159404,0.0000005015,0.0748788342,-0.0925400853,0.0149958776,0.0402106196,-0.0036427616,-0.0001464389,0.1123295426,-0.0036746585,-0.0004119070
13:44:13:52.863,61,0.0000037699,0.0000000000,0.1836149246,0.0000000000,0.0104682213,0.2101040184,0.7184752822,0.0000037772,0.0000000000,0.0000000000,0.0655289292,0.0104526486,0.2098297775,0.7185134292,0.0754883736,0.0000000000,0.0347695574,0.0495049171,0.0574156865,0.0495269895,0.1091569290,0.0000000000,0.0126433941,0.0000000000,0.0000000000,0.0994850099,0.1142845526,0.0286799967,0.0280028004,0.1050877869,0.1115262732,0.1094151363,0.0392081663,0.1698914766,0.1770267189,0.0657398701,0.0637265742,0.0475625247,0.0488395505,0.0133366678,0.0142551493,0.3134819269,0.3126611114,0.2101708353,0.0000000000,0.0000000000,0.0730430037,0.0756714046,0.0701806247,0.0801401064,0.0856067464,0.0000004611,0.0751764998,-0.0931328684,0.0152348960,0.0400289334,-0.0045644841,-0.0001826639,0.1121628061,-0.0045965048,-0.0005144802
13:44:13:53.865,61,0.0000034695,0.0000000000,0.1836663038,0.0000000000,0.0101267118,0.2106508464,0.7174445391,0.0000034762,0.0000000000,0.0000000000,0.0655743182,0.0101095000,0.2103753686,0.7174840569,0.0754783005,0.0000000000,0.0347566977,0.0494957604,0.0574092381,0.0497275889,0.1092487872,0.0000000000,0.0125911487,0.0000000000,0.0000000000,0.0990032703,0.1139384434,0.0287051518,0.0280259904,0.1053897738,0.1118342429,0.1091857776,0.0391019844,0.1700116694,0.1774725467,0.0657124519,0.0636833459,0.0476954095,0.0489719138,0.0133902794,0.0143031236,0.3151097298,0.3142863214,0.2107130438,0.0000000000,0.0000000000,0.0727915838,0.0758522749,0.0703307614,0.0802321509,0.0856658220,0.0000003783,0.0759426877,-0.0931108147,0.0147204660,0.0400566831,-0.0044146422,-0.0001767898,0.1121942550,-0.0044465680,-0.0004978367
13:44:13:54.866,61,0.0000031930,0.0000000000,0.1843513995,0.0000000000,0.0090344278,0.2112167776,0.7193853259,0.0000031992,0.0000000000,0.0000000000,0.0662781000,0.0090114791,0.2109378576,0.7194221616,0.0755389854,0.0000000000,0.0347243249,0.0494104214,0.0573277064,0.0497623868,0.1092395931,0.0000000000,0.0125400024,0.0000000000,0.0000000000,0.0980705097,0.1133724600,0.0287519712,0.0280702747,0.1056026369,0.1120429188,0.1090980321,0.0390590131,0.1703319997,0.1779004335,0.0658089668,0.0637606978,0.0477905795,0.0490634441,0.0134321386,0.0143388053,0.3183389902,0.3174959719,0.2107648849,0.0000000000,0.0000000000,0.0726482868,0.0760570467,0.0704818368,0.0803970024,0.0858066007,0.0000001020,0.0762025192,-0.0925692171,0.0143550001,0.0404866748,-0.0039352244,-0.0001592815,0.1126129925,-0.0039671413,-0.0004458103
