Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:44:02:30.340,61,0.0000329391,0.1114464328,0.0532379225,0.0000000000,0.0000000000,0.0869508758,0.0307203718,0.0000329620,0.1114507243,0.0652694926,0.0000000000,0.0000000000,0.0869584456,0.0307607781,0.0399765335,0.0065877256,0.0000000000,0.0345076099,0.0365872011,0.0319614261,0.0669653565,0.0000000000,0.0178263523,0.0000000000,0.0000000000,0.0380940251,0.0258600023,0.0247485861,0.0240754560,0.0547379479,0.0519580469,0.0607687794,0.0237718783,0.1030832902,0.0902200863,0.0469101593,0.0487903953,0.0281158872,0.0286483187,0.0132623818,0.0159658547,0.0922857225,0.0922671556,0.0441913828,0.0000000000,0.0000000000,0.0388921350,0.0346303992,0.0384429395,0.0671933666,0.0685274154,0.0000000063,-0.0188384559,-0.0019011088,0.0046004332,-0.0397784561,0.0681353658,-0.0027137985,0.0324458405,0.0681146681,0.0022130697
13:44:02:31.342,61,0.0000303141,0.1117514446,0.0540226996,0.0000000000,0.0000000000,0.0869333819,0.0309024267,0.0000303352,0.1117594466,0.0644989088,0.0000000000,0.0000000000,0.0869407132,0.0309428498,0.0401866734,0.0064576389,0.0000000000,0.0345902927,0.0366650596,0.0320146680,0.0669985935,0.0000000000,0.0178663172,0.0000000000,0.0000000000,0.0379632749,0.0256473143,0.0247704051,0.0240947641,0.0547442883,0.0519642942,0.0609004274,0.0238880906,0.1029227078,0.0900157988,0.0469800755,0.0488732681,0.0282458011,0.0287720375,0.0132505409,0.0159590486,0.0914175957,0.0913994238,0.0441029742,0.0000000000,0.0000000000,0.0389928669,0.0346951000,0.0384944230,0.0672342032,0.0685898960,0.0000000132,-0.0188384559,-0.0019011088,0.0046004332,-0.0393083133,0.0683228374,-0.0026891432,0.0329236984,0.0683021396,0.0022518523
13:44:02:32.343,61,0.0000278983,0.1105719730,0.0547011457,0.0000000000,0.0000000000,0.0871001333,0.0313357152,0.0000279177,0.1105836779,0.0638177544,0.0000000000,0.0000000000,0.0871072784,0.0313758589,0.0405560397,0.0063356692,0.0000000000,0.0347215757,0.0367749445,0.0321113840,0.0670958236,0.0000000000,0.0178896114,0.0000000000,0.0000000000,0.0378756411,0.0254629422,0.0248444919,0.0241626371,0.0547941439,0.0520027764,0.0611506663,0.0241094735,0.1028774828,0.0898518562,0.0472021252,0.0491153486,0.0284321327,0.0289506521,0.0132310595,0.0159460641,0.0907730386,0.0907552689,0.0440516137,0.0000000000,0.0000000000,0.0392702073,0.0348136425,0.0386111252,0.0672685951,0.0686509982,0.0000000167,-0.0188384559,-0.0019011088,0.0046004332,-0.0388950855,0.0676029399,-0.0026327653,0.0333388075,0.0675821900,0.0022561245
13:44:02:33.345,61,0.0000256750,0.1038100868,0.0568483919,0.0000000000,0.0000000000,0.0899982676,0.0324283279,0.0000256929,0.1038336977,0.0616397820,0.0000000000,0.0000000000,0.0900063217,0.0324631557,0.0409269258,0.0061384630,0.0000000000,0.0349093787,0.0369897261,0.0323831737,0.0673417002,0.0000000000,0.0179773010,0.0000000000,0.0000000000,0.0378299318,0.0253147408,0.0249202773,0.0242342353,0.0550112240,0.0522293448,0.0613231324,0.0243564956,0.1027622297,0.0897668600,0.0473829955,0.0493193455,0.0286601018,0.0291684065,0.0132068265,0.0159276389,0.0905580074,0.0905409977,0.0440718606,0.0000000000,0.0000000000,0.0395250581,0.0351310335,0.0389606059,0.0673484206,0.0687906817,0.0000000230,-0.0188384559,-0.0019011088,0.0046004332,-0.0375778526,0.0634732693,-0.0023878310,0.0346568823,0.0634521395,0.0022015651
13:44:02:34.346,61,0.0000236289,0.0903934464,0.0572287887,0.0000000000,0.0000000000,0.0922650918,0.0469357111,0.0000236454,0.0904215500,0.0612180308,0.0000000000,0.0000000000,0.0922730789,0.0469490401,0.0414387546,0.0058465335,0.0000000000,0.0351474360,0.0372404382,0.0325790979,0.0674816892,0.0000000000,0.0180129614,0.0000000000,0.0000000000,0.0381569192,0.0256221127,0.0249960199,0.0243014731,0.0552616157,0.0524828322,0.0615748204,0.0246627405,0.1025280952,0.0896053687,0.0474677943,0.0494283326,0.0288788658,0.0293736197,0.0131533341,0.0158705860,0.0903293714,0.0903132036,0.0441613160,0.0000000000,0.0000000000,0.0398001522,0.0353849903,0.0392394438,0.0672537237,0.0687431693,0.0000000227,-0.0188384559,-0.0019011088,0.0046004332,-0.0373389088,0.0552739538,-0.0020654905,0.0349057764,0.0552519113,0.0019301812
13:44:02:35.348,61,0.0000217459,0.0783184543,0.0581744239,0.0000000000,0.0000000000,0.0930622891,0.0793981180,0.0000217611,0.0783522129,0.0602839626,0.0000000000,0.0000000000,0.0930701271,0.0794067755,0.0417789184,0.0056222649,0.0000000000,0.0353087746,0.0374232978,0.0326318294,0.0675185621,0.0000000000,0.0179709680,0.0000000000,0.0000000000,0.0385465585,0.0259775743,0.0250228383,0.0243160389,0.0554814897,0.0526915863,0.0617077239,0.0248429626,0.1021447927,0.0893845335,0.0473237038,0.0492944531,0.0290093347,0.0294837579,0.0130762784,0.0157839321,0.0889137015,0.0888995454,0.0443955585,0.0000000000,0.0000000000,0.0399725437,0.0354548283,0.0393012613,0.0669334531,0.0684669986,0.0000000162,-0.0181469545,-0.0024986188,0.0042094924,-0.0367831849,0.0478950664,-0.0017626821,0.0354960635,0.0478722043,0.0017002152
13:44:02:36.349,61,0.0000200129,0.0630912334,0.0581705570,0.0000000000,0.0000000000,0.0934379622,0.1347091645,0.0000200269,0.0631271377,0.0603444912,0.0000000000,0.0000000000,0.0934455022,0.1347128004,0.0422302932,0.0052686483,0.0000000000,0.0355729014,0.0377534404,0.0327616706,0.0676931813,0.0000000000,0.0179958604,0.0000000000,0.0000000000,0.0411459170,0.0280110594,0.0250533074,0.0243331082,0.0559846424,0.0531828813,0.0619855747,0.0250544995,0.1018125862,0.0892892107,0.0470517017,0.0490256995,0.0292056892,0.0296715647,0.0130045805,0.0157001521,0.0843929350,0.0843845457,0.0449867360,0.0000000000,0.0000000000,0.0402569547,0.0355323665,0.0393612608,0.0665914863,0.0681609809,0.0000000129,-0.0167402122,-0.0032742179,0.0035893007,-0.0368349366,0.0385883711,-0.0014217835,0.0355079770,0.0385645665,0.0013697401
13:44:02:37.351,61,0.0000184181,0.0449135639,0.0574324355,0.0000000000,0.0000000000,0.0939474031,0.2080902308,0.0000184309,0.0449510328,0.0610229187,0.0000000000,0.0000000000,0.0939548239,0.2080853432,0.0427005887,0.0050467099,0.0000000000,0.0359244905,0.0382316113,0.0330263078,0.0681161955,0.0000000000,0.0180525482,0.0000000000,0.0000000000,0.0459553301,0.0312802307,0.0250350144,0.0243098233,0.0566855334,0.0538392477,0.0623335093,0.0252855383,0.1013955250,0.0892407224,0.0466753319,0.0486467704,0.0294519048,0.0299158432,0.0129128648,0.0155911138,0.0773544163,0.0773517340,0.0465420149,0.0000000000,0.0000000000,0.0406630673,0.0356689990,0.0395107977,0.0662555322,0.0678924918,0.0000000082,-0.0158921033,-0.0042262864,0.0035494568,-0.0372627191,0.0274781045,-0.0010239294,0.0350702703,0.0274530202,0.0009628292
13:44:02:38.353,61,0.0000169503,0.0364933088,0.0550110713,0.0000000000,0.0000000000,0.0943349153,0.2888276577,0.0000169621,0.0365286283,0.0632502586,0.0000000000,0.0000000000,0.0943421870,0.2888130546,0.0431660116,0.0047633979,0.0000000000,0.0362779610,0.0387521274,0.0333522633,0.0686476156,0.0000000000,0.0181102064,0.0000000000,0.0000000000,0.0514334179,0.0368263759,0.0249865539,0.0242568571,0.0587893724,0.0559111573,0.0626462251,0.0254861023,0.1009786502,0.0892448127,0.0461968742,0.0481678620,0.0297227502,0.0301842298,0.0128094954,0.0154621219,0.0533526093,0.0533549152,0.0497414805,0.0000000000,0.0000000000,0.0411149934,0.0358392969,0.0396790206,0.0659094006,0.0676108748,0.0000000105,-0.0155361537,-0.0061578555,0.0039985278,-0.0386277623,0.0223307330,-0.0008625150,0.0335960016,0.0223050844,0.0007493448
13:44:02:39.354,61,0.0000155995,0.0238281861,0.0521490276,0.0000000000,0.0000000000,0.0950886756,0.3752630055,0.0000156104,0.0238642879,0.0657665581,0.0000000000,0.0000000000,0.0950961784,0.3752465546,0.0437639058,0.0046946052,0.0000000000,0.0367676057,0.0396065600,0.0338967852,0.0712350383,0.0000000000,0.0180459563,0.0000000000,0.0000000000,0.0588526241,0.0440409444,0.0249506701,0.0242121462,0.0634505376,0.0600137822,0.0631530657,0.0257771444,0.1007927805,0.0895536393,0.0457710363,0.0477366559,0.0300937146,0.0305478983,0.0127093084,0.0153276734,0.0431782268,0.0431816205,0.0547581539,0.0000000000,0.0000000000,0.0424130596,0.0361270048,0.0399859436,0.0656742305,0.0674418360,0.0000000273,-0.0156065756,-0.0086152647,0.0044995365,-0.0401702300,0.0145896347,-0.0005859529,0.0318526514,0.0145631991,0.0004638309
