Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:05:54:20.536,61,0.0385483243,0.1277100891,0.1335044354,0.0000000000,0.0000000000,0.0861865208,0.0000000000,0.0384745002,0.1281433105,0.0000000000,0.0194119457,0.0000000000,0.0861889422,0.0000000000,0.0539048985,0.0000000000,0.0224173311,0.0951197743,0.0513572395,0.1269460469,0.0455886237,0.0121698007,0.0000000000,0.3381209671,0.3120027184,0.0000000000,0.0000000000,0.0440058410,0.0431195870,0.0820208341,0.0857155472,0.0476466231,0.0321593545,0.0352708437,0.1699983925,0.0399078280,0.0404963791,0.3128485978,0.2919388711,0.0479424223,0.0503700189,0.0000000000,0.0000000000,0.1637639552,0.0822390541,0.0826100856,0.0206409451,0.1352150589,0.1248509809,0.1126281396,0.1184504107,0.0000000006,0.0000000000,0.0000000000,0.0000000000,0.0118217692,0.0782837868,0.0009273263,0.0813046321,0.0782727525,0.0063698562
13:05:54:21.538,61,0.0389442407,0.1277815104,0.1317285001,0.0000000000,0.0000000000,0.0863254890,0.0000000000,0.0388646536,0.1282053739,0.0000000000,0.0176184233,0.0000000000,0.0863287002,0.0000000000,0.0536254980,0.0000000000,0.0216486864,0.0942348391,0.0513233803,0.1268462390,0.0456351265,0.0126656629,0.0000000000,0.3373960853,0.3113709092,0.0000000000,0.0000000000,0.0437639877,0.0428548157,0.0821664855,0.0856897384,0.0475797094,0.0320402123,0.0354079790,0.1697176546,0.0398002937,0.0404011793,0.3116512001,0.2904115021,0.0477624945,0.0501456670,0.0000000000,0.0000000000,0.1626335680,0.0808137432,0.0811962038,0.0207052398,0.1342414767,0.1242432296,0.1123035252,0.1181390360,0.0000000007,0.0000000000,0.0000000000,0.0000000000,0.0107294926,0.0783207268,0.0008420479,0.0802228078,0.0783096477,0.0062882607
13:05:54:22.539,61,0.0449921340,0.1306886375,0.1271540672,0.0000000000,0.0000000000,0.0863612071,0.0000000000,0.0448976941,0.1310963035,0.0000000000,0.0129938545,0.0000000000,0.0863655508,0.0000000000,0.0531876571,0.0000000000,0.0208892077,0.0933400095,0.0510911979,0.1266720742,0.0456660986,0.0136526329,0.0000000000,0.3375000060,0.3111993372,0.0000000000,0.0000000000,0.0435129441,0.0425720923,0.0819927156,0.0853062943,0.0474167094,0.0318129323,0.0355954953,0.1699431241,0.0397677235,0.0403883234,0.3106708527,0.2889469266,0.0477861427,0.0500993915,0.0000000000,0.0000000000,0.1617546380,0.0800201446,0.0804066509,0.0208153687,0.1334411204,0.1236535087,0.1120100990,0.1178437993,0.0000000005,0.0000000000,0.0000000000,0.0000000000,0.0079120565,0.0800846890,0.0006349860,0.0774261206,0.0800735578,0.0062067839
13:05:54:23.541,61,0.0460746698,0.1357501894,0.1248395294,0.0000000000,0.0000000000,0.0853930265,0.0000000000,0.0459784232,0.1361596137,0.0000000000,0.0106061120,0.0000000000,0.0853973329,0.0000000000,0.0523482561,0.0000000000,0.0207073167,0.0911626369,0.0507932529,0.1264542192,0.0457601696,0.0139233414,0.0000000000,0.3373163640,0.3108072579,0.0000000000,0.0000000000,0.0433002450,0.0423477143,0.0818348303,0.0850696117,0.0471550487,0.0314519741,0.0359838642,0.1703518182,0.0396673977,0.0403173901,0.2995617092,0.2804747820,0.0478349254,0.0501096733,0.0000000000,0.0000000000,0.1602723300,0.0749392658,0.0752760023,0.0209718831,0.1283852905,0.1194005385,0.1114971191,0.1173200309,0.0000000005,0.0000000000,0.0000000000,0.0000000000,0.0064565078,0.0831769183,0.0005382704,0.0759975836,0.0831656829,0.0063288216
13:05:54:24.543,61,0.0572076961,0.1576099247,0.1161959991,0.0000000000,0.0000000000,0.0832361653,0.0000000000,0.0571775585,0.1580244154,0.0000000000,0.0020353405,0.0000000000,0.0832402855,0.0000000000,0.0516899563,0.0000000000,0.0209080484,0.0902396441,0.0505530573,0.1270376742,0.0459273607,0.0141273383,0.0000000000,0.3336066902,0.3040700555,0.0000000000,0.0000000000,0.0429701991,0.0419860668,0.0819429904,0.0850870535,0.0466475897,0.0310127065,0.0361068323,0.1707566977,0.0394795276,0.0401686430,0.2964968085,0.2779412270,0.0479276255,0.0501865670,0.0000000000,0.0000000000,0.1605678648,0.0750910044,0.0753884539,0.0210145935,0.1267506480,0.1179490834,0.1112648547,0.1170378998,0.0000000006,0.0000000000,0.0000000000,0.0000000000,0.0012375305,0.0965317041,0.0001198334,0.0706508234,0.0965199694,0.0068346756
13:05:54:25.544,61,0.0602457225,0.1563639045,0.1154175848,0.0000000000,0.0000000000,0.0821746811,0.0000000000,0.0602307729,0.1567700058,0.0000000000,0.0013546258,0.0000000000,0.0821786970,0.0000000000,0.0510815568,0.0000000000,0.0211661141,0.0893864781,0.0501938090,0.1269961894,0.0458880514,0.0142694181,0.0000000000,0.3327870965,0.3023441732,0.0000000000,0.0000000000,0.0427368991,0.0417295471,0.0820024610,0.0850854218,0.0462088212,0.0305996537,0.0362094715,0.1710817218,0.0392491259,0.0399741344,0.2951557040,0.2767935395,0.0480222404,0.0502489917,0.0000000000,0.0000000000,0.1602878124,0.0743919611,0.0746759027,0.0210468974,0.1254113615,0.1164509505,0.1107923612,0.1164483726,0.0000000006,0.0000000000,0.0000000000,0.0000000000,0.0008237024,0.0957653821,0.0000791242,0.0701826811,0.0957537144,0.0067352336
13:05:54:26.546,61,0.0615585707,0.1631435454,0.1140875444,0.0000000000,0.0000000000,0.0800089315,0.0000000000,0.0615483671,0.1635572612,0.0000000000,0.0000759307,0.0000000000,0.0800123140,0.0000000000,0.0505038947,0.0000000000,0.0215351395,0.0886387527,0.0497793257,0.1271831691,0.0458724834,0.0145508675,0.0000000000,0.3335411847,0.3018529117,0.0000000000,0.0000000000,0.0424763039,0.0414354391,0.0820186809,0.0850282535,0.0456331931,0.0300926063,0.0362850055,0.1728279442,0.0390032530,0.0397585891,0.2946616411,0.2762085497,0.0483759865,0.0505527928,0.0000000000,0.0000000000,0.1602260619,0.0741865635,0.0744671300,0.0210446548,0.1245468855,0.1154458597,0.1105490774,0.1160531566,0.0000000007,0.0000000000,0.0000000000,0.0000000000,0.0000461521,0.0999114513,0.0000046265,0.0693457648,0.0998996273,0.0069450731
13:05:54:27.547,61,0.0508595817,0.1610665768,0.1129737347,0.0000000000,0.0000000000,0.0785991475,0.0000000000,0.0507970303,0.1614678055,0.0010683634,0.0000000000,0.0000000000,0.0786018446,0.0000000000,0.0498789884,0.0000000000,0.0218645968,0.0868792310,0.0493362062,0.1271881759,0.0458688661,0.0144114271,0.0000000000,0.3343459070,0.3048721552,0.0000000000,0.0000000000,0.0423166081,0.0412606038,0.0818374455,0.0847938061,0.0451801345,0.0296279751,0.0366280191,0.1740515977,0.0388903022,0.0396879949,0.2929386199,0.2748866379,0.0486587696,0.0508452803,0.0000000000,0.0000000000,0.1585868746,0.0736606866,0.0739371777,0.0211776774,0.1225909069,0.1136095375,0.1101763770,0.1155839115,0.0000000007,0.0000000000,0.0000000000,0.0000000000,-0.0006494540,0.0986350775,-0.0000642675,0.0686774328,0.0986232162,0.0067897905
13:05:54:28.549,61,0.0483268164,0.1593295634,0.1065288037,0.0000000000,0.0000000000,0.0776944160,0.0000000000,0.0482541807,0.1596829742,0.0075794761,0.0000000000,0.0000000000,0.0776969716,0.0000000000,0.0493525937,0.0000000000,0.0218029954,0.0861019492,0.0491875149,0.1271020621,0.0460166074,0.0141879693,0.0000000000,0.3342120647,0.3055733442,0.0000000000,0.0000000000,0.0421548635,0.0410893299,0.0815790817,0.0844386816,0.0448911302,0.0293183848,0.0369695462,0.1739294082,0.0387429185,0.0395954214,0.2860792875,0.2691385448,0.0485333689,0.0507582799,0.0000000000,0.0000000000,0.1578649729,0.0737351850,0.0740032047,0.0213255771,0.1192618236,0.1118142605,0.1085224450,0.1135516018,0.0000000002,0.0000000000,0.0000000000,0.0000000000,-0.0046080281,0.0975458249,-0.0004509234,0.0647663400,0.0975340456,0.0063325162
13:05:54:29.550,61,0.0468031205,0.1599079818,0.1032668799,0.0000000000,0.0000000000,0.0766823068,0.0000000000,0.0467267819,0.1602403224,0.0108794719,0.0000000000,0.0000000000,0.0766849816,0.0000000000,0.0490168147,0.0000000000,0.0215239879,0.0856027231,0.0491523705,0.1267205328,0.0460278243,0.0139386887,0.0000000000,0.3344450891,0.3076053560,0.0000000000,0.0000000000,0.0420761034,0.0410020873,0.0812666193,0.0839891583,0.0447026864,0.0291683972,0.0372035652,0.1687036306,0.0385850854,0.0394962542,0.2840798497,0.2674173415,0.0482523888,0.0505375862,0.0000000000,0.0000000000,0.1568301022,0.0739871264,0.0742451176,0.0214380473,0.1163980216,0.1102466881,0.1076234430,0.1125486717,0.0000000002,0.0000000000,0.0000000000,0.0000000000,-0.0066140778,0.0978873968,-0.0006495059,0.0627810210,0.0978756770,0.0061603053
