,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
120,13:43:44:49.972,61,8e-10,0.1247727126,0.0818641111,0.0,0.0,0.19406865539999998,0.1037603095,8e-10,0.12494464220000001,0.0374032333,0.0,0.0,0.19405555730000001,0.1037582606,0.1427043676,0.0,0.0274868328,0.23878265920000002,0.0435123593,0.0565807968,0.022594057,0.0,0.027304382999999998,0.7847703099,0.7883760333,0.0,0.0,0.10637305679999999,0.10396368800000001,0.2564792633,0.267118752,0.0544355251,0.0298373904,0.0139476303,0.230268389,0.0297701675,0.0300381687,0.6504291892,0.6489236355,0.1413652003,0.1610278785,0.0,0.0,0.4913976192,0.2262206674,0.2262281775,0.0126567008,0.3951924443,0.3843438029,0.1631688327,0.1719519645,1.54e-08,0.0346763395,-0.0484654084,0.011134398200000001,-0.0227818079,0.0763442069,-0.0017424932,0.0498626344,0.0763143525,0.0038110414
121,13:43:44:50.973,61,7.000000000000001e-10,0.1270034611,0.0810315087,0.0,0.0,0.195223704,0.0973976552,7.000000000000001e-10,0.1271724552,0.0382766463,0.0,0.0,0.19521026309999998,0.0973958448,0.13881053029999998,0.0,0.0270889234,0.2288999557,0.042016036799999996,0.055451132400000006,0.021759754,0.0,0.0272947811,0.7879726887,0.791421473,0.0,0.0,0.106370084,0.10393480960000001,0.2502009273,0.25760698320000003,0.0541482642,0.028845816899999998,0.013599941499999999,0.2411563843,0.029567349700000002,0.0298524555,0.6430920362,0.6382965446,0.1491486281,0.1686272621,0.0,0.0,0.4540973902,0.1979587823,0.1979618669,0.012090646699999999,0.3999575675,0.3885097206,0.166346997,0.17463934420000002,2.16e-08,0.0348579027,-0.0480176099,0.0117647871,-0.023311341200000002,0.0777063966,-0.0018149286,0.049350325,0.0776767731,0.0038395242
122,13:43:44:51.975,61,7.000000000000001e-10,0.12663559619999998,0.0813852251,0.0,0.0,0.1970381141,0.09442812199999999,7.000000000000001e-10,0.12680615480000001,0.0379494168,0.0,0.0,0.197024405,0.0944263265,0.1369987875,0.0,0.0267659333,0.2239689231,0.040987629399999996,0.0548698604,0.0211055707,0.0,0.027180692200000002,0.7887818812999999,0.792054832,0.0,0.0,0.106282264,0.1038000956,0.2475018948,0.2538912296,0.0539071113,0.0281178262,0.0133293644,0.2492634654,0.0294324178,0.0297356881,0.6395157576,0.6336728334,0.1547202617,0.1741052717,0.0,0.0,0.4402292371,0.1849897802,0.1849927157,0.0115782171,0.40428128840000005,0.39218598600000004,0.1686238796,0.17688106,2.15e-08,0.0352995843,-0.0469852202,0.0130285285,-0.023112457200000002,0.0774822161,-0.001794235,0.049566611600000005,0.07745261490000001,0.0038451646
123,13:43:44:52.977,61,6e-10,0.1277861893,0.0817569122,0.0,0.0,0.1979620755,0.0912302732,6e-10,0.1279598773,0.0375984423,0.0,0.0,0.19794768100000001,0.0912288204,0.1357616186,0.0,0.0266049448,0.2212414443,0.0402699411,0.0547351576,0.0206107944,0.0,0.027032775800000002,0.7827143073,0.7852897048,0.0,0.0,0.1059945822,0.103466019,0.237439394,0.2438264191,0.053687035999999994,0.027575068199999997,0.0131109655,0.2547368109,0.0293528307,0.0296744294,0.6335395575,0.627887845,0.1591941863,0.1785748601,0.0,0.0,0.4264755845,0.1703483462,0.1703532636,0.0111168129,0.4064380229,0.39402049780000004,0.1712216586,0.17953832449999998,1.62e-08,0.0365323648,-0.0457650386,0.0152625926,-0.0228974409,0.0781867802,-0.0017937754,0.049790252,0.0781572014,0.0038977794000000002
124,13:43:44:53.978,61,6e-10,0.127732724,0.081397526,0.0,0.0,0.1988415122,0.0875509828,6e-10,0.12790425119999999,0.0379959494,0.0,0.0,0.1988267452,0.0875486135,0.1351484805,0.0,0.026504244700000002,0.219613865,0.0396866202,0.054828349500000005,0.0201965794,0.0,0.0269138869,0.7792545556999999,0.7821413279,0.0,0.0,0.1056811363,0.10309778900000001,0.2328006625,0.2388493866,0.0535130538,0.0271407533,0.0129311197,0.2626211941,0.0293480102,0.02969395,0.6312282681,0.6255450845,0.16804516320000001,0.18922048809999997,0.0,0.0,0.40319001670000004,0.15404479210000002,0.1540465802,0.0107004829,0.40791615840000006,0.39532741899999996,0.1725645065,0.18093927199999998,1.55e-08,0.0379688926,-0.0447777882,0.017617370900000002,-0.0231395848,0.0781532526,-0.0018119607999999999,0.0495715104,0.0781236514,0.0038789969
125,13:43:44:54.980,61,5e-10,0.1278053224,0.0803390965,0.0,0.0,0.1991029829,0.08578892800000001,5e-10,0.1279709935,0.039059747,0.0,0.0,0.1990877986,0.0857866406,0.13465464119999998,0.0,0.026435785,0.21668851379999998,0.039248731,0.0568931289,0.0199605115,0.0,0.0267132502,0.7469731569,0.7495046854,0.0,0.0,0.1048294529,0.1020124555,0.22584369780000002,0.230962798,0.053291089800000004,0.026821277999999997,0.012829221799999999,0.2702969313,0.029395794500000003,0.0297699887,0.6216496825,0.6168507338,0.17123723030000002,0.1927825063,0.0,0.0,0.3751969934,0.1402429342,0.1402439475,0.0103562074,0.4043644965,0.3916400671,0.17332942780000002,0.1817125678,2.8599999999999998e-08,0.0398117118,-0.04534905400000001,0.0198532604,-0.0237873588,0.0781952068,-0.00186368,0.0489267521,0.078165561,0.0038306472999999996
126,13:43:44:55.981,61,5e-10,0.124738954,0.0810687169,0.0,0.0,0.19952216739999998,0.08739508689999999,5e-10,0.1249060035,0.0383103341,0.0,0.0,0.199505806,0.08739341800000001,0.1341365278,0.0,0.026589285600000002,0.2120258361,0.0390202552,0.0746786222,0.019973393500000002,0.0,0.026509201200000002,0.6975482702,0.6992399095999999,0.0,0.0,0.1014130786,0.0984230936,0.2203135937,0.2254196703,0.052962411200000004,0.026645485299999997,0.0128198043,0.2806546688,0.029454540499999998,0.029850915099999997,0.5968925357,0.592877388,0.17257438600000002,0.1941829026,0.0,0.0,0.3661022782,0.1356284171,0.1356291473,0.0100936927,0.39579159020000004,0.38203608990000004,0.1736659855,0.182078436,5.022999999999999e-07,0.0412102006,-0.0453572795,0.0221449602,-0.0233343523,0.0763215721,-0.0017842164,0.0493782535,0.07629186660000001,0.0037729333
127,13:43:44:56.983,61,4e-10,0.1176300943,0.0838015974,0.0,0.0,0.2000362575,0.08747242390000001,4e-10,0.1178057268,0.0355249681,0.0,0.0,0.2000180781,0.08747056130000001,0.1335745305,0.0,0.02706879,0.20766577120000002,0.039039626699999996,0.0985688418,0.0202705059,0.0,0.026512254,0.6375715733,0.6404218674000001,0.0,0.0,0.09472587699999999,0.0922222733,0.2124247402,0.2195897549,0.052486799699999996,0.0266258679,0.0128797116,0.28682979940000003,0.029481040299999997,0.0298994612,0.5759036541,0.5745767950999999,0.17015419899999998,0.1905536652,0.0,0.0,0.3616993725,0.1334529668,0.1334534883,0.0099020917,0.38362511990000003,0.37150141600000003,0.1737253964,0.18226613100000003,1.4094e-06,0.0427066907,-0.045189559500000004,0.0243867245,-0.021644789700000003,0.0719803274,-0.0015605722,0.0510592721,0.07195006309999999,0.0036784547999999997
128,13:43:44:57.984,61,4e-10,0.1065856814,0.0889174715,0.0,0.0,0.20190289620000001,0.08796229960000002,4e-10,0.1067747772,0.0303460546,0.0,0.0,0.20187549289999998,0.08796039970000001,0.1330504268,0.0,0.0275847446,0.2056756318,0.0391593985,0.1068258211,0.020672634199999998,0.0,0.026614183599999997,0.6181070805,0.6211916804,0.0,0.0,0.0905221403,0.08833126720000001,0.20849666,0.21640582379999998,0.051953602599999996,0.026686845299999998,0.0129448436,0.28950122,0.0294751823,0.0299108345,0.5681263804,0.5673711896,0.1606860161,0.1798781157,0.0,0.0,0.362752974,0.132556811,0.132557258,0.009765364200000001,0.37362462280000003,0.36198520659999994,0.1725702733,0.18188853559999998,2.6183e-06,0.045536279699999994,-0.0453027375,0.0270030163,-0.018497929,0.06523618099999999,-0.0012083796,0.0542013943,0.0652053654,0.0035374924
129,13:43:44:58.986,61,4e-10,0.0992395207,0.09600511939999999,0.0,0.0,0.2027686983,0.09030601380000002,4e-10,0.0994512513,0.0232794508,0.0,0.0,0.2027373016,0.0903035477,0.1327131242,0.0,0.028335999700000003,0.2044722736,0.0393338501,0.1123961434,0.021180041099999998,0.0,0.0267992672,0.605343163,0.6083673835,0.0,0.0,0.0874855667,0.08557179570000001,0.2064128518,0.21472765510000003,0.0513721034,0.026777677200000002,0.013025199099999999,0.2911472023,0.029454587,0.0299024154,0.5638105272999999,0.5634146929,0.15566912289999998,0.17463710899999998,0.0,0.0,0.3627682924,0.1319484115,0.1319489181,0.0096792309,0.3540705144,0.3414251208,0.168913275,0.1797487587,1.1299600000000001e-05,0.0488293879,-0.0461737216,0.0293647181,-0.014194371200000002,0.060757447,-0.0008634472999999999,0.0585383475,0.0607261285,0.0035571356
