,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
138,13:43:45:08.000,61,2e-10,0.0776771978,0.103635706,0.0,0.0,0.20407815280000002,0.1009406745,2e-10,0.0778828859,0.015051505500000001,0.0,0.0,0.20404437179999999,0.10093789550000001,0.09742150460000001,0.0,0.0372604467,0.1287479997,0.048368450300000004,0.1831016541,0.0456150025,0.0,0.025111017700000002,0.4188677669,0.4169899225,0.0,0.0,0.0747266039,0.072846815,0.1632158607,0.16905942559999998,0.0472880229,0.0329216421,0.0293632783,0.28849658370000003,0.0338775702,0.0349236988,0.3597881496,0.3546171188,0.1044412851,0.11696615070000001,0.0,0.0,0.2800298333,0.0705529451,0.0705528408,0.012073677,0.2787629664,0.2712818086,0.1428940296,0.1534120739,3.52e-08,0.056937277300000005,-0.0531963371,0.0478859879,-0.009184038299999999,0.047577962300000005,-0.0004372816,0.063236095,0.0475453995,0.0030068396999999997
139,13:43:45:09.001,61,2e-10,0.075144954,0.1024665907,0.0,0.0,0.2045870125,0.10180929300000001,2e-10,0.075341858,0.016062283899999998,0.0,0.0,0.20455551149999998,0.1018047035,0.09657721970000001,0.0,0.0372700244,0.1270308644,0.0543764383,0.18613393600000003,0.0511267334,0.0,0.024923684100000003,0.39381706710000003,0.3957814872,0.0,0.0,0.0741069391,0.07219404730000001,0.16133615369999998,0.16709898410000001,0.04750658940000001,0.036197747999999995,0.0330670737,0.2664594054,0.0358785242,0.0371163711,0.33974027630000003,0.33841073509999997,0.0940512866,0.1061506867,0.0,0.0,0.2779986858,0.0675350204,0.0675341114,0.0129508125,0.2779903412,0.2707380652,0.1426187456,0.1531264037,3.43e-08,0.056561030400000004,-0.0546849333,0.04879027230000001,-0.0098015033,0.046025943,-0.0004514349,0.0625272617,0.0459933914,0.0028759879
140,13:43:45:10.003,61,2e-10,0.0707742199,0.09936682880000001,0.0,0.0,0.20630486309999999,0.1022083089,2e-10,0.0709535629,0.0189659446,0.0,0.0,0.20628094670000002,0.10220176730000001,0.0962805375,0.0,0.0371790417,0.1263759881,0.0601091236,0.1902006269,0.055528473099999996,0.0,0.024904578900000002,0.3817955256,0.3853980899,0.0,0.0,0.073606804,0.0716677755,0.1603189707,0.1660709232,0.0478003025,0.0406468064,0.0349392854,0.2458231002,0.0373445824,0.038747519300000005,0.3329659104,0.3327225745,0.0841036364,0.0956386328,0.0,0.0,0.2822049558,0.06628283110000001,0.0662797019,0.0140140522,0.2760279179,0.27013137940000004,0.1419641972,0.15237697960000002,3.23e-08,0.0557360016,-0.0557982661,0.0488631912,-0.0115747573,0.0433459654,-0.0005020223000000001,0.060642961399999994,0.043313182900000004,0.0026266668
141,13:43:45:11.004,61,1e-10,0.06647568940000001,0.09672212599999999,0.0,0.0,0.20997188989999999,0.1021316573,1e-10,0.0666401982,0.0214504395,0.0,0.0,0.2099536806,0.1021247357,0.096534729,0.0,0.0371314622,0.1286097616,0.0733572245,0.1918249428,0.0620011836,0.0,0.024772498799999997,0.3694565892,0.3699706495,0.0,0.0,0.07324352860000001,0.0712426603,0.1599174142,0.1656744778,0.048635982,0.0500804782,0.0367811508,0.2046275139,0.0388647579,0.0404639244,0.3261272013,0.3252493143,0.0719250217,0.0805179104,0.0,0.0,0.28540247679999997,0.0680498704,0.0680445358,0.015296055,0.27520534399999996,0.2696693242,0.1413189769,0.1515170932,2.44e-08,0.0539667718,-0.0578567609,0.0472112186,-0.0130924722,0.0407116748,-0.0005332959,0.0590354167,0.0406785943,0.0024014034
142,13:43:45:12.006,61,1e-10,0.0633310676,0.0946546048,0.0,0.0,0.2114295661,0.1020918936,1e-10,0.0634848475,0.0233409964,0.0,0.0,0.21141402420000002,0.1020850465,0.0971904173,0.0,0.036932677000000004,0.1308452785,0.0831278116,0.192399025,0.0668097883,0.0,0.0245000906,0.34383273119999996,0.34298980240000004,0.0,0.0,0.0729542747,0.0708797798,0.1599682868,0.1656937897,0.05318224059999999,0.0578882918,0.040188003300000004,0.18880373239999998,0.0404266864,0.0421818271,0.3057704568,0.3028457761,0.0628266633,0.06997313349999999,0.0,0.0,0.2899275422,0.07280652230000001,0.0728012994,0.016525633600000002,0.2680326104,0.26299187539999996,0.1388558,0.1481379271,1.89e-08,0.0526674241,-0.0599819496,0.0462478548,-0.014247483600000001,0.0387846269,-0.0005528417,0.057777904000000005,0.0387514457,0.0022388487
143,13:43:45:13.008,61,1e-10,0.0612876713,0.0933215618,0.0,0.0,0.2125247121,0.101994276,1e-10,0.0614348128,0.0245415326,0.0,0.0,0.2125109881,0.10198773439999999,0.1012629345,0.0,0.036590091899999996,0.13670226929999998,0.1005520448,0.1917690784,0.074472256,0.0,0.0240491871,0.3343633115,0.3326569796,0.0,0.0,0.0728122368,0.0706397146,0.160368368,0.1659926772,0.0678474605,0.0688436329,0.04829823230000001,0.1743722111,0.043458607,0.0453652106,0.28527694940000003,0.28183346989999997,0.0562979095,0.062482774299999995,0.0,0.0,0.2962017655,0.0866945982,0.0866928175,0.018563306,0.2660399973,0.261108309,0.1377892047,0.1467645466,6.3e-09,0.051249906399999996,-0.060790784699999996,0.0454082862,-0.0149810137,0.0375326127,-0.0005625196,0.0569669083,0.0374993719,0.0021360659
144,13:43:45:14.009,61,1e-10,0.0601450801,0.09279412029999999,0.0,0.0,0.2132306695,0.10318809,1e-10,0.060289293499999994,0.0249852147,0.0,0.0,0.2132180929,0.103182897,0.103148967,0.0,0.0363447852,0.14096742869999998,0.1109683067,0.1878029704,0.08039294179999999,0.0,0.0234678406,0.32813814280000003,0.3240311146,0.0,0.0,0.07264342900000001,0.0703740343,0.1609348059,0.16650162640000002,0.07729081809999999,0.0750151947,0.0539345667,0.1624719352,0.0455783717,0.047597367300000006,0.2715646029,0.26757135989999997,0.0513231754,0.056634329299999994,0.0,0.0,0.30022099609999997,0.0919940397,0.0919933766,0.0205136985,0.2649080157,0.2599000633,0.1369580328,0.1457136869,1.4000000000000001e-09,0.0499170274,-0.0604029559,0.0449601375,-0.015252248400000001,0.0368329249,-0.0005620173,0.0566464141,0.0367995948,0.0020843884
145,13:43:45:15.011,61,1e-10,0.0600609705,0.0930524766,0.0,0.0,0.2133691013,0.107755743,1e-10,0.0602057725,0.0247500204,0.0,0.0,0.21335752309999997,0.1077479273,0.10540212689999999,0.0,0.0360326208,0.14453837279999998,0.12019502369999999,0.1863226295,0.08743841949999999,0.0,0.0229800753,0.312330544,0.3087979853,0.0,0.0,0.0723678768,0.0700341761,0.1612491459,0.1668221354,0.08532860880000001,0.0799201727,0.0591378734,0.1545959413,0.0482563376,0.050402060199999994,0.2609001696,0.2573325038,0.047712326,0.0526866987,0.0,0.0,0.3071570992,0.09764651210000001,0.09764424710000001,0.024752259300000003,0.26414185760000003,0.25918740030000004,0.1362356097,0.1449149251,1.1e-09,0.049695979800000005,-0.0580813475,0.0448537692,-0.0151087036,0.0367818177,-0.0005559551,0.056804228600000006,0.0367484652,0.0020872827
146,13:43:45:16.012,61,1e-10,0.059289354800000006,0.091433987,0.0,0.0,0.2133796811,0.1100972518,1e-10,0.059428885599999995,0.026372203599999998,0.0,0.0,0.2133690417,0.11008034650000001,0.1066258773,0.0,0.035595502700000003,0.1485242248,0.1306811273,0.18575543170000003,0.0951713994,0.0,0.0226193294,0.2905957401,0.2883013487,0.0,0.0,0.0718582124,0.06950806080000001,0.1614118516,0.16707366699999998,0.0898899734,0.0826267079,0.0623641014,0.1490638852,0.0498182513,0.0520202816,0.2515453696,0.2487220317,0.045042712199999994,0.0498348624,0.0,0.0,0.31155589219999996,0.1000068262,0.10000307859999999,0.028737856099999997,0.2637789249,0.25909471510000004,0.1358400732,0.14453828330000001,7.000000000000001e-10,0.0495502129,-0.0548820049,0.0442648344,-0.0160992481,0.0363077521,-0.0005847592,0.05581717940000001,0.0362743326,0.0020245649
147,13:43:45:17.015,61,1e-10,0.0584560707,0.0893903449,0.0,0.0,0.2133611441,0.1111564413,1e-10,0.0585891642,0.0284103546,0.0,0.0,0.21335141359999998,0.1111337095,0.1069858372,0.0,0.0351345912,0.1500522941,0.1345161647,0.1859389991,0.10380403699999999,0.0,0.022419834500000003,0.2488476634,0.2512923777,0.0,0.0,0.0706585869,0.068465896,0.1612239778,0.16697078939999999,0.092126295,0.0837933496,0.0664639622,0.14679579439999998,0.0509433262,0.0531781092,0.22828412059999997,0.2281241119,0.0432664528,0.0480821989,0.0,0.0,0.3130604327,0.10098967699999999,0.100983344,0.0308727771,0.2481578588,0.2507410645,0.1349731833,0.1438847184,7.000000000000001e-10,0.048923552,-0.0520079471,0.043407950599999995,-0.0173437856,0.0357954688,-0.0006210631,0.0545706116,0.0357620381,0.0019514176999999998
148,13:43:45:18.015,61,1e-10,0.0580546521,0.0875524282,0.0,0.0,0.2130652666,0.1120515913,1e-10,0.0581824742,0.030204694700000003,0.0,0.0,0.2130563706,0.1120245755,0.1064798161,0.0,0.0345821269,0.1506307423,0.13655421140000001,0.1874023825,0.11317364869999999,0.0,0.02237726,0.22557574510000003,0.2278106958,0.0,0.0,0.0680909678,0.0663056001,0.15932475029999998,0.1656824648,0.0934057161,0.08416873220000001,0.06990326200000001,0.1453788579,0.051906544699999994,0.054229274400000006,0.20939919350000002,0.20890951160000001,0.0412378125,0.046070724699999996,0.0,0.0,0.3140074313,0.1015264466,0.1015172526,0.0334005095,0.2324431837,0.2374438941,0.1325391382,0.1421000808,9e-10,0.0486864969,-0.0502899066,0.042822737199999995,-0.0184393432,0.0355476998,-0.0006557152,0.0534490868,0.0355143063,0.0018980997000000001
