,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
110,13:43:44:39.956,61,1.8e-09,0.116088815,0.0810645968,0.0,0.0,0.1586161405,0.1811923087,1.8e-09,0.11625058949999999,0.036769468300000004,0.0,0.0,0.1585973948,0.18119831379999998,0.2233363688,0.0,0.04240825769999999,0.2073050588,0.1852985919,0.09974098210000001,0.0611166805,0.0,0.0197793767,0.43224376439999995,0.42359694840000006,0.0,0.0,0.1109587625,0.1072860658,0.2535104752,0.2693527639,0.1609314233,0.1666288674,0.0671384633,0.0832707807,0.0487420298,0.0514260717,0.36128732560000004,0.3587708473,0.0299236067,0.0328058526,0.0,0.0,0.7911859751000001,0.5901184678,0.5901225209000001,0.0207827799,0.276075542,0.2682643235,0.0946550593,0.09596163029999999,3.6e-09,0.0275076665,-0.033368755099999994,0.0065684011,-0.022404572,0.0710313022,-0.0015939731,0.0493949801,0.07100137320000001,0.0035115740999999995
111,13:43:44:40.958,61,1.7000000000000001e-09,0.1137310341,0.0823053792,0.0,0.0,0.1623931825,0.1775470525,1.7000000000000001e-09,0.1138971001,0.0354228355,0.0,0.0,0.1623783112,0.17755439879999999,0.2134550214,0.0,0.0410061032,0.2064849585,0.1746506989,0.1280114353,0.0613636635,0.0,0.0194465425,0.4683353007,0.4655022919,0.0,0.0,0.11151295900000001,0.1077051088,0.25411218399999996,0.2681336105,0.1001355201,0.14463454480000001,0.051247064,0.083342053,0.048882882999999995,0.0511188507,0.42808943990000003,0.4272692502,0.0298225768,0.0327395424,0.0,0.0,0.7514587641,0.5470562577,0.5470599532,0.0210311431,0.30081710219999996,0.28816244010000003,0.10114915669999999,0.1038620546,9.8e-09,0.029690627,-0.0395210013,0.0073536905,-0.0215862207,0.06959202889999999,-0.0015045407,0.0501561165,0.0695619658,0.0034931169
112,13:43:44:41.959,61,1.5e-09,0.11282125119999999,0.0823905095,0.0,0.0,0.1677243561,0.1694645584,1.6e-09,0.1129865423,0.035445507599999995,0.0,0.0,0.16771450640000002,0.16947369280000002,0.17274633050000002,0.0,0.039950598,0.206470266,0.1278810799,0.1349211484,0.06016233940000001,0.0,0.019328827,0.5198854804,0.5130613446,0.0,0.0,0.1098554134,0.1059866101,0.2538410127,0.26716831329999996,0.0798728541,0.09571347390000001,0.039977271099999996,0.0967558548,0.0448096991,0.046008922199999996,0.4607674479,0.4600680172,0.031156912400000004,0.0348204337,0.0,0.0,0.7176568508,0.4999846816,0.49998962880000003,0.0207662769,0.3137692809,0.3014220595,0.1070391759,0.1107337028,7.63e-08,0.030842471899999998,-0.0433929712,0.0075662504,-0.0216008704,0.0690356866,-0.0014934873,0.0502099171,0.0690056905,0.003468808
113,13:43:44:42.961,61,1.4000000000000001e-09,0.1133528352,0.08230920139999999,0.0,0.0,0.17263719440000003,0.1513314992,1.4000000000000001e-09,0.11351832,0.035709843,0.0,0.0,0.1726305485,0.1513367295,0.1613622904,0.0,0.0357523672,0.23122933510000002,0.1004346758,0.11788312349999999,0.048140876,0.0,0.019727326899999998,0.5877358913,0.5915758014,0.0,0.0,0.108186014,0.10495120289999998,0.2536951303,0.2665634155,0.068937391,0.0763798058,0.0287228916,0.1128810942,0.0387469456,0.0393498614,0.5588818192,0.5608667135000001,0.039119027599999995,0.0466909036,0.0,0.0,0.688546896,0.45924264189999997,0.45924273130000004,0.019400036000000002,0.31960341329999997,0.3078292012,0.110562861,0.1156149209,2.819e-07,0.0322518982,-0.047515217199999994,0.0081159389,-0.0217614677,0.0693608373,-0.0015116986,0.050159242,0.069330655,0.0034816812
114,13:43:44:43.963,61,1.3e-09,0.1125033572,0.0846623108,0.0,0.0,0.17616064850000002,0.1435497403,1.3e-09,0.1126793772,0.0336914696,0.0,0.0,0.1761538684,0.1435528994,0.1573265046,0.0,0.0339633338,0.2777572274,0.0860864967,0.10082797710000001,0.0411492698,0.0,0.0207834747,0.616699636,0.6220218539,0.0,0.0,0.10732471199999999,0.10433035339999999,0.254116416,0.266788274,0.0630960912,0.06322979179999999,0.022735171000000002,0.12926036119999998,0.0353839733,0.0357705839,0.5998553634,0.6015943289,0.0486725345,0.0584968328,0.0,0.0,0.663151443,0.4259358346,0.4259363115,0.0178741943,0.3226226866,0.31123763320000003,0.116478838,0.1234170943,6.781e-07,0.0328826346,-0.0492273271,0.0087942025,-0.0205322057,0.0688464344,-0.0014157065,0.0515950769,0.0688161254,0.0035545956
115,13:43:44:44.964,61,1.2e-09,0.1133647412,0.08512471619999999,0.0,0.0,0.1796436608,0.1340938061,1.2e-09,0.11354349550000001,0.0335101858,0.0,0.0,0.1796372086,0.1340941042,0.1556542665,0.0,0.0317229703,0.2915247083,0.0730942339,0.0870486349,0.0353507474,0.0,0.0226470903,0.6737447381,0.6810973287000001,0.0,0.0,0.10667943949999999,0.1038884297,0.25532650949999997,0.267768085,0.0596759059,0.0513542742,0.019306953999999998,0.1482023597,0.0333701521,0.0336785652,0.6256278753,0.6271649599,0.0636827648,0.0770824105,0.0,0.0,0.6198296547,0.3786542118,0.3786539733,0.016584638500000002,0.3244386017,0.3148692548,0.1273790151,0.1368284971,7.107999999999999e-07,0.0350154452,-0.0502156615,0.009698662,-0.0204209816,0.0693742707,-0.0014188682999999999,0.0518749841,0.0693440214,0.0036013653
116,13:43:44:45.966,61,1.1e-09,0.1152059585,0.0838280842,0.0,0.0,0.1830917895,0.1214610934,1.1e-09,0.11537964640000001,0.0350387283,0.0,0.0,0.1830855459,0.12145689130000001,0.1542608142,0.0,0.0301655829,0.29155379530000003,0.062081664800000005,0.0754889324,0.030865179399999998,0.0,0.0248620454,0.7126135826000001,0.7204943895,0.0,0.0,0.106213443,0.1035927758,0.2560228705,0.2683502436,0.0575756207,0.0422206819,0.0173089858,0.1764909178,0.0320790336,0.0323450007,0.6373502611999999,0.6389134526,0.0863219947,0.1040537432,0.0,0.0,0.5713387728,0.3278228045,0.3278204501,0.0155922389,0.33558899159999994,0.3347483873,0.1442302614,0.1541764736,6.698e-07,0.0366862155,-0.0510405637,0.0105261682,-0.0213507935,0.07049752769999999,-0.0015075605,0.0510807969,0.0704673976,0.0036039168
117,13:43:44:46.967,61,1e-09,0.117115289,0.0830456465,0.0,0.0,0.187262252,0.1134004816,1e-09,0.11728683109999999,0.0360004306,0.0,0.0,0.1872550845,0.113396883,0.1523560733,0.0,0.0291300304,0.2823538184,0.0547183827,0.0669522509,0.0275838338,0.0,0.025957372000000003,0.7468640804000001,0.7519515753,0.0,0.0,0.10600283740000001,0.1035014018,0.2563552856,0.2685658038,0.056261576699999996,0.0366791375,0.016005406200000002,0.1901041269,0.0311800744,0.0314264856,0.643663764,0.6451278925,0.1012390703,0.1192369759,0.0,0.0,0.5482321978,0.29712712760000004,0.2971270382,0.014737823,0.3570116758,0.3510729074,0.1527585089,0.1625113934,4.6630000000000004e-07,0.0364926718,-0.0499674119,0.0111730499,-0.0219349824,0.0716637298,-0.0015745115,0.0505998284,0.0716335028,0.00362929
118,13:43:44:47.969,61,9e-10,0.1195226386,0.0824893489,0.0,0.0,0.1892125905,0.10987406970000001,9e-10,0.1196931973,0.0366656557,0.0,0.0,0.1892027557,0.10987043380000001,0.1508784443,0.0,0.0285719112,0.274038434,0.049811884800000004,0.0620132759,0.0253868401,0.0,0.0267370548,0.7608466148,0.7651109695,0.0,0.0,0.1059482917,0.10352474449999999,0.2566766739,0.2688595355,0.0554065146,0.0334099457,0.0150926858,0.1991604716,0.030525336,0.030770516,0.6476705074,0.6487107873,0.1111092269,0.129236415,0.0,0.0,0.5376703143,0.28235426550000003,0.2823548615,0.0139786797,0.3646723926,0.3576504588,0.15678198640000002,0.166488409,7.1e-08,0.036228165,-0.0495271012,0.0113660451,-0.022337921,0.073134698,-0.0016364584,0.0502555184,0.0731047019,0.0036789074
119,13:43:44:48.970,61,9e-10,0.1220611334,0.0822955146,0.0,0.0,0.192195192,0.1065055653,9e-10,0.1222328618,0.0369543023,0.0,0.0,0.192182377,0.1065027118,0.14843136070000001,0.0,0.028071135299999998,0.262293756,0.0460386984,0.0584856831,0.0237167068,0.0,0.0272182766,0.7779048681,0.7818384767000001,0.0,0.0,0.1061547473,0.10376884789999999,0.25681126120000003,0.2688390911,0.0548289828,0.0312356241,0.0144256921,0.2160708904,0.030069917400000003,0.030325181800000003,0.649820745,0.650515914,0.1299177706,0.1503729522,0.0,0.0,0.5242679714999999,0.26045936350000004,0.260461688,0.0132823531,0.3857330084,0.3761225939,0.1606078148,0.1699547172,4e-08,0.035292901099999996,-0.0490689725,0.0108850589,-0.0225111917,0.0746867657,-0.0016842774,0.0501316749,0.0746568814,0.0037480553000000002
