,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
76,13:43:44:05.903,61,3.08e-08,0.0550681017,0.042283278,0.0,0.0,0.2963721752,0.028378495899999998,3.1e-08,0.055071223499999995,0.0768901259,0.0,0.0,0.2963747382,0.0283788089,0.09061257539999999,0.0,0.012891788999999999,0.137689665,0.025094598500000002,0.032441135499999996,0.0099500166,0.0,0.0118965367,0.838504076,0.8362876773000001,0.0,0.0,0.11031860859999999,0.1083566844,0.1774792522,0.1834557354,0.0504322313,0.019254213200000002,0.013855718999999999,0.2809837461,0.0395283699,0.040158424500000005,0.6342911720000001,0.6233173013000001,0.20011097190000002,0.2093310356,0.3197539747,0.319753319,0.0588135645,0.0,0.0,0.006261153100000001,0.421671629,0.4197165072,0.2037914842,0.19922253489999997,7.8e-09,0.0030405452,-0.0662471652,0.0160697252,-0.0469429195,0.033678215,-0.0015809695000000002,0.0258147679,0.0336504094,0.0008689088
77,13:43:44:06.905,61,2.84e-08,0.054146613899999994,0.0414512344,0.0,0.0,0.2970972359,0.0287051927,2.8599999999999998e-08,0.054148565999999995,0.07773417980000001,0.0,0.0,0.2971008718,0.0287053604,0.09087661650000001,0.0,0.0126594091,0.13778093460000002,0.0250165984,0.0323324949,0.0098619256,0.0,0.011843145800000001,0.8387040495999999,0.8365333079999999,0.0,0.0,0.1102830097,0.1083222926,0.1777389795,0.18368631600000002,0.050320021799999996,0.019149106000000003,0.0137657896,0.2815062106,0.0394662321,0.0400894284,0.6349335909,0.6241072416,0.201385051,0.2107117027,0.3198140264,0.3198136091,0.0588998906,0.0,0.0,0.0062051048,0.42420962450000005,0.4228992164,0.2043426931,0.19986236100000002,4.6e-09,0.0029241133,-0.0659079477,0.0154406512,-0.04745911059999999,0.0331147797,-0.0015715812,0.025307266000000002,0.0330868848,0.0008375547
78,13:43:44:07.907,61,2.61e-08,0.0528463386,0.040960066,0.0,0.0,0.2983805537,0.029429815699999997,2.63e-08,0.05284848809999999,0.0782334059,0.0,0.0,0.2983867228,0.0294295717,0.09110397099999999,0.0,0.012372707,0.1377988458,0.0249413159,0.0322505198,0.0097848382,0.0,0.0117879901,0.8388523459,0.8367310165999999,0.0,0.0,0.11025611310000001,0.1082983091,0.17814120649999998,0.18403367699999998,0.050219684800000004,0.019056880800000002,0.0136908945,0.2820560932,0.0393995196,0.0400151163,0.6352862716,0.6245824695000001,0.2021947503,0.2115694284,0.3197619021,0.3197616935,0.0590558909,0.0,0.0,0.0061558601000000004,0.4257151783,0.4247145951,0.2047792077,0.2003840655,3.3e-09,0.0025180448,-0.0656679794,0.014887514499999999,-0.0477651507,0.0323201828,-0.0015437276000000002,0.025008045099999997,0.0322920904,0.0008077585000000001
79,13:43:44:08.908,61,2.4e-08,0.052901566,0.0407288037,0.0,0.0,0.2989139259,0.0299373753,2.4199999999999998e-08,0.0529029332,0.0784836709,0.0,0.0,0.2989211977,0.029936622799999996,0.0913112909,0.0,0.0121264774,0.13806410130000002,0.0249109473,0.0322781131,0.0097413389,0.0,0.0117872804,0.8386366962999999,0.8365772367000001,0.0,0.0,0.1101535857,0.10818210240000001,0.1786199361,0.18444752690000002,0.0501174629,0.0189922825,0.013608906399999999,0.2824020386,0.039275124700000004,0.0398858599,0.6353845596,0.6248255968,0.2024727166,0.2119228691,0.3170372844,0.3170391917,0.059560742199999996,0.0,0.0,0.0061142309999999995,0.4264764488,0.4256304204,0.2050894201,0.20078496629999998,2.9e-09,0.0027474032,-0.0656984821,0.0144281499,-0.0479178987,0.0323537178,-0.0015502686999999999,0.0248668157,0.0323257297,0.0008040351
80,13:43:44:09.910,61,2.21e-08,0.0528055541,0.0392499939,0.0,0.0,0.2992255688,0.030220720899999998,2.23e-08,0.0528036021,0.0799878985,0.0,0.0,0.2992331982,0.0302184056,0.0916866884,0.0,0.012258571599999999,0.14064519109999998,0.025065019700000003,0.0325974338,0.0097966939,0.0,0.0120028974,0.8286732434999999,0.8275735378,0.0,0.0,0.10982405390000001,0.10782178490000001,0.1788644046,0.1846804619,0.0500940941,0.0190311968,0.0135575226,0.2827835381,0.0390727632,0.039688754799999997,0.6272903681,0.6203005314,0.20171646769999999,0.2116869539,0.2869686782,0.28698104620000003,0.06381312759999999,0.0,0.0,0.0060803639,0.426882565,0.4261250496,0.2053447366,0.20118169489999999,2.3e-09,0.0028412803000000004,-0.0652783811,0.0140882526,-0.0488363951,0.0322944075,-0.0015770625,0.023963984100000002,0.0322663486,0.0007734244999999999
81,13:43:44:10.911,61,2.0299999999999996e-08,0.05655962230000001,0.0360777713,0.0,0.0,0.285014987,0.030202454,2.0499999999999998e-08,0.0565459616,0.0831997618,0.0,0.0,0.2850295901,0.030196394799999998,0.0921519697,0.0,0.0123754339,0.1570588201,0.0255003572,0.0380042419,0.0100753726,0.0,0.012385954099999999,0.7709218264,0.7711828351000001,0.0,0.0,0.1065573767,0.1042204276,0.1784028709,0.1834618896,0.050049662599999996,0.0192165691,0.0135060148,0.2828184664,0.0386710577,0.0393033884,0.597956419,0.5962163806,0.18395799399999999,0.199840486,0.220767498,0.2208023965,0.08868435029999999,0.0,0.0,0.0060836175,0.39689260719999997,0.4023244679,0.2050197273,0.2011152506,2.4e-09,0.0027389984999999996,-0.0645604804,0.0140125835,-0.0507935025,0.0345865898,-0.0017567173000000002,0.022025503199999998,0.0345586911,0.0007614141
82,13:43:44:11.913,61,1.8700000000000002e-08,0.0735135153,0.0320459232,0.0,0.0,0.25203990940000004,0.030192442200000003,1.89e-08,0.0734668747,0.0872773975,0.0,0.0,0.2520665526,0.0301726088,0.0953372717,0.0,0.0121578742,0.17072799800000002,0.0269985516,0.0582984723,0.0108167492,0.0,0.0160512645,0.6857485770999999,0.6952880620999999,0.0,0.0,0.09771474449999999,0.0965245292,0.177982375,0.1827397197,0.0499214604,0.0195829514,0.0134921521,0.2824273109,0.0380916148,0.0387475118,0.5676881075,0.5745090246,0.1591194868,0.18161048,0.1016629413,0.1018315256,0.1433567107,0.0,0.0,0.0061373278,0.328325659,0.34129953380000005,0.187416479,0.19302359219999998,7.6e-09,0.0021214939,-0.0631773397,0.0135256071,-0.05326100809999999,0.0449421331,-0.0023941391,0.0195560064,0.0449154451,0.0008789016000000001
83,13:43:44:12.914,61,1.72e-08,0.09793748710000001,0.0342866778,0.0,0.0,0.21611534059999998,0.0379297324,1.74e-08,0.0978688002,0.08487086,0.0,0.0,0.216142267,0.0377295949,0.099967964,0.0,0.0122159766,0.1767354161,0.031180825099999997,0.09204307939999999,0.015372446699999999,0.0,0.0208705124,0.5763247609000001,0.5899139643,0.0,0.0,0.0900162309,0.0895273834,0.1779477894,0.1826578975,0.0496703386,0.0206479821,0.0135718994,0.2723112702,0.0372663923,0.0380088091,0.5211747289,0.5310189724000001,0.1255724579,0.1421207935,0.0,0.0,0.2592442036,0.061477433899999996,0.0611594766,0.006288887900000001,0.2841092348,0.2997927666,0.1620039642,0.1686183959,1.77e-08,0.0006611441,-0.060327403200000004,0.0120322173,-0.0517519563,0.059864897300000004,-0.0031004373,0.0209070649,0.059839706900000005,0.0012524761
84,13:43:44:13.916,61,1.59e-08,0.114872843,0.0387944318,0.0,0.0,0.1861181557,0.0645782948,1.6e-08,0.11480688300000001,0.08015311509999999,0.0,0.0,0.1861284822,0.0643567592,0.1033314615,0.0,0.0126062743,0.1803080291,0.0378417261,0.1534976512,0.024624798399999998,0.0,0.022824849900000003,0.46538129450000004,0.4741419256,0.0,0.0,0.08480849859999999,0.0844969675,0.1825641096,0.1911823452,0.0491657481,0.022278294,0.0137897097,0.266680181,0.036314331,0.0371088199,0.48598888520000005,0.4924048185,0.1113798022,0.126864329,0.0,0.0,0.4183191061,0.2420247495,0.2416710109,0.0065518022,0.23334328829999998,0.24635924399999998,0.13706727330000001,0.1416763663,8.7e-08,0.00016087110000000002,-0.0561019816,0.0102486452,-0.048842299699999994,0.07021541889999999,-0.00343375,0.0236398391,0.07019148019999999,0.0016618894
85,13:43:44:14.917,61,1.46e-08,0.1205141917,0.041232772200000004,0.0,0.0,0.17255909739999997,0.0991869569,1.47e-08,0.12045623359999999,0.0775693059,0.0,0.0,0.1725639552,0.0990046337,0.10502320529999999,0.0,0.0137068247,0.1819698364,0.04439473519999999,0.1879124045,0.034345448,0.0,0.024043876699999998,0.405361414,0.4099391699,0.0,0.0,0.0815982446,0.081097655,0.1949949265,0.20508158210000002,0.048554155999999994,0.023803584300000003,0.0142371254,0.26423320170000003,0.0356297642,0.036450192299999996,0.4459068179,0.4548722208,0.10165804619999999,0.1155900508,0.0,0.0,0.5674456954,0.391874671,0.3915917873,0.0069455164,0.21482914690000002,0.22737585010000003,0.1222048998,0.1259732693,3.883e-07,-0.0005049832,-0.0514899865,0.0084229158,-0.0472560786,0.0736649036,-0.0034861134000000005,0.025119435,0.0736412182,0.0018529798
