,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
105,13:43:56:11.384,61,8.395000000000001e-07,0.062416214500000004,0.0343961902,0.0,0.0,0.2584335804,0.6185914874,8.356999999999999e-07,0.062392797300000004,0.0851730034,0.0,0.0,0.2585138083,0.6185805202,0.07959993929999999,0.0137709193,0.0,0.1946437955,0.0655850843,0.2503783107,0.08573629710000001,0.0,0.021451035499999997,0.1244219318,0.1469766498,0.0,0.0,0.0536344051,0.0515344217,0.21424046160000002,0.2117995322,0.0417992845,0.0343212448,0.0458146818,0.5333865285,0.0420707017,0.0423807763,0.41490072009999995,0.41729280350000003,0.17557060719999998,0.1968530118,0.8036136031000001,0.8036118745999999,0.036717116800000005,0.0,0.0,0.0182263497,0.1288077235,0.1433189213,0.3517908752,0.362772584,1.6e-09,0.012189231799999999,-0.09016482529999999,0.0137684355,-0.051991410599999996,0.0381651931,-0.0019843294,0.0209961627,0.0381363034,0.0008010453999999999
106,13:43:56:12.386,61,7.726e-07,0.0626628846,0.0338390172,0.0,0.0,0.2551598549,0.6173901558,7.691e-07,0.0626375154,0.0857324228,0.0,0.0,0.255232513,0.6173788309,0.0796565413,0.0139644844,0.0,0.1873382032,0.064146623,0.2580095232,0.08560428769999999,0.0,0.0214292388,0.1243652105,0.14717978240000001,0.0,0.0,0.054082926399999995,0.0519696921,0.2107701898,0.2084233016,0.0412078351,0.0338471979,0.046270463600000006,0.5378471017,0.0422665179,0.042584762000000005,0.4091082215,0.4103823304,0.1787733585,0.2002899349,0.8042880297,0.8042860031,0.036191027599999995,0.0,0.0,0.0179017205,0.1286367476,0.14308334890000002,0.35369893909999994,0.3645240068,2.2e-09,0.0108159147,-0.0887817517,0.013222373999999999,-0.0523325913,0.0383155607,-0.0020052162,0.0206559356,0.0382867493,0.0007911788000000001
107,13:43:56:13.387,61,7.11e-07,0.0611633621,0.0345573165,0.0,0.0,0.2531500757,0.6130589842999999,7.078e-07,0.061141897,0.0849861801,0.0,0.0,0.2532198727,0.6130484939,0.0795617029,0.014032933899999999,0.0,0.18171919879999998,0.0630747303,0.2628484368,0.0856254399,0.0,0.021468659900000003,0.1239019781,0.1468371302,0.0,0.0,0.05444986,0.0523358025,0.20781111719999998,0.2058339566,0.040657751299999996,0.0333787687,0.0468390062,0.5403472781,0.0424858741,0.0428164378,0.40450510380000004,0.4059182703,0.1804367304,0.20212616030000002,0.8047599195999999,0.8047577739,0.035699348900000004,0.0,0.0,0.017619473899999998,0.1284065694,0.1427926421,0.3543739915,0.3650946915,2e-09,0.0097037265,-0.0889185742,0.0129566286,-0.0518788695,0.0373998024,-0.0019402915,0.0210951306,0.0373708941,0.0007886522999999999
108,13:43:56:14.389,61,6.543e-07,0.0601450801,0.0350341313,0.0,0.0,0.2518241107,0.6082602143,6.514e-07,0.0601263456,0.08447542039999999,0.0,0.0,0.2518902719,0.6082500815,0.07936711610000001,0.0136946524,0.0,0.1784771085,0.0623485371,0.2686199546,0.08582206070000001,0.0,0.0215090178,0.1232549772,0.1460107863,0.0,0.0,0.0547364391,0.0526119098,0.2052958459,0.20409174260000001,0.0401795916,0.0329611972,0.0475320071,0.5416827202000001,0.042694780999999994,0.0430380069,0.39785957340000005,0.3999100029,0.18128696079999998,0.2030359507,0.804911375,0.8049091697,0.0352670476,0.0,0.0,0.0173671078,0.1284152418,0.14266261460000002,0.3548664749,0.3653782308,1.4000000000000001e-09,0.0092154453,-0.0885800496,0.012697439599999999,-0.051568265999999995,0.0367780142,-0.0018965908,0.021386690400000002,0.0367489494,0.0007862323
109,13:43:56:15.390,61,6.022e-07,0.0601515211,0.0352261253,0.0,0.0,0.2508066893,0.6062060595000001,5.995e-07,0.0601331741,0.08424738050000001,0.0,0.0,0.2508693635,0.6061959267,0.0792242736,0.0132146878,0.0,0.1766499579,0.0617914796,0.2732584774,0.0860871822,0.0,0.021560907400000003,0.1224927679,0.14489389960000001,0.0,0.0,0.054963875599999996,0.0528288521,0.2035070956,0.20288141070000001,0.039724938599999995,0.0325806364,0.0481872298,0.5425511599,0.0428929962,0.0432528704,0.3951691389,0.397370249,0.1817867607,0.20357093210000002,0.8047171831000001,0.8047149181000001,0.0348391943,0.0,0.0,0.0171332266,0.1284269691,0.1425085962,0.3550350964,0.36533406380000005,1.1e-09,0.0089573953,-0.0884437039,0.0124721723,-0.0514290519,0.036781929399999996,-0.0018916769,0.021503886200000003,0.0367529765,0.0007906269
110,13:43:56:16.392,61,5.542e-07,0.060196012300000004,0.0353543386,0.0,0.0,0.2499535978,0.6048611403,5.517e-07,0.0601780601,0.0840587243,0.0,0.0,0.250012666,0.6048510671,0.0791540295,0.01260221,0.0,0.1760706604,0.0614073463,0.2752191424,0.0863480791,0.0,0.0215215422,0.121810846,0.1433745325,0.0,0.0,0.0552002713,0.0530482568,0.2023835033,0.2020411044,0.0392981544,0.0322343856,0.048621024900000004,0.54267627,0.0430284925,0.043400451500000006,0.3936958015,0.3959483504,0.1816712916,0.2033525407,0.8041546941,0.8041524887,0.0345161408,0.0,0.0,0.016907518700000002,0.12849661710000002,0.1423594654,0.35441902280000004,0.36302852630000004,4e-10,0.0086382153,-0.0881977826,0.012802313999999999,-0.0513138361,0.0368091613,-0.0018888412,0.0215821341,0.0367802307,0.0007940921000000001
111,13:43:56:17.393,61,5.1e-07,0.060397602599999996,0.0351007953,0.0,0.0,0.2492859811,0.6042797565,5.078e-07,0.060378670700000005,0.0842909738,0.0,0.0,0.2493411452,0.6042695642,0.07935354110000001,0.0113053871,0.0,0.1798183471,0.0613269061,0.2805308104,0.0869245529,0.0,0.0215291493,0.1190132648,0.1361129135,0.0,0.0,0.055464323600000004,0.0532928146,0.2018250078,0.2017545104,0.0389253683,0.0319662727,0.0490580276,0.5427007079,0.043191175899999996,0.0435743108,0.3928788602,0.3952136934,0.1815100312,0.20306801800000002,0.8038196564,0.8038175106000001,0.034215912200000004,0.0,0.0,0.0167025607,0.1286250651,0.1422611922,0.353910625,0.3619357347,2e-10,0.008602980500000001,-0.0872103199,0.012395133300000001,-0.051455378499999996,0.0369321369,-0.0019003804999999999,0.0214272607,0.0369032696,0.0007910345
112,13:43:56:18.395,61,4.6939999999999995e-07,0.061241421799999994,0.0354124531,0.0,0.0,0.2485527694,0.6041325331,4.6729999999999996e-07,0.061222493600000004,0.08397364619999999,0.0,0.0,0.2486039251,0.6041222215,0.0798841268,0.0101150414,0.0,0.19477295879999998,0.06160400059999999,0.2891449928,0.0888718292,0.0,0.0214257352,0.11203952130000001,0.1239328235,0.0,0.0,0.0557210743,0.0535196066,0.2016724348,0.2018472403,0.038596931800000005,0.0317874737,0.0494104438,0.5424191952,0.0433566906,0.043745812,0.3926983476,0.3950414658,0.1813580096,0.20270411670000002,0.8034645319,0.8034622669,0.0339201875,0.0,0.0,0.0165030286,0.1288219243,0.1421631128,0.353661865,0.3612638712,1.1e-09,0.0081172986,-0.0862611383,0.012085683600000001,-0.051260683700000004,0.037447907,-0.0019196598,0.0216171015,0.0374189988,0.0008092048
113,13:43:56:19.396,61,4.32e-07,0.0619640574,0.0354812406,0.0,0.0,0.247696206,0.6062747836,4.3009999999999997e-07,0.0619443469,0.083895728,0.0,0.0,0.24773828690000002,0.6062651277000001,0.0821823105,0.0090510137,0.0,0.2139937729,0.0625957921,0.3002138138,0.0935560614,0.0,0.0211873092,0.0962439775,0.1029037014,0.0,0.0,0.0559918955,0.053747530999999994,0.2036986798,0.2056365609,0.038367032999999995,0.031671457,0.0497506037,0.5421882868,0.0435195155,0.0439129695,0.3928537667,0.39511552450000004,0.1811707765,0.20219554010000002,0.8029776812,0.8029752374,0.0336407721,0.0,0.0,0.0163164027,0.1288049817,0.1417827457,0.3528129458,0.3589209914,3.1e-09,0.0081550153,-0.08549986779999999,0.0115627619,-0.0512122661,0.0378893539,-0.0019404779,0.0216587316,0.0378605723,0.0008203397
114,13:43:56:20.398,61,3.9759999999999996e-07,0.0622751229,0.0353580229,0.0,0.0,0.24693821370000002,0.6104664803000001,3.958e-07,0.0622548275,0.0839931443,0.0,0.0,0.24697551129999998,0.6104558706000001,0.08386962860000001,0.0081082582,0.0,0.22068437929999998,0.0645994693,0.31819289920000005,0.09862989189999999,0.0,0.0209063776,0.0871655494,0.0937740728,0.0,0.0,0.0562091991,0.053917001900000004,0.2060511708,0.2087290436,0.0381870717,0.031619329,0.0501195639,0.542113483,0.043665416500000005,0.0440664105,0.39289936420000005,0.39505371450000004,0.1810020804,0.2017047703,0.8005629181999999,0.8005596398999999,0.0333949104,0.0,0.0,0.0161567666,0.1288291961,0.1414851844,0.3520928025,0.35738196969999997,3.9e-09,0.0084392428,-0.0849656314,0.0115179075,-0.0512713566,0.0380793698,-0.0019524675,0.0215833634,0.038050577,0.0008215919
