,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
120,13:43:56:26.407,61,2.415e-07,0.0582577996,0.035415302999999995,0.0,0.0,0.2415516078,0.6110400558,2.405e-07,0.058242775499999996,0.083746843,0.0,0.0,0.2415816784,0.6110332608,0.0666545108,0.006011019499999999,0.0,0.1329753548,0.0665347278,0.2857533395,0.1093124151,0.0,0.0206880476,0.0626464337,0.0770846382,0.0,0.0,0.0542417392,0.0520095974,0.182755962,0.1842900068,0.038622722000000005,0.030509663700000002,0.0797007829,0.497995466,0.0447118096,0.045219838600000006,0.2638426423,0.2665207386,0.13988371189999999,0.1578277647,0.7967469095999999,0.7967439890000001,0.0332996063,0.0,0.0,0.0170486178,0.1241878793,0.13627190890000002,0.3249103427,0.33149939780000004,2e-09,0.0044243647999999995,-0.0851338655,0.008316461899999999,-0.051125641900000005,0.0356250554,-0.001821329,0.0216202792,0.035595987,0.0007698603
121,13:43:56:27.409,61,2.223e-07,0.056868542,0.0357162617,0.0,0.0,0.2408120036,0.6107180119,2.213e-07,0.0568558574,0.0834202319,0.0,0.0,0.24084304269999998,0.6107116938,0.0643393993,0.0060536251000000004,0.0,0.12862187619999998,0.0665322989,0.2800904214,0.1119906157,0.0,0.0207711346,0.061586096900000005,0.0766214058,0.0,0.0,0.053270325099999995,0.051296021799999994,0.1778291166,0.1794682443,0.0390650034,0.030211515699999997,0.0834128931,0.4829761088,0.045073650800000004,0.0456016883,0.2550295591,0.2575839162,0.1328202486,0.1495080292,0.796539247,0.7965365648,0.0333646201,0.0,0.0,0.0175214242,0.12333965300000001,0.1354617476,0.32387381789999997,0.3307466507,7.000000000000001e-10,0.0035767909,-0.0859940052,0.0082332436,-0.0509277657,0.0347763747,-0.0017710298000000002,0.0218046624,0.0347472765,0.0007578974
122,13:43:56:28.410,61,2.0460000000000002e-07,0.0509582795,0.0355656445,0.0,0.0,0.2405738384,0.6097488999,2.037e-07,0.0509522296,0.0835198686,0.0,0.0,0.2406063676,0.6097431779,0.0628156886,0.0060619516000000005,0.0,0.1264065355,0.0667128265,0.2768206596,0.1182218194,0.0,0.0209102053,0.0530460663,0.0719790757,0.0,0.0,0.052397765199999995,0.050577886399999994,0.1743254364,0.1763896197,0.0395811349,0.029964456299999997,0.0854596049,0.46496546270000005,0.045430403200000004,0.045976366799999994,0.2477534413,0.2508129179,0.12210293109999999,0.1373294294,0.7966294289,0.7966269254999999,0.033491075,0.0,0.0,0.018042959299999998,0.12210857119999999,0.134418726,0.3218125403,0.3288405538,3e-10,0.0033275440999999996,-0.0868340433,0.0080766194,-0.050994657,0.0311654769,-0.0015890974,0.021715289,0.0311359875,0.0006762923
123,13:43:56:29.412,61,1.8829999999999999e-07,0.0447512008,0.0352103934,0.0,0.0,0.2407889068,0.6096276640999999,1.874e-07,0.044751592,0.0838279203,0.0,0.0,0.240822494,0.6096222997,0.061664138,0.0059852451,0.0,0.1253751069,0.0671260804,0.27248191829999996,0.1231962889,0.0,0.0209894627,0.040060032200000005,0.0582422204,0.0,0.0,0.0514858067,0.049836650499999996,0.1720382273,0.17452427739999998,0.0401328504,0.0297698788,0.0866428167,0.4422028363,0.045664921399999996,0.0462346375,0.23950813710000002,0.24225275219999998,0.1103321463,0.1236405522,0.7967172861,0.7967149018999999,0.033692400899999995,0.0,0.0,0.0185482148,0.12018726019999999,0.1324804723,0.31020194289999997,0.3171468675,0.0,0.0031553428000000005,-0.0888146013,0.0081046009,-0.0511884168,0.027373056899999998,-0.0014009206,0.0215007681,0.027343276899999998,0.0005880026999999999
124,13:43:56:30.413,61,1.7329999999999997e-07,0.0411973558,0.0349357426,0.0,0.0,0.2413909584,0.6093571186,1.725e-07,0.0412014537,0.0841308758,0.0,0.0,0.24142724280000002,0.6093521118,0.060486566299999996,0.0058549638,0.0,0.1253411025,0.0693597868,0.2549404502,0.1278624833,0.0,0.021033860699999997,0.0327628739,0.050186853899999995,0.0,0.0,0.0503658317,0.048936884900000005,0.1685430408,0.1718076468,0.0409230925,0.029676741,0.0872280076,0.4050001502,0.04574164,0.046328760700000006,0.23068630699999998,0.2337073684,0.0979491323,0.109508723,0.7969730495999999,0.7969707846999999,0.0339545794,0.0,0.0,0.018993644,0.1184333488,0.1307279468,0.3053532839,0.3122503757,0.0,0.0032112653999999997,-0.0899424031,0.007957104599999999,-0.0513763316,0.0252017956,-0.0012944798,0.0213342756,0.0251717623,0.000537094
125,13:43:56:31.415,61,1.595e-07,0.0386225693,0.034666452599999995,0.0,0.0,0.24184316399999997,0.6092375517,1.5880000000000002e-07,0.0386294015,0.08441483970000001,0.0,0.0,0.2418799251,0.6092327236999999,0.059752695300000006,0.0054950579,0.0,0.1257921457,0.0744878054,0.2311062664,0.1314033568,0.0,0.020980496,0.017186489,0.028173361,0.0,0.0,0.0489077158,0.0476737171,0.1658993512,0.16977147760000003,0.043923378,0.029714847000000003,0.087699376,0.3698533177,0.0457428731,0.04634488,0.211676985,0.2149551809,0.08702090380000001,0.09657049919999999,0.7966442108,0.7966420054000001,0.0343524665,0.0,0.0,0.019434738899999998,0.1171141863,0.1289708316,0.3028634787,0.3096844554,0.0,0.0034689916999999996,-0.09174152460000001,0.0077196774,-0.0515517294,0.023628756400000003,-0.0012177897,0.021170638500000002,0.023598477200000002,0.0004996502
126,13:43:56:32.417,61,1.468e-07,0.0326207839,0.0336879119,0.0,0.0,0.24375471469999999,0.6073203683,1.461e-07,0.0326332748,0.085414499,0.0,0.0,0.2437995821,0.6073111296,0.0594837703,0.005314041899999999,0.0,0.1259209216,0.0789738968,0.17476536329999998,0.1331089586,0.0,0.021148247599999996,0.0,0.0158671346,0.0010185912,0.0,0.0472832359,0.0463484302,0.1553888619,0.1593164653,0.0546605289,0.029971864100000002,0.09026980400000001,0.3231211901,0.045905206399999995,0.0465280972,0.177157715,0.1838795245,0.0740642101,0.0831962675,0.7962552309,0.7962532043,0.0348305665,0.0,0.0,0.0199341569,0.1157678068,0.1279152334,0.30177554489999997,0.3086444139,0.0,0.0036854262,-0.0923518911,0.0073561682,-0.0521663725,0.0199616943,-0.0010409949,0.0205746908,0.019931128200000002,0.0004101021
127,13:43:56:33.418,61,1.3509999999999999e-07,0.0270290077,0.0329753235,0.0,0.0,0.2452414185,0.6050251722,1.345e-07,0.027047742200000002,0.0861127228,0.0,0.0,0.24529507760000002,0.6050159335,0.0593352541,0.0053654969999999995,0.0,0.1224173978,0.08100917190000001,0.1571605355,0.1610335708,0.0,0.021089669300000002,0.0,0.0044447482,0.0149533749,0.0,0.045194,0.0444370024,0.14571493859999998,0.1474331319,0.0640298203,0.0301999375,0.1206935048,0.3068591952,0.0467661209,0.0474967621,0.1393247247,0.1403077841,0.0636211559,0.07122144849999999,0.7957075834,0.7957054973000001,0.0354302973,0.0,0.0,0.0210820194,0.11483120919999999,0.1270737052,0.3010462821,0.3078656495,0.0,0.0032290071000000004,-0.09244523939999999,0.006498140699999999,-0.0525960885,0.016545411200000002,-0.0008699017999999999,0.0201407317,0.0165144298,0.0003326205
128,13:43:56:34.420,61,1.243e-07,0.0262367055,0.0314447656,0.0,0.0,0.24609452489999997,0.6026956439,1.237e-07,0.026254659500000003,0.0876815766,0.0,0.0,0.2461522669,0.6026871203999999,0.0590610728,0.0055483477,0.0,0.1136428639,0.08208121360000001,0.1479447186,0.19851970670000002,0.0,0.0210889503,0.0,0.0,0.0235715676,0.0025839237,0.0429518819,0.042304925599999994,0.1366024613,0.1372989416,0.0700651258,0.0303078871,0.1426886916,0.300421536,0.0500505269,0.0509673618,0.12218023089999999,0.124180153,0.058019071799999995,0.0652066246,0.7956436276000001,0.7956415415000001,0.0359771252,0.0,0.0,0.0242101997,0.11247169230000001,0.1252934933,0.3004662991,0.3071793914,0.0,0.0025694913000000002,-0.0933012441,0.0064996947,-0.0535547361,0.0160610899,-0.0008598101,0.019206048899999998,0.016030052700000002,0.0003078814
129,13:43:56:35.421,61,1.1439999999999999e-07,0.0241517425,0.0309040844,0.0,0.0,0.2466312945,0.6008126736,1.1390000000000001e-07,0.024172037799999997,0.0882269591,0.0,0.0,0.2466921657,0.6008057594,0.0584781133,0.0059344,0.0,0.11064985390000001,0.082982704,0.1436737478,0.23245602850000002,0.0,0.020762916699999998,0.0,0.0,0.027460977400000003,0.0061818166,0.040859658300000004,0.0402153544,0.13274079560000002,0.13278619949999998,0.07273522019999999,0.0302924141,0.15070764720000002,0.2966554165,0.051716182400000005,0.0526379272,0.1139397025,0.11585194619999999,0.0541956574,0.0607622936,0.7957856059,0.7957833409,0.0364853889,0.0,0.0,0.0263346732,0.1111216843,0.1239761487,0.2998456657,0.3063425124,0.0,0.0016789621,-0.0932764411,0.0069747268999999995,-0.0538889021,0.0147873256,-0.0007965451,0.0188761782,0.0147560891,0.0002785422
