,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
95,13:43:56:01.368,61,1.9261e-06,0.0190575924,0.0326409154,0.0,0.0,0.2732921243,0.589178443,1.9174e-06,0.019086278999999998,0.08667463060000001,0.0,0.0,0.27344122530000003,0.5891115665,0.0703732222,0.0131465737,0.0,0.13714431230000002,0.1308137327,0.16798463460000002,0.169459492,0.0,0.0232814103,0.0,0.0,0.0210805871,0.003268773,0.0424891524,0.042473308700000004,0.159006536,0.164555192,0.0800815448,0.0365782082,0.1112799793,0.2353606671,0.0451484956,0.0455444306,0.1647503972,0.1713343561,0.0403645523,0.0450332686,0.8013173938,0.801317811,0.0361274779,0.0,0.0,0.0208135359,0.1197763532,0.1354058534,0.3253046274,0.3377904296,5.9e-09,-0.0040697884000000005,-0.0874065831,-0.0006198951999999999,-0.0529429205,0.011675504,-0.0006178746,0.0199378505,0.011643935,0.0002321502
96,13:43:56:02.370,61,1.7726e-06,0.0187709201,0.0347958058,0.0,0.0,0.2746421397,0.586886704,1.7646e-06,0.0188017525,0.0844318494,0.0,0.0,0.2747944295,0.5868223906000001,0.064065367,0.0128817568,0.0,0.14656507970000002,0.1282251775,0.2273941934,0.1706757098,0.0,0.0232567396,0.0,0.0297354981,0.0025415018,0.0,0.042123708899999994,0.042133677800000005,0.1849745214,0.18737420440000002,0.065768905,0.0364725515,0.0986379981,0.2588171661,0.0450227745,0.0454235934,0.18665900829999998,0.1917982996,0.0418631546,0.0482963659,0.8012087941,0.8012093306,0.0370160043,0.0,0.0,0.0211312585,0.1262942106,0.1427476704,0.3253266811,0.3378967643,5.04e-08,-0.0019432170000000001,-0.0895700827,0.0009647174000000001,-0.0515730791,0.0115006296,-0.0005928861,0.0212541521,0.011469094099999999,0.0002437582
97,13:43:56:03.372,61,1.6313e-06,0.015867698899999998,0.03801094,0.0,0.0,0.2769150436,0.5890485644,1.624e-06,0.0159041919,0.0812029615,0.0,0.0,0.2770905197,0.5890060663000001,0.062063161299999996,0.0130703906,0.0,0.1566855013,0.1214774475,0.25926294920000004,0.1527222842,0.0,0.0228247251,0.0057520311999999995,0.039644025299999996,0.0,0.0,0.042272843399999996,0.0422389545,0.2095813453,0.2073862702,0.058251787,0.036386285,0.0845965445,0.3275696635,0.0446985476,0.045089144299999995,0.2622756958,0.26333439350000004,0.0534441546,0.0621575192,0.8014245033,0.8014250398,0.0377621427,0.0,0.0,0.0213942118,0.1280666441,0.1446353942,0.2930842936,0.303527981,5.4e-08,0.0012599846,-0.0910259411,0.0030818719000000002,-0.0496017262,0.0097272834,-0.0004823073,0.0232184734,0.0096956398,0.0002251048
98,13:43:56:04.373,61,1.5013e-06,0.0166697577,0.036517403999999996,0.0,0.0,0.2788617015,0.608281076,1.4946e-06,0.0167043004,0.08277805889999999,0.0,0.0,0.279053241,0.6082730889,0.0617016293,0.0134639405,0.0,0.1872086227,0.1081297249,0.2726229727,0.1189310551,0.0,0.0225113314,0.0101445476,0.043506477,0.0,0.0,0.043826323,0.0431851745,0.2224520594,0.21959848699999998,0.052052449400000006,0.0364403166,0.06554864349999999,0.3741005957,0.0439718887,0.0443051904,0.3310028017,0.3316643834,0.07115692650000001,0.08362220969999999,0.8012714981999999,0.8012719154000001,0.038273789,0.0,0.0,0.0213451087,0.12852837150000002,0.1448958069,0.2816675305,0.2929928303,5.52e-08,0.0057843816,-0.0925908089,0.0056133424,-0.0505636074,0.010217135799999999,-0.0005164130000000001,0.0223060623,0.0101855118,0.0002271877
99,13:43:56:05.375,61,1.3816999999999998e-06,0.0191832669,0.0376380682,0.0,0.0,0.2799419165,0.6223106979999999,1.3755000000000002e-06,0.0192160532,0.08172838389999999,0.0,0.0,0.2801346481,0.6223095654999999,0.0670385212,0.0135164196,0.0,0.2066219747,0.0992053449,0.2652427554,0.10739900919999999,0.0,0.0223042816,0.034668855400000004,0.057382848099999995,0.0,0.0,0.0457935035,0.0446293466,0.229186967,0.2278263271,0.048523616,0.0364749692,0.0563814938,0.3971948028,0.0432707481,0.0435888879,0.3605858982,0.3615089357,0.0831861272,0.09594525400000001,0.8011813164,0.8011816740000001,0.0385142229,0.0,0.0,0.0210527815,0.12841895220000002,0.14403240380000001,0.2767347991,0.2882245779,5.09e-08,0.0090929018,-0.0946235359,0.0075278422,-0.0499215871,0.0117530627,-0.0005865148000000001,0.02299021,0.011721490900000001,0.0002694681
100,13:43:56:06.376,61,1.2716e-06,0.0264289267,0.0391256399,0.0,0.0,0.2801478207,0.6296648383,1.2659e-06,0.026455663100000002,0.0803281069,0.0,0.0,0.2803343534,0.6296649575,0.0735083967,0.0132180452,0.0,0.21917895969999998,0.08943738789999998,0.2295820117,0.09769578279999999,0.0,0.0222750325,0.0831087381,0.10603016609999999,0.0,0.0,0.0478363484,0.0463544801,0.2323367447,0.2314345539,0.046523068099999995,0.0363476016,0.0509530678,0.43546986579999997,0.0426629409,0.0429778919,0.3903903365,0.39369779829999996,0.101341486,0.11621025199999999,0.8008894324,0.8008896708,0.038543526099999996,0.0,0.0,0.0205950905,0.1282212585,0.1435001045,0.2868253589,0.2997406423,6.8000000000000005e-09,0.0109568452,-0.0965069085,0.0087755648,-0.049063235499999996,0.0161803178,-0.0007936095,0.0238973815,0.016149126,0.0003859186
101,13:43:56:07.378,61,1.1702e-06,0.0341562107,0.0406881273,0.0,0.0,0.279373616,0.632579565,1.165e-06,0.0341772884,0.0787916556,0.0,0.0,0.2795333862,0.6325805783,0.0760072023,0.0128799221,0.0,0.22438097,0.08317781240000001,0.2203966677,0.0919489264,0.0,0.0221171398,0.10131128880000001,0.12090162189999999,0.0,0.0,0.0497831479,0.0480047315,0.23345007,0.2328696698,0.045169666399999996,0.0361372419,0.048092108200000004,0.4503749907,0.0421811379,0.0424881279,0.4021071792,0.40584489700000004,0.11474055050000001,0.1295324266,0.8005437851,0.8005437851,0.0384059176,0.0,0.0,0.020073378500000003,0.12833578880000002,0.1433130801,0.3149282336,0.3267327249,1.8e-09,0.0121031282,-0.09709664429999999,0.0095618451,-0.04812058809999999,0.0209019184,-0.0010055704,0.0248495527,0.0208712891,0.0005186641
102,13:43:56:08.379,61,1.077e-06,0.040784616,0.0403903387,0.0,0.0,0.27637740969999997,0.6275235415,1.0720999999999999e-06,0.0407988615,0.0791291818,0.0,0.0,0.2765087485,0.6275177598,0.0775804669,0.012904468,0.0,0.2247538418,0.0775565431,0.2192603648,0.08897855880000001,0.0,0.0219379067,0.11218531429999999,0.1319912821,0.0,0.0,0.0511996523,0.0492496006,0.2317753434,0.2308911681,0.044122140899999995,0.0358020365,0.0465230606,0.47466701270000006,0.041881434599999996,0.042181585,0.4085206985,0.4123243392,0.1339201331,0.151586175,0.8006372451999999,0.8006370664,0.0381659903,0.0,0.0,0.0195533894,0.1286150366,0.1434239447,0.3283135891,0.3403530717,4e-10,0.0128996959,-0.0964001492,0.010516936000000001,-0.0483222492,0.0249517392,-0.0012055046,0.024665396699999998,0.024921488,0.0006147632
103,13:43:56:09.381,61,9.912000000000001e-07,0.047062926,0.0398090295,0.0,0.0,0.2708446383,0.6231198907,9.867e-07,0.047069951900000004,0.0797355697,0.0,0.0,0.270960778,0.623111546,0.0785715058,0.0132700289,0.0,0.2138549834,0.0716996342,0.22761541600000001,0.0872250348,0.0,0.0217179079,0.1193163022,0.1408652663,0.0,0.0,0.0522168055,0.050189983099999995,0.2270342261,0.22440734510000002,0.0432438962,0.0353439339,0.0457611009,0.5065369606,0.0417969376,0.04209567980000001,0.4124775529,0.4159111977,0.1543872654,0.1744777411,0.8009557723999999,0.8009554148,0.0378124788,0.0,0.0,0.0190667007,0.1288223714,0.14353095,0.3369850516,0.3490617871,8e-10,0.0130069647,-0.0936425924,0.0117876679,-0.0486875437,0.0287875198,-0.0014014264000000002,0.0243079048,0.028757605699999998,0.0006991609
104,13:43:56:10.382,61,9.122e-07,0.054498463899999995,0.0379611738,0.0,0.0,0.2651755512,0.6205127835,9.081e-07,0.05449339,0.0816018581,0.0,0.0,0.2652772665,0.6205026507,0.0792717189,0.013574821899999999,0.0,0.2040452361,0.0680163652,0.2369112521,0.0861942247,0.0,0.0215687063,0.1229896396,0.1453126669,0.0,0.0,0.053017038899999994,0.050950851299999995,0.22048878670000002,0.2179720253,0.0424853191,0.0348389,0.045604717,0.5244221687,0.0418812633,0.042180776600000004,0.41438731549999996,0.4175647497,0.16894117,0.1899222732,0.8021557926999999,0.8021546601999999,0.037272345299999995,0.0,0.0,0.018615637,0.1289160997,0.1435352415,0.347759366,0.3590364754,1.3e-09,0.012901268,-0.0915668383,0.012831386200000001,-0.049820110199999997,0.0333294906,-0.0016604052999999999,0.0231763106,0.0333001614,0.0007719910000000001
