,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
64,13:43:55:30.320,61,2.5278299999999998e-05,0.0,0.012359161899999999,0.0,0.0730925873,0.2659600675,0.5033670068,2.51648e-05,0.0,0.10594026,0.0,0.0728554428,0.2661094069,0.5033634901,0.05333117019999999,0.0075914678000000005,0.0,0.063089706,0.0681827888,0.09111424539999999,0.2840006351,0.0,0.0151302973,0.0,0.0,0.0764238313,0.0597483963,0.0265883431,0.0250441562,0.0709308535,0.0699507818,0.09595274179999999,0.0357002243,0.1776638031,0.1670565605,0.0884423852,0.0907908976,0.0536868051,0.057767234699999996,0.0118536651,0.0138888396,0.7735106348999999,0.7735104561,0.045974370099999995,0.0,0.0,0.0910225585,0.0656023845,0.0788719878,0.1617247611,0.16259275380000002,4.35e-08,-0.0184611976,-0.0758585632,-0.0052116457,-0.0646824762,-0.0318558216,0.002059771,0.0075459438,-0.0318935663,-0.0002407464
65,13:43:55:31.322,61,2.3263800000000002e-05,0.0,0.0109370202,0.0,0.06397292019999999,0.2689879239,0.5042371153999999,2.31594e-05,0.0,0.10752744970000001,0.0,0.0637510717,0.2691351175,0.5042284131,0.0514448322,0.0077577871,0.0,0.0826777965,0.0773263723,0.1654150784,0.36472091079999996,0.0,0.0156893749,0.0,0.0,0.0362642035,0.0179994944,0.0265006274,0.0250450578,0.08686573800000001,0.0892237276,0.0835161656,0.035409763500000004,0.15562440449999998,0.2071285248,0.0848225355,0.0866301656,0.08003230389999999,0.0851796791,0.012382570700000001,0.0146565577,0.7863672972,0.7863673568,0.0460162759,0.0,0.0,0.07624612,0.0711975992,0.08659163859999999,0.18040969969999998,0.1843860745,8.4e-08,-0.018806599099999998,-0.0753048435,-0.006007575899999999,-0.0656593442,-0.0278767385,0.0018295253,0.0066784429000000005,-0.0279140733,-0.0001864696
66,13:43:55:32.323,61,2.1409899999999996e-05,0.0,0.010528453600000001,0.0,0.0481582992,0.2700147033,0.503796339,2.1313800000000003e-05,0.0,0.1080302298,0.0,0.0479703322,0.270160079,0.5037830472,0.0494452454,0.0079644024,0.0,0.1000619233,0.0804074332,0.2716828287,0.3258126676,0.0,0.016280923,0.0,0.0,0.0236510839,0.006412534,0.0266359169,0.0252635404,0.11437448859999999,0.1173617095,0.057068795,0.0346337669,0.10470227900000001,0.2939558625,0.0714017898,0.072623916,0.14774276320000002,0.1525187939,0.0251457877,0.0324384458,0.7953727245000001,0.7953736186,0.045798402300000006,0.0,0.0,0.0556778163,0.0756328702,0.0918690935,0.1870622784,0.1919063479,7.83e-08,-0.0189502686,-0.0741484612,-0.0067781676,-0.0659774467,-0.020976653300000002,0.0013831841,0.0064300471,-0.0210134573,-0.0001351365
67,13:43:55:33.325,61,1.97037e-05,0.0,0.0089790719,0.0,0.0220609661,0.27007350329999996,0.5036868453,1.9615199999999998e-05,0.0,0.109758459,0.0,0.0219303723,0.270216763,0.5036713481,0.0484707542,0.0082788505,0.0,0.1137261242,0.0815712959,0.3045544028,0.2395242155,0.0,0.0168813542,0.0,0.0083037233,0.013786133400000001,0.0,0.027207653999999998,0.0260477625,0.1259871423,0.1286722124,0.048928473099999995,0.0339576602,0.0898742005,0.38100177049999995,0.0646576285,0.0658015758,0.1923268437,0.1983845681,0.056128390099999995,0.0685246736,0.8122214079000001,0.8122233151999999,0.045324716699999996,0.0,0.0,0.0443802178,0.0790809914,0.0956166834,0.2093711793,0.2136074007,7.33e-08,-0.019180990800000002,-0.0725465193,-0.007803832199999999,-0.0670445561,-0.0095904768,0.0006425272,0.0054847496,-0.009626057,-5.27979e-05
68,13:43:55:34.326,61,1.8133399999999998e-05,0.0085047558,0.0074067740000000005,0.0,0.0,0.26665157079999996,0.5032246113000001,1.8052e-05,0.0085408585,0.1116070151,0.0,0.0,0.2667920291,0.5032073855,0.0481160954,0.008847829,0.0,0.129291147,0.0812352225,0.3208906353,0.1636714935,0.0,0.0173735525,6.5051e-05,0.0372876003,0.0,0.0,0.030963510299999997,0.0298788548,0.133379221,0.1352679431,0.0445078425,0.0334631652,0.0817701519,0.41628670689999997,0.0605485253,0.0616693422,0.2644072175,0.2697031498,0.08496562390000001,0.0999557525,0.8244981765999999,0.8244999051,0.0445089266,0.0,0.0,0.0366194174,0.082839705,0.0998445749,0.24634540079999998,0.25135818120000003,6e-08,-0.0194878355,-0.0720156804,-0.0087392787,-0.0681759268,0.0052294624,-0.0003562505,0.0045244801000000005,0.0051953127,2.35062e-05
69,13:43:55:35.328,61,1.6688399999999998e-05,0.0285256002,0.011126159699999999,0.0,0.0,0.2620354593,0.501817286,1.66134e-05,0.0285177939,0.1082220972,0.0,0.0,0.2621619105,0.5017988682,0.0483671986,0.0094762659,0.0,0.1352760494,0.079756774,0.3243128359,0.13791458310000002,0.0,0.0178184398,0.0065336822999999995,0.0463359877,0.0,0.0,0.0337598287,0.032622732200000004,0.13774511220000002,0.1389496773,0.042182877699999996,0.033082068,0.0775412992,0.4531793594,0.0583463833,0.059435121699999996,0.2875628769,0.2927157581,0.1079437435,0.1261267364,0.8324457406999999,0.832446754,0.043297484500000004,0.0,0.0,0.0323874392,0.08723765609999999,0.1042519584,0.289357543,0.294149667,1.3400000000000001e-08,-0.0193572138,-0.071544677,-0.0098261815,-0.06609907,0.0174586549,-0.0011532775999999998,0.0067955526,0.0174257029,0.0001184284
70,13:43:55:36.329,61,1.53584e-05,0.0507769883,0.007936128399999999,0.0,0.0,0.2578828931,0.4980477691,1.52895e-05,0.050711222,0.11162640900000001,0.0,0.0,0.2579984367,0.4980219901,0.049690775599999994,0.0103016635,0.0,0.1377767622,0.0753123984,0.2941412926,0.1225739941,0.0,0.0184806567,0.028913676699999998,0.0676968694,0.0,0.0,0.035961434199999996,0.0347952172,0.140039444,0.140942201,0.0411087498,0.0327504985,0.0756766871,0.4899950922,0.0571356416,0.0582112037,0.2999705672,0.3052453697,0.1584853232,0.1829811484,0.8376778364,0.8376784325,0.0415511951,0.0,0.0,0.0297141504,0.0983639657,0.1176541075,0.3786289692,0.3839640319,2e-08,-0.0191513449,-0.0722533762,-0.010591393300000002,-0.0681559369,0.031049843900000002,-0.0021152694,0.0048455736,0.031018259,0.0001503489
71,13:43:55:37.331,61,1.41345e-05,0.0745965913,0.008689500400000001,0.0,0.0,0.2509767711,0.48691773409999994,1.4071e-05,0.0744750127,0.11117503050000001,0.0,0.0,0.25109386440000003,0.48687508700000004,0.050425976500000004,0.0136171114,0.0,0.1302842498,0.0700216293,0.276104629,0.10918278990000001,0.0,0.019108271200000002,0.0655903593,0.1098331437,0.0,0.0,0.0375125073,0.0363484323,0.1414608806,0.1420598626,0.0407667607,0.0324113518,0.076791048,0.5078098774,0.0564419366,0.0575074703,0.3081110716,0.3128339052,0.21126893160000002,0.24326546489999998,0.8408495187999999,0.8408498168,0.0391648561,0.0,0.0,0.027759041600000003,0.10918810960000001,0.1290869862,0.47738385200000005,0.484136045,1.8999999999999998e-08,-0.0184222609,-0.07407164570000001,-0.010698582,-0.0678425804,0.04559917,-0.0030933274,0.0053026043,0.045569110700000005,0.0002418012
72,13:43:55:38.333,61,1.30081e-05,0.0854476094,0.0115501694,0.0,0.0,0.24546608329999997,0.479224205,1.29497e-05,0.0853106156,0.1084900349,0.0,0.0,0.24557223920000001,0.4791603386,0.0509725623,0.015416046599999999,0.0,0.12166531380000001,0.0668583289,0.258303225,0.1014135927,0.0,0.0202033874,0.077240698,0.1225410923,0.0,0.0,0.038511429,0.0373658612,0.1420746893,0.1424524784,0.0410077311,0.0321174599,0.08225601169999999,0.5158643722999999,0.056091919500000004,0.0571622401,0.3120377064,0.3166249096,0.2307890207,0.2649526894,0.8432842493000001,0.8432842493000001,0.036813903599999996,0.0,0.0,0.0265003629,0.1152187884,0.1351942718,0.5285066366,0.5372620821,1.54e-08,-0.0169120897,-0.075400427,-0.0101481322,-0.0661826879,0.0522277467,-0.00345718,0.0070459885,0.0521982759,0.00036811980000000003
73,13:43:55:39.334,61,1.19714e-05,0.0969648734,0.0093946094,0.0,0.0,0.2428029925,0.47981125119999996,1.19177e-05,0.0967921615,0.1106914282,0.0,0.0,0.24290038649999998,0.4796971679,0.0515128933,0.0164849721,0.0,0.10531917210000001,0.0647278726,0.1954898238,0.0933494717,0.0,0.023437446,0.0832794979,0.1291590631,0.0,0.0,0.0390999615,0.0379882753,0.1418741643,0.1416437179,0.0474430844,0.0319260769,0.106296204,0.5066552162,0.0560316592,0.0571354292,0.2893721461,0.2988723814,0.2419138402,0.2787423432,0.8455279469,0.8455278277,0.034197322999999995,0.0,0.0,0.0255740695,0.1190665364,0.1400522292,0.6105249524,0.6200751662,1.07e-08,-0.0152865909,-0.07620871809999999,-0.0094244061,-0.06749920549999999,0.059262082,-0.0040017711,0.0057287761,0.059233445700000005,0.0003397307
