,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
178,13:43:36:34.172,61,2e-10,0.0027502242,0.11040437970000001,0.0,0.0,0.1427365094,0.28039774300000003,2e-10,0.0027822286,0.0066854213,0.0,0.0,0.1427218318,0.28039807079999995,0.0631891713,0.0,0.0329001285,0.0826621503,0.0851770192,0.09160610289999999,0.08313167839999999,0.0,0.0289909635,0.0,0.0,0.0732588097,0.0634153858,0.0373949558,0.0372144096,0.11869204039999999,0.1207962036,0.0552158989,0.0408943668,0.04816569019999999,0.10193652660000001,0.0230608154,0.0238330998,0.0799956843,0.0796218067,0.022772850499999997,0.026129810099999998,0.0,0.0,0.28132057190000004,0.0963203609,0.0964173451,0.022650376,0.0585692786,0.0600605235,0.0450649783,0.0507259257,4.1399999999999994e-08,0.054650358899999994,-0.0427389778,0.0367302634,-0.0040838863,0.0016995812,-6.9409e-06,0.0674421117,0.0016838445,0.0001134761
179,13:43:36:35.174,61,2e-10,0.0015707483,0.1115897074,0.0,0.0,0.1427207589,0.2704887688,2e-10,0.0016002155999999999,0.005501197199999999,0.0,0.0,0.1427072436,0.2704899907,0.062482871100000004,0.0,0.0315292552,0.0775158405,0.0831217095,0.0825915188,0.0826383606,0.0,0.0286224857,0.0,0.0,0.0756011978,0.06607950480000001,0.0359025821,0.0356779881,0.1129501387,0.1147919223,0.0593699217,0.0404685102,0.052568946,0.0959103182,0.0233984645,0.0242061671,0.0729827359,0.0727533251,0.0215314329,0.024397468199999998,0.0,0.0,0.2718469203,0.0984620452,0.09856505689999999,0.0232919194,0.056872583899999996,0.058357141900000006,0.044924180999999994,0.0506471582,5.7400000000000004e-08,0.0532663427,-0.0416138098,0.0379175693,-0.0033604884999999998,0.0009775218,-3.2849e-06,0.0681662485,0.0009617492,6.55081e-05
180,13:43:36:36.176,61,2e-10,0.0,0.11152070019999999,0.0,0.0002967034,0.14266420900000001,0.2640014887,2e-10,0.0,0.0055864975,0.0,0.0002609132,0.14265181119999998,0.26400285960000003,0.0617655441,0.0,0.029913259700000003,0.0745855123,0.08182481679999999,0.0776267797,0.0824076161,0.0,0.028201643399999997,0.0,0.0,0.07689669730000001,0.0674943477,0.0345619693,0.034307114799999996,0.1082986817,0.10990490019999999,0.0618647747,0.0400340147,0.0559446625,0.09240826960000001,0.0237630121,0.024608532000000002,0.068196699,0.06803526730000001,0.020471110900000002,0.023013275099999998,0.0,0.0,0.262740761,0.09951119119999999,0.0996173769,0.024219570699999998,0.0557180345,0.0572304241,0.044832892699999995,0.0506179817,8.29e-08,0.052834480999999996,-0.0409436077,0.0382857546,-0.0034125976,-0.00011384549999999999,3.885e-07,0.0681241229,-0.0001297623,-8.8331e-06
181,13:43:36:37.177,61,2e-10,0.0,0.1107772216,0.0,0.0012646778,0.1425349414,0.2564735413,2e-10,0.0,0.0063812658,0.0,0.0012310733,0.1425235569,0.2564745545,0.061140973099999996,0.0,0.0288413186,0.0730000734,0.0810725093,0.07493904230000001,0.0825012475,0.0,0.0278336871,0.0,0.0,0.0779297203,0.0685810223,0.0335803293,0.0333117656,0.10547772050000001,0.1069826186,0.0635735318,0.03965066,0.058616451900000005,0.0903568715,0.0241469946,0.0250360556,0.0653974339,0.0653006434,0.0196117237,0.0220130179,0.0,0.0,0.24201262,0.0998982042,0.1000050157,0.0253229421,0.0548064224,0.056352909699999995,0.0447908752,0.0506281443,8.16e-08,0.0521143936,-0.0401916653,0.0385345817,-0.003898093,-0.0005371611,2.0939e-06,0.0676699355,-0.0005530856,-3.73987e-05
182,13:43:36:38.179,61,2e-10,0.0,0.1099901721,0.0,0.0032864138,0.1427484751,0.2539215684,2e-10,0.0,0.0071587032,0.0,0.0032569075,0.1427379996,0.2539224923,0.06057119,0.0,0.0281941239,0.07249021530000001,0.08069960030000001,0.0764086992,0.08460432289999999,0.0,0.0274114236,0.0,0.0,0.07867506889999999,0.0695691556,0.0328312665,0.0325499326,0.10416600109999999,0.1056711078,0.0645636991,0.0392965376,0.0605941266,0.0898829401,0.0245869234,0.0255161859,0.0640847757,0.0640094504,0.0189402197,0.021276138700000002,0.0,0.0,0.2357787341,0.09841476380000001,0.0985157415,0.026254810400000002,0.0542035103,0.0557673052,0.044791247699999995,0.0506642275,8.72e-08,0.051567822699999995,-0.0392549969,0.0385544039,-0.004372999099999999,-0.0014211076,6.2145e-06,0.0671891198,-0.0014372113,-9.64924e-05
183,13:43:36:39.180,61,1e-10,0.0,0.1085963771,0.0,0.006247984200000001,0.1466771066,0.2560048401,1e-10,0.0,0.0085277008,0.0,0.0062018121,0.1466706097,0.2560048997,0.0601889417,0.0,0.027742371000000002,0.072543852,0.0805559084,0.08486212789999999,0.0927120149,0.0,0.027103303,0.0,0.0,0.07934758809999999,0.0704174563,0.0322357714,0.0319436304,0.1037122756,0.1052710414,0.0652529523,0.038967471600000005,0.0640351474,0.0954824612,0.0251683444,0.0261452962,0.06351152809999999,0.063457042,0.0183990635,0.0207166728,0.0,0.0,0.23452910780000003,0.0729247257,0.0729862377,0.0278512109,0.0539861917,0.0555657484,0.0448700115,0.0507803746,8.09e-08,0.05148082599999999,-0.0392889008,0.0388244689,-0.0052092574,-0.0027060877,1.40967e-05,0.0663375109,-0.0027322068,-0.0001811154
184,13:43:36:40.182,61,1e-10,0.0,0.1077427119,0.0,0.0081082545,0.1496889442,0.2566358149,1e-10,0.0,0.0093344375,0.0,0.0080659073,0.1496849209,0.2566355467,0.0598100871,0.0,0.0273645315,0.0725724101,0.0804863051,0.08727873859999999,0.0994792506,0.0,0.0268504173,0.0,0.0,0.0816468522,0.0727661774,0.031654309500000005,0.031353958,0.10330523550000001,0.1049123034,0.0659524724,0.038611576,0.0703784674,0.0974997655,0.025840258199999997,0.026943432200000002,0.0628569424,0.0628288612,0.0178872813,0.020201534,0.0,0.0,0.23428112269999998,0.0635885,0.0636457801,0.030240804,0.0539069399,0.055505543899999996,0.0450159311,0.0509671606,4.7599999999999996e-08,0.0510168187,-0.0392943025,0.0390144885,-0.005702048100000001,-0.0035194731,2.00682e-05,0.06581585849999999,-0.0035455696999999995,-0.00023318729999999998
185,13:43:36:41.183,61,1e-10,0.0,0.1063530743,0.0,0.0103174113,0.15233895179999998,0.2592616379,1e-10,0.0,0.0107110618,0.0,0.010278889,0.15233637390000002,0.25925904510000003,0.0595952161,0.0,0.027106801,0.0726849064,0.0806032866,0.08864550289999999,0.1074702442,0.0,0.026793509700000002,0.0,0.0,0.0827728286,0.0737945437,0.0311257448,0.030820764599999998,0.1029159576,0.1045981497,0.0669559911,0.0383313671,0.07686704400000001,0.09892447289999999,0.026967268399999998,0.02837722,0.0622338653,0.06225680559999999,0.0174138881,0.0197380893,0.0,0.0,0.2341150194,0.0590102114,0.0590627082,0.0333231278,0.05398966,0.0556313284,0.0452350825,0.051238335700000005,3.82e-08,0.0509992652,-0.0394887067,0.0389195271,-0.0065429495,-0.0044851075,2.93458e-05,0.0649667531,-0.0045113372999999995,-0.00029288270000000003
186,13:43:36:42.185,61,1e-10,0.0,0.1053116322,0.0,0.0115615986,0.15375861529999998,0.2614151537,1e-10,0.0,0.011742366499999999,0.0,0.011525261200000001,0.153756693,0.2614106834,0.059335224299999996,0.0,0.0270003099,0.0728005469,0.08081665639999999,0.0895618573,0.1167707741,0.0,0.0266526621,0.0,0.0,0.0846181065,0.076102078,0.0305718929,0.030260074900000003,0.102525197,0.1042764261,0.067752853,0.0380140916,0.0809725299,0.09993509199999999,0.0278003458,0.0293196514,0.0615470186,0.0616130643,0.0169583224,0.0192878097,0.0,0.0,0.23451340199999998,0.0564609617,0.0565110333,0.036033541,0.054078638600000006,0.0557442121,0.045458137999999995,0.051487237199999994,3.34e-08,0.050792396100000005,-0.0399833396,0.0391748846,-0.007172914200000001,-0.0050289738,3.60724e-05,0.06433039900000001,-0.0050551556,-0.0003249787
187,13:43:36:43.186,61,1e-10,0.0,0.1044061035,0.0,0.012857968000000001,0.154762432,0.2627392113,1e-10,0.0,0.012646849299999999,0.0,0.0128235444,0.1547608227,0.2627339661,0.059027098099999994,0.0,0.0269536283,0.0730573907,0.0811494514,0.0923100114,0.1281030178,0.0,0.0265295897,0.0,0.0,0.08620250230000001,0.078077428,0.0299976487,0.029684133799999998,0.1020760834,0.1039175317,0.0683940053,0.0376858078,0.08306600900000001,0.1011557877,0.0285540894,0.0301354006,0.0609695278,0.0610719956,0.0165518206,0.0188875869,0.0,0.0,0.2356393486,0.05506327,0.0551120788,0.0384076089,0.0541846007,0.055875200800000004,0.0456771925,0.0517302006,2.33e-08,0.0504942797,-0.040254898399999996,0.0391245224,-0.0077253999,-0.0055954927,4.32275e-05,0.06377706679999999,-0.005621776899999999,-0.00035830110000000003
188,13:43:36:44.188,61,1e-10,0.0,0.10291805119999999,0.0,0.0158132538,0.1558686942,0.26825293899999997,1e-10,0.0,0.014152078,0.0,0.0157834757,0.1558673531,0.2682454586,0.0585410334,0.0,0.0269409362,0.074071236,0.0836172402,0.1063636467,0.168584168,0.0,0.0264816172,0.0,0.0,0.08943164349999999,0.0815910995,0.0293370858,0.029032375699999998,0.1016625762,0.1036575809,0.0688622072,0.0372957326,0.0844151676,0.10242492710000001,0.029168147599999996,0.0307841115,0.0604005046,0.060535445800000004,0.0161595047,0.018500153000000002,0.0,0.0,0.23640556629999998,0.0543670617,0.05441470440000001,0.0409484357,0.054371759299999996,0.0561045893,0.0459361263,0.052026324000000006,2.12e-08,0.050440385899999995,-0.0400012583,0.0389415957,-0.0086448081,-0.0068870978,5.95378e-05,0.0628675595,-0.0069134915000000005,-0.000434355
189,13:43:36:45.189,61,1e-10,0.0,0.10105456410000001,0.0,0.0203695372,0.1572031975,0.27486181260000003,1e-10,0.0,0.015947928700000003,0.0,0.0203465875,0.15720200539999998,0.2748425305,0.0568793453,0.0,0.027041085099999997,0.10107853259999999,0.10285523529999999,0.1930806041,0.2206466049,0.0,0.026455218,0.0,0.0,0.0903809667,0.08279863,0.028638836,0.0283607058,0.10186833140000001,0.1047282815,0.06873340900000001,0.0368407182,0.08417969199999999,0.10726428029999999,0.0294947531,0.0311122108,0.0610578246,0.0612399913,0.0158797149,0.0182331316,0.0,0.0,0.24193066359999998,0.0535214283,0.053568106100000006,0.0422283933,0.0547788441,0.056534752199999996,0.046290274699999995,0.0524309166,1.71e-08,0.0499184802,-0.0400761105,0.0384689085,-0.0097416518,-0.0088782944,8.649020000000001e-05,0.0617282838,-0.0089048473,-0.0005493464
190,13:43:36:46.191,61,1e-10,0.0,0.0996612534,0.0,0.022843977400000003,0.1580293328,0.28134185079999996,1e-10,0.0,0.017265688600000002,0.0,0.0228240341,0.1580279768,0.2813127935,0.0545737036,0.0,0.027235087,0.11210823060000001,0.11391932519999999,0.2734047174,0.3213959038,0.0,0.026439661200000002,0.0,0.0,0.0908121392,0.08337194469999999,0.0278460234,0.0276466291,0.10505260529999999,0.1113522351,0.0675420463,0.0362708755,0.0837922543,0.1160009652,0.0297990702,0.031403292,0.0650122538,0.0655186027,0.015707526399999998,0.0180871375,0.0,0.0,0.24575684960000002,0.0511321388,0.0511742756,0.0441481508,0.0552708395,0.0570463575,0.046849928799999996,0.053049936900000004,9e-09,0.0500743054,-0.0400074348,0.0371123962,-0.0105464878,-0.0099594174,0.00010503840000000001,0.0608765706,-0.009986065300000001,-0.0006075621
191,13:43:36:47.193,61,1e-10,0.0,0.0981608555,0.0,0.026105804399999998,0.15866225960000002,0.2847682834,1e-10,0.0,0.018634134899999998,0.0,0.026089957,0.1586604267,0.2847343385,0.0507055447,0.0,0.0275040977,0.1256157756,0.1249769852,0.3778040409,0.3521032631,0.0,0.0264622327,0.0,0.0,0.09071478990000001,0.0835018903,0.02709895,0.0269481558,0.1140495986,0.1232355312,0.0656819567,0.0355873741,0.0819361061,0.1255459487,0.0300429817,0.031621024,0.0772517025,0.078409642,0.015708481899999998,0.0181375667,0.0,0.0,0.2471086532,0.050009124,0.0500497222,0.045035734800000005,0.0557180904,0.0575029962,0.047403466,0.0536532551,3.5e-09,0.0497151241,-0.0383267254,0.0354054682,-0.0113822082,-0.011384628700000001,0.000129585,0.0599591658,-0.011411314799999999,-0.0006838326
192,13:43:36:48.194,61,1e-10,0.0,0.09579005089999999,0.0,0.0291662756,0.15903578699999998,0.2909988165,1e-10,0.0,0.020915193500000002,0.0,0.0291523412,0.1590325832,0.2909537852,0.04754685980000001,0.0,0.027961548399999998,0.1313598752,0.1313478947,0.4475127161,0.381937921,0.0,0.026499027400000003,0.0,0.0,0.09062209730000001,0.0836925432,0.026343125800000002,0.0262304824,0.1220075712,0.132139951,0.0640827864,0.0346556902,0.0808035135,0.1307787895,0.030331369500000004,0.031882267400000004,0.08495913449999999,0.0865656286,0.0158168133,0.0183057804,0.0,0.0,0.24894206230000002,0.0487249829,0.0487608537,0.0465172268,0.0561302043,0.057920731600000004,0.0479884185,0.0542551838,2.7e-09,0.0492058992,-0.0362788439,0.0337398797,-0.0127753317,-0.012721146499999999,0.0001625212,0.0585100763,-0.0127480049,-0.0007455014999999999
193,13:43:36:49.196,61,1e-10,0.0,0.09610927849999999,0.0,0.029657501699999998,0.1594165862,0.2925829887,1e-10,0.0,0.0205356907,0.0,0.0296446607,0.15941177310000001,0.2925339937,0.045139316500000005,0.0,0.028440291099999997,0.1375157833,0.138629213,0.4746836424,0.3935736418,0.0,0.0265715346,0.0,0.0,0.0903061479,0.0837203786,0.0256143063,0.025534210699999997,0.1262513548,0.1368015558,0.0625307783,0.0338589959,0.0785930008,0.1332987398,0.0305321719,0.0320499986,0.0903313458,0.0920396075,0.015966545800000002,0.0185158923,0.0,0.0,0.2539727986,0.0459090471,0.0459432825,0.0472271293,0.0566264167,0.0584000312,0.0485707335,0.054858163,4.4e-09,0.0483938009,-0.0345675498,0.0320173204,-0.012543493000000001,-0.0129359411,0.0001622667,0.058704901500000004,-0.0129628573,-0.0007605887
194,13:43:36:50.197,61,1e-10,0.0,0.0960995108,0.0,0.029476910800000002,0.15945677460000002,0.2925746739,1e-10,0.0,0.0204936359,0.0,0.029463797799999997,0.1594500095,0.29252299670000004,0.042995743499999996,0.0,0.0290436875,0.1400498003,0.1414793879,0.4932115078,0.39965325590000006,0.0,0.0266416967,0.0,0.0,0.08988977220000001,0.08375599980000001,0.0249218792,0.0248735622,0.129254505,0.1401896924,0.061177011600000004,0.032811790699999996,0.0774980187,0.1363407075,0.0307684112,0.032255027400000004,0.09317391369999999,0.09486061330000001,0.0161967818,0.018812228,0.0,0.0,0.2557798028,0.044358123099999994,0.0443916246,0.0478356667,0.0570192337,0.0587573275,0.0491005592,0.055392243,4e-09,0.047595113499999994,-0.032784338999999996,0.0301744677,-0.012517815500000001,-0.0128570134,0.0001609464,0.0586989895,-0.0128839193,-0.0007558806
195,13:43:36:51.199,61,1e-10,0.0,0.0960968658,0.0,0.0288851447,0.1593531668,0.290016979,1e-10,0.0,0.0204340108,0.0,0.0288712103,0.15934485199999998,0.2899580896,0.0417749323,0.0,0.0295748487,0.1413077116,0.1429387331,0.48885151740000005,0.3994947672,0.0,0.0267463047,0.0,0.0,0.08953373880000001,0.08373676990000001,0.0242811125,0.0242623221,0.1308645606,0.1419392824,0.0602277704,0.0320075601,0.0767004266,0.1378830969,0.030977310600000002,0.0324336588,0.09472529589999999,0.0964188501,0.0164108966,0.0190922022,0.0,0.0,0.2592989802,0.0435295887,0.0435625799,0.048296272800000005,0.057411287000000005,0.0591159724,0.049617175,0.0559283271,5.1e-09,0.046855855700000004,-0.0319059528,0.0288085341,-0.012481438000000001,-0.012598423300000001,0.0001572507,0.0586975664,-0.0126252649,-0.0007406861
196,13:43:36:52.200,61,1e-10,0.0,0.09582450990000001,0.0,0.0285430886,0.1592339426,0.2870196998,1e-10,0.0,0.0206690077,0.0,0.0285283346,0.15922462939999998,0.2869651914,0.0408288576,0.0,0.0298910514,0.141907081,0.1436335444,0.44397974009999996,0.39649823310000004,0.0,0.0268112719,0.0,0.0,0.0889508799,0.0834020525,0.0237008519,0.0237095989,0.1316451132,0.1427198648,0.059443865,0.0313040428,0.07606425139999999,0.1387941837,0.0311386939,0.0325687304,0.09538996220000001,0.0970621333,0.016570370600000002,0.0193062983,0.0,0.0,0.2604016662,0.0428822152,0.0429152474,0.0485701077,0.057744227300000006,0.0594269522,0.0500861071,0.056410972000000004,4.6e-09,0.0463744737,-0.0315926149,0.0276039541,-0.012625001399999999,-0.0124488259,0.00015717040000000002,0.0585313253,-0.012475638700000001,-0.0007298364999999999
197,13:43:36:53.202,61,0.0,0.0,0.0953251123,0.0,0.027505718199999998,0.1592011005,0.2821194828,0.0,0.0,0.0211320929,0.0,0.027488781099999998,0.1591915041,0.2820712328,0.0401731208,0.0,0.0299846027,0.1424301416,0.1440861374,0.3864027262,0.3710232675,0.0,0.026883097400000004,0.0,0.0,0.08829378339999999,0.082838282,0.0231950972,0.023229824399999998,0.1317930371,0.1427737325,0.058836996600000004,0.030780196200000002,0.0753585175,0.13900375369999998,0.0311738327,0.0325763971,0.09551059449999999,0.0971600935,0.016629016,0.0194035377,0.0,0.0,0.2612167299,0.04237849269999999,0.0424117371,0.0485899188,0.0580841675,0.0597669855,0.050523295999999995,0.0568781197,2.8000000000000003e-09,0.045697093,-0.0307905469,0.0267906059,-0.0129079334,-0.011995241,0.0001548369,0.0582266003,-0.0120220082,-0.0006996388000000001
198,13:43:36:54.203,61,0.0,0.0,0.0947304443,0.0,0.0221120548,0.1587510258,0.27793544530000003,0.0,0.0,0.0217593666,0.0,0.0220861007,0.158741653,0.2778847814,0.0397755504,0.0,0.030007392200000003,0.1441890001,0.1444567591,0.35647374390000003,0.3149167597,0.0,0.0269777775,0.0,0.0,0.08599182220000001,0.0806304216,0.022797094700000003,0.022862579700000003,0.1315476149,0.1424381584,0.0582978278,0.0304248612,0.0729900226,0.1388779283,0.0310234204,0.0323948488,0.09557981789999999,0.09719903769999999,0.0166565776,0.0194593575,0.0,0.0,0.26159423589999997,0.041942987599999995,0.0419761762,0.0481874831,0.0583650395,0.0600471571,0.050917089000000006,0.0573030077,2.9e-09,0.0446815342,-0.030742708599999998,0.0269403793,-0.013291423200000001,-0.0096377311,0.0001280994,0.057864848499999996,-0.0096643809,-0.0005589332
