,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
138,13:43:35:54.110,61,6.2e-09,0.10747320949999999,0.057947088,0.0,0.0,0.0768385157,0.45751884579999996,6.2e-09,0.1074858978,0.0590549745,0.0,0.0,0.0768378824,0.4575245082,0.1819574088,0.0,0.0160395373,0.33986106509999997,0.1346903145,0.2963404059,0.08966140449999999,0.0,0.0242173839,0.0,0.0,0.09077812730000001,0.07344529030000001,0.0514689572,0.050434041799999996,0.33797141909999995,0.3472416699,0.045896977199999994,0.045024983600000006,0.02515365,0.18222549559999998,0.0218397696,0.022608785,0.3408792019,0.3520646095,0.0264104065,0.0312541537,0.0,0.0,0.8090751767000001,0.6780562401000001,0.6780542135,0.0207844526,0.0468329862,0.0503632128,0.0392847061,0.0402312055,4e-10,-0.0056218449,-0.0182071868,-0.0253665727,-0.035996869199999997,0.0657020286,-0.0023679603,0.035321574700000004,0.065692693,0.0023232257999999998
139,13:43:35:55.112,61,5.7e-09,0.10807875539999999,0.058660190599999995,0.0,0.0,0.07714357969999999,0.45465096829999996,5.7e-09,0.10809456560000001,0.058396860999999994,0.0,0.0,0.0771426633,0.4546594322,0.1775186509,0.0,0.0164131559,0.3341471553,0.1332196891,0.28852385280000004,0.08862592279999999,0.0,0.0244889725,0.0,0.0,0.08778819439999999,0.0681810901,0.052087064800000006,0.0510734692,0.3257352412,0.3337699771,0.046103518499999996,0.0452381223,0.0245541725,0.18038541079999998,0.021577656299999998,0.0223346502,0.3416927755,0.3527210653,0.026717578999999998,0.031590987,0.0,0.0,0.8091136812999999,0.6767171025,0.6767150164,0.0203023106,0.04700241980000001,0.0505317077,0.0390501432,0.0400530994,5e-10,-0.0039482703,-0.018596161200000003,-0.024984609300000002,-0.0355948396,0.0660731196,-0.0023547895,0.0357553698,0.0660638511,0.0023650713
140,13:43:35:56.113,61,5.3e-09,0.10755224529999999,0.059559419800000006,0.0,0.0,0.07749616349999999,0.4520048499,5.3e-09,0.10757234689999999,0.0575634763,0.0,0.0,0.0774950907,0.4520193934,0.1659753174,0.0,0.0164544918,0.3236445785,0.1312672198,0.2843008041,0.0878478959,0.0,0.024599865099999996,0.0,0.0,0.0863075182,0.0658367649,0.052556060300000006,0.05156229440000001,0.318756789,0.3248396814,0.04630173,0.045385889699999994,0.0240278486,0.1790680438,0.0213296562,0.022075220899999998,0.34107917549999994,0.349880904,0.026943152799999998,0.0318330973,0.0,0.0,0.8088701367,0.6732692719,0.6732676625,0.0198633317,0.04712888230000001,0.0506728068,0.038809441,0.039873763900000005,5e-10,-0.0034085021000000004,-0.019068511200000002,-0.024507332599999997,-0.0350876078,0.0657527447,-0.0023099589000000003,0.0363042541,0.0657433048,0.0023896766
141,13:43:35:57.115,61,4.8e-09,0.10636164990000001,0.0610801093,0.0,0.0,0.0779526457,0.44766807560000005,4.8e-09,0.10638857630000001,0.0560699403,0.0,0.0,0.0779514834,0.44769150020000004,0.1586226523,0.0,0.0163104385,0.3175684214,0.1301681995,0.2821614444,0.0872598141,0.0,0.0246725902,0.0,0.0,0.08526099470000001,0.0640681386,0.052967567,0.0519879274,0.3134931922,0.3184875846,0.046514600499999996,0.045535638899999994,0.0235889871,0.17805281280000002,0.021102702200000004,0.0218377151,0.3347351849,0.3408229351,0.0271180663,0.0320275463,0.0,0.0,0.8084750772,0.6683971882,0.6683962345000001,0.0194611344,0.047304563200000004,0.05087970940000001,0.038603656,0.0397362784,5e-10,-0.0033450767,-0.0198215954,-0.0239573717,-0.0341788456,0.0650271326,-0.0022252533,0.0372329541,0.0650177747,0.0024236557
142,13:43:35:58.116,61,4.5e-09,0.10518275949999999,0.062488980599999994,0.0,0.0,0.0783964843,0.4420530796,4.5e-09,0.1052161306,0.0546700247,0.0,0.0,0.0783952922,0.44208306070000003,0.1365387142,0.0,0.016184764,0.28604298829999997,0.1281991601,0.2811155617,0.0868479013,0.0,0.0246556792,0.0,0.0,0.082299754,0.061621133200000004,0.053251978,0.0522805601,0.30440354350000004,0.3092569411,0.0465861969,0.0455653816,0.0232706871,0.1751461774,0.0208989345,0.0216243621,0.3068711758,0.3103440702,0.027201052799999997,0.032105647,0.0,0.0,0.8048840761,0.6583236456,0.6583233476,0.0191270132,0.047460746,0.0510307401,0.0384131186,0.0396089852,1e-10,-0.003132537,-0.0209627245,-0.023079549900000003,-0.0333270431,0.0643086433,-0.0021457754,0.0380935483,0.0642992109,0.0024521679
143,13:43:35:59.118,61,4.0999999999999995e-09,0.1041504219,0.0636284649,0.0,0.0,0.0787468776,0.43339321020000005,4.0999999999999995e-09,0.10418906060000001,0.0535441861,0.0,0.0,0.0787457153,0.43343070149999996,0.1256766021,0.0,0.0159655139,0.2686243057,0.12712429460000002,0.2802821994,0.0865563229,0.0,0.024647312200000004,0.0,0.0,0.08124504240000001,0.0605856106,0.0534579158,0.05250297860000001,0.2950778604,0.2996641397,0.046712905199999995,0.045661509,0.023119909700000003,0.1677804887,0.0207398478,0.0214592461,0.284055829,0.28794011469999997,0.0271516573,0.032037440699999996,0.0,0.0,0.8009229898000001,0.6497962475,0.6497963071,0.0188726801,0.0476063043,0.0511688329,0.038265503900000004,0.0395258293,2e-10,-0.0028530317,-0.0212424025,-0.022121381000000002,-0.0326420367,0.0636794493,-0.0020810687,0.0387897454,0.06366983799999999,0.0024724544
144,13:43:36:00.120,61,3.8e-09,0.1028302461,0.0656076521,0.0,0.0,0.07908721269999999,0.4242070913,3.8e-09,0.102877669,0.0514574088,0.0,0.0,0.07908611,0.4242423475,0.11675035210000001,0.0,0.0157479793,0.2284772992,0.129316777,0.2796786726,0.0867171735,0.0,0.0247944798,0.0,0.0,0.0809443891,0.0600332804,0.053533930300000004,0.0526119955,0.289305985,0.29394498469999997,0.0472191982,0.0460974574,0.0234709717,0.1409649253,0.020673790900000003,0.0213908926,0.22390639780000002,0.2289274633,0.0268377773,0.031673196699999996,0.0,0.0,0.7936744094,0.6413019896,0.6413021684,0.0187702421,0.04784393309999999,0.051393427,0.0382258333,0.039571400699999995,2e-10,-0.0023254055999999998,-0.0209525079,-0.0204853825,-0.0313714743,0.0628753752,-0.0019747701000000003,0.039998356299999996,0.0628657788,0.0025171686
145,13:43:36:01.121,61,3.5e-09,0.09778858720000001,0.0681074783,0.0,0.0,0.0796938762,0.4160571694,3.5e-09,0.0978459641,0.0487624221,0.0,0.0,0.0796928331,0.41608050469999996,0.1130758524,0.0,0.0156892668,0.2166426033,0.1546110511,0.23872849350000003,0.0869526416,0.0,0.025093270499999997,0.0,0.0,0.0810859129,0.05982507769999999,0.0535419621,0.052685335300000004,0.2861257195,0.2912515998,0.060927454400000004,0.049892664,0.0249095019,0.11837494369999998,0.020659163600000002,0.02138016,0.20534978809999999,0.2110345066,0.026196224599999998,0.030550317799999997,0.0,0.0,0.7880518436,0.6329051852,0.6329048276,0.0187950544,0.0481736027,0.0517398268,0.0382728875,0.0397199355,1e-10,-0.0012339901,-0.0188320521,-0.0189389531,-0.0297340639,0.0597971678,-0.0017798709,0.0415302441,0.059787266,0.0024852229
146,13:43:36:02.123,61,3.2e-09,0.08590542529999999,0.070937939,0.0,0.0,0.0828582719,0.4119942486,3.2e-09,0.08597002179999999,0.0456489883,0.0,0.0,0.0828571618,0.4120104611,0.11117461320000001,0.0,0.0160621423,0.2102746516,0.17194823920000002,0.1893351376,0.0873995647,0.0,0.0253074281,0.0,0.0,0.0835518539,0.0635318309,0.0532088876,0.0524179637,0.23642921449999998,0.2457241416,0.10471002759999999,0.0560995415,0.0339033268,0.10216162349999999,0.020824099,0.0215638727,0.166214034,0.17049828170000003,0.0244735498,0.027955275,0.0,0.0,0.7827087641,0.6275924444,0.6275916696,0.0191171672,0.048681628,0.0522766374,0.0383541062,0.039915397799999995,2e-10,-0.0004987872000000001,-0.015845138600000003,-0.0173203591,-0.0278469305,0.0525364913,-0.0014641372,0.0432738326,0.0525258593,0.0022743742
147,13:43:36:03.124,61,2.9e-09,0.07276356219999999,0.0714591146,0.0,0.0,0.08611267060000001,0.40879553560000004,2.9e-09,0.0728240535,0.0449479297,0.0,0.0,0.0861112475,0.4088043869,0.1099056825,0.0,0.0166497957,0.1614765823,0.17774911219999998,0.1336589754,0.08790604769999999,0.0,0.025555567799999998,0.0,0.0,0.1189708784,0.1064773649,0.0509697609,0.0505667888,0.18846780059999999,0.1954575032,0.1205044091,0.0601303503,0.047617867599999995,0.0840165168,0.0212422907,0.0220302362,0.1103829667,0.1134646758,0.021620510099999997,0.0241594594,0.0,0.0,0.7691020966,0.6230476499000001,0.6230448484000001,0.0233448036,0.048910386900000005,0.052577037400000005,0.038338255099999996,0.040012102599999995,1.35e-08,0.0011702983,-0.0165037122,-0.0149668725,-0.0274299569,0.0445024371,-0.0012213526,0.0436087511,0.0444910638,0.0019408632
