,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
160,13:43:36:16.144,61,1e-09,0.0139964223,0.08590075369999998,0.0,0.0,0.1260852814,0.4044525921,1e-09,0.014037793500000001,0.0306657292,0.0,0.0,0.1260754615,0.40444019439999995,0.0931817591,0.0,0.031192319500000003,0.21493227780000002,0.1098382697,0.2339703441,0.08294044440000001,0.0,0.0315444209,0.0,0.0022373335,0.009218975899999999,0.0,0.0500288755,0.0500985458,0.2560612559,0.2724078298,0.050207622300000004,0.052468575499999996,0.0296814274,0.16167658570000001,0.022396855099999998,0.0232943166,0.2581294775,0.2641361952,0.0204219762,0.023905905,0.0,0.0,0.6118073463,0.2762942612,0.2763008475,0.024978883599999998,0.0652723983,0.0689057559,0.0426133573,0.0462324359,2.2e-09,0.0367120169,-0.024766581099999997,0.0122777382,-0.0187319405,0.0085767051,-0.00016065290000000001,0.0524718761,0.0085617127,0.0004490539
161,13:43:36:17.146,61,9e-10,0.0175233372,0.0911243558,0.0,0.0,0.1268261969,0.3997624815,9e-10,0.0175725147,0.0255543757,0.0,0.0,0.1268159002,0.3997555077,0.09256272759999999,0.0,0.0318744183,0.20317898690000002,0.1073177084,0.2250795662,0.0814236179,0.0,0.031270422,0.0,0.0028118928999999997,0.0086661074,0.0,0.050361994699999996,0.050405129800000004,0.2557101548,0.2719858587,0.050170380599999995,0.0516879112,0.029535315899999998,0.165507704,0.0223298296,0.023199655099999997,0.2553530931,0.2601031363,0.0211351421,0.0252625681,0.0,0.0,0.557326436,0.2653262615,0.26534840460000003,0.0244461801,0.0655070096,0.0689173192,0.0428912304,0.0466356426,1.8e-09,0.0395008437,-0.0256809406,0.0146549707,-0.0156093827,0.0107357483,-0.000167578,0.05566151440000001,0.010721002700000001,0.0005964619
162,13:43:36:18.147,61,8e-10,0.0200743154,0.09401021150000001,0.0,0.0,0.12729159,0.39525714520000005,8e-10,0.0201295409,0.0227701291,0.0,0.0,0.127280578,0.39525303240000004,0.0918824226,0.0,0.0326079354,0.19548884030000002,0.1057188958,0.2191719711,0.0802870467,0.0,0.0311360415,0.0,0.0033361304,0.0082828766,0.0,0.0506445616,0.0506719463,0.2551437616,0.2714245617,0.05029200019999999,0.050966423,0.029569186299999998,0.1683269739,0.0222969558,0.0231417343,0.2503054142,0.2552658021,0.0218218546,0.0262708217,0.0,0.0,0.5399590731,0.2552577555,0.2552825511,0.023987762599999997,0.065733999,0.06894222650000001,0.0431780368,0.0470526814,1.9e-09,0.0427328832,-0.026900211299999997,0.0167987179,-0.0139084281,0.012297628400000002,-0.0001710438,0.057423252599999995,0.0122829499,0.0007049746
163,13:43:36:19.149,61,8e-10,0.0208636895,0.1017445475,0.0,0.0,0.1278934628,0.38890707490000004,8e-10,0.0209271125,0.015066371299999999,0.0,0.0,0.1278817505,0.3889050484,0.0906916037,0.0,0.0332797505,0.19039781390000002,0.1046800837,0.21661868690000002,0.0794868022,0.0,0.031076882000000004,0.0,0.0030504474,0.0095178429,0.0,0.0507802889,0.0507954322,0.2535306215,0.2698169053,0.0504598431,0.05024475230000001,0.0297265723,0.17046587170000002,0.022266665499999998,0.023092536299999997,0.2388960868,0.2428687811,0.0224616639,0.027103014300000002,0.0,0.0,0.5296850800999999,0.25141263010000003,0.251439333,0.0235673562,0.065883629,0.0688867271,0.043421551600000004,0.0474498942,1.1e-09,0.045288492,-0.0285556279,0.0185183957,-0.00920277,0.012784188600000001,-0.00011765469999999999,0.0621471554,0.012769556599999999,0.0007931238
164,13:43:36:20.151,61,7.000000000000001e-10,0.0208510049,0.1017716303,0.0,0.0,0.12870077789999998,0.3791274428,7.000000000000001e-10,0.0209142324,0.015118583100000001,0.0,0.0,0.1286884546,0.3791246414,0.0878773108,0.0,0.0337801687,0.1855077893,0.1037654728,0.2152077407,0.0788753331,0.0,0.031039349700000003,0.0,0.002231875,0.013925992,0.0,0.05073434860000001,0.0507486612,0.2491918653,0.26518929,0.0505618341,0.0494952388,0.0298597701,0.17170353230000002,0.022220697299999998,0.0230255108,0.23329371210000002,0.2371606678,0.0230266433,0.027807887599999997,0.0,0.0,0.5244337915999999,0.24028795960000002,0.2403130382,0.0231835898,0.0660376102,0.06888432059999999,0.0436630137,0.0478469096,8e-10,0.047801815,-0.0295556691,0.0195741542,-0.009234664,0.0127763236,-0.0001179898,0.062163706900000004,0.0127618071,0.0007928532000000001
165,13:43:36:21.152,61,7.000000000000001e-10,0.0218447,0.10463273529999999,0.0,0.0,0.12943121789999998,0.3694135547,7.000000000000001e-10,0.021912612,0.0123624131,0.0,0.0,0.1294182241,0.3694108129,0.0858060569,0.0,0.0343131498,0.1802051812,0.1027648076,0.21479760109999999,0.0784547031,0.0,0.0309958514,0.0,0.0007902753999999999,0.0167113617,0.0,0.050590679000000006,0.0505984388,0.245065704,0.2607518733,0.050555124900000005,0.0487851202,0.0300108194,0.1725724787,0.0221907217,0.0229780003,0.2305924147,0.234362483,0.0235474575,0.028431758300000002,0.0,0.0,0.5205548406,0.22663269940000003,0.22667025030000001,0.022876303599999998,0.0662032515,0.0688700378,0.0438716523,0.0482033864,8e-10,0.0502853133,-0.0310059879,0.020432554199999998,-0.0075510922,0.0133860344,-0.0001010843,0.0639107972,0.0133714685,0.0008540503
166,13:43:36:22.154,61,6e-10,0.020961264099999998,0.10393389310000001,0.0,0.0,0.1303343028,0.3616048694,6e-10,0.021026832999999998,0.0131103592,0.0,0.0,0.13031885029999998,0.3616017997,0.08314134179999999,0.0,0.0349324644,0.1778476536,0.10210416470000001,0.21644860510000002,0.0783868954,0.0,0.0310219098,0.0,0.0,0.0343851596,0.016266081499999998,0.0502608493,0.0502704158,0.2391999513,0.255389601,0.0505286865,0.0480629466,0.030181719,0.17323693629999998,0.0221570842,0.022926202000000003,0.2261072546,0.2301229239,0.0239735171,0.028936984,0.0,0.0,0.5109641552,0.20389379559999998,0.2039378285,0.022623708500000003,0.0663188398,0.06881185620000001,0.044078152599999997,0.0485462993,7.000000000000001e-10,0.0520138368,-0.0327719189,0.0212055352,-0.008008002299999999,0.012844976000000001,-0.00010286719999999999,0.0634843856,0.0128303543,0.0008140247999999999
167,13:43:36:23.155,61,6e-10,0.0183821842,0.10325438529999999,0.0,0.0,0.1318159103,0.3564632535,6e-10,0.0184422899,0.0137692988,0.0,0.0,0.1317978203,0.35646057130000003,0.08125767860000001,0.0,0.035481561,0.1747279167,0.1013069153,0.2174844444,0.0783762485,0.0,0.0310269222,0.0,0.0,0.0400088578,0.0220124442,0.0498627126,0.0498717315,0.234866932,0.2507030368,0.0504635014,0.0473288782,0.030394038199999997,0.1745537221,0.022139685200000002,0.0228898209,0.2239518911,0.22803772989999999,0.024397345299999998,0.029431793799999998,0.0,0.0,0.4999908507,0.181981802,0.18203350899999998,0.0224184208,0.0664351732,0.0687640235,0.044262819,0.0488563366,6e-10,0.0538755171,-0.0340033658,0.021811606400000003,-0.0084106522,0.0112661524,-9.47586e-05,0.0630705431,0.0112514123,0.0007091921
168,13:43:36:24.157,61,5e-10,0.0157952998,0.1015798673,0.0,0.0,0.1329921633,0.3543631136,5e-10,0.0158493556,0.0154853873,0.0,0.0,0.1329717189,0.3543600738,0.0800793543,0.0,0.0364930481,0.17332257329999998,0.1006728932,0.2190783918,0.0784791037,0.0,0.030976943700000002,0.0,0.0,0.044308003,0.028094034599999998,0.049440875599999996,0.049445200700000004,0.2326985747,0.24857895079999998,0.0504117943,0.046596359500000004,0.0306361746,0.177643314,0.0221166648,0.0228483435,0.22187824550000002,0.22615282239999998,0.024817585899999998,0.0299029015,0.0,0.0,0.4893703461,0.1642920673,0.1643336862,0.022230355099999998,0.06653045120000001,0.0686873645,0.044445123499999996,0.0491363704,9e-10,0.0548963621,-0.0366810039,0.0231860019,-0.0094590411,0.0096822539,-9.15863e-05,0.0620487258,0.009667404000000001,0.0005994838
169,13:43:36:25.158,61,5e-10,0.0135294329,0.0996128395,0.0,0.0,0.1339256167,0.35307949780000003,5e-10,0.0135784149,0.017498668300000002,0.0,0.0,0.1339017898,0.3530755639,0.0791427344,0.0,0.0389303081,0.1725531518,0.10014933349999999,0.22624833879999998,0.0787628517,0.0,0.0309028085,0.0,0.0,0.049575418200000006,0.0367416888,0.048981577199999994,0.0489724763,0.23128466309999998,0.247279644,0.0502898097,0.0458616018,0.030860701600000002,0.18074736,0.0220861342,0.022800173599999998,0.2205514163,0.2249068469,0.0252281744,0.0303548481,0.0,0.0,0.4673736095,0.1549312919,0.15496920050000002,0.022075779700000003,0.0665600896,0.0685102642,0.04459883269999999,0.0493588112,1e-09,0.0559111685,-0.0381958075,0.0248239022,-0.0106889624,0.0082950564,-8.86659e-05,0.0608479381,0.0082799848,0.0005035206999999999
