,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
108,13:44:15:34.020,61,9e-10,0.0443249978,0.1442300975,0.0,0.0,0.18935137989999998,0.7820082903,9e-10,0.0445390753,0.0,0.0257194228,0.0,0.18919931350000002,0.7820094228,0.06826817240000001,0.0,0.0602605566,0.20195218920000002,0.09218800070000001,0.28615698219999997,0.0954135284,0.0,0.0010495475,0.09133900699999999,0.051399331500000006,0.0,0.0,0.0437471159,0.041580081,0.252057761,0.2724583149,0.047245983,0.0405121222,0.0414575785,0.33507639170000003,0.031290561,0.030696801800000003,0.3109295368,0.3019807339,0.048127621399999994,0.049371581500000004,0.08378671110000001,0.08323696259999999,0.2255128026,0.0,0.0,0.028843201699999998,0.11323645710000001,0.10024867949999999,0.0794907287,0.0850551873,4.7e-09,0.0765865371,-0.0986944139,0.0350778885,0.0157052856,0.0272107292,0.0004274402,0.0880727768,0.027181983,0.0023914834
109,13:44:15:35.022,61,8e-10,0.0450482145,0.1439222395,0.0,0.0,0.1887095422,0.7822633981999999,8e-10,0.0452642441,0.0,0.025407822799999997,0.0,0.18856090309999998,0.7822645306999999,0.0683714524,0.0,0.0600825101,0.1982116401,0.09149089460000001,0.2859668434,0.0950255617,0.0,0.001092247,0.0899486542,0.050878535999999995,0.0,0.0,0.044078461799999996,0.0418616682,0.2520877421,0.27234250309999997,0.04716185480000001,0.0400139615,0.0415137373,0.33741107579999996,0.0311299469,0.030538667000000002,0.306260556,0.2972230911,0.0487353317,0.050000757,0.08398879320000001,0.0834365785,0.2241755575,0.0,0.0,0.0285020042,0.11317144330000001,0.1002105176,0.0793537498,0.0848870575,2e-09,0.07574959099999999,-0.0982908159,0.035472773,0.015514823600000002,0.0276536886,0.0004291343,0.08788373320000001,0.027625033599999998,0.002425279
110,13:44:15:36.023,61,7.000000000000001e-10,0.0460003428,0.1433839351,0.0,0.0,0.1880627573,0.7826322913,7.000000000000001e-10,0.046218715599999995,0.0,0.0248967372,0.0,0.1879177839,0.7826333642000001,0.0685198307,0.0,0.0599421449,0.19535852969999998,0.09085655210000002,0.2841636539,0.0945714116,0.0,0.0012376078,0.08891748640000001,0.0503846481,0.0,0.0,0.0443733521,0.0421204418,0.25207939739999996,0.27223593,0.047118444,0.0395820104,0.0415637605,0.3384930789,0.030946368399999997,0.0303611588,0.3043389618,0.2953202426,0.049237675999999994,0.0505452678,0.0841529146,0.0836039484,0.22271284460000002,0.0,0.0,0.0281802043,0.11301230640000001,0.1001079306,0.07925311480000001,0.0847770199,1.8e-09,0.0749627054,-0.098885715,0.035572946099999996,0.0152024925,0.0282366723,0.0004293653,0.08755360539999998,0.0282080881,0.0024672151
111,13:44:15:37.025,61,7.000000000000001e-10,0.0465824716,0.1432988495,0.0,0.0,0.1874555498,0.7830097675,7.000000000000001e-10,0.0468027927,0.0,0.0248415582,0.0,0.18731427190000002,0.7830107808,0.0685986727,0.0,0.0598148368,0.19070783260000002,0.09033326800000001,0.2827868462,0.09428717199999999,0.0,0.0014847112,0.0858900025,0.0496626087,0.0,0.0,0.044581316399999994,0.042305290700000005,0.2517245114,0.2718085647,0.047140750999999995,0.0391837172,0.0418042839,0.33936774729999997,0.0308102369,0.0302310754,0.2969015241,0.2896068692,0.0496800244,0.0510476045,0.0852017701,0.08468382810000001,0.22117012739999997,0.0,0.0,0.0279408675,0.11285188789999999,0.1000320986,0.0792129785,0.0847428143,1.7000000000000001e-09,0.0739312321,-0.09921094779999999,0.0350887775,0.0151686454,0.0285934955,0.0004338261,0.0875007659,0.0285649281,0.0024969387
112,13:44:15:38.026,61,6e-10,0.0476712026,0.14284744859999998,0.0,0.0,0.1868019402,0.7839506269,6e-10,0.0478946492,0.0,0.024421108900000002,0.0,0.18666358289999999,0.7839514017,0.06873463839999999,0.0,0.059853080700000005,0.18737611170000001,0.08997771140000001,0.2821801305,0.0941729695,0.0,0.0018164457,0.0801738352,0.0469558388,0.0,0.0,0.044723410199999994,0.042435277300000004,0.2513876259,0.27144593,0.047226995199999997,0.0388680808,0.042170058899999995,0.33999821539999997,0.0307114702,0.030143544100000003,0.2926111221,0.2863381207,0.0500463955,0.0514804758,0.0855323523,0.08503021300000001,0.2202585042,0.0,0.0,0.027788979900000003,0.1126153767,0.0998830572,0.0791224688,0.08465076980000001,8e-10,0.07291921230000001,-0.0995577201,0.0346869454,0.0149116218,0.0292604323,0.00043642889999999997,0.0872234628,0.0292318426,0.0025471908
113,13:44:15:39.028,61,6e-10,0.0484457463,0.1433130503,0.0,0.0,0.1861703396,0.7845869064000001,6e-10,0.0486727059,0.0,0.0249176174,0.0,0.1860318184,0.7845873833,0.0689386427,0.0,0.0603346564,0.1857641786,0.0897682756,0.2817352116,0.09413353349999999,0.0,0.0023029544,0.0783387795,0.045980498200000004,0.0,0.0,0.0448743664,0.042584952,0.250949055,0.2712114453,0.047348093200000003,0.0385886356,0.0425926559,0.3407303989,0.030646717200000003,0.030084958300000002,0.2903012633,0.2846548855,0.050460618,0.0519592687,0.08604133130000001,0.08555566519999999,0.2187491357,0.0,0.0,0.0276200715,0.1126118973,0.09988065060000001,0.079222247,0.0847298428,7.000000000000001e-10,0.0720136613,-0.1001307294,0.0347209089,0.0152145792,0.0297359079,0.0004525353,0.0875065401,0.0297075249,0.0025970445
114,13:44:15:40.029,61,5e-10,0.048807747699999994,0.1433716714,0.0,0.0,0.1855938882,0.7854275106999999,5e-10,0.0490362644,0.0,0.0249749515,0.0,0.18545649949999998,0.7854275703,0.0692176223,0.0,0.0606845543,0.18474859,0.08950924130000001,0.28179270030000003,0.09411137550000001,0.0,0.0027367976000000002,0.0769036263,0.0449774005,0.0,0.0,0.044988133,0.0426941328,0.2505747974,0.27096143359999997,0.0474363454,0.038314946,0.042979233,0.343970716,0.0305909961,0.0300370902,0.28903996940000004,0.28370100260000003,0.050921768,0.052495405099999996,0.0921150371,0.091733411,0.2134627402,0.0,0.0,0.0275021456,0.11238081009999999,0.099701561,0.0792036504,0.0847076699,6e-10,0.07138701530000001,-0.100783132,0.0351584703,0.015249486999999999,0.0299580377,0.00045696370000000003,0.08754175900000001,0.0299296044,0.0026175205
115,13:44:15:41.031,61,5e-10,0.0481713675,0.1434822828,0.0,0.0,0.185374707,0.7858450413,5e-10,0.048397742199999996,0.0,0.0250931364,0.0,0.18523734809999998,0.7858447433,0.0696823895,0.0,0.061197988700000004,0.1844351739,0.0893648341,0.2821493745,0.0940613896,0.0,0.0032050295,0.07440413530000001,0.0418637693,0.0,0.0,0.0450946912,0.0428001583,0.25055643920000004,0.271168232,0.047551967199999996,0.0380569622,0.043287176600000005,0.3471083939,0.0305178631,0.0299692173,0.28849688170000004,0.2834096253,0.0514097475,0.0530588254,0.09427530320000001,0.0939341933,0.21132130920000003,0.0,0.0,0.027349317400000003,0.11229091880000001,0.09963407369999999,0.0792110637,0.0847022086,8e-10,0.0713658258,-0.1014080197,0.0361457579,0.0153218256,0.029567971800000002,0.0004531496,0.0876103193,0.0295395423,0.0025854057
116,13:44:15:42.033,61,4e-10,0.0470961034,0.1435092986,0.0,0.0,0.18508929010000003,0.7857916951,4e-10,0.047319352599999996,0.0,0.025140658,0.0,0.1849505454,0.7857910395000001,0.07004622370000001,0.0,0.0637734458,0.1843214184,0.0891779885,0.28998813030000004,0.0941188633,0.0,0.0035794487,0.07091818,0.0332783014,0.0,0.0,0.045144558,0.0428447053,0.2504909039,0.2714684904,0.047573346600000004,0.0376929082,0.043612327400000005,0.35598212479999997,0.0304566845,0.029909489700000003,0.2878473103,0.2829945982,0.051996849500000004,0.0536719337,0.098150067,0.09783694890000001,0.2101717591,0.0,0.0,0.0272135306,0.11206649240000001,0.0993741751,0.07910036299999999,0.08451927449999999,9e-10,0.0714384019,-0.10249293599999999,0.0363964625,0.0153511371,0.0289091542,0.0004438946,0.0876284838,0.0288802125,0.0025281894
117,13:44:15:43.034,61,4e-10,0.045441635,0.1445219517,0.0,0.0,0.184829548,0.7856290340000001,4e-10,0.04566098,0.0,0.0261693094,0.0,0.18468712269999998,0.7856279612,0.0704073831,0.0,0.0670272633,0.1843848675,0.0891387388,0.2958340943,0.0943184271,0.0,0.0039717569,0.048747994,0.0164809618,0.0,0.0,0.045110128799999996,0.0428076759,0.2505320609,0.27194336059999996,0.0477119684,0.037331536400000004,0.044052016,0.3614757657,0.0304120705,0.0298621655,0.2839336395,0.2810146809,0.052500061699999996,0.0541912653,0.0990304202,0.0987301618,0.21005617079999997,0.0,0.0,0.0271345302,0.1117325127,0.0989848077,0.07891830799999999,0.0842440277,1.8e-09,0.071699217,-0.1022854373,0.0360286422,0.0159797054,0.0278962739,0.00044587089999999994,0.0882493481,0.0278671905,0.0024567014
118,13:44:15:44.036,61,4e-10,0.044935029,0.1442852318,0.0,0.0,0.1846004128,0.7852583528,4e-10,0.0451520346,0.0,0.025941200600000002,0.0,0.1844527721,0.7852567434000001,0.0707944334,0.0,0.0710931271,0.1846899241,0.0893071443,0.3049603701,0.09466290470000001,0.0,0.0043632514,0.0406956561,0.0084526148,0.0,0.0,0.045060977300000006,0.0427482538,0.2508318424,0.273545295,0.0478530005,0.0369793884,0.0445447005,0.3644143045,0.030374331400000003,0.0298233312,0.2801414132,0.2787500024,0.0529805869,0.0546654277,0.0997115076,0.0994186848,0.2102581263,0.0,0.0,0.027084345,0.1114750504,0.0986216366,0.07873410730000001,0.08394131810000001,3.5099999999999997e-08,0.07236325,-0.1024963707,0.0352960341,0.0158405509,0.027585273599999998,0.0004370585,0.0881055444,0.0275561623,0.00242532
119,13:44:15:45.037,61,3e-10,0.044062133899999995,0.1442893744,0.0,0.0,0.18420860170000003,0.7847903370999999,3e-10,0.044276014,0.0,0.02594788,0.0,0.18405754859999998,0.7847881317000001,0.0710930675,0.0,0.0730382353,0.1851944178,0.08959382029999999,0.3092258275,0.0951253623,0.0,0.0047430955,0.0231049899,0.0,0.0,0.0094680879,0.0449312031,0.0426146649,0.25108578800000003,0.2743982971,0.0480121411,0.0366333351,0.0449860431,0.36596640939999997,0.0302965902,0.029750850099999997,0.2751333117,0.274859488,0.053301163,0.054991353300000004,0.1002770066,0.0999907106,0.2106947452,0.0,0.0,0.027075845699999997,0.1108827442,0.09799667449999999,0.0783968419,0.0835040435,5e-08,0.073051475,-0.1028489769,0.0342982933,0.0158448648,0.027050076099999997,0.0004286914,0.0881093591,0.0270208698,0.0023782866
