,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
128,13:44:15:54.051,61,2e-10,0.0417461134,0.1400272101,0.0,0.0,0.1792701483,0.7822203636,2e-10,0.041943408499999994,0.0,0.021768517799999998,0.0,0.1791656017,0.7822154164,0.069545649,0.0,0.0608800314,0.1587323099,0.0934366435,0.2677982152,0.11534287039999999,0.0,0.0064711254000000005,0.0,0.0,0.0042129178,0.029846066600000002,0.0422839597,0.040089108,0.22616028789999998,0.2393889576,0.050069246399999996,0.035016022599999995,0.057079371100000005,0.3194634914,0.030754417200000002,0.030324941499999997,0.1995532215,0.19582806530000002,0.049257379000000004,0.0518560708,0.1034771279,0.1032494977,0.2140379548,0.0,0.0,0.0297607519,0.1045420989,0.09331150349999999,0.07675833259999999,0.0820885003,1.42e-08,0.0709165409,-0.101730004,0.0422869921,0.0132932654,0.025624034900000002,0.0003406917,0.0855098814,0.025594789500000003,0.0021864153
129,13:44:15:55.053,61,2e-10,0.0408406258,0.1394430548,0.0,0.0,0.1785371453,0.7820891738,2e-10,0.0410336256,0.0,0.0212062299,0.0,0.1784398854,0.782084465,0.06879252940000001,0.0,0.060020145,0.15756574269999998,0.0940383524,0.2668417394,0.1234546006,0.0,0.0065979804,0.0,0.0,0.0146132857,0.0381442383,0.041793730099999996,0.039635252200000005,0.2212321609,0.23540546,0.050318758899999996,0.0349323899,0.058012790999999994,0.30982029440000003,0.0309392996,0.0305282418,0.19234153629999998,0.1902312636,0.04691247269999999,0.0495542102,0.1035215408,0.1032986566,0.21391421559999999,0.0,0.0,0.030502090200000002,0.1031938791,0.0926867947,0.0766162276,0.08203278480000001,1.05e-08,0.070466049,-0.101526022,0.0426107459,0.0129500795,0.0250681192,0.0003246931,0.08515435460000001,0.0250388645,0.0021300344
130,13:44:15:56.054,61,1e-10,0.039768677200000005,0.1386199743,0.0,0.0,0.17781415579999998,0.780508399,1e-10,0.039956603199999996,0.0,0.020398913,0.0,0.17772243920000003,0.7805045843,0.0679081231,0.0,0.0595132671,0.1566594839,0.0961613283,0.26659247280000004,0.14251360300000002,0.0,0.006680412199999999,0.0,0.0,0.027959249900000004,0.051767092199999996,0.0412407033,0.0391147211,0.2140355259,0.2283095121,0.0505907871,0.034854903799999996,0.0603515245,0.2893830836,0.031253248500000004,0.0308621656,0.1758503318,0.1755534261,0.04381207,0.0462754108,0.10653485359999999,0.10634144400000001,0.2139530331,0.0,0.0,0.0324110501,0.1022752449,0.0920870528,0.07654956730000001,0.08201058950000001,6.4e-09,0.07005465030000001,-0.1013078317,0.0419990793,0.0124572739,0.0244099945,0.0003041345,0.08465307949999999,0.0243806262,0.0020618367000000003
131,13:44:15:57.056,61,1e-10,0.037754744300000004,0.1370516866,0.0,0.0,0.1774601191,0.7798457742,1e-10,0.0379333049,0.0,0.0188421402,0.0,0.1773722768,0.7798421979000001,0.0673401654,0.0,0.0592454076,0.1561119407,0.10193006689999999,0.2597667575,0.153395474,0.0,0.006945888000000001,0.0,0.0,0.0391777828,0.060374151900000006,0.0406839512,0.0385947153,0.20720437170000003,0.2218684852,0.0520276763,0.034931670899999996,0.0658531412,0.2779635489,0.0316987112,0.0313301161,0.16068919,0.1620458961,0.0404501185,0.0428670533,0.1079790145,0.1078066677,0.2150901109,0.0,0.0,0.0345569514,0.1015817747,0.09166975320000001,0.0765375495,0.0820458755,4.1999999999999996e-09,0.0688019916,-0.09987026449999999,0.0408943519,0.011506918799999998,0.023173674900000003,0.0002666994,0.0836978033,0.023144098,0.0019351924
132,13:44:15:58.057,61,1e-10,0.0350250117,0.13541726769999998,0.0,0.0,0.1776394248,0.7793273926000001,1e-10,0.035191670099999996,0.0,0.017230663400000002,0.0,0.1775554121,0.7793239951,0.0672764629,0.0,0.058723598700000004,0.1529488713,0.10447821019999999,0.2148452997,0.1581050158,0.0,0.007111957800000001,0.0,0.0,0.0592319742,0.0775547028,0.0400930531,0.038042172799999996,0.20011374350000002,0.2125291675,0.0577354133,0.0351978987,0.07480233160000001,0.2613637149,0.032320462200000004,0.0319943354,0.1458484977,0.1462695599,0.0372064188,0.0394951142,0.1084973142,0.10833290220000001,0.21702505649999998,0.0,0.0,0.0373080894,0.10103058820000001,0.09138875449999999,0.0766331777,0.0822055489,2.4e-09,0.0673825741,-0.09837330130000001,0.0403005965,0.0105231823,0.021498560899999998,0.00022626400000000003,0.08270273360000001,0.021468954199999998,0.0017737885999999999
133,13:44:15:59.059,61,1e-10,0.0334177725,0.1347490251,0.0,0.0,0.1777254939,0.7789334655,1e-10,0.0335783772,0.0,0.0165847223,0.0,0.1776451319,0.7789302468000001,0.0673317611,0.0,0.0581636801,0.1493081748,0.1074535325,0.1999814659,0.16259735820000001,0.0,0.007363995999999999,0.0,0.0,0.0695026889,0.0859538019,0.0394703597,0.037464611200000004,0.1926909387,0.2043566555,0.0626208559,0.0355490223,0.08113369349999999,0.2362901866,0.0329848118,0.032691244,0.1298595369,0.1311815232,0.0337285027,0.035888757599999994,0.1087836996,0.1086248159,0.21773163969999998,0.0,0.0,0.0399599969,0.1002536416,0.09096504,0.0767054558,0.08234597,1.4000000000000001e-09,0.06664486230000001,-0.0984985754,0.0393090136,0.0101289004,0.0205129199,0.0002077989,0.0822963044,0.0204830896,0.0016840146
134,13:44:16:00.061,61,1e-10,0.030504403599999997,0.1342251599,0.0,0.0,0.1779640019,0.7786759137999999,1e-10,0.0306546669,0.0,0.0160585884,0.0,0.17788767809999997,0.7786727548000001,0.0673010945,0.0,0.056794904199999996,0.1420194209,0.1087215915,0.19229304789999999,0.1651965976,0.0,0.007723383100000001,0.0,0.0,0.0759413466,0.09003613140000001,0.0387899205,0.0368404165,0.1865776479,0.1974653602,0.06473451849999999,0.0358319506,0.0842219219,0.2275301814,0.0336248763,0.0333649926,0.1220352575,0.1233832613,0.0313907899,0.033601574599999996,0.1087891757,0.10863548519999999,0.2176187634,0.0,0.0,0.041383218,0.0991151184,0.0905163065,0.0767903328,0.08253648129999999,1e-09,0.06564815339999999,-0.0972601622,0.0383053645,0.0098079154,0.0187267754,0.0001836891,0.08197923,0.0186968818,0.0015312168
135,13:44:16:01.062,61,1e-10,0.0278679505,0.1330237091,0.0,0.0,0.1783818603,0.7783411145,1e-10,0.0280084573,0.0,0.014850718899999999,0.0,0.1783097386,0.7783380746999999,0.0674938709,0.0,0.0538301133,0.1330320835,0.1093617305,0.1846802682,0.1676511914,0.0,0.0079913307,0.0,0.0,0.0823925212,0.0942032114,0.038095708900000004,0.036198686800000004,0.1806314886,0.18979187309999998,0.0674318373,0.0361376926,0.09101427349999999,0.2229121774,0.0348673575,0.034791614900000004,0.1146485209,0.115293853,0.0298645403,0.032092083199999996,0.10876187679999999,0.1086110398,0.2174527198,0.0,0.0,0.0447002836,0.09838484970000001,0.0902315751,0.0770245865,0.0828935504,8e-10,0.0652316213,-0.09775418039999999,0.0378406644,0.0090704607,0.0171100963,0.00015520950000000002,0.0812477693,0.0170799121,0.0013863124
136,13:44:16:02.064,61,1e-10,0.023950545099999998,0.1305443794,0.0,0.0,0.1787931025,0.7777790427,1e-10,0.024076024100000003,0.0,0.0123814289,0.0,0.1787251979,0.7777761220999999,0.06751719860000001,0.0,0.051048707199999994,0.1281053722,0.10971352460000001,0.1817913502,0.19450008870000002,0.0,0.008230638699999999,0.0,0.0,0.0900266394,0.0996571034,0.0371832438,0.03548095,0.17557352780000002,0.1833175719,0.0688565075,0.0363365188,0.09530243279999999,0.2202821523,0.036040049,0.036129985,0.1090473831,0.1094549447,0.0285751298,0.030795719500000002,0.1077897698,0.1076439321,0.2178070247,0.0,0.0,0.048898603799999996,0.0968644395,0.0897694454,0.07709302009999999,0.0830842182,4e-10,0.06517921389999999,-0.0985572711,0.0368140228,0.0075625675,0.014707628600000001,0.0001112344,0.07973647860000001,0.014677193,0.0011691513
137,13:44:16:03.065,61,1e-10,0.0219280273,0.1287793964,0.0,0.0,0.1792813241,0.7774145007,1e-10,0.022045506200000002,0.0,0.0106182825,0.0,0.1792173386,0.7774116396999999,0.06740330900000001,0.0,0.049571465700000004,0.1258153617,0.1102420837,0.1812603623,0.22865122559999998,0.0,0.0085040061,0.0,0.0,0.09539402279999999,0.1037923917,0.0362419188,0.0347392671,0.1729915887,0.1802155375,0.0699790418,0.0364786573,0.10040849449999999,0.2189994007,0.0373535007,0.0375676304,0.10416331890000001,0.1046366766,0.0275913272,0.0298141781,0.10623993720000001,0.1061065868,0.21825076640000002,0.0,0.0,0.052188988799999995,0.09596301619999999,0.089409411,0.0772539228,0.08336631950000001,5e-10,0.06465893980000001,-0.09843120720000001,0.036741655299999995,0.0064857531999999996,0.0134671191,8.73491e-05,0.0786597878,0.0134366192,0.0010558952000000001
