,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
95,13:44:15:21.000,61,2.5e-09,0.013236125,0.1508589834,0.0,0.0,0.1928774416,0.7734194398,2.5e-09,0.013339944199999999,0.0,0.0326283053,0.0,0.1926823556,0.7734285593000001,0.0760016292,0.0,0.0504159853,0.124147445,0.1268438101,0.1041062698,0.1199664101,0.0021498546,0.0,0.0,0.0,0.0604170114,0.07476466150000001,0.0388829261,0.0373388939,0.1587990075,0.17170280219999998,0.09056364,0.0466510169,0.0754778534,0.11911383269999999,0.0355621725,0.0348395929,0.10413658619999999,0.1029377058,0.019399676499999997,0.0199958421,0.0454688855,0.0449524783,0.2516018152,0.0,0.0,0.047873441100000004,0.1018686518,0.0959008262,0.0847702175,0.0906104743,8.3e-08,0.077331841,-0.1036930531,0.0326433145,0.0199308358,0.0081505282,0.0001624397,0.09215151519999999,0.0081199426,0.0007472227
96,13:44:15:22.002,61,2.3e-09,0.0156056145,0.149291575,0.0,0.0,0.192977488,0.7749599814,2.3e-09,0.0157176293,0.0,0.0311154053,0.0,0.19279417399999998,0.7749668359999999,0.0736792237,0.0,0.0497404635,0.1521419883,0.1295081675,0.1878267825,0.1368632913,0.0017414101000000001,0.0,0.0,0.0,0.0245846715,0.0319827497,0.0383683555,0.0368855819,0.1910145879,0.2053394318,0.08159810299999999,0.046954177300000004,0.0748286992,0.1624315381,0.0354498439,0.0347535945,0.150816828,0.1494010091,0.0188524816,0.019478011899999998,0.0500780419,0.0496787578,0.25238195059999996,0.0,0.0,0.0479884185,0.10174433140000001,0.09573709960000001,0.084280014,0.0902547091,1.062e-07,0.07752587650000001,-0.10477125640000001,0.032771523999999996,0.0190064441,0.0096030887,0.0001825152,0.0911928788,0.0095727062,0.0008717796
97,13:44:15:23.003,61,2.0999999999999998e-09,0.01911477,0.1479483992,0.0,0.0,0.192870006,0.7768127918000001,2.0999999999999998e-09,0.0192394704,0.0,0.029832800899999998,0.0,0.1926956475,0.7768175601999999,0.0700703114,0.0,0.049754865499999995,0.1603122354,0.1300325245,0.2602304816,0.1411348283,0.0013895893,0.0,0.0068263384,0.0,0.0,0.0097448099,0.0381787121,0.0367010161,0.21102598309999998,0.2277942598,0.0675630718,0.0467963442,0.0700358301,0.2173254937,0.0352514163,0.034579910299999995,0.1956754625,0.1895131767,0.019045466599999998,0.0197004434,0.0557963625,0.055445410300000005,0.2489566654,0.0,0.0,0.04708107190000001,0.1063176543,0.09656285490000001,0.0839058459,0.0899544284,1.0650000000000001e-07,0.07663669440000001,-0.10457829390000001,0.033506196,0.018222563,0.011754675800000001,0.00021419830000000002,0.0903703645,0.011724395700000001,0.0010581444
98,13:44:15:24.005,61,2e-09,0.0212030523,0.148264274,0.0,0.0,0.1927363575,0.7782828808,2e-09,0.0213359483,0.0,0.0301976446,0.0,0.1925696284,0.7782863379,0.0678428933,0.0,0.0498817228,0.1669224054,0.126385197,0.2987853289,0.12851418550000002,0.0011215714,0.0,0.0337791964,0.0020417282,0.0,0.0,0.0382839702,0.0367812105,0.2333579063,0.2502976358,0.0587349497,0.0463287421,0.0613993183,0.24733677510000002,0.0348545313,0.034198038300000004,0.2409665734,0.2349032909,0.0223855469,0.023178014900000002,0.062516585,0.062107116,0.2476412654,0.0,0.0,0.0438291691,0.10833357269999999,0.0971390828,0.0833137557,0.08938541259999999,9.13e-08,0.0767000988,-0.10341150310000001,0.0338336602,0.018445128600000003,0.0130356075,0.0002404434,0.0905618891,0.0130055081,0.0011762597
99,13:44:15:25.006,61,1.8e-09,0.025203786800000003,0.1473098695,0.0,0.0,0.1926090419,0.7799981833,1.8e-09,0.025350928300000002,0.0,0.0292305425,0.0,0.1924468726,0.7800004481999999,0.0667458326,0.0,0.050874088,0.17473518850000003,0.1213508546,0.31552198530000003,0.1218069419,0.0008262911999999999,0.0,0.048690848099999996,0.0126496879,0.0,0.0,0.0386210419,0.037066929,0.2415546924,0.2595579922,0.054001882699999997,0.045828294000000006,0.0550765321,0.268116951,0.0344132334,0.0337687954,0.26480877399999997,0.2588614225,0.0267388821,0.0275770742,0.0661868677,0.0657640174,0.24562622609999998,0.0,0.0,0.0406571403,0.1096418127,0.0976991132,0.0826769695,0.0887148976,2.71e-08,0.077406466,-0.1036244258,0.0345617644,0.0178537816,0.015488469,0.0002765352,0.0899758041,0.0154586555,0.0013891386999999999
100,13:44:15:26.008,61,1.7000000000000001e-09,0.0296594109,0.1470384151,0.0,0.0,0.1922494024,0.7809032201999999,1.7000000000000001e-09,0.0298233349,0.0,0.028828991600000003,0.0,0.19208857420000003,0.7809050679,0.0662613735,0.0,0.0533310249,0.18623310329999998,0.11262281980000001,0.3180992305,0.1146184802,0.0004719754,0.0,0.0606786534,0.0223761294,0.0,0.0,0.039092049,0.0374840163,0.24567469949999998,0.2642337978,0.0514925867,0.0452432558,0.0500061065,0.2885618806,0.0339498334,0.033313252,0.2868056297,0.2808594108,0.0317092612,0.0327180959,0.071125567,0.0706759468,0.2441501766,0.0,0.0,0.0376996771,0.11048090460000001,0.0981150195,0.0820504948,0.08802361789999999,4.1999999999999996e-09,0.0778784305,-0.1038550809,0.0351401456,0.0176077057,0.0182208624,0.0003208465,0.08980589359999999,0.0181912202,0.0016316622
101,13:44:15:27.009,61,1.5e-09,0.0347744413,0.1455035955,0.0,0.0,0.19192300739999998,0.7815930843000001,1.5e-09,0.0349553451,0.0,0.0271445084,0.0,0.19176071879999998,0.7815945745,0.0662706941,0.0,0.057505987599999996,0.1992191225,0.10767453910000001,0.2977599502,0.1080564484,4.43042e-05,0.0,0.0704749674,0.0304528177,0.0,0.0,0.0397043228,0.0380322561,0.24806793030000002,0.2677181065,0.050066568,0.044642746399999995,0.0467013046,0.2993654013,0.033460941200000004,0.0328362472,0.2980428636,0.2925958037,0.035687770699999996,0.036718688900000004,0.0740518644,0.0736026391,0.2404960096,0.0,0.0,0.0349259563,0.11113735289999999,0.0985020325,0.0815131515,0.08740147949999999,2.9100000000000002e-08,0.0788327307,-0.10440948609999999,0.0353172086,0.0165778585,0.0213559438,0.00035407339999999997,0.0888629854,0.0213266592,0.0018929422
102,13:44:15:28.011,61,1.4000000000000001e-09,0.0393518396,0.1440149844,0.0,0.0,0.1916005164,0.7819877863,1.4000000000000001e-09,0.0395473763,0.0,0.0255418904,0.0,0.1914367825,0.781989038,0.0665676445,0.0,0.059160068600000004,0.20408518609999998,0.1028572246,0.29289847609999997,0.1036291793,0.0,0.0002942443,0.0793150067,0.038590744100000005,0.0,0.0,0.040380422,0.0386332273,0.24958465989999998,0.2698142231,0.0491640829,0.0440057293,0.04477752,0.3108342886,0.0330131389,0.0323973633,0.3066633344,0.3006211221,0.0393191315,0.0403320454,0.0773586929,0.0768798217,0.23893731829999998,0.0,0.0,0.0331961215,0.1116389632,0.0988354981,0.0809966847,0.08679477869999999,5.46e-08,0.0790079534,-0.1048584133,0.0355575457,0.015598100600000001,0.024161061299999998,0.0003769247,0.0879482776,0.0241319612,0.0021200378
103,13:44:15:29.012,61,1.3e-09,0.0374423116,0.1439807713,0.0,0.0,0.1915076077,0.7820931673,1.3e-09,0.0376308262,0.0,0.0255065914,0.0,0.1913436055,0.7820943593999999,0.0669614449,0.0,0.0601270758,0.2065935284,0.0994242057,0.2902406752,0.1007384583,0.0,0.0005629713,0.0826788768,0.041583512,0.0,0.0,0.0410282463,0.0392072983,0.2505539954,0.27110672,0.0485922843,0.0433650538,0.0435325205,0.3187662959,0.032605964700000004,0.0319978967,0.3104858696,0.304268688,0.0418332331,0.042908307199999995,0.0796538964,0.0791608989,0.2362317741,0.0,0.0,0.0320200026,0.11199364810000001,0.0991169661,0.0805234462,0.0862470791,5.99e-08,0.0783690289,-0.1040371805,0.035233445499999995,0.0155769754,0.022990156,0.0003581657,0.0879297853,0.0229609292,0.0020167008
104,13:44:15:30.014,61,1.2e-09,0.0396841764,0.1443208903,0.0,0.0,0.1912818104,0.7817777991,1.2e-09,0.039881277799999997,0.0,0.025820856899999998,0.0,0.1911173463,0.7817789316,0.0673243105,0.0,0.060766533,0.2076221704,0.09673801060000001,0.2885253131,0.0986489058,0.0,0.0007442036,0.0880932584,0.0465891249,0.0,0.0,0.041690021800000004,0.0397915915,0.25110220910000003,0.2719008029,0.048142377300000004,0.042739119400000004,0.042647648600000004,0.322706461,0.032241784,0.0316377841,0.3126702905,0.30626532440000004,0.043953392699999996,0.0449514277,0.0809304267,0.0804274827,0.2328308225,0.0,0.0,0.031087197400000002,0.1124290824,0.0994481966,0.0802744329,0.08592641349999999,6.18e-08,0.0779392496,-0.1031805202,0.0346575826,0.0157683864,0.024365114,0.0003842586,0.08813465390000001,0.0243361592,0.0021425032
