,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
69,13:44:14:54.960,61,2.19e-08,0.0103625674,0.1517709196,0.0,0.0,0.2183015645,0.7668172717,2.19e-08,0.0104554575,0.0,0.0334950984,0.0,0.21817523239999997,0.7668334245999999,0.058618951600000004,0.0,0.0407180227,0.1298378408,0.0869358182,0.1568446755,0.1214925945,0.0,0.0057636634,0.0061849738,0.0,0.0,0.0157930404,0.0379760116,0.035962786499999996,0.2074323595,0.2196631879,0.0551306009,0.0363904387,0.06594149769999999,0.2428140491,0.0415973738,0.0407151394,0.1721127778,0.16747656460000002,0.0316131823,0.0329025201,0.2917816043,0.2911911607,0.1878281832,0.0,0.0,0.0410108157,0.0980560035,0.0869513452,0.0813231468,0.08669816699999999,1.369e-07,0.0701490641,-0.1049140617,0.025039710099999998,0.020460574,0.0063882135,0.0001306992,0.092709735,0.0063574342,0.0005885599
70,13:44:14:55.961,61,2.0099999999999998e-08,0.011842181,0.151188314,0.0,0.0,0.21776790920000003,0.7734113336,2.02e-08,0.0119407307,0.0,0.0329472944,0.0,0.2176474631,0.773424983,0.0628981888,0.0,0.0403609537,0.1173172891,0.08668119460000001,0.1286260635,0.1194765046,0.0,0.0052446891,0.0049426933,0.0,0.0,0.025257973,0.038110166800000005,0.0361141264,0.2016012818,0.2118405104,0.061487481,0.0368011296,0.0775970668,0.2357950807,0.0414307415,0.0405585244,0.1433512568,0.1391441822,0.0312276315,0.0324988998,0.2567260563,0.2561088502,0.18126416210000001,0.0,0.0,0.040591783799999996,0.0979795009,0.08710586279999999,0.08189632,0.0873413756,4.057e-07,0.0693171546,-0.1043259874,0.026638070099999998,0.020125825,0.007295655600000001,0.0001468238,0.09235326199999999,0.0072649381999999995,0.0006699989999999999
71,13:44:14:56.963,61,1.85e-08,0.015299231699999999,0.1505985111,0.0,0.0,0.2170986086,0.7779277563,1.86e-08,0.0154110519,0.0,0.0323962457,0.0,0.21698246899999998,0.7779402137,0.0670149773,0.0,0.0402507894,0.11321660880000001,0.0864736214,0.1193785891,0.1183631867,0.0,0.0045891021999999995,0.0049102418,0.0,0.0,0.0277277306,0.0382837057,0.036289677,0.19958323239999998,0.2093055248,0.0660315752,0.0372937322,0.08393350990000001,0.2344754338,0.0414278246,0.0405629687,0.135183692,0.1310122609,0.030963935,0.0321991071,0.2270347178,0.2262815982,0.1769439131,0.0,0.0,0.0402152389,0.0983405039,0.0875760242,0.0839232653,0.08935915679999999,5.678e-07,0.0692148209,-0.1030274332,0.028536519,0.019788865,0.0094159208,0.00018632369999999998,0.0919913799,0.009385456300000001,0.0008621888
72,13:44:14:57.964,61,1.71e-08,0.0180475041,0.15070240199999999,0.0,0.0,0.21537336710000002,0.7802024484000001,1.71e-08,0.0181702524,0.0,0.0325486399,0.0,0.2152645439,0.7802143693000001,0.0689815134,0.0,0.0403563455,0.1111607626,0.0863819718,0.11964865029999999,0.1175266951,0.0,0.0039632632,0.0051582968,0.0,0.0,0.0287486855,0.0384283289,0.036429949100000004,0.1985661387,0.2080915868,0.0680375695,0.037699684500000004,0.086685434,0.23856833579999998,0.0413669832,0.0405141115,0.1323719323,0.1275861412,0.0308228023,0.032029267400000005,0.1836632788,0.18287435170000002,0.17482592170000003,0.0,0.0,0.0398073792,0.0988606513,0.08813781289999999,0.0849802792,0.0904987901,7.301999999999999e-07,0.0696271732,-0.10175250470000001,0.0306324735,0.019881608000000002,0.0111017702,0.0002207156,0.09205325689999999,0.0110714715,0.0010177676
73,13:44:14:58.966,61,1.57e-08,0.0230401773,0.1501237452,0.0,0.0,0.2120330036,0.782006979,1.57e-08,0.0231820513,0.0,0.0319964625,0.0,0.21193319559999999,0.7820180655,0.07025373730000001,0.0,0.0407250226,0.1110312566,0.0865111351,0.14293429259999998,0.1168579459,0.0,0.0033412634000000003,0.0058252905,0.0,0.0,0.0284717325,0.038584657,0.0365675017,0.1981872469,0.20770159359999998,0.069147408,0.038086839,0.0878738463,0.2548378408,0.0412344709,0.0404059887,0.1428633332,0.1355013549,0.030911993199999998,0.0320969038,0.1480654776,0.14732092619999998,0.1736929864,0.0,0.0,0.039399594100000004,0.0995052755,0.0887641534,0.0857918188,0.0913703218,8.548000000000001e-07,0.0710092112,-0.09952349960000001,0.0326837264,0.0195435695,0.0141638126,0.0002768124,0.0916962549,0.0141338259,0.0012942891
74,13:44:14:59.967,61,1.44e-08,0.0289192144,0.1505652219,0.0,0.0,0.2071792632,0.7831490636,1.4499999999999999e-08,0.0290848948,0.0,0.0324330479,0.0,0.2070922107,0.7831596136,0.07102198900000001,0.0,0.0412310213,0.1206903011,0.0867922679,0.18310174350000002,0.116203703,0.0,0.0027799939,0.0089408336,0.0,0.0,0.0242331289,0.038807526200000005,0.0367568247,0.2000877559,0.2109323293,0.0695146471,0.0383411907,0.0874380618,0.29592898489999997,0.040966428799999996,0.0401623547,0.1709425747,0.1614155471,0.0314116105,0.0325953737,0.1273562759,0.1265909374,0.1735620499,0.0,0.0,0.0389452651,0.10053558650000001,0.0894635022,0.08632687480000001,0.09197849779999999,5.962e-07,0.0724431425,-0.0974319801,0.0348225944,0.0198090971,0.0177704431,0.0003520304,0.0919606611,0.0177407134,0.001629319
75,13:44:15:00.969,61,1.33e-08,0.03183024,0.1520681679,0.0,0.0,0.2034543157,0.7839722037000001,1.33e-08,0.0320093855,0.0,0.0339613371,0.0,0.2033676952,0.7839820981,0.0711500421,0.0,0.044947460300000006,0.1413575709,0.0874172449,0.2491248846,0.1157685891,0.0,0.0023430651,0.0106676705,0.0,0.0,0.0226569213,0.0390358828,0.0369485877,0.20792062579999998,0.22307303550000002,0.06867002700000001,0.0383872539,0.08211305740000001,0.3197972775,0.0405440703,0.0397625193,0.1940883398,0.1848287582,0.0339825451,0.035276342200000005,0.1127728149,0.11207789929999999,0.1748807728,0.0,0.0,0.0384319052,0.10207174720000001,0.09018765390000001,0.0865837261,0.09231396019999999,4.3439999999999997e-07,0.0741229802,-0.09572382269999999,0.035928260499999996,0.0207418352,0.0195576306,0.0004056838,0.09287554769999999,0.019528161699999998,0.0018113110000000001
76,13:44:15:01.970,61,1.22e-08,0.0355528891,0.15259887279999998,0.0,0.0,0.20079821350000002,0.7865920067000001,1.23e-08,0.035747841,0.0,0.0345057175,0.0,0.2006815672,0.7865980864,0.0712623671,0.0,0.060031719500000004,0.17447364329999998,0.0904758573,0.3267834783,0.11533802,0.0,0.0021185235,0.0318929777,0.0,0.0,0.0151678547,0.0394383818,0.0372877903,0.23249524829999998,0.2581352592,0.0654151067,0.038339342900000004,0.0740052313,0.3559386432,0.0400726534,0.0393063389,0.246358037,0.23897856469999998,0.041662417400000006,0.0425392091,0.1052731425,0.104630515,0.1769388318,0.0,0.0,0.0377349518,0.10843276980000001,0.0929932743,0.08669628199999999,0.09241873769999999,2.589e-07,0.0762787536,-0.0946387202,0.036392487599999995,0.0210733172,0.0218419656,0.00046032180000000003,0.0931953192,0.0218126979,0.0020302192000000003
77,13:44:15:02.972,61,1.1299999999999999e-08,0.0389722772,0.1510195136,0.0,0.0,0.1983372718,0.7885691523999999,1.1299999999999999e-08,0.0391781554,0.0,0.032921027400000004,0.0,0.19817698,0.7885714173,0.07160506400000001,0.0,0.06742068379999999,0.18805241579999998,0.092038855,0.38279464840000005,0.11495526880000001,0.0,0.0019588391,0.0416648723,0.0,0.0,0.010969243,0.039877899,0.0376393683,0.2474532127,0.27192050219999997,0.0605913326,0.038115419399999996,0.0675032735,0.38132390380000003,0.0396003202,0.0388466232,0.2666429877,0.2595759034,0.051794096799999995,0.0523375496,0.0960450917,0.0954424217,0.1852903813,0.0,0.0,0.0364775956,0.1135422587,0.0959965885,0.0867823586,0.09246239070000001,3.44e-08,0.0782185718,-0.09382157029999999,0.0365180783,0.020104553600000002,0.023937415299999997,0.00048131050000000005,0.0922263563,0.0239084363,0.0022022799
78,13:44:15:03.974,61,1.04e-08,0.0414666608,0.150220558,0.0,0.0,0.19706997280000002,0.7895857096,1.04e-08,0.041680932000000004,0.0,0.0320184566,0.0,0.19687868649999998,0.7895862459999999,0.07413155589999999,0.0,0.07610873879999999,0.2349402905,0.0929587707,0.4036048055,0.11340278390000001,0.0,0.0018397586,0.0563272275,0.0,0.0,0.0059430152,0.040555466,0.0381672606,0.26292485,0.2906492054,0.05771735309999999,0.0378685854,0.0575364567,0.3946999311,0.0391105041,0.038362205,0.3231575191,0.3159146905,0.0601890609,0.0599816479,0.08500669150000001,0.0843662694,0.1929959059,0.0,0.0,0.0342899673,0.12058421970000001,0.10019827630000001,0.08704055849999999,0.0925918669,5.761e-07,0.08021223549999999,-0.09270046650000001,0.0354434401,0.0195526239,0.025466304300000003,0.000498009,0.09173501279999999,0.0254375227,0.0023307384
