,Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
105,13:43:35:21.059,61,9.619999999999999e-08,0.0,0.0372793078,0.0,0.024413555899999998,0.1549770534,0.1331687123,9.61e-08,0.0,0.0803089887,0.0,0.0243507177,0.155006513,0.1331789941,0.06649973990000001,0.0107571678,0.0,0.0526233241,0.0552930795,0.0371931568,0.052122999,0.0,0.0256065018,0.0120584918,0.037423104,0.0,0.0,0.037347775,0.0366733447,0.0717230514,0.0685591698,0.0897511169,0.0527772903,0.0815382004,0.0734686479,0.04767441,0.0503669828,0.057200752199999996,0.0594932996,0.010845338000000001,0.013250838000000001,0.1231628507,0.1231756732,0.0520753302,0.0,0.0,0.040261697,0.0444299467,0.0516228229,0.0616334863,0.06476561730000001,9.12e-08,-0.0122820577,-0.0433224887,0.0036165273999999997,-0.049055200099999995,-0.0106378021,0.0005216498000000001,0.0227713417,-0.010655186100000002,-0.0002426211
106,13:43:35:22.060,61,8.849999999999999e-08,0.0,0.037092801200000004,0.0,0.0254443679,0.1550416499,0.13563786449999998,8.849999999999999e-08,0.0,0.0805234239,0.0,0.0253801644,0.15507109460000001,0.1356482357,0.0663039237,0.0108154994,0.0,0.052752792800000003,0.055464766900000004,0.037280868700000004,0.0522764288,0.0,0.0254959743,0.010619574199999999,0.034818429500000005,0.0,0.0,0.0372443646,0.0365622751,0.0719176456,0.0687204301,0.089717485,0.0526274852,0.0813395232,0.0734758079,0.0474520512,0.0501415096,0.057140667,0.0593868047,0.0108244056,0.013223743100000001,0.11792767789999999,0.11793743820000001,0.0522172824,0.0,0.0,0.0401805043,0.0444143116,0.051595982199999994,0.061525415599999994,0.0646759123,9.31e-08,-0.012397283700000001,-0.0433984287,0.0034749197999999998,-0.0491859429,-0.0110875955,0.0005451562,0.0226573069,-0.011105049399999999,-0.0002515993
107,13:43:35:23.062,61,8.150000000000001e-08,0.0,0.0366455019,0.0,0.027292890499999996,0.1550618708,0.1381761134,8.14e-08,0.0,0.0809684545,0.0,0.027226228300000002,0.1550914645,0.1381856948,0.0661524385,0.010901683899999999,0.0,0.0530243926,0.055783312800000005,0.0374726877,0.052593324299999994,0.0,0.0253925789,0.0085523166,0.028394786600000003,0.0,0.0,0.037133541,0.0364467353,0.072130926,0.0688965917,0.08976101130000001,0.052614990599999995,0.0810489133,0.0733370781,0.0471925512,0.0498852246,0.0570825674,0.059274401500000004,0.010782686100000001,0.0131729739,0.10266789789999999,0.1026758924,0.0524301529,0.0,0.0,0.0402067527,0.0443816185,0.0515495874,0.061341501799999996,0.0645075366,9.25e-08,-0.012618938500000001,-0.0437267162,0.0031923663,-0.049457330300000005,-0.011894227,0.0005880445,0.0223838761,-0.0119117545,-0.0002666216
108,13:43:35:24.064,61,7.5e-08,0.0,0.0365319699,0.0,0.0266626012,0.1548143178,0.1389793903,7.49e-08,0.0,0.0810951516,0.0,0.0265962109,0.1548439264,0.1389884949,0.0662603974,0.010865090400000001,0.0,0.053837169000000004,0.0568278953,0.0378373414,0.053003143499999995,0.0,0.0252103955,0.007185965799999999,0.025945700699999998,0.0,0.0,0.0371031016,0.0364073329,0.0726023838,0.0693411604,0.09006192539999999,0.0529270992,0.0805137157,0.0729768425,0.0468197204,0.0495058857,0.057440768899999994,0.0595771633,0.0107518714,0.0131283645,0.0685323626,0.0685391054,0.0530480854,0.0,0.0,0.040218319700000005,0.044391479299999995,0.0515273511,0.061149314,0.0643229336,8.23e-08,-0.0133457463,-0.0435821153,0.0029278649,-0.049534872199999996,-0.0116190379,0.0005753380999999999,0.0223146006,-0.011636651100000001,-0.0002596574
109,13:43:35:25.065,61,6.900000000000001e-08,0.0,0.035746425400000004,0.0,0.0224849842,0.1527176201,0.1402665526,6.900000000000001e-08,0.0,0.0819475725,0.0,0.0224224199,0.1527446955,0.1402747482,0.0661746562,0.0106098726,0.0,0.058986827699999994,0.0635744706,0.0401975662,0.0543994308,0.0,0.024869971,0.006123845,0.024136090699999998,0.0,0.0,0.0370317623,0.036317952,0.075268276,0.0718650892,0.09018705789999999,0.053190883200000004,0.07781891519999999,0.0724454671,0.0459147841,0.0484984405,0.0597691834,0.0613666028,0.010730038400000001,0.0130883753,0.021240040699999997,0.0212435611,0.0612032264,0.0,0.0,0.0400692411,0.044376973099999995,0.051426161100000006,0.060801371900000005,0.0639770851,6.85e-08,-0.0136107011,-0.0425943695,0.0028891248999999997,-0.0500565358,-0.0097958958,0.0004901594,0.021835198599999998,-0.009813264,-0.00021426439999999998
110,13:43:35:26.067,61,6.349999999999999e-08,0.0,0.0345454887,0.0,0.0019184635999999998,0.1448278278,0.1418997347,6.349999999999999e-08,0.0,0.0833223611,0.0,0.0018785753,0.1448502392,0.1419066936,0.0651708767,0.010112646999999999,0.0,0.0792439729,0.0737809539,0.0677680746,0.058155331799999994,0.0,0.02447607,0.0054817991,0.0230386909,0.0,0.0,0.0369691998,0.0362555198,0.0878299177,0.08628322179999999,0.0863417983,0.053112976299999996,0.066497542,0.0723186508,0.0421111174,0.0442432351,0.0758630186,0.0756944269,0.0108314017,0.0131885335,0.0,0.0,0.0938499272,0.0443685576,0.0443645902,0.0391866192,0.0443228483,0.0512389429,0.060252033200000006,0.06342834230000001,4.37e-08,-0.014298761299999999,-0.0412530154,0.0026466159999999996,-0.0508987196,-0.000820746,4.175689999999999e-05,0.0211026315,-0.0008372741000000001,-1.76674e-05
111,13:43:35:27.068,61,5.84e-08,0.022380186200000002,0.0370167755,0.0,0.0,0.1333419234,0.1535230279,5.84e-08,0.022383307999999998,0.08090961719999999,0.0,0.0,0.1333554983,0.1535292864,0.0638739616,0.0093342559,0.0,0.1325169951,0.1052353829,0.1385583878,0.07766224440000001,0.0,0.02429468,0.0051104845,0.0225807242,0.0,0.0,0.037030179100000005,0.036343649,0.11599877480000001,0.11938254539999998,0.0810541138,0.0531103313,0.056722443600000005,0.0731766522,0.038366347599999996,0.0401337408,0.1259160191,0.1258385628,0.0110928584,0.0134882797,0.0,0.0,0.1565139145,0.131235525,0.1312265396,0.0374890529,0.0444948189,0.0512792207,0.0596272089,0.062846072,3.78e-08,-0.015266323500000002,-0.0401232429,0.0023853235999999997,-0.049420245,0.0136899017,-0.0006763250999999999,0.0226101484,0.0136747733,0.0003091816
112,13:43:35:28.070,61,5.38e-08,0.0454472937,0.043440535700000005,0.0,0.0,0.1246840432,0.1824687868,5.38e-08,0.0454389043,0.0742348433,0.0,0.0,0.124692224,0.18248391149999998,0.063175492,0.0079721967,0.0,0.1530290246,0.11457332220000001,0.2444093227,0.10928624869999999,0.0,0.0243993551,0.0,0.015218971299999998,0.0041850316,0.0,0.037230502799999995,0.0365846492,0.1577536166,0.1635781974,0.0655032545,0.0526722446,0.0515272617,0.11856427789999999,0.0359591991,0.037465784700000004,0.1469980776,0.1486181617,0.0117984079,0.0147715369,0.0,0.0,0.2801698446,0.2489467859,0.2489405572,0.035567380499999995,0.044925115999999994,0.051538799,0.058582719400000004,0.0619573481,3.32e-08,-0.0150302602,-0.0394165665,0.0020211146,-0.0453300104,0.0277855992,-0.0012594135,0.026526087900000002,0.0277719479,0.000736784
113,13:43:35:29.071,61,4.95e-08,0.058872517199999995,0.0476079918,0.0,0.0,0.1187177002,0.22178383170000002,4.95e-08,0.0588649064,0.06987074019999999,0.0,0.0,0.11872360109999999,0.2218189687,0.0628217757,0.0067056874,0.0,0.16706988220000002,0.1193380803,0.2932768166,0.1192159057,0.0,0.0245102756,0.0,0.0026054904,0.025445547000000002,0.0,0.0376423635,0.0370198265,0.1813670099,0.1855713427,0.057971801600000004,0.0521112084,0.0477349162,0.1323571205,0.0343921967,0.0357114375,0.1699320078,0.1723403186,0.012923415800000001,0.0164446197,0.0,0.0,0.4201259911,0.3718056381,0.3718026578,0.0344146676,0.045387134,0.051815949400000005,0.056601468499999995,0.0598908179,2.49e-08,-0.014115342900000001,-0.0388569683,0.0006460249,-0.042654003899999994,0.0359912813,-0.0015353685,0.029063262000000003,0.0359783843,0.0010459529
114,13:43:35:30.073,61,4.56e-08,0.0685495287,0.050606016100000005,0.0,0.0,0.1129979491,0.2635318041,4.55e-08,0.0685458183,0.0664882436,0.0,0.0,0.1130027249,0.2635912895,0.06276761,0.005613633000000001,0.0,0.17581757899999997,0.12179763619999999,0.3316214681,0.1242821142,0.0,0.024573735899999997,0.0,0.0,0.04396400599999999,0.017121911,0.0381300971,0.0375181958,0.20733943579999997,0.2092815638,0.0526550561,0.0511064455,0.0451171212,0.1405220926,0.033005669700000004,0.0341574997,0.1818549484,0.18452180920000003,0.0140655432,0.0179109816,0.0,0.0,0.5481763482,0.4800640047,0.4800631404,0.0334810838,0.045764207800000005,0.0519897826,0.0541393384,0.0570388809,1.73e-08,-0.0125884861,-0.0388101041,-0.000818664,-0.040579743700000004,0.041906777799999996,-0.0017010941,0.0308863502,0.041894529,0.00129452
